Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H5_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C3H8_Soln#1 (),Mole_fraction_NC3H7_Soln#1 (),Mole_fraction_C3H6_Soln#1 (),Mole_fraction_C3H5-A_Soln#1 (),Mole_fraction_C3H4-P_Soln#1 (),Mole_fraction_C3H4-A_Soln#1 (),Mole_fraction_NC4H10_Soln#1 (),Mole_fraction_IC4H10_Soln#1 (),Mole_fraction_IC4H8_Soln#1 (),Mole_fraction_IC4H7_Soln#1 (),Mole_fraction_C4H8-1_Soln#1 (),Mole_fraction_C4H8-2_Soln#1 (),Mole_fraction_C4H71-3_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C4H4_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C5H6_Soln#1 (),Mole_fraction_MCPTD_Soln#1 (),Mole_fraction_NC5H12_Soln#1 (),Mole_fraction_NC5H10_Soln#1 (),Mole_fraction_B1M2_Soln#1 (),Mole_fraction_B1M3_Soln#1 (),Mole_fraction_B2M2_Soln#1 (),Mole_fraction_CYC5H8_Soln#1 (),Mole_fraction_LC5H8_Soln#1 (),Mole_fraction_DIALLYL_Soln#1 (),Mole_fraction_CYC6H8_Soln#1 (),Mole_fraction_CYC6H10_Soln#1 (),Mole_fraction_NC6H12_Soln#1 (),Mole_fraction_NC7H14_Soln#1 (),Mole_fraction_DIMEPTD_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_XYLENE_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Mole_fraction_NC12H26_Soln#1 (),Mole_fraction_NC16H34_Soln#1 (),Mole_fraction_NC10H20_Soln#1 (),Mole_fraction_C6H5C4H9_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-2316760.0,1000.0,1000.0,0.001805082,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,0.0,9.434426,1.149734E-4,535064.1,535064.1
3.346865E-7,15.69995,-3406442.0,999.9999,999.9999,0.001805082,1.0,0.9514599,4.042091E-11,2.463112E-9,6.326069E-11,6.833353E-9,6.111973E-9,4.970805E-16,1.856098E-11,3.965273E-9,7.512672E-9,8.260148E-9,7.054635E-16,2.165302E-14,7.169419E-12,1.378318E-19,2.867303E-21,3.915693E-20,3.426158E-9,1.383034E-12,8.257533E-9,2.223289E-11,5.203345E-23,1.998318E-12,2.639389E-20,2.760741E-21,6.690045E-16,2.084465E-9,1.337275E-20,1.121855E-16,4.48973E-21,7.053294E-22,1.874408E-11,4.704709E-15,1.533254E-21,7.236273E-21,7.365638E-10,8.256428E-10,3.048291E-21,0.004081009,3.70556E-12,7.27819E-31,9.869117E-23,1.914739E-14,1.226889E-15,7.620054E-20,2.734171E-15,0.01103334,0.006639945,0.02678576,1.980775E-20,9.434425,1.149734E-4,535064.1,535064.1
1.68238E-6,15.69995,-3939371.0,999.9991,999.9991,0.001805082,1.0,0.9514596,2.577053E-9,2.809077E-8,3.261333E-9,6.136116E-8,7.644579E-8,3.393492E-14,4.937601E-10,1.562891E-8,5.803885E-8,4.218945E-8,1.801367E-14,5.60986E-13,1.287741E-10,2.43997E-16,1.656696E-18,1.156988E-16,2.542542E-8,3.483827E-11,4.212633E-8,1.073389E-9,5.837997E-20,5.57101E-11,1.436485E-17,5.917926E-19,1.517677E-13,1.538899E-8,5.565959E-18,3.531813E-14,2.232989E-18,1.516736E-19,9.84236E-10,6.113036E-13,3.317452E-19,1.572292E-18,5.032139E-9,7.594518E-9,6.395611E-19,0.004081007,1.012766E-10,1.482977E-26,2.797983E-20,9.871709E-13,7.859256E-14,1.091938E-17,7.291698E-14,0.01103333,0.006639933,0.02678568,1.311892E-17,9.434423,1.149735E-4,535063.9,535063.9
7.58934E-6,15.69991,-4989655.0,999.9952,999.9952,0.001805082,1.0,0.9514581,8.086776E-8,1.70278E-7,8.064514E-8,2.993966E-7,6.329114E-7,1.972057E-12,4.924956E-9,2.777663E-8,3.857304E-7,2.050731E-7,3.86969E-13,1.293837E-11,9.957533E-10,6.957587E-14,4.955544E-16,6.947418E-14,1.537884E-7,7.303535E-10,2.040478E-7,2.62781E-8,9.637546E-17,1.180671E-9,5.635486E-15,7.912907E-17,7.055871E-12,1.00701E-7,8.430872E-16,5.081071E-12,3.980186E-16,2.065742E-17,2.436426E-8,6.283395E-11,4.927646E-17,2.162005E-16,2.609258E-8,7.906738E-8,8.131238E-17,0.004080998,2.166925E-9,1.348399E-22,3.586823E-18,2.445338E-11,2.51821E-12,1.096976E-15,8.661286E-13,0.01103324,0.006639856,0.02678523,2.421209E-15,9.434408,1.149737E-4,535063.1,535063.1
5.808171E-5,15.69951,-9848575.0,999.9369,999.9369,0.001805082,1.0,0.9514262,4.06705E-6,8.891375E-7,3.640138E-6,1.456167E-6,1.45089E-5,3.083477E-10,1.150844E-7,7.507897E-8,8.252064E-6,2.057724E-6,3.122722E-11,1.375492E-9,3.821373E-8,3.004428E-11,2.240962E-12,1.450438E-10,2.787094E-6,5.654361E-8,2.138195E-6,1.289113E-6,6.749309E-13,5.291858E-8,1.201423E-11,1.133005E-13,7.917535E-10,2.16187E-6,7.105689E-13,2.392724E-9,3.132572E-13,2.9611E-14,1.141317E-6,4.673995E-8,5.085571E-13,3.394782E-13,3.102859E-7,2.683417E-6,1.065613E-13,0.004080717,9.510375E-8,3.159331E-17,5.742466E-15,1.204949E-9,1.812035E-10,1.42997E-12,3.168106E-10,0.01103085,0.006637939,0.02677632,2.336744E-12,9.434097,1.149766E-4,535045.5,535045.5
1.836815E-4,15.69838,-1.212578E7,999.7281,999.7281,0.001805082,1.0,0.9512938,2.306645E-5,1.266952E-6,2.023054E-5,2.03676E-6,7.498821E-5,4.670293E-9,6.468685E-7,1.026234E-7,4.28458E-5,4.916934E-6,3.578846E-10,1.598615E-8,2.792259E-7,3.436442E-10,2.189868E-10,4.456709E-9,1.409207E-5,6.745085E-7,7.140318E-6,8.304956E-6,3.117047E-11,3.020667E-7,5.019016E-10,5.501362E-12,6.459757E-9,1.164182E-5,2.015975E-11,4.490492E-8,8.638949E-12,1.646911E-12,6.565436E-6,1.190554E-6,1.100762E-10,2.032209E-11,1.316054E-6,1.48961E-5,6.273897E-12,0.004079519,4.983628E-7,2.552437E-14,7.364737E-13,9.274441E-9,3.04297E-9,1.177713E-10,9.064818E-9,0.01102036,0.006629562,0.02673951,6.53139E-11,9.43281,1.14985E-4,534972.5,534972.5
1.887636E-4,15.69833,-1.216953E7,999.719,999.719,0.001805082,1.0,0.9512879,2.392402E-5,1.273149E-6,2.097449E-5,2.045874E-6,7.77155E-5,4.960472E-9,6.714655E-7,1.031219E-7,4.44149E-5,4.965537E-6,3.774304E-10,1.679225E-8,2.908849E-7,3.609375E-10,2.424728E-10,4.787656E-9,1.460649E-5,7.132095E-7,7.308964E-6,8.652434E-6,3.381332E-11,3.134648E-7,5.447341E-10,5.96559E-12,6.739628E-9,1.207958E-5,2.167799E-11,4.774695E-8,9.284934E-12,1.797622E-12,6.813822E-6,1.264191E-6,1.225475E-10,2.222608E-11,1.359975E-6,1.545287E-5,6.868067E-12,0.004079467,5.152325E-7,2.94865E-14,8.190958E-13,9.731318E-9,3.264353E-9,1.29765E-10,9.723776E-9,0.01101988,0.006629184,0.02673786,7.00773E-11,9.432752,1.149853E-4,534969.2,534969.2
1.892399E-4,15.69832,-1.216964E7,999.7182,999.7182,0.001805082,1.0,0.9512873,2.400459E-5,1.27372E-6,2.104437E-5,2.046716E-6,7.797178E-5,4.98809E-9,6.737785E-7,1.031685E-7,4.456237E-5,4.96993E-6,3.792839E-10,1.68683E-8,2.919823E-7,3.625733E-10,2.447606E-10,4.81934E-9,1.465484E-5,7.16885E-7,7.324619E-6,8.685192E-6,3.40678E-11,3.145362E-7,5.488605E-10,6.010205E-12,6.765988E-9,1.212074E-5,2.182357E-11,4.801738E-8,9.346853E-12,1.812176E-12,6.837171E-6,1.271158E-6,1.237614E-10,2.241017E-11,1.364099E-6,1.550521E-5,6.925558E-12,0.004079462,5.168115E-7,2.98809E-14,8.271592E-13,9.774638E-9,3.285574E-9,1.309292E-10,9.7868E-9,0.01101984,0.006629148,0.0267377,7.053301E-11,9.432747,1.149853E-4,534968.9,534968.9
1.897687E-4,15.69832,-1.217341E7,999.7173,999.7173,0.001805082,1.0,0.9512867,2.40941E-5,1.274347E-6,2.1122E-5,2.047638E-6,7.825645E-5,5.018844E-9,6.763481E-7,1.032163E-7,4.472617E-5,4.974774E-6,3.813464E-10,1.695285E-8,2.932018E-7,3.643927E-10,2.473193E-10,4.854659E-9,1.470855E-5,7.209715E-7,7.341968E-6,8.721601E-6,3.435178E-11,3.157265E-7,5.534659E-10,6.059977E-12,6.795283E-9,1.216646E-5,2.198589E-11,4.831851E-8,9.415894E-12,1.828428E-12,6.863107E-6,1.278908E-6,1.251189E-10,2.261576E-11,1.368679E-6,1.556334E-5,6.989776E-12,0.004079457,5.185645E-7,3.032382E-14,8.361805E-13,9.822844E-9,3.309235E-9,1.322305E-10,9.857044E-9,0.01101979,0.006629109,0.02673753,7.104094E-11,9.432741,1.149854E-4,534968.5,534968.5
1.950774E-4,15.69827,-1.221533E7,999.7078,999.7078,0.001805082,1.0,0.9512805,2.499507E-5,1.280605E-6,2.190323E-5,2.056838E-6,8.112249E-5,5.332485E-9,7.022352E-7,1.03724E-7,4.637556E-5,5.021662E-6,4.023039E-10,1.780725E-8,3.054998E-7,3.828344E-10,2.740508E-10,5.217066E-9,1.524947E-5,7.625822E-7,7.514448E-6,9.089389E-6,3.728304E-11,3.277151E-7,6.010299E-10,6.572645E-12,7.090906E-9,1.262707E-5,2.365426E-11,5.138878E-8,1.012523E-11,1.996672E-12,7.124344E-6,1.357445E-6,1.392844E-10,2.474672E-11,1.414754E-6,1.61488E-5,7.655943E-12,0.004079402,5.361441E-7,3.50566E-14,9.306148E-13,1.031267E-8,3.552324E-9,1.457747E-10,1.057707E-8,0.01101929,0.006628711,0.0267358,7.624902E-11,9.43268,1.149857E-4,534965.1,534965.1
1.970156E-4,15.69825,-1.223161E7,999.7043,999.7043,0.001805082,1.0,0.9512782,2.532509E-5,1.282847E-6,2.218932E-5,2.060131E-6,8.21725E-5,5.449213E-9,7.11727E-7,1.039042E-7,4.697992E-5,5.038009E-6,4.100696E-10,1.81217E-8,3.100148E-7,3.896476E-10,2.842945E-10,5.352951E-9,1.544771E-5,7.780445E-7,7.576644E-6,9.224675E-6,3.839007E-11,3.321093E-7,6.190049E-10,6.765754E-12,7.199523E-9,1.279593E-5,2.42811E-11,5.253111E-8,1.039163E-11,2.060437E-12,7.22009E-6,1.386442E-6,1.447039E-10,2.555553E-11,1.431616E-6,1.636335E-5,7.909042E-12,0.004079382,5.425527E-7,3.691968E-14,9.66887E-13,1.049418E-8,3.643603E-9,1.509414E-10,1.08467E-8,0.0110191,0.006628565,0.02673517,7.820003E-11,9.432658,1.149859E-4,534963.9,534963.9
