Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_CH3_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H5_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C3H8_Soln#2 (),Mole_fraction_C3H6_Soln#2 (),Mole_fraction_C3H5-A_Soln#2 (),Mole_fraction_C3H4-P_Soln#2 (),Mole_fraction_C3H4-A_Soln#2 (),Mole_fraction_NC4H10_Soln#2 (),Mole_fraction_IC4H10_Soln#2 (),Mole_fraction_IC4H8_Soln#2 (),Mole_fraction_IC4H7_Soln#2 (),Mole_fraction_C4H8-1_Soln#2 (),Mole_fraction_C4H8-2_Soln#2 (),Mole_fraction_C4H71-3_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C4H4_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_FULVENE_Soln#2 (),Mole_fraction_C5H6_Soln#2 (),Mole_fraction_MCPTD_Soln#2 (),Mole_fraction_NC5H12_Soln#2 (),Mole_fraction_NC5H10_Soln#2 (),Mole_fraction_B1M2_Soln#2 (),Mole_fraction_B1M3_Soln#2 (),Mole_fraction_B2M2_Soln#2 (),Mole_fraction_CYC5H8_Soln#2 (),Mole_fraction_LC5H8_Soln#2 (),Mole_fraction_DIALLYL_Soln#2 (),Mole_fraction_CYC6H8_Soln#2 (),Mole_fraction_CYC6H10_Soln#2 (),Mole_fraction_NC6H12_Soln#2 (),Mole_fraction_NC7H14_Soln#2 (),Mole_fraction_DIMEPTD_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_STILB_Soln#2 (),Mole_fraction_C6H5C2H3_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_XYLENE_Soln#2 (),Mole_fraction_INDENE_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Mole_fraction_NC12H26_Soln#2 (),Mole_fraction_NC16H34_Soln#2 (),Mole_fraction_NC10H20_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.7,-1.309742E7,1050.0,1050.0,0.001719126,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,1.094985E-4,535064.1,535064.1
9.187994E-8,15.69995,-1.791979E7,1050.0,1050.0,0.001719126,1.0,0.9514599,1.489542E-11,2.654223E-9,2.753153E-11,8.025211E-9,6.313368E-9,6.23171E-16,9.653887E-12,9.054313E-9,1.271533E-8,1.146528E-15,3.255288E-14,4.249433E-12,3.327158E-20,1.314853E-21,4.882135E-21,4.165216E-9,9.578263E-13,1.271038E-8,1.176468E-11,5.176097E-23,1.029241E-12,5.534659E-26,1.395302E-20,1.841572E-21,2.873007E-16,2.63824E-9,6.509923E-21,4.751483E-17,1.738078E-21,4.632278E-22,6.702912E-12,2.332394E-15,9.644829E-22,4.669122E-21,9.099519E-10,1.125399E-9,1.922926E-21,0.004081008,2.557802E-12,1.066236E-31,5.931656E-23,8.538506E-15,4.83912E-16,9.831772E-26,2.508519E-20,1.535513E-15,0.01103334,0.006639943,0.02678575,9.434425,1.094985E-4,535064.1,535064.1
4.517659E-7,15.69994,-2.102159E7,1049.999,1049.999,0.001719126,1.0,0.9514595,1.027073E-9,3.362924E-8,1.514625E-9,8.340035E-8,8.749148E-8,3.367995E-14,3.403511E-10,8.244306E-8,6.294842E-8,2.784096E-14,7.942823E-13,1.19868E-10,8.193574E-17,9.216884E-19,2.80045E-17,3.67926E-8,2.34684E-11,6.283055E-8,7.2616E-10,2.708021E-20,3.806827E-11,5.070596E-23,7.291424E-18,4.552666E-19,1.039323E-13,2.261664E-8,3.570505E-18,1.575803E-14,1.137499E-18,1.148941E-19,6.032557E-10,2.797261E-13,2.380121E-19,1.166483E-18,7.417785E-9,1.070392E-8,4.674025E-19,0.004081007,7.51037E-11,2.399881E-27,1.670788E-20,4.697423E-13,3.354796E-14,1.291151E-22,3.621775E-18,5.415434E-14,0.01103332,0.006639923,0.02678564,9.434422,1.094986E-4,535063.9,535063.9
1.774121E-6,15.6999,-2.404612E7,1049.994,1049.994,0.001719126,1.0,0.9514579,2.88507E-8,2.22215E-7,3.362396E-8,4.2042E-7,6.244354E-7,1.490639E-12,3.742145E-9,4.11491E-7,2.544649E-7,4.381491E-13,1.282931E-11,9.409669E-10,2.582882E-14,1.517444E-16,1.254749E-14,1.755321E-7,3.567247E-10,2.52743E-7,1.398517E-8,1.646948E-17,6.016394E-10,1.261174E-20,1.56449E-15,3.606511E-17,5.44059E-12,1.105266E-7,3.880942E-16,1.732167E-12,1.525289E-16,9.470361E-18,1.205274E-8,1.767706E-11,1.95098E-17,9.347545E-17,3.290472E-8,6.659006E-8,3.608485E-17,0.004080998,1.17667E-9,9.072081E-24,1.599261E-18,1.043293E-11,9.573265E-13,2.718212E-20,2.244339E-16,6.14438E-13,0.01103322,0.006639838,0.02678518,9.434406,1.094989E-4,535063.0,535063.0
6.588088E-6,15.69974,-3.159422E7,1049.974,1049.974,0.001719126,1.0,0.9514495,5.248334E-7,9.761981E-7,4.895258E-7,1.505464E-6,3.989943E-6,5.455315E-11,2.569159E-8,2.272775E-6,1.039584E-6,6.527544E-12,2.083173E-10,6.685678E-9,2.554039E-12,2.231842E-14,2.655818E-12,8.796719E-7,5.173939E-9,1.020172E-6,2.069162E-7,9.937362E-15,8.299554E-9,2.638768E-18,2.821811E-13,2.713427E-15,1.271659E-10,6.007782E-7,2.852919E-14,1.209289E-10,1.2925E-14,7.747663E-16,1.785132E-7,1.049838E-9,2.110281E-15,7.218234E-15,1.392336E-7,5.353167E-7,2.552724E-15,0.004080939,1.624044E-8,2.456506E-20,1.097951E-16,1.532928E-10,1.850287E-11,4.507206E-18,1.411743E-14,8.57936E-12,0.01103264,0.006639356,0.02678286,9.434321,1.095E-4,535058.2,535058.2
1.797041E-5,15.69929,-4.44473E7,1049.907,1049.907,0.001719126,1.0,0.9514164,3.933773E-6,2.445519E-6,3.236135E-6,3.351989E-6,1.867621E-5,7.053038E-10,1.304865E-7,1.016974E-5,3.242603E-6,5.690722E-11,2.047978E-9,4.794705E-8,5.475127E-11,1.319293E-12,1.196063E-10,3.612461E-6,4.376849E-8,3.17795E-6,1.464269E-6,9.312937E-13,5.590622E-8,1.618802E-16,1.310084E-11,9.458628E-14,1.310212E-9,2.68555E-6,7.818176E-13,2.690977E-9,3.693253E-13,2.842604E-14,1.228122E-6,2.701002E-8,2.800159E-13,2.619853E-13,4.616073E-7,3.034796E-6,8.358511E-14,0.004080654,1.08567E-7,1.243228E-17,5.302379E-15,1.080177E-9,1.669751E-10,6.109015E-16,5.804912E-13,2.257537E-10,0.01103012,0.006637317,0.02677384,9.433989,1.095031E-4,535039.3,535039.3
1.808867E-5,15.69929,-4.455268E7,1049.906,1049.906,0.001719126,1.0,0.951416,3.983316E-6,2.458141E-6,3.274521E-6,3.36707E-6,1.886972E-5,7.169117E-10,1.319749E-7,1.027337E-5,3.266714E-6,5.774085E-11,2.07964E-9,4.861328E-8,5.578739E-11,1.35577E-12,1.224872E-10,3.647592E-6,4.440643E-8,3.202065E-6,1.482541E-6,9.577053E-13,5.658057E-8,1.663286E-16,1.34236E-11,9.686439E-14,1.329914E-9,2.713125E-6,7.988134E-13,2.744681E-9,3.774335E-13,2.911869E-14,1.243054E-6,2.759441E-8,2.899704E-13,2.683964E-13,4.653913E-7,3.069294E-6,8.557235E-14,0.00408065,1.098647E-7,1.296285E-17,5.459112E-15,1.093984E-9,1.694447E-10,6.319299E-16,5.96051E-13,2.309292E-10,0.01103009,0.006637291,0.02677373,9.433984,1.095031E-4,535039.1,535039.1
1.823409E-5,15.69928,-4.46772E7,1049.905,1049.905,0.001719126,1.0,0.9514155,4.044586E-6,2.473588E-6,3.321959E-6,3.385517E-6,1.910864E-5,7.31338E-10,1.33816E-7,1.040132E-5,3.296372E-6,5.877543E-11,2.118962E-9,4.943932E-8,5.707725E-11,1.401676E-12,1.260952E-10,3.69095E-6,4.518751E-8,3.23175E-6,1.505143E-6,9.909287E-13,5.741419E-8,1.71926E-16,1.382814E-11,9.972036E-14,1.354352E-9,2.747183E-6,8.200563E-13,2.811658E-9,3.8757E-13,2.99873E-14,1.261514E-6,2.832488E-8,3.026076E-13,2.76438E-13,4.700549E-7,3.111923E-6,8.806321E-14,0.004080645,1.114684E-7,1.364155E-17,5.65704E-15,1.11108E-9,1.725109E-10,6.585815E-16,6.156294E-13,2.374072E-10,0.01103005,0.006637258,0.02677358,9.433979,1.095032E-4,535038.8,535038.8
1.895337E-5,15.69925,-4.528959E7,1049.9,1049.9,0.001719126,1.0,0.9514128,4.353252E-6,2.548807E-6,3.560395E-6,3.475158E-6,2.030643E-5,8.051998E-10,1.431002E-7,1.104273E-5,3.443196E-6,6.404844E-11,2.319833E-9,5.363595E-8,6.371612E-11,1.64657E-12,1.450356E-10,3.908114E-6,4.915508E-8,3.379096E-6,1.619094E-6,1.167845E-12,6.160813E-8,2.017723E-16,1.595769E-11,1.147643E-13,1.478654E-9,2.918054E-6,9.308507E-13,3.158435E-9,4.404724E-13,3.456763E-14,1.354411E-6,3.213545E-8,3.719856E-13,3.188707E-13,4.932928E-7,3.326134E-6,1.011768E-13,0.004080622,1.195308E-7,1.746303E-17,6.725361E-15,1.197568E-9,1.8816E-10,8.041116E-16,7.200249E-13,2.713483E-10,0.01102984,0.006637093,0.02677287,9.433953,1.095034E-4,535037.3,535037.3
1.913063E-5,15.69925,-4.543804E7,1049.899,1049.899,0.001719126,1.0,0.9514122,4.430722E-6,2.567048E-6,3.620102E-6,3.496854E-6,2.060564E-5,8.240413E-10,1.454328E-7,1.120294E-5,3.479406E-6,6.538754E-11,2.370958E-9,5.469814E-8,6.541804E-11,1.711619E-12,1.499868E-10,3.962317E-6,5.016527E-8,3.415534E-6,1.647718E-6,1.214739E-12,6.265937E-8,2.09697E-16,1.651594E-11,1.18711E-13,1.510152E-9,2.96077E-6,9.596328E-13,3.247869E-9,4.542241E-13,3.577055E-14,1.377702E-6,3.312556E-8,3.90932E-13,3.300221E-13,4.990622E-7,3.379765E-6,1.046155E-13,0.004080616,1.215501E-7,1.853238E-17,7.012443E-15,1.219371E-9,1.921401E-10,8.436472E-16,7.477445E-13,2.802045E-10,0.01102979,0.006637051,0.02677269,9.433946,1.095034E-4,535036.9,535036.9
