Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_H_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_CH3_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H5_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C3H8_Soln#6 (),Mole_fraction_NC3H7_Soln#6 (),Mole_fraction_C3H6_Soln#6 (),Mole_fraction_C3H5-A_Soln#6 (),Mole_fraction_C3H4-P_Soln#6 (),Mole_fraction_C3H4-A_Soln#6 (),Mole_fraction_NC4H10_Soln#6 (),Mole_fraction_IC4H10_Soln#6 (),Mole_fraction_IC4H8_Soln#6 (),Mole_fraction_IC4H7_Soln#6 (),Mole_fraction_C4H8-1_Soln#6 (),Mole_fraction_C4H8-2_Soln#6 (),Mole_fraction_C4H71-3_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C4H4_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_FULVENE_Soln#6 (),Mole_fraction_C5H6_Soln#6 (),Mole_fraction_C5H5_Soln#6 (),Mole_fraction_MCPTD_Soln#6 (),Mole_fraction_C10H8_Soln#6 (),Mole_fraction_NC5H12_Soln#6 (),Mole_fraction_NC5H10_Soln#6 (),Mole_fraction_B1M2_Soln#6 (),Mole_fraction_B1M3_Soln#6 (),Mole_fraction_CYC5H8_Soln#6 (),Mole_fraction_LC5H8_Soln#6 (),Mole_fraction_DIALLYL_Soln#6 (),Mole_fraction_CYC6H8_Soln#6 (),Mole_fraction_CYC6H10_Soln#6 (),Mole_fraction_NC6H12_Soln#6 (),Mole_fraction_NC7H14_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_XYLENE_Soln#6 (),Mole_fraction_INDENE_Soln#6 (),Mole_fraction_NPBENZ_Soln#6 (),Mole_fraction_NC12H26_Soln#6 (),Mole_fraction_NC16H34_Soln#6 (),Mole_fraction_NC10H20_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
0.0,15.7,-3.53103E9,1250.0,1250.0,0.001444066,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,9.197872E-5,535064.1,535064.1
2.040081E-9,15.69992,-4.00052E9,1249.999,1249.999,0.001444066,1.0,0.9514596,2.51247E-9,1.471573E-12,5.300082E-9,7.413123E-12,3.19133E-8,1.292911E-8,3.107898E-15,3.268236E-12,2.993415E-8,2.007095E-8,7.052785E-8,7.977101E-15,1.890141E-13,1.680849E-12,1.847567E-21,3.501413E-22,2.93866E-23,9.293305E-9,6.311517E-13,7.048966E-8,3.367938E-11,5.028802E-21,1.089542E-13,1.715528E-25,7.867176E-21,7.428234E-27,1.263672E-21,6.456636E-26,1.118656E-16,6.676994E-9,3.117704E-21,9.503376E-18,3.006685E-22,2.695212E-13,5.606416E-16,5.487401E-22,2.907964E-21,2.00661E-9,3.798744E-9,0.004081007,1.409052E-11,8.156583E-23,2.392397E-15,5.767607E-17,1.099133E-26,6.243762E-16,0.01103329,0.006639898,0.02678563,9.434423,9.197879E-5,535063.9,535063.9
1.538322E-8,15.69984,-5.151954E9,1249.988,1249.988,0.001444066,1.0,0.9514564,7.995533E-8,4.42568E-10,1.905448E-7,9.411074E-10,5.805604E-7,4.618795E-7,2.818297E-13,3.548578E-10,4.483416E-7,6.548027E-7,5.319737E-7,4.548724E-13,1.075664E-11,1.870423E-10,5.489751E-17,3.55732E-18,5.422105E-18,2.959051E-7,3.920396E-11,5.298153E-7,2.254906E-9,1.057507E-18,2.949616E-11,4.759545E-22,1.846825E-17,1.190928E-22,2.552702E-18,1.486518E-22,2.445634E-13,2.060073E-7,1.46387E-17,2.090802E-14,6.111286E-19,3.576506E-10,2.402854E-13,1.097405E-18,5.912893E-18,5.926327E-8,1.183912E-7,0.004080993,1.798959E-10,7.564223E-20,3.037046E-13,1.762242E-14,1.764687E-22,6.775563E-14,0.01103292,0.006639565,0.02678468,9.434391,9.197928E-5,535062.1,535062.1
4.216938E-8,15.69966,-5.509734E9,1249.963,1249.963,0.001444066,1.0,0.9514483,2.988948E-7,5.721351E-9,8.296095E-7,1.049838E-8,2.249798E-6,2.092481E-6,3.790304E-12,3.340719E-9,1.395518E-6,2.452595E-6,1.461934E-6,3.42877E-12,8.112979E-11,1.647856E-9,6.612835E-15,1.81215E-16,1.184913E-15,1.093545E-6,3.045068E-10,1.445917E-6,2.067499E-8,2.762162E-17,3.376941E-10,2.488524E-20,9.530222E-16,1.077066E-20,7.789739E-17,6.140451E-21,9.055513E-12,7.493166E-7,6.511921E-16,7.219147E-13,1.920061E-17,6.44388E-9,4.96288E-12,3.345763E-17,1.806894E-16,2.101481E-7,4.3754E-7,0.004080957,1.152541E-9,2.367534E-18,3.387596E-12,2.348881E-13,1.823353E-20,6.377677E-13,0.01103215,0.006638878,0.02678275,9.43431,9.198032E-5,535057.6,535057.6
1.351149E-7,15.69903,-6.086625E9,1249.87,1249.87,0.001444066,1.0,0.9514159,1.173117E-6,9.431467E-8,4.17975E-6,1.483249E-7,9.460938E-6,1.130896E-5,1.043878E-10,3.345898E-8,3.698097E-6,9.163535E-6,4.740699E-6,3.552201E-11,8.479688E-10,1.430007E-8,1.098915E-12,1.189392E-14,2.840728E-13,4.015935E-6,3.084196E-9,4.5821E-6,2.488933E-7,2.75352E-15,4.455972E-9,2.677489E-18,1.162657E-13,1.644088E-18,3.122711E-15,6.139947E-19,3.629076E-10,2.748471E-6,3.505547E-14,3.735865E-11,8.682444E-16,1.035601E-7,1.657842E-10,1.37408E-15,7.187245E-15,7.45377E-7,1.70573E-6,0.0040808,1.237669E-8,1.135871E-16,4.786987E-11,4.179839E-12,2.609043E-18,6.590947E-12,0.01102931,0.00663637,0.02677563,9.433985,9.198403E-5,535039.1,535039.1
4.748142E-7,15.69662,-7.314549E9,1249.474,1249.474,0.001444066,1.0,0.951267,4.897108E-6,1.87474E-6,2.308538E-5,2.192887E-6,3.645864E-5,6.84907E-5,4.408901E-9,3.016494E-7,6.805621E-6,3.940321E-5,1.746776E-5,4.599682E-10,1.131931E-8,1.250364E-7,1.698093E-10,1.192825E-12,6.692428E-11,1.63665E-5,3.94088E-8,1.569401E-5,3.432221E-6,1.257966E-12,6.746655E-8,5.104792E-16,2.392258E-11,8.883333E-16,1.64682E-13,1.271849E-16,1.093301E-8,1.152786E-5,2.11451E-12,2.540099E-9,6.509572E-14,1.671232E-6,7.683307E-9,1.005905E-13,3.712186E-13,2.800633E-6,8.688759E-6,0.004079893,1.768164E-7,8.702082E-15,7.176311E-10,9.753097E-11,6.286088E-16,1.177735E-10,0.01101675,0.006625522,0.02674373,9.432448,9.199816E-5,534951.9,534951.9
1.379343E-6,15.6901,-9.147425E9,1248.17,1248.17,0.001444066,1.0,0.9507167,1.293385E-5,2.132677E-5,8.549565E-5,1.743665E-5,8.777575E-5,3.230568E-4,9.821064E-8,2.247859E-6,9.757126E-6,1.608268E-4,5.41215E-5,4.662072E-9,1.131452E-7,1.171038E-6,7.0114E-9,7.840932E-11,4.548654E-9,6.154991E-5,4.076077E-7,4.26176E-5,2.863941E-5,2.341291E-10,5.758885E-7,4.496563E-14,1.744758E-9,4.048166E-13,5.575045E-12,9.930127E-15,1.311136E-7,4.620691E-5,6.215711E-11,7.877898E-8,3.491878E-12,1.454972E-5,2.108094E-7,1.97482E-11,1.301201E-11,8.957745E-6,4.402457E-5,0.004075469,1.476478E-6,1.087981E-12,6.818637E-9,1.435706E-9,1.575504E-13,4.680891E-9,0.01096868,0.006585207,0.02661928,9.42652,9.203638E-5,534615.8,534615.8
1.514651E-6,15.68916,-9.306584E9,1247.955,1247.955,0.001444066,1.0,0.9506198,1.386598E-5,2.620953E-5,9.50429E-5,2.067251E-5,9.326132E-5,3.707108E-4,1.277749E-7,2.739559E-6,1.007595E-5,1.832045E-4,5.952029E-5,5.787219E-9,1.389657E-7,1.441017E-6,9.470553E-9,1.148633E-10,6.418423E-9,6.96439E-5,5.029086E-7,4.623805E-5,3.4203E-5,3.622953E-10,6.866505E-7,6.662983E-14,2.488477E-9,6.822589E-13,7.64059E-12,1.43103E-14,1.611325E-7,5.263562E-5,8.3134E-11,1.052685E-7,4.987015E-12,1.736752E-5,2.809801E-7,3.296547E-11,1.805344E-11,9.943925E-6,5.100644E-5,0.004074613,1.755367E-6,1.743916E-12,8.43333E-9,1.814627E-9,2.588916E-13,6.527917E-9,0.01096002,0.006578038,0.02659671,9.425461,9.204192E-5,534555.7,534555.7
1.560418E-6,15.68884,-9.354942E9,1247.881,1247.881,0.001444066,1.0,0.9505863,1.416709E-5,2.797733E-5,9.825206E-5,2.181272E-5,9.500875E-5,3.872835E-4,1.388687E-7,2.919257E-6,1.017852E-5,1.909816E-4,6.132476E-5,6.202603E-9,1.483552E-7,1.539124E-6,1.041133E-8,1.297473E-10,7.154041E-9,7.245137E-5,5.376661E-7,4.743643E-5,3.617653E-5,4.15865E-10,7.258159E-7,7.552424E-14,2.78369E-9,8.04627E-13,8.446749E-12,1.606304E-14,1.719779E-7,5.487441E-5,9.116232E-11,1.153739E-7,5.585425E-12,1.836436E-5,3.077483E-7,3.879387E-11,2.004548E-11,1.028044E-5,5.345034E-5,0.004074314,1.853632E-6,2.026813E-12,9.032851E-9,1.954634E-9,3.030171E-13,7.251908E-9,0.01095703,0.006575558,0.02658889,9.425094,9.204378E-5,534534.9,534534.9
1.58996E-6,15.68864,-9.384713E9,1247.833,1247.833,0.001444066,1.0,0.9505645,1.435775E-5,2.91495E-5,1.003168E-4,2.256052E-5,9.610873E-5,3.980982E-4,1.463306E-7,3.038891E-6,1.024336E-5,1.960557E-4,6.248303E-5,6.480375E-9,1.545928E-7,1.604258E-6,1.104889E-8,1.401128E-10,7.658223E-9,7.428188E-5,5.607719E-7,4.820288E-5,3.747437E-5,4.535011E-10,7.51538E-7,8.173326E-14,2.986789E-9,8.925153E-13,8.99784E-12,1.727295E-14,1.791621E-7,5.633638E-5,9.660615E-11,1.222156E-7,5.998667E-12,1.901916E-5,3.258713E-7,4.298057E-11,2.141448E-11,1.049842E-5,5.504917E-5,0.004074119,1.918068E-6,2.228223E-12,9.434934E-9,2.048233E-9,3.345457E-13,7.747412E-9,0.01095507,0.006573944,0.02658379,9.424855,9.204497E-5,534521.3,534521.3
