Time_Soln#9 (sec),Volume_Soln#9 (cm3),Volumetric_heat_production_rate_Soln#9 (erg/cm3-sec),Surface_temperature_Soln#9 (K),Temperature_Soln#9 (K),Mass_Soln#9 (g),Pressure_Soln#9 (atm),Mole_fraction_H2_Soln#9 (),Mole_fraction_H_Soln#9 (),Mole_fraction_CH4_Soln#9 (),Mole_fraction_CH3_Soln#9 (),Mole_fraction_C2H6_Soln#9 (),Mole_fraction_C2H5_Soln#9 (),Mole_fraction_C2H4_Soln#9 (),Mole_fraction_C2H3_Soln#9 (),Mole_fraction_C2H2_Soln#9 (),Mole_fraction_C3H8_Soln#9 (),Mole_fraction_IC3H7_Soln#9 (),Mole_fraction_NC3H7_Soln#9 (),Mole_fraction_C3H6_Soln#9 (),Mole_fraction_C3H5-A_Soln#9 (),Mole_fraction_C3H4-P_Soln#9 (),Mole_fraction_C3H4-A_Soln#9 (),Mole_fraction_NC4H10_Soln#9 (),Mole_fraction_PC4H9_Soln#9 (),Mole_fraction_IC4H10_Soln#9 (),Mole_fraction_IC4H8_Soln#9 (),Mole_fraction_IC4H7_Soln#9 (),Mole_fraction_C4H8-1_Soln#9 (),Mole_fraction_C4H8-2_Soln#9 (),Mole_fraction_C4H71-3_Soln#9 (),Mole_fraction_C4H6_Soln#9 (),Mole_fraction_C4H4_Soln#9 (),Mole_fraction_C4H2_Soln#9 (),Mole_fraction_C6H6_Soln#9 (),Mole_fraction_FULVENE_Soln#9 (),Mole_fraction_C5H6_Soln#9 (),Mole_fraction_C5H5_Soln#9 (),Mole_fraction_C10H8_Soln#9 (),Mole_fraction_NC5H12_Soln#9 (),Mole_fraction_NC5H10_Soln#9 (),Mole_fraction_B1M3_Soln#9 (),Mole_fraction_LC5H8_Soln#9 (),Mole_fraction_DIALLYL_Soln#9 (),Mole_fraction_CYC6H8_Soln#9 (),Mole_fraction_NC6H12_Soln#9 (),Mole_fraction_NC7H14_Soln#9 (),Mole_fraction_C7H8_Soln#9 (),Mole_fraction_C7H7_Soln#9 (),Mole_fraction_C6H5C2H_Soln#9 (),Mole_fraction_C6H5C2H3_Soln#9 (),Mole_fraction_C6H5C2H5_Soln#9 (),Mole_fraction_INDENE_Soln#9 (),Mole_fraction_NPBENZ_Soln#9 (),Mole_fraction_NC12H26_Soln#9 (),Mole_fraction_NC16H34_Soln#9 (),Mole_fraction_NC10H20_Soln#9 (),Molecular_weight_Soln#9 (g/mole),Mass_density_Soln#9 (g/cm3),Unburned_hydrocarbons_Soln#9 (ppm),Volatile_organic_compounds_Soln#9 (ppm)
0.0,15.7,-8.552278E10,1400.0,1400.0,0.001289345,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,8.212386E-5,535064.1,535064.1
1.139364E-10,15.69999,-8.822459E10,1399.998,1399.998,0.001289345,1.0,0.9514596,1.139943E-9,4.583122E-14,1.774986E-9,1.069522E-12,4.189898E-8,4.531513E-9,1.179565E-12,1.520656E-15,5.054352E-13,1.901309E-12,4.141512E-8,6.760267E-9,8.792437E-8,4.261699E-15,9.62509E-14,2.722851E-13,4.230325E-8,8.417046E-24,3.968548E-24,3.359809E-26,3.126962E-9,1.221975E-13,8.789824E-8,2.250769E-11,2.016836E-20,1.526449E-20,3.269247E-15,3.011287E-26,2.990794E-22,1.173947E-28,1.440935E-27,1.102871E-17,2.42392E-9,1.956398E-19,2.656042E-15,2.35576E-17,1.950285E-23,6.579658E-10,1.567503E-9,0.004081007,3.276798E-11,1.504681E-31,1.711015E-23,3.415248E-16,5.828276E-28,1.014316E-16,0.01103325,0.006639856,0.02678559,9.434422,8.212394E-5,535063.9,535063.9
2.302228E-9,15.69969,-1.172583E11,1399.955,1399.955,0.001289345,1.0,0.9514477,3.173681E-7,2.934871E-10,5.223255E-7,8.429027E-10,1.9025E-6,1.297686E-6,5.010694E-10,8.829569E-13,3.636158E-10,1.363466E-9,1.672371E-6,1.916396E-6,1.775895E-6,1.756921E-12,3.930306E-11,2.114094E-10,1.838029E-6,3.544154E-17,7.421438E-18,1.708858E-18,8.688566E-7,5.563531E-11,1.765292E-6,9.336849E-9,3.646344E-17,6.208478E-18,1.829259E-11,3.759566E-21,3.778044E-17,2.979343E-22,1.828069E-22,4.027671E-13,6.620907E-7,2.475441E-14,1.784621E-10,1.932917E-13,2.363633E-18,1.723541E-7,4.262339E-7,0.004080955,7.203305E-10,3.326482E-26,2.620316E-19,2.691457E-13,2.204818E-22,7.294557E-14,0.01103128,0.006638066,0.02678214,9.434304,8.212545E-5,535057.2,535057.2
7.899783E-9,15.69893,-1.299407E11,1399.822,1399.822,0.001289345,1.0,0.9514038,1.98252E-6,7.354629E-9,3.397244E-6,1.58485E-8,1.008567E-5,8.439559E-6,6.371138E-9,1.882502E-11,6.170605E-9,2.287011E-8,7.7874E-6,1.154526E-5,6.091933E-6,2.089141E-11,4.632655E-10,3.522682E-9,8.181848E-6,1.442535E-14,1.178698E-15,1.748356E-15,5.147428E-6,7.18878E-10,5.969353E-6,1.157375E-7,1.36097E-15,7.343648E-17,4.417503E-10,3.592513E-19,3.916693E-15,8.700782E-20,1.931175E-20,3.837326E-11,3.854712E-6,2.047261E-12,8.837168E-9,7.799777E-12,1.832348E-16,9.676977E-7,2.471952E-6,0.004080763,3.680249E-9,7.722595E-24,1.692871E-17,5.059305E-12,6.448918E-20,1.234823E-12,0.01102608,0.006633391,0.02677352,9.433869,8.212944E-5,535032.5,535032.5
2.289895E-8,15.69687,-1.364692E11,1399.446,1399.446,0.001289345,1.0,0.9512741,7.59387E-6,9.114602E-8,1.36683E-5,1.747724E-7,3.648837E-5,3.59023E-5,5.946819E-8,3.720437E-10,5.931917E-8,2.117267E-7,2.294806E-5,3.968703E-5,1.76755E-5,1.764524E-10,3.909916E-9,3.212101E-8,2.191168E-5,1.675153E-12,5.228677E-14,3.17069E-13,1.754146E-5,6.335245E-9,1.669128E-5,1.01313E-6,3.820487E-14,7.058143E-16,5.24046E-9,1.821567E-17,2.759222E-13,9.039331E-18,1.232551E-18,1.314036E-9,1.303576E-5,6.994436E-11,1.362522E-7,1.899047E-10,5.698923E-15,3.212483E-6,8.449449E-6,0.004080176,2.329326E-8,1.196344E-21,5.576275E-16,5.575807E-11,6.987285E-18,1.193255E-11,0.01101193,0.006620717,0.02674995,9.432576,8.214024E-5,534959.2,534959.2
1.075371E-7,15.68516,-1.57665E11,1397.087,1397.087,0.001289345,1.0,0.9504018,5.413523E-5,3.354949E-6,1.095345E-4,4.963571E-6,2.08652E-4,3.211553E-4,1.34002E-6,3.74984E-8,1.260837E-6,3.364968E-6,7.124926E-5,2.131754E-4,8.3837E-5,3.988881E-9,8.971788E-8,6.383314E-7,4.832485E-5,1.089925E-9,1.171822E-11,3.317571E-10,9.115269E-5,1.647121E-7,6.601407E-5,2.192702E-5,1.914522E-11,7.533779E-14,1.7487E-7,9.972563E-15,2.25469E-10,2.298867E-14,7.660441E-16,1.282369E-7,6.817965E-5,1.056065E-8,5.01644E-6,1.983222E-8,8.427879E-13,1.58327E-5,4.881501E-5,0.004075502,5.866824E-7,2.646824E-18,1.146579E-13,1.594447E-9,7.620457E-15,4.535725E-10,0.01092619,0.006545216,0.02659982,9.423699,8.220155E-5,534455.8,534455.8
3.440953E-7,15.65618,-1.68225E11,1389.674,1389.674,0.001289345,1.0,0.9473682,1.693296E-4,5.21368E-5,5.237302E-4,4.930479E-5,5.407664E-4,0.001665978,1.093529E-5,1.166119E-6,1.394346E-5,1.459708E-5,1.047536E-4,8.461892E-4,2.593879E-4,5.244162E-8,1.004095E-6,7.598009E-6,5.440819E-5,8.669526E-8,1.073541E-9,3.810569E-8,3.309532E-4,2.491833E-6,1.483767E-4,1.859927E-4,5.215366E-9,4.532001E-12,2.066508E-6,1.448913E-12,2.979653E-8,2.677756E-11,8.281262E-14,2.15814E-6,2.6086E-4,3.944359E-7,5.970646E-5,6.301805E-7,1.92724E-10,5.065964E-5,2.264949E-4,0.004052875,6.495537E-6,2.600196E-15,2.850476E-11,1.983564E-8,4.050362E-12,2.822832E-8,0.0106381,0.006300605,0.02603385,9.391052,8.235372E-5,532604.2,532604.2
9.149207E-7,15.61881,-1.194572E11,1374.105,1374.105,0.001289345,1.0,0.9399132,2.213328E-4,4.311591E-4,0.001424734,2.414533E-4,6.608939E-4,0.005555696,3.925152E-5,1.515378E-5,1.04967E-4,2.454773E-5,9.935113E-5,0.002624187,4.644248E-4,5.760703E-7,6.346696E-6,4.838685E-5,4.704539E-5,1.585625E-6,4.826348E-8,8.01236E-7,9.584217E-4,1.77266E-5,2.111412E-4,7.76062E-4,2.777223E-7,7.550345E-11,1.00063E-5,7.296933E-11,7.1361E-7,2.841594E-9,2.752585E-12,1.255267E-5,7.944956E-4,5.279135E-6,2.818796E-4,7.184788E-6,2.129449E-8,1.220536E-4,7.575652E-4,0.003986206,2.786374E-5,1.188817E-12,2.366551E-9,2.723263E-7,3.715664E-10,5.548784E-7,0.009912901,0.0057095,0.02446269,9.30806,8.255077E-5,527897.4,527897.4
1.467889E-6,15.60884,-8.497812E10,1363.646,1363.646,0.001289345,1.0,0.9340383,2.041609E-4,9.89438E-4,0.001764407,4.52955E-4,5.80831E-4,0.008813239,5.05876E-5,3.870586E-5,2.256035E-4,2.337082E-5,8.37425E-5,0.004140852,4.807252E-4,1.630409E-6,1.264489E-5,9.136253E-5,3.889749E-5,4.208968E-6,2.208288E-7,2.319177E-6,0.001507079,3.656891E-5,2.182847E-4,0.001308832,1.248465E-6,3.541554E-10,1.7718E-5,4.38152E-10,2.278125E-6,1.490361E-8,1.310903E-11,2.272129E-5,0.001236299,1.365072E-5,4.853011E-4,1.569475E-5,1.144096E-7,1.733232E-4,0.00119429,0.003932925,4.38057E-5,1.139403E-11,1.218075E-8,9.478331E-7,1.893094E-9,1.554481E-6,0.009332142,0.005250675,0.02314337,9.243105,8.260347E-5,524213.6,524213.6
1.50872E-6,15.60858,-8.317706E10,1362.998,1362.998,0.001289345,1.0,0.9336526,2.02607E-4,0.00103309,0.001774911,4.684403E-4,5.750188E-4,0.009029922,5.095796E-5,4.05797E-5,2.344855E-4,2.319123E-5,8.272802E-5,0.004242248,4.795014E-4,1.724314E-6,1.309665E-5,9.430343E-5,3.839107E-5,4.412879E-6,2.39111E-7,2.449067E-6,0.001544197,3.797867E-5,2.182463E-4,0.001344896,1.350552E-6,3.898762E-10,1.825612E-5,4.842195E-10,2.420451E-6,1.622795E-8,1.430815E-11,2.339989E-5,0.001265096,1.43226E-5,4.990211E-4,1.627214E-5,1.244245E-7,1.765796E-4,0.001222787,0.003929472,4.475846E-5,1.280179E-11,1.326729E-8,1.012993E-6,2.059131E-9,1.637883E-6,0.009293919,0.005220872,0.02305527,9.238871,8.260484E-5,523973.4,523973.4
1.534198E-6,15.60845,-8.209318E10,1362.601,1362.601,0.001289345,1.0,0.9334149,2.016359E-4,0.00106038,0.001780739,4.780723E-4,5.714483E-4,0.009163607,5.116785E-5,4.175242E-5,2.400033E-4,2.307765E-5,8.210599E-5,0.004304814,4.786601E-4,1.783824E-6,1.337681E-5,9.611958E-5,3.808128E-5,4.539981E-6,2.508901E-7,2.531021E-6,0.001567112,3.885747E-5,2.182025E-4,0.001367175,1.416287E-6,4.134838E-10,1.858956E-5,5.145514E-10,2.510799E-6,1.708398E-8,1.50906E-11,2.381785E-5,0.001282815,1.474328E-5,5.074908E-4,1.662692E-5,1.308703E-7,1.7858E-4,0.001240325,0.003927348,4.533897E-5,1.373549E-11,1.3971E-8,1.054555E-6,2.166446E-9,1.690351E-6,0.009270362,0.005202527,0.0230009,9.236263,8.260557E-5,523825.5,523825.5
1.560204E-6,15.60832,-8.101686E10,1362.202,1362.202,0.001289345,1.0,0.9331745,2.006444E-4,0.001088266,0.001786147,4.878788E-4,5.678489E-4,0.009298899,5.136656E-5,4.295177E-5,2.456151E-4,2.296084E-5,8.147956E-5,0.004368136,4.777472E-4,1.845267E-6,1.366139E-5,9.79586E-5,3.776982E-5,4.669555E-6,2.632023E-7,2.615356E-6,0.001590312,3.97537E-5,2.181435E-4,0.001389742,1.484967E-6,4.386428E-10,1.892811E-5,5.467837E-10,2.604197E-6,1.798088E-8,1.591654E-11,2.424023E-5,0.001300707,1.517364E-5,5.160655E-4,1.698469E-5,1.376008E-7,1.805979E-4,0.001258041,0.003925202,4.59208E-5,1.473289E-11,1.470948E-8,1.09767E-6,2.278886E-9,1.744225E-6,0.00924654,0.005183995,0.02294586,9.233627,8.260624E-5,523676.0,523676.0
