Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H6_Soln#15 (),Mole_fraction_C2H5_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H3_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C3H8_Soln#15 (),Mole_fraction_IC3H7_Soln#15 (),Mole_fraction_NC3H7_Soln#15 (),Mole_fraction_C3H6_Soln#15 (),Mole_fraction_C3H5-A_Soln#15 (),Mole_fraction_C3H4-P_Soln#15 (),Mole_fraction_C3H4-A_Soln#15 (),Mole_fraction_C3H3_Soln#15 (),Mole_fraction_NC4H10_Soln#15 (),Mole_fraction_PC4H9_Soln#15 (),Mole_fraction_IC4H10_Soln#15 (),Mole_fraction_IC4H8_Soln#15 (),Mole_fraction_C4H8-1_Soln#15 (),Mole_fraction_C4H8-2_Soln#15 (),Mole_fraction_C4H71-3_Soln#15 (),Mole_fraction_C4H6_Soln#15 (),Mole_fraction_C4H5_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_FULVENE_Soln#15 (),Mole_fraction_C5H6_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_NC5H12_Soln#15 (),Mole_fraction_NC5H10_Soln#15 (),Mole_fraction_B1M3_Soln#15 (),Mole_fraction_LC5H8_Soln#15 (),Mole_fraction_NC6H12_Soln#15 (),Mole_fraction_NC7H14_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_INDENE_Soln#15 (),Mole_fraction_C12H8_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_C16H10_Soln#15 (),Mole_fraction_BIN1B_Soln#15 (),Mole_fraction_NC12H26_Soln#15 (),Mole_fraction_NC16H34_Soln#15 (),Mole_fraction_NC10H20_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
0.0,15.7,-9.69571E12,1700.0,1700.0,0.001061813,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.763141E-5,535064.1,535064.1
3.964788E-12,15.69995,-9.77235E12,1699.992,1699.992,0.001061813,1.0,0.9514583,2.084963E-9,4.421456E-15,2.072329E-9,5.3691E-13,2.376558E-7,5.587134E-9,3.277078E-12,2.272251E-15,2.757388E-13,4.363047E-12,2.372015E-7,7.776251E-9,2.94493E-7,6.548804E-15,1.51557E-13,7.017792E-18,1.646945E-13,2.381517E-7,2.322902E-25,5.178825E-25,3.569077E-9,7.341347E-14,2.943998E-7,7.788173E-11,1.308807E-20,7.277675E-19,3.337496E-19,2.909722E-16,3.907285E-26,8.611706E-23,3.272895E-28,1.225377E-17,3.14934E-9,2.296194E-20,1.262517E-16,7.084888E-10,2.294898E-9,0.004081001,1.552979E-10,5.936565E-32,4.837247E-23,3.41934E-28,4.311034E-45,3.126033E-21,5.553167E-45,1.117722E-38,0.01103274,0.006639392,0.02678514,9.434409,6.763163E-5,535063.2,535063.2
1.592855E-10,15.69808,-1.20005E13,1699.62,1699.62,0.001061813,1.0,0.9513634,2.63348E-6,2.440731E-10,2.794431E-6,1.217961E-9,1.510006E-5,7.391077E-6,5.646536E-9,4.966136E-12,6.030287E-10,9.506251E-9,1.430893E-5,1.042266E-5,1.18001E-5,1.148299E-11,2.447854E-10,3.584971E-13,3.808887E-10,1.538378E-5,2.467923E-17,3.627209E-17,4.730584E-6,1.30926E-10,1.165139E-5,1.245069E-7,2.052595E-15,1.193085E-14,5.358508E-16,1.143971E-11,7.3152E-20,1.819542E-16,6.153949E-22,1.777473E-12,4.169152E-6,4.849211E-14,8.651629E-11,9.108867E-7,3.001042E-6,0.004080588,6.280193E-9,1.875738E-25,4.019503E-18,1.014204E-21,4.544174E-34,7.461732E-18,4.41803E-36,3.244145E-32,0.01100889,0.006617517,0.02676144,9.433469,6.763968E-5,535009.8,535009.8
7.624338E-10,15.69158,-1.416282E13,1697.843,1697.843,0.001061813,1.0,0.9507624,3.511477E-5,1.719358E-8,3.624314E-5,4.563025E-8,1.207731E-4,9.273355E-5,1.509824E-7,2.332691E-10,2.161248E-8,3.295985E-7,1.057312E-4,1.322013E-4,5.589101E-5,3.040669E-10,5.586616E-9,3.124214E-11,1.382039E-8,1.146533E-4,5.723037E-14,3.39666E-14,5.886254E-5,3.603132E-9,5.266246E-5,2.747427E-6,1.872038E-12,1.174165E-12,1.200283E-14,8.176903E-10,2.579171E-17,6.488623E-14,2.833495E-19,5.508128E-10,5.157588E-5,1.526813E-11,1.864433E-8,1.071466E-5,3.623308E-5,0.00407798,3.335652E-8,1.840048E-22,6.766432E-16,8.601195E-19,1.982914E-29,9.849518E-16,9.587937E-32,6.448701E-29,0.01091533,0.006532827,0.02667858,9.427508,6.76677E-5,534671.8,534671.8
2.224576E-9,15.67683,-1.366412E13,1693.393,1693.393,0.001061813,1.0,0.9491649,1.414972E-4,2.142592E-7,1.37393E-4,4.891945E-7,4.142654E-4,3.530812E-4,1.424165E-6,4.612232E-9,2.37223E-7,3.259813E-6,3.39447E-4,4.807711E-4,1.590383E-4,2.732765E-9,4.651475E-8,5.639238E-10,1.441479E-7,3.606277E-4,7.062509E-12,1.604611E-12,2.122911E-4,3.514157E-8,1.349063E-4,2.117104E-5,1.670468E-10,2.549199E-11,9.780993E-14,1.067468E-8,1.125294E-15,3.717925E-12,1.815998E-17,2.025435E-8,1.842042E-4,4.886595E-10,3.515106E-7,3.762416E-5,1.282844E-4,0.004070991,1.339076E-7,2.948617E-20,2.108528E-14,8.7264E-17,2.964234E-26,3.612639E-14,1.746531E-28,3.091227E-26,0.01069869,0.006338883,0.02648957,9.411651,6.773137E-5,533772.5,533772.5
7.62517E-9,15.62866,-1.14488E13,1678.704,1678.704,0.001061813,1.0,0.9438578,5.893909E-4,2.913169E-6,5.188997E-4,5.982905E-6,0.001399596,0.00140998,1.403309E-5,1.530363E-7,3.515044E-6,3.319728E-5,9.875107E-4,0.001584131,4.996908E-4,2.945085E-8,5.018515E-7,1.26599E-8,1.830054E-6,9.986599E-4,1.081303E-9,7.492158E-11,6.952368E-4,4.920104E-7,3.080815E-4,1.758248E-4,1.987069E-8,6.939749E-10,1.209348E-12,1.605516E-7,1.008006E-13,4.953686E-10,1.886543E-15,7.853167E-7,5.889071E-4,1.652652E-8,5.960008E-6,1.212653E-4,4.156621E-4,0.004046832,1.005355E-6,1.240687E-17,9.745175E-13,1.584667E-14,2.59894E-22,1.820872E-12,1.417837E-24,5.214688E-23,0.01002211,0.005747108,0.02585211,9.358768,6.794013E-5,530773.3,530773.3
2.106444E-8,15.54216,-7.955056E12,1650.869,1650.869,0.001061813,1.0,0.9335745,0.001596104,2.330627E-5,0.001562897,3.986646E-5,0.003212136,0.004343568,6.476563E-5,2.298969E-6,3.28773E-5,1.544838E-4,0.001723117,0.003555971,0.001136148,1.897145E-7,3.239472E-6,1.113649E-7,1.403862E-5,0.001551013,5.063816E-8,1.50382E-9,0.001528958,4.378369E-6,4.222136E-4,7.059813E-4,6.43175E-7,1.004805E-8,1.779908E-11,1.290755E-6,4.762712E-12,2.472368E-8,6.906576E-14,1.068236E-5,0.001253095,2.127082E-7,4.786169E-5,2.611152E-4,9.196258E-4,0.003993601,6.405452E-6,2.334818E-15,3.171408E-11,1.583653E-12,9.203085E-19,3.835155E-11,3.528169E-21,2.237675E-20,0.008851888,0.004775624,0.02453182,9.254808,6.831826E-5,524877.3,524877.3
3.07911E-8,15.5,-6.391939E12,1635.786,1635.786,0.001061813,1.0,0.9277934,0.002094191,5.112308E-5,0.002419581,7.66294E-5,0.004041879,0.006501667,1.08709E-4,6.063448E-6,7.24171E-5,2.393061E-4,0.001875314,0.004626982,0.001457912,3.850919E-7,6.245125E-6,2.206677E-7,2.91504E-5,0.001558234,1.966276E-7,4.699167E-9,0.001949785,9.449906E-6,4.375472E-4,0.001072557,1.973566E-6,3.18696E-8,5.536311E-11,2.624423E-6,1.896401E-11,9.462021E-8,2.620657E-13,2.463033E-5,0.00158375,5.158251E-7,9.580994E-5,3.288444E-4,0.001188192,0.003958725,1.23558E-5,2.020341E-14,1.363691E-10,9.673925E-12,1.856296E-17,1.120025E-10,6.708168E-20,1.969998E-19,0.008254191,0.004306179,0.0237217,9.195197,6.850406E-5,521496.5,521496.5
3.326057E-8,15.49126,-6.07111E12,1632.439,1632.439,0.001061813,1.0,0.9264836,0.002190941,6.003406E-5,0.002647683,8.707803E-5,0.004199327,0.007038392,1.205552E-4,7.366463E-6,8.443225E-5,2.585451E-4,0.00188771,0.004870332,0.001525097,4.458877E-7,7.107172E-6,2.514675E-7,3.365553E-5,0.001538258,2.571842E-7,5.942724E-9,0.00204114,1.097846E-5,4.392295E-4,0.001160209,2.442589E-6,4.079722E-8,6.96262E-11,3.01087E-6,2.492463E-11,1.227752E-7,3.448063E-13,2.883386E-5,0.001656333,6.155811E-7,1.094603E-4,3.432501E-4,0.001248484,0.00395027,1.403424E-5,3.169533E-14,1.845412E-10,1.392222E-11,3.361617E-17,1.384027E-10,1.211107E-19,3.037081E-19,0.008123228,0.004205792,0.02353003,9.18156,6.854273E-5,520723.1,520723.1
3.581244E-8,15.48292,-5.764765E12,1629.154,1629.154,0.001061813,1.0,0.9251872,0.002279614,7.004335E-5,0.002886635,9.825235E-5,0.00434222,0.007586125,1.330323E-4,8.869213E-6,9.754904E-5,2.773222E-4,0.001892748,0.005112143,0.001589139,5.135987E-7,8.032251E-6,2.843098E-7,3.854715E-5,0.001512191,3.31739E-7,7.449719E-9,0.002130243,1.264375E-5,4.405053E-4,0.001248479,2.981561E-6,5.182745E-8,8.658942E-11,3.426046E-6,3.230112E-11,1.568866E-7,4.49254E-13,3.339116E-5,0.001727613,7.285732E-7,1.240163E-4,3.571906E-4,0.00130806,0.003941698,1.58182E-5,4.888765E-14,2.467352E-10,1.967663E-11,5.897691E-17,1.691483E-10,2.125005E-19,4.5831E-19,0.007994986,0.004108356,0.02333718,9.168016,6.857963E-5,519954.9,519954.9
