Time_Soln#16 (sec),Volume_Soln#16 (cm3),Volumetric_heat_production_rate_Soln#16 (erg/cm3-sec),Surface_temperature_Soln#16 (K),Temperature_Soln#16 (K),Mass_Soln#16 (g),Pressure_Soln#16 (atm),Mole_fraction_H2_Soln#16 (),Mole_fraction_H_Soln#16 (),Mole_fraction_CH4_Soln#16 (),Mole_fraction_CH3_Soln#16 (),Mole_fraction_C2H6_Soln#16 (),Mole_fraction_C2H5_Soln#16 (),Mole_fraction_C2H4_Soln#16 (),Mole_fraction_C2H3_Soln#16 (),Mole_fraction_C2H2_Soln#16 (),Mole_fraction_C3H8_Soln#16 (),Mole_fraction_IC3H7_Soln#16 (),Mole_fraction_NC3H7_Soln#16 (),Mole_fraction_C3H6_Soln#16 (),Mole_fraction_C3H5-A_Soln#16 (),Mole_fraction_C3H4-P_Soln#16 (),Mole_fraction_C3H4-A_Soln#16 (),Mole_fraction_C3H3_Soln#16 (),Mole_fraction_NC4H10_Soln#16 (),Mole_fraction_PC4H9_Soln#16 (),Mole_fraction_IC4H10_Soln#16 (),Mole_fraction_C4H8-1_Soln#16 (),Mole_fraction_C4H8-2_Soln#16 (),Mole_fraction_C4H71-3_Soln#16 (),Mole_fraction_C4H6_Soln#16 (),Mole_fraction_C4H5_Soln#16 (),Mole_fraction_C4H4_Soln#16 (),Mole_fraction_C4H2_Soln#16 (),Mole_fraction_C6H6_Soln#16 (),Mole_fraction_FULVENE_Soln#16 (),Mole_fraction_C5H6_Soln#16 (),Mole_fraction_C10H8_Soln#16 (),Mole_fraction_NC5H12_Soln#16 (),Mole_fraction_NC5H10_Soln#16 (),Mole_fraction_B1M3_Soln#16 (),Mole_fraction_LC5H8_Soln#16 (),Mole_fraction_NC6H12_Soln#16 (),Mole_fraction_NC7H14_Soln#16 (),Mole_fraction_C7H8_Soln#16 (),Mole_fraction_C7H7_Soln#16 (),Mole_fraction_C6H5C2H_Soln#16 (),Mole_fraction_C6H5C2H3_Soln#16 (),Mole_fraction_C12H8_Soln#16 (),Mole_fraction_C14H10_Soln#16 (),Mole_fraction_C16H10_Soln#16 (),Mole_fraction_C18H10_Soln#16 (),Mole_fraction_BIN1B_Soln#16 (),Mole_fraction_BIN1A_Soln#16 (),Mole_fraction_NC12H26_Soln#16 (),Mole_fraction_NC16H34_Soln#16 (),Mole_fraction_NC10H20_Soln#16 (),Molecular_weight_Soln#16 (g/mole),Mass_density_Soln#16 (g/cm3),Unburned_hydrocarbons_Soln#16 (ppm),Volatile_organic_compounds_Soln#16 (ppm)
0.0,15.7,-1.82679E13,1750.0,1750.0,0.001031476,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.569909E-5,535064.1,535064.1
2.42097E-12,15.69994,-1.838182E13,1749.99,1749.99,0.001031476,1.0,0.951458,2.072826E-9,2.976108E-15,1.94221E-9,4.518798E-13,2.879204E-7,5.268531E-9,3.429098E-12,2.092678E-15,2.353206E-13,4.46578E-12,2.875031E-7,7.270482E-9,3.305964E-7,6.040871E-15,1.417908E-13,8.191659E-18,1.422809E-13,2.883815E-7,1.221263E-25,3.333544E-9,6.315134E-14,3.304947E-7,8.442203E-11,1.946266E-20,9.812253E-19,4.224788E-19,1.900229E-16,3.383598E-26,6.57653E-23,2.858207E-28,1.143519E-17,3.001389E-9,1.554353E-20,7.90701E-17,6.567329E-10,2.207005E-9,0.004081,1.615638E-10,4.056046E-32,5.166792E-23,2.377254E-45,3.007332E-21,3.615129E-45,7.607614E-47,6.785884E-39,2.066232E-38,0.01103261,0.006639272,0.02678506,9.434406,6.569932E-5,535063.0,535063.0
7.98677E-11,15.69822,-2.136746E13,1749.646,1749.646,0.001031476,1.0,0.9513752,1.866419E-6,9.148012E-11,1.875519E-6,6.215255E-10,1.315991E-5,5.024481E-6,3.931622E-9,2.873891E-12,3.157639E-10,5.977525E-9,1.267846E-5,7.002292E-6,1.088055E-5,7.159046E-12,1.544577E-10,2.311708E-13,1.991938E-10,1.343684E-5,4.201855E-18,3.186373E-6,7.409234E-11,1.077089E-5,9.111065E-8,1.002392E-15,9.798251E-15,4.577093E-16,4.076429E-12,2.731011E-20,6.126457E-17,2.249144E-22,6.889241E-13,2.868816E-6,1.44711E-14,2.246789E-11,6.151133E-7,2.090503E-6,0.00408064,5.341365E-9,5.06759E-26,2.082445E-18,4.995496E-35,3.780729E-18,7.160926E-37,6.726458E-38,7.47953E-33,2.313705E-32,0.01100904,0.006617616,0.02676302,9.433585,6.570653E-5,535016.4,535016.4
5.311591E-10,15.68957,-2.630595E13,1747.147,1747.147,0.001031476,1.0,0.95054,4.775447E-5,1.717283E-8,4.646248E-5,4.732432E-8,1.585157E-4,1.196931E-4,2.084232E-7,2.832253E-10,2.301911E-8,4.193658E-7,1.403511E-4,1.701023E-4,7.134697E-5,3.9743E-10,6.807355E-9,5.548371E-11,1.484815E-8,1.524755E-4,5.210556E-14,7.578806E-5,4.069998E-9,6.680127E-5,3.832719E-6,2.770501E-12,2.5218E-12,1.965296E-14,7.773807E-10,3.561112E-17,7.906857E-14,3.878868E-19,6.617998E-10,6.795636E-5,1.672457E-11,1.760015E-8,1.377194E-5,4.812365E-5,0.00407702,3.883355E-8,1.989884E-22,9.64507E-16,2.123897E-29,8.198342E-16,1.028513E-31,1.997608E-32,4.745113E-29,1.996829E-28,0.010871,0.006492584,0.02664965,9.425303,6.574275E-5,534546.7,534546.7
1.475863E-9,15.67317,-2.508199E13,1741.711,1741.711,0.001031476,1.0,0.9485761,1.83461E-4,1.950237E-7,1.683037E-4,4.569108E-7,5.164019E-4,4.31637E-4,1.771457E-6,4.790346E-9,2.303826E-7,3.763399E-6,4.323637E-4,5.973059E-4,1.925896E-4,3.320734E-9,5.124282E-8,9.05986E-10,1.405848E-7,4.628911E-4,5.329913E-12,2.638554E-4,3.607246E-8,1.619798E-4,2.648614E-5,2.009982E-10,4.649477E-11,1.432191E-13,9.247627E-9,1.312031E-15,3.621185E-12,2.026135E-17,2.110892E-8,2.342455E-4,4.635301E-10,3.08357E-7,4.666578E-5,1.641539E-4,0.004068461,1.40339E-7,2.488077E-20,2.543946E-14,2.240445E-26,2.479781E-14,1.234971E-28,2.791358E-29,1.532953E-26,9.727959E-26,0.01059843,0.006249169,0.0264319,9.405815,6.581155E-5,533441.5,533441.5
4.737983E-9,15.62362,-2.027285E13,1725.367,1725.367,0.001031476,1.0,0.9426745,6.896994E-4,2.274441E-6,5.70477E-4,4.830034E-6,0.001598308,0.001517239,1.533306E-5,1.275077E-7,2.9937E-6,3.426814E-5,0.00120041,0.00183496,5.638718E-4,3.124604E-8,4.799545E-7,1.718498E-8,1.554125E-6,0.001248025,6.246381E-10,8.066219E-4,4.305561E-7,3.498878E-4,1.920352E-4,1.78178E-8,9.903909E-10,1.382772E-12,1.194807E-7,8.556021E-14,3.404947E-10,1.550557E-15,6.752033E-7,6.970882E-4,1.267451E-8,4.578E-6,1.406041E-4,4.934946E-4,0.004042009,8.618993E-7,7.31145E-18,9.017215E-13,1.015542E-22,1.006345E-12,5.24371E-25,9.555224E-26,1.574502E-23,1.266E-22,0.009821883,0.005573742,0.02575867,9.347102,6.602027E-5,530111.6,530111.6
1.41079E-8,15.52388,-1.286814E13,1691.913,1691.913,0.001031476,1.0,0.9305094,0.001937838,1.965278E-5,0.001698597,3.547883E-5,0.003762954,0.004633784,7.580048E-5,2.208332E-6,3.253325E-5,1.810534E-4,0.002226744,0.004188929,0.001343745,2.145553E-7,3.444156E-6,1.679977E-7,1.333406E-5,0.002132096,3.672547E-8,0.001813073,4.27203E-6,4.808112E-4,8.208864E-4,6.90491E-7,1.286054E-8,1.84679E-11,1.080292E-6,4.826452E-12,2.02689E-8,6.701896E-14,1.085435E-5,0.001494589,1.80326E-7,4.155326E-5,3.104845E-4,0.001097124,0.003981496,5.79386E-6,1.748428E-15,2.986935E-11,4.672386E-19,2.57127E-11,1.740803E-21,6.181313E-22,9.515539E-21,8.125915E-20,0.008383198,0.004396594,0.02423875,9.224754,6.644443E-5,523172.8,523172.8
2.872498E-8,15.43751,-7.888738E12,1659.273,1659.273,0.001031476,1.0,0.9181379,0.003011536,8.048027E-5,0.003648531,1.135433E-4,0.005478849,0.009243958,1.880119E-4,1.262115E-5,1.343424E-4,3.89202E-4,0.002507891,0.006454139,0.002053784,7.511187E-7,1.115936E-5,5.366157E-7,4.925931E-5,0.002110614,4.267963E-7,0.002691987,1.669194E-5,4.897493E-4,0.001655216,4.864779E-6,8.57549E-8,1.366749E-10,3.826851E-6,5.678383E-11,2.162259E-7,7.588991E-13,4.768564E-5,0.002160979,8.536728E-7,1.418314E-4,4.520098E-4,0.001646065,0.003906882,1.848777E-5,8.697636E-14,3.842296E-10,9.686395E-17,1.802153E-10,3.477983E-19,2.061648E-19,4.957402E-19,4.416805E-18,0.007108903,0.003441016,0.02247538,9.097409,6.681619E-5,515950.6,515950.6
5.636903E-8,15.37048,-4.108097E12,1624.247,1624.247,0.001031476,1.0,0.9036838,0.00344433,3.081699E-4,0.007425238,2.987871E-4,0.006038519,0.01639053,4.125677E-4,5.990982E-5,4.038861E-4,5.818444E-4,0.002086535,0.009218532,0.002582425,2.574082E-6,2.951695E-5,1.344178E-6,1.404255E-4,0.001416788,3.42724E-6,0.003570639,4.905752E-5,4.761479E-4,0.002778865,2.099889E-5,6.321037E-7,8.138326E-10,1.040155E-5,4.748355E-10,1.423755E-6,8.649232E-12,1.376667E-4,0.002875657,3.489526E-6,3.613222E-4,5.836596E-4,0.002248942,0.003799373,4.559261E-5,3.456031E-12,4.22651E-9,8.524661E-15,9.514467E-10,3.691312E-17,2.604645E-17,1.609824E-17,1.490046E-16,0.005778705,0.00253648,0.02007106,8.944208,6.710759E-5,507261.9,507261.9
6.604622E-8,15.36061,-3.418983E12,1616.142,1616.142,0.001031476,1.0,0.9000716,0.003395193,4.179474E-4,0.008582631,3.676656E-4,0.005872628,0.01841924,4.823922E-4,8.400509E-5,5.012731E-4,6.061204E-4,0.001904438,0.009963375,0.002646113,3.425379E-6,3.609899E-5,1.640977E-6,1.722985E-4,0.001214887,5.289575E-6,0.003774227,6.081262E-5,4.713716E-4,0.003086153,2.794507E-5,9.922041E-7,1.200052E-9,1.273125E-5,7.61325E-10,2.085984E-6,1.557351E-11,1.666852E-4,0.003053125,4.791159E-6,4.335174E-4,6.118457E-4,0.002394712,0.003769363,5.431186E-5,7.687644E-12,7.097989E-9,2.173992E-14,1.358506E-9,1.01285E-16,7.194205E-17,3.464888E-17,3.213559E-16,0.005461679,0.002335221,0.01940418,8.905288,6.71507E-5,505054.6,505054.6
