Time_Soln#17 (sec),Volume_Soln#17 (cm3),Volumetric_heat_production_rate_Soln#17 (erg/cm3-sec),Surface_temperature_Soln#17 (K),Temperature_Soln#17 (K),Mass_Soln#17 (g),Pressure_Soln#17 (atm),Mole_fraction_H2_Soln#17 (),Mole_fraction_H_Soln#17 (),Mole_fraction_CH4_Soln#17 (),Mole_fraction_CH3_Soln#17 (),Mole_fraction_C2H6_Soln#17 (),Mole_fraction_C2H5_Soln#17 (),Mole_fraction_C2H4_Soln#17 (),Mole_fraction_C2H3_Soln#17 (),Mole_fraction_C2H2_Soln#17 (),Mole_fraction_C3H8_Soln#17 (),Mole_fraction_IC3H7_Soln#17 (),Mole_fraction_NC3H7_Soln#17 (),Mole_fraction_C3H6_Soln#17 (),Mole_fraction_C3H5-A_Soln#17 (),Mole_fraction_C3H4-P_Soln#17 (),Mole_fraction_C3H4-A_Soln#17 (),Mole_fraction_C3H3_Soln#17 (),Mole_fraction_NC4H10_Soln#17 (),Mole_fraction_PC4H9_Soln#17 (),Mole_fraction_IC4H10_Soln#17 (),Mole_fraction_C4H8-1_Soln#17 (),Mole_fraction_C4H8-2_Soln#17 (),Mole_fraction_C4H71-3_Soln#17 (),Mole_fraction_C4H6_Soln#17 (),Mole_fraction_C4H5_Soln#17 (),Mole_fraction_C4H4_Soln#17 (),Mole_fraction_C4H2_Soln#17 (),Mole_fraction_C6H6_Soln#17 (),Mole_fraction_FULVENE_Soln#17 (),Mole_fraction_C5H6_Soln#17 (),Mole_fraction_C10H8_Soln#17 (),Mole_fraction_NC5H12_Soln#17 (),Mole_fraction_NC5H10_Soln#17 (),Mole_fraction_LC5H8_Soln#17 (),Mole_fraction_NC6H12_Soln#17 (),Mole_fraction_NC7H15_Soln#17 (),Mole_fraction_NC7H14_Soln#17 (),Mole_fraction_C7H8_Soln#17 (),Mole_fraction_C7H7_Soln#17 (),Mole_fraction_C6H5C2H_Soln#17 (),Mole_fraction_INDENYL_Soln#17 (),Mole_fraction_C12H8_Soln#17 (),Mole_fraction_C14H10_Soln#17 (),Mole_fraction_C16H10_Soln#17 (),Mole_fraction_C18H10_Soln#17 (),Mole_fraction_BIN1B_Soln#17 (),Mole_fraction_BIN1A_Soln#17 (),Mole_fraction_NC12H26_Soln#17 (),Mole_fraction_NC16H34_Soln#17 (),Mole_fraction_NC10H20_Soln#17 (),Molecular_weight_Soln#17 (g/mole),Mass_density_Soln#17 (g/cm3),Unburned_hydrocarbons_Soln#17 (ppm),Volatile_organic_compounds_Soln#17 (ppm)
0.0,15.7,-3.323923E13,1800.0,1800.0,0.001002824,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.387411E-5,535064.1,535064.1
1.324971E-12,15.69995,-3.338326E13,1799.99,1799.99,0.001002824,1.0,0.9514579,1.583762E-9,1.307895E-15,1.391738E-9,2.921816E-13,3.008279E-7,3.795647E-9,2.720717E-12,1.453173E-15,1.543127E-13,3.468421E-12,3.005344E-7,5.196785E-9,3.215741E-7,4.202606E-15,1.003137E-13,6.43224E-18,9.431568E-14,3.011559E-7,2.967962E-26,2.38059E-9,4.169527E-14,3.214899E-7,6.938356E-11,1.793778E-20,9.165573E-19,3.860292E-19,8.505274E-17,1.558314E-26,2.713606E-23,1.380729E-28,6.807543E-18,2.186185E-9,3.054154E-17,4.657517E-10,1.232335E-6,1.618971E-9,0.004081,1.402364E-10,1.42127E-32,7.555629E-36,3.938093E-46,2.186019E-21,8.932991E-46,2.672475E-47,2.161374E-39,6.79145E-39,0.01103258,0.006639239,0.02678508,9.434406,6.387433E-5,535063.0,535063.0
7.388508E-11,15.69714,-3.958824E13,1799.384,1799.384,0.001002824,1.0,0.9513075,3.93664E-6,1.912566E-10,3.745194E-6,1.182351E-9,2.413573E-5,1.006688E-5,9.098879E-9,6.170936E-12,6.077423E-10,1.360655E-8,2.31682E-5,1.395097E-5,1.786241E-5,1.512153E-11,3.12566E-10,8.679159E-13,3.889641E-10,2.464023E-5,1.424793E-17,6.335277E-6,1.428914E-10,1.760439E-5,2.129569E-7,4.63868E-15,4.356512E-14,1.191869E-15,8.067689E-12,9.762579E-20,2.033035E-16,8.83501E-22,2.137052E-12,5.821572E-6,5.387882E-11,1.210932E-6,5.271786E-5,4.262173E-6,0.004080347,7.842576E-9,1.560485E-25,3.189792E-27,3.275498E-34,7.875234E-18,3.971339E-36,5.483737E-37,1.983739E-32,6.47963E-32,0.01099031,0.006600429,0.02674861,9.432915,6.388576E-5,534978.4,534978.4
4.465395E-10,15.68523,-4.711124E13,1795.549,1795.549,0.001002824,1.0,0.9500012,8.122762E-5,2.624417E-8,7.431051E-5,7.197592E-8,2.52413E-4,1.920286E-4,4.046877E-7,5.338306E-10,3.595855E-8,7.634468E-7,2.2369E-4,2.718453E-4,1.058048E-4,7.461217E-10,1.135924E-8,1.580833E-10,2.322284E-8,2.429698E-4,1.044535E-13,1.209663E-4,6.582852E-9,9.715774E-5,7.249147E-6,8.303886E-12,8.424489E-12,4.174609E-14,1.135755E-9,8.56152E-17,1.764142E-13,1.041754E-18,1.42977E-9,1.107541E-4,2.793424E-8,2.182006E-5,1.161621E-4,7.871688E-5,0.004074693,5.236026E-8,4.460357E-22,3.924716E-23,7.071095E-29,1.220696E-15,3.437535E-31,8.10597E-32,8.550458E-29,4.276204E-28,0.01077518,0.0064061,0.02658681,9.419959,6.393428E-5,534243.7,534243.7
1.306511E-9,15.66114,-4.263229E13,1786.735,1786.735,0.001002824,1.0,0.9467939,3.198167E-4,3.201056E-7,2.726778E-4,7.476579E-7,8.343366E-4,7.004576E-4,3.686356E-6,1.051588E-8,4.031616E-7,7.313139E-6,6.993885E-4,9.657521E-4,2.961238E-4,6.919421E-9,9.332285E-8,2.903149E-9,2.393988E-7,7.504595E-4,1.248447E-11,4.262943E-4,6.514973E-8,2.350567E-4,5.258873E-5,6.866781E-10,1.684759E-10,3.266711E-13,1.469878E-8,3.7281E-15,9.753875E-12,6.350327E-17,5.026887E-8,3.848428E-4,5.246514E-7,7.495289E-5,1.090412E-4,2.711407E-4,0.004060724,2.072436E-7,7.342037E-20,1.178864E-20,1.086562E-25,4.125436E-14,5.848074E-28,1.505707E-28,3.688065E-26,2.882874E-25,0.01032614,0.006008338,0.02625238,9.388134,6.40326E-5,532438.7,532438.7
4.442124E-9,15.58958,-3.013223E13,1761.287,1761.287,0.001002824,1.0,0.9376275,0.001178248,3.859558E-6,9.041972E-4,8.121017E-6,0.002497249,0.002392312,3.050867E-5,2.992387E-7,5.94844E-6,6.649865E-5,0.001864286,0.002862353,8.742851E-4,6.669275E-8,9.267922E-7,5.487002E-8,2.821979E-6,0.001951308,1.59849E-9,0.001257233,8.529936E-7,4.635797E-4,3.660131E-4,6.2194E-8,3.428677E-9,3.354472E-12,1.997289E-7,2.968104E-13,1.037505E-9,5.108132E-15,1.630706E-6,0.001088692,7.991407E-6,2.17978E-4,8.049131E-5,7.80279E-4,0.004019459,1.413083E-6,2.785805E-17,7.182893E-18,7.524673E-22,1.837931E-12,3.332856E-24,7.074652E-25,4.878255E-23,4.606381E-22,0.009116429,0.00498082,0.0252281,9.296905,6.432652E-5,527264.8,527264.8
1.208475E-8,15.47862,-1.732996E13,1721.983,1721.983,0.001002824,1.0,0.9234871,0.002710401,2.56534E-5,0.00228714,4.581517E-5,0.004957306,0.006053015,1.158567E-4,3.630448E-6,5.022527E-5,2.706618E-4,0.002973485,0.005552101,0.001820173,3.525847E-7,5.265136E-6,3.626E-7,1.888298E-5,0.00291525,5.771392E-8,0.002400128,6.420706E-6,5.494316E-4,0.001193279,1.391176E-6,2.836956E-8,3.44325E-11,1.366275E-6,1.062456E-11,3.587502E-8,1.394254E-13,1.759902E-5,0.001958983,5.394661E-5,4.095905E-4,5.031071E-5,0.001459414,0.003948312,7.585414E-6,4.132935E-15,1.707379E-15,1.316517E-18,3.250699E-11,4.613045E-21,1.895504E-21,1.459875E-20,1.415953E-19,0.007455233,0.003682366,0.02342007,9.154596,6.478765E-5,519193.9,519193.9
2.122688E-8,15.40466,-1.11936E13,1693.137,1693.137,0.001002824,1.0,0.9127557,0.003688893,7.464532E-5,0.004022404,1.102156E-4,0.006452448,0.009985094,2.274283E-4,1.367393E-5,1.478707E-4,4.794476E-4,0.003192634,0.007482747,0.0024826,8.943579E-7,1.289452E-5,8.371132E-7,5.093008E-5,0.002878518,3.772516E-7,0.003146376,1.79133E-5,5.386157E-4,0.001967218,5.920194E-6,1.053237E-7,1.563709E-10,3.565465E-6,6.885745E-11,2.11718E-7,8.918562E-13,5.356809E-5,0.002489905,1.358471E-4,5.297786E-4,3.549233E-5,0.001908842,0.003884199,1.820411E-5,8.276386E-14,4.057251E-14,7.393405E-17,1.457138E-10,2.623987E-19,1.570206E-19,3.070889E-19,3.042125E-18,0.006357192,0.002902675,0.02185156,9.044459,6.50987E-5,512947.5,512947.5
2.2859E-8,15.39533,-1.048739E13,1689.112,1689.112,0.001002824,1.0,0.911212,0.003796771,8.603735E-5,0.004342707,1.229799E-4,0.006616198,0.01064042,2.481552E-4,1.622828E-5,1.685977E-4,5.096681E-4,0.003181621,0.007759474,0.00256687,1.013362E-6,1.442009E-5,9.249883E-7,5.760398E-5,0.002825758,4.786665E-7,0.003245128,2.031397E-5,5.357677E-4,0.002085159,7.036691E-6,1.273443E-7,1.907211E-10,4.010369E-6,8.711521E-11,2.633617E-7,1.143549E-12,6.112494E-5,0.002560519,1.518564E-4,5.453049E-4,3.37808E-5,0.001969991,0.003874075,2.02688E-5,1.23393E-13,6.108174E-14,1.228896E-16,1.761756E-10,4.413972E-19,2.732862E-19,4.535005E-19,4.507172E-18,0.006209474,0.002802878,0.02161102,9.028428,6.513818E-5,512038.3,512038.3
2.502397E-8,15.38425,-9.659046E12,1684.151,1684.151,0.001002824,1.0,0.9092894,0.003916406,1.023819E-4,0.004769811,1.403179E-4,0.006796792,0.01148797,2.758681E-4,1.998167E-5,1.971152E-4,5.465483E-4,0.003154159,0.008105357,0.002666573,1.1815E-6,1.649426E-5,1.042104E-6,6.675615E-5,0.002746169,6.381065E-7,0.003365228,2.360803E-5,5.321129E-4,0.002234118,8.640419E-6,1.61359E-7,2.426407E-10,4.616062E-6,1.157125E-10,3.420157E-7,1.55246E-12,7.145974E-5,0.002647135,1.733919E-4,5.640477E-4,3.177169E-5,0.002045109,0.003861129,2.304317E-5,2.008661E-13,1.001757E-13,2.266405E-16,2.215828E-10,8.288321E-19,5.323285E-19,7.274639E-19,7.25807E-18,0.006028685,0.002682428,0.02130591,9.008392,6.518509E-5,510902.1,510902.1
