Time_Soln#22 (sec),Volume_Soln#22 (cm3),Volumetric_heat_production_rate_Soln#22 (erg/cm3-sec),Surface_temperature_Soln#22 (K),Temperature_Soln#22 (K),Mass_Soln#22 (g),Pressure_Soln#22 (atm),Mole_fraction_H2_Soln#22 (),Mole_fraction_H_Soln#22 (),Mole_fraction_CH4_Soln#22 (),Mole_fraction_CH3_Soln#22 (),Mole_fraction_C2H6_Soln#22 (),Mole_fraction_C2H5_Soln#22 (),Mole_fraction_C2H4_Soln#22 (),Mole_fraction_C2H3_Soln#22 (),Mole_fraction_C2H2_Soln#22 (),Mole_fraction_C3H8_Soln#22 (),Mole_fraction_IC3H7_Soln#22 (),Mole_fraction_NC3H7_Soln#22 (),Mole_fraction_C3H6_Soln#22 (),Mole_fraction_C3H5-A_Soln#22 (),Mole_fraction_C3H4-P_Soln#22 (),Mole_fraction_C3H4-A_Soln#22 (),Mole_fraction_C3H3_Soln#22 (),Mole_fraction_NC4H10_Soln#22 (),Mole_fraction_PC4H9_Soln#22 (),Mole_fraction_C4H8-1_Soln#22 (),Mole_fraction_C4H8-2_Soln#22 (),Mole_fraction_C4H71-3_Soln#22 (),Mole_fraction_C4H6_Soln#22 (),Mole_fraction_C4H5_Soln#22 (),Mole_fraction_C4H4_Soln#22 (),Mole_fraction_C4H2_Soln#22 (),Mole_fraction_C6H6_Soln#22 (),Mole_fraction_FULVENE_Soln#22 (),Mole_fraction_C5H6_Soln#22 (),Mole_fraction_C10H8_Soln#22 (),Mole_fraction_NC5H12_Soln#22 (),Mole_fraction_NC5H11_Soln#22 (),Mole_fraction_NC5H10_Soln#22 (),Mole_fraction_LC5H8_Soln#22 (),Mole_fraction_NC6H12_Soln#22 (),Mole_fraction_NC7H15_Soln#22 (),Mole_fraction_NC7H14_Soln#22 (),Mole_fraction_C7H8_Soln#22 (),Mole_fraction_C7H7_Soln#22 (),Mole_fraction_C6H5C2H_Soln#22 (),Mole_fraction_C12H8_Soln#22 (),Mole_fraction_C14H10_Soln#22 (),Mole_fraction_C16H10_Soln#22 (),Mole_fraction_BIN1B_Soln#22 (),Mole_fraction_BIN1A_Soln#22 (),Mole_fraction_NC10H21_Soln#22 (),Mole_fraction_NC12H25_Soln#22 (),Mole_fraction_NC12H26_Soln#22 (),Mole_fraction_NC16H34_Soln#22 (),Mole_fraction_NC10H20_Soln#22 (),Molecular_weight_Soln#22 (g/mole),Mass_density_Soln#22 (g/cm3),Unburned_hydrocarbons_Soln#22 (ppm),Volatile_organic_compounds_Soln#22 (ppm)
0.0,15.7,-4.282051E14,2050.0,2050.0,8.80528E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.608459E-5,535064.1,535064.1
2.486059E-13,15.69989,-4.290698E14,2049.973,2049.973,8.80528E-4,1.0,0.9514544,2.784305E-9,6.43259E-16,2.039988E-9,2.82614E-13,9.040311E-7,5.690515E-9,6.136238E-12,1.616468E-15,1.599896E-13,7.184892E-12,9.036233E-7,7.556343E-9,7.024606E-7,4.682243E-15,1.237054E-13,4.598204E-17,1.02132E-13,9.04487E-7,3.448377E-9,4.359481E-14,7.022257E-7,1.849818E-10,1.923956E-19,5.090292E-18,9.802882E-19,2.733959E-17,1.505505E-26,2.573017E-23,3.316009E-28,1.232262E-17,1.418436E-6,3.476206E-9,1.182029E-17,6.558201E-10,3.328402E-6,2.607492E-9,0.004080985,1.100516E-10,3.372696E-33,1.595996E-46,2.980371E-21,2.788415E-46,5.548924E-40,2.371043E-39,7.767191E-7,1.599678E-6,0.01103103,0.006637813,0.02678422,9.434371,5.6085E-5,535061.0,535061.0
1.393298E-11,15.69404,-4.692231E14,2048.421,2048.421,8.80528E-4,1.0,0.9510883,7.744187E-6,9.521972E-11,5.865592E-6,1.012619E-9,6.136157E-5,1.622142E-5,2.115345E-8,7.682476E-12,5.656656E-10,2.529558E-8,6.004928E-5,2.171038E-5,3.905502E-5,2.32757E-11,3.937666E-10,6.798284E-12,3.706738E-10,6.239006E-5,9.86319E-6,1.531502E-10,3.833528E-5,5.686285E-7,3.231044E-14,5.307399E-13,3.041464E-15,3.072987E-12,9.036015E-20,1.873223E-16,2.176125E-21,2.74575E-12,7.272964E-5,9.951127E-6,1.509835E-11,1.854181E-6,1.602909E-4,7.410058E-6,0.004079408,6.17091E-9,3.855701E-26,9.656347E-35,9.454042E-18,3.192202E-36,4.303367E-33,2.72624E-32,3.977554E-5,7.608571E-5,0.01090475,0.006521779,0.02670224,9.430741,5.61059E-5,534855.1,534855.1
1.102933E-10,15.66724,-5.242451E14,2035.837,2035.837,8.80528E-4,1.0,0.9468623,2.904909E-4,3.048379E-8,2.117048E-4,9.54467E-8,7.868684E-4,5.593907E-4,1.730269E-6,1.456764E-9,5.381084E-8,2.200515E-6,7.173775E-4,7.727069E-4,2.938441E-4,3.487461E-9,2.536169E-8,2.681418E-9,3.505523E-8,7.810342E-4,3.449602E-4,1.358071E-8,2.559715E-4,3.048384E-5,5.507373E-11,2.090255E-10,1.729154E-13,1.023209E-9,2.484577E-16,4.62021E-13,7.027428E-18,3.57596E-9,2.928908E-4,3.460403E-4,2.525034E-8,6.18303E-5,5.187145E-4,2.505089E-4,0.004061224,5.44817E-8,4.404996E-22,1.276606E-28,9.732417E-16,9.727803E-31,2.905788E-29,6.276086E-28,1.535986E-4,2.289586E-4,0.01008967,0.00579609,0.02624752,9.388835,5.620184E-5,532478.5,532478.5
3.123813E-10,15.63087,-4.01017E14,2012.243,2012.243,8.80528E-4,1.0,0.9380688,0.001073965,3.462672E-7,7.418112E-4,8.56641E-7,0.002352394,0.001887958,1.343774E-5,2.293472E-8,5.622719E-7,1.80476E-5,0.002041812,0.00263653,7.616089E-4,3.206407E-8,1.899931E-7,3.933857E-8,3.141347E-7,0.002226372,0.001166962,1.233204E-7,5.411021E-4,1.813121E-4,3.131095E-9,3.0667E-9,1.14698E-12,1.240117E-8,9.962187E-15,1.893158E-11,3.100955E-16,1.033241E-7,2.717316E-4,0.001135067,4.853862E-7,2.034529E-4,4.511992E-4,8.169492E-4,0.004023278,2.109071E-7,6.055031E-20,1.377094E-25,1.91799E-14,8.341608E-28,6.39453E-27,2.199498E-25,1.311201E-4,1.837277E-4,0.008796667,0.004710374,0.02551645,9.30162,5.633264E-5,527532.1,527532.1
8.142567E-10,15.56096,-2.346518E14,1973.778,1973.778,8.80528E-4,1.0,0.9242861,0.002558103,2.201294E-6,0.001634042,4.90401E-6,0.004808457,0.004022834,6.076719E-5,2.51176E-7,4.349562E-6,9.087955E-5,0.003950444,0.005485803,0.001672625,1.62216E-7,1.04566E-6,3.14518E-7,1.882282E-6,0.004328097,0.002422984,7.855304E-7,8.304904E-4,7.048475E-4,7.941007E-8,2.42689E-8,5.73861E-12,8.726418E-8,2.738431E-13,5.317258E-10,7.122896E-15,1.310621E-6,1.686925E-4,0.002195829,3.984088E-6,4.16705E-4,2.840143E-4,0.001622358,0.003963076,8.689745E-7,5.570503E-18,8.472385E-23,3.061755E-13,3.774431E-25,1.209485E-24,4.291084E-23,7.110186E-5,1.029103E-4,0.006886598,0.003249779,0.02411702,9.164808,5.658573E-5,519773.0,519773.0
2.268339E-9,15.43362,-1.049261E14,1917.528,1917.528,8.80528E-4,1.0,0.9054378,0.005091269,1.192328E-5,0.0031009,2.389712E-5,0.008087172,0.007309697,1.994765E-4,2.499629E-6,3.245838E-5,3.539138E-4,0.005974917,0.009058051,0.003358992,6.437313E-7,5.469286E-6,1.766701E-6,1.038985E-5,0.006606951,0.003988344,4.72427E-6,9.223646E-4,0.002071583,1.402247E-6,1.341917E-7,3.342738E-11,5.349328E-7,8.51698E-12,1.344226E-8,1.397912E-13,1.16025E-5,8.260685E-5,0.003169441,2.447794E-5,6.749405E-4,1.407343E-4,0.002496429,0.003876796,4.013261E-6,6.357434E-16,6.411044E-20,4.781941E-12,2.067976E-22,2.678389E-22,8.019523E-21,2.693229E-5,4.100521E-5,0.004521355,0.001713243,0.02151477,8.977083,5.705258E-5,509126.4,509126.4
4.979443E-9,15.31015,-5.068933E13,1868.494,1868.494,8.80528E-4,1.0,0.8896253,0.007392632,3.986986E-5,0.005022221,6.941445E-5,0.01059604,0.01112066,4.161472E-4,1.250883E-5,1.29072E-4,7.842905E-4,0.00677348,0.01173106,0.005075073,1.645945E-6,1.746249E-5,4.825355E-6,3.463161E-5,0.007494071,0.005099512,1.634773E-5,8.134395E-4,0.003718855,8.609341E-6,3.788697E-7,1.70992E-10,1.840598E-6,9.450502E-11,1.17628E-7,1.239694E-12,4.592747E-5,4.501255E-5,0.003539634,7.859438E-5,8.459092E-4,7.480849E-5,0.0029943,0.003794859,1.212564E-5,2.362008E-14,7.889587E-18,3.393899E-11,2.502003E-20,1.370622E-20,3.482981E-19,1.118167E-5,1.715788E-5,0.002909801,8.752969E-4,0.01869639,8.818067,5.751268E-5,500108.0,500108.0
6.363415E-9,15.27145,-3.976356E13,1852.817,1852.817,8.80528E-4,1.0,0.8845265,0.008049528,5.815956E-5,0.005935127,9.481489E-5,0.01128083,0.01273719,5.198674E-4,2.037178E-5,1.914343E-4,9.608109E-4,0.006789931,0.01253916,0.00562932,2.206155E-6,2.457548E-5,6.301787E-6,4.940422E-5,0.007481775,0.005404316,2.33883E-5,7.661271E-4,0.004309985,1.421487E-5,5.156824E-7,3.002712E-10,2.632643E-6,1.902309E-10,2.190711E-7,2.466923E-12,6.739826E-5,3.729894E-5,0.003586625,1.087831E-4,8.895226E-4,6.079896E-5,0.003107945,0.003764936,1.677583E-5,7.32722E-14,3.34672E-17,6.111274E-11,1.10739E-19,4.535771E-20,1.091759E-18,8.496892E-6,1.279805E-5,0.002481679,6.868733E-4,0.01768169,8.766242,5.765844E-5,497168.7,497168.7
7.600941E-9,15.24456,-3.317123E13,1841.464,1841.464,8.80528E-4,1.0,0.8807767,0.00847009,7.669833E-5,0.006743882,1.181933E-4,0.0117171,0.01408602,6.115812E-4,2.894503E-5,2.515404E-4,0.001097143,0.006718934,0.01312287,0.006017276,2.738026E-6,3.126249E-5,7.559265E-6,6.342639E-5,0.007364853,0.005608944,3.001495E-5,7.315041E-4,0.004754154,2.006588E-5,6.48761E-7,4.55456E-10,3.382651E-6,3.11116E-10,3.382642E-7,4.078823E-12,8.783099E-5,3.260871E-5,0.003605019,1.360354E-4,9.176459E-4,5.219669E-5,0.003177571,0.003741451,2.106551E-5,1.664917E-13,9.350056E-17,9.299106E-11,3.236208E-19,1.071802E-19,2.475649E-18,7.001867E-6,1.029512E-5,0.002196375,5.703396E-4,0.01690946,8.7279,5.776016E-5,494994.2,494994.2
