Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_H_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H5_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C3H8_Soln#1 (),Mole_fraction_IC3H7_Soln#1 (),Mole_fraction_NC3H7_Soln#1 (),Mole_fraction_C3H6_Soln#1 (),Mole_fraction_C3H5-A_Soln#1 (),Mole_fraction_C3H4-P_Soln#1 (),Mole_fraction_C3H4-A_Soln#1 (),Mole_fraction_NC4H10_Soln#1 (),Mole_fraction_PC4H9_Soln#1 (),Mole_fraction_IC4H10_Soln#1 (),Mole_fraction_IC4H8_Soln#1 (),Mole_fraction_IC4H7_Soln#1 (),Mole_fraction_C4H8-1_Soln#1 (),Mole_fraction_C4H8-2_Soln#1 (),Mole_fraction_C4H71-3_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C4H4_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C5H6_Soln#1 (),Mole_fraction_MCPTD_Soln#1 (),Mole_fraction_NC5H12_Soln#1 (),Mole_fraction_NC5H10_Soln#1 (),Mole_fraction_B1M2_Soln#1 (),Mole_fraction_B1M3_Soln#1 (),Mole_fraction_B2M2_Soln#1 (),Mole_fraction_LC5H8_Soln#1 (),Mole_fraction_DIALLYL_Soln#1 (),Mole_fraction_CYC6H8_Soln#1 (),Mole_fraction_CYC6H10_Soln#1 (),Mole_fraction_NC6H12_Soln#1 (),Mole_fraction_NC7H14_Soln#1 (),Mole_fraction_DIMEPTD_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_XYLENE_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Mole_fraction_NC12H26_Soln#1 (),Mole_fraction_NC16H34_Soln#1 (),Mole_fraction_NC10H20_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-2316760.0,1000.0,1000.0,0.001805082,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,1.149734E-4,535064.1,535064.1
3.346865E-7,15.69995,-3406442.0,999.9999,999.9999,0.001805082,1.0,0.9514599,2.89941E-10,4.042091E-11,2.463112E-9,6.326069E-11,6.833353E-9,6.111973E-9,4.970805E-16,1.856098E-11,1.907881E-12,3.965273E-9,7.512672E-9,8.260148E-9,7.054635E-16,2.165302E-14,7.169419E-12,3.84292E-9,1.378318E-19,2.867303E-21,3.915693E-20,3.426158E-9,1.383034E-12,8.257533E-9,2.223289E-11,5.203345E-23,1.998318E-12,2.639389E-20,2.760741E-21,6.690045E-16,2.084465E-9,1.337275E-20,1.121855E-16,4.48973E-21,1.874408E-11,4.704709E-15,1.533254E-21,7.236273E-21,7.365638E-10,8.256428E-10,3.048291E-21,0.004081009,3.70556E-12,9.869117E-23,1.914739E-14,1.226889E-15,7.620054E-20,2.734171E-15,0.01103334,0.006639945,0.02678576,9.434425,1.149734E-4,535064.1,535064.1
1.68238E-6,15.69995,-3939371.0,999.9991,999.9991,0.001805082,1.0,0.9514596,1.468038E-9,2.577053E-9,2.809077E-8,3.261333E-9,6.136116E-8,7.644579E-8,3.393492E-14,4.937601E-10,4.90607E-11,1.562891E-8,5.803885E-8,4.218945E-8,1.801367E-14,5.60986E-13,1.287741E-10,8.889634E-9,2.43997E-16,1.656696E-18,1.156988E-16,2.542542E-8,3.483827E-11,4.212633E-8,1.073389E-9,5.837997E-20,5.57101E-11,1.436485E-17,5.917926E-19,1.517677E-13,1.538899E-8,5.565959E-18,3.531813E-14,2.232989E-18,9.84236E-10,6.113036E-13,3.317452E-19,1.572292E-18,5.032139E-9,7.594518E-9,6.395611E-19,0.004081007,1.012766E-10,2.797983E-20,9.871709E-13,7.859256E-14,1.091938E-17,7.291698E-14,0.01103333,0.006639933,0.02678568,9.434423,1.149735E-4,535063.9,535063.9
7.58934E-6,15.69991,-4989655.0,999.9952,999.9952,0.001805082,1.0,0.9514581,6.757303E-9,8.086776E-8,1.70278E-7,8.064514E-8,2.993966E-7,6.329114E-7,1.972057E-12,4.924956E-9,4.106786E-10,2.777663E-8,3.857304E-7,2.050731E-7,3.86969E-13,1.293837E-11,9.957533E-10,1.208206E-8,6.957587E-14,4.955544E-16,6.947418E-14,1.537884E-7,7.303535E-10,2.040478E-7,2.62781E-8,9.637546E-17,1.180671E-9,5.635486E-15,7.912907E-17,7.055871E-12,1.00701E-7,8.430872E-16,5.081071E-12,3.980186E-16,2.436426E-8,6.283395E-11,4.927646E-17,2.162005E-16,2.609258E-8,7.906738E-8,8.131238E-17,0.004080998,2.166925E-9,3.586823E-18,2.445338E-11,2.51821E-12,1.096976E-15,8.661286E-13,0.01103324,0.006639856,0.02678523,9.434408,1.149737E-4,535063.1,535063.1
5.808171E-5,15.69951,-9848575.0,999.9369,999.9369,0.001805082,1.0,0.9514262,3.337991E-8,4.06705E-6,8.891375E-7,3.640138E-6,1.456167E-6,1.45089E-5,3.083477E-10,1.150844E-7,3.284328E-9,7.507897E-8,8.252064E-6,2.057724E-6,3.122722E-11,1.375492E-9,3.821373E-8,2.756374E-8,3.004428E-11,2.240962E-12,1.450438E-10,2.787094E-6,5.654361E-8,2.138195E-6,1.289113E-6,6.749309E-13,5.291858E-8,1.201423E-11,1.133005E-13,7.917535E-10,2.16187E-6,7.105689E-13,2.392724E-9,3.132572E-13,1.141317E-6,4.673995E-8,5.085571E-13,3.394782E-13,3.102859E-7,2.683417E-6,1.065613E-13,0.004080717,9.510375E-8,5.742466E-15,1.204949E-9,1.812035E-10,1.42997E-12,3.168106E-10,0.01103085,0.006637939,0.02677632,9.434097,1.149766E-4,535045.5,535045.5
1.0E-4,15.69914,-1.11764E7,999.8717,999.8717,0.001805082,1.0,0.9513861,4.187378E-8,9.717882E-6,1.106528E-6,8.604391E-6,1.795564E-6,3.25948E-5,1.147701E-9,2.697305E-7,4.559052E-9,9.025757E-8,1.853757E-5,3.445176E-6,1.028747E-10,4.739822E-9,1.04471E-7,3.252956E-8,1.053868E-10,2.080527E-11,8.11287E-10,6.143756E-6,1.861893E-7,3.949708E-6,3.219279E-6,4.590552E-12,1.262795E-7,7.490684E-11,7.80916E-13,2.316063E-9,4.929495E-6,3.712494E-12,1.036737E-8,1.60985E-12,2.735485E-6,2.497241E-7,7.721837E-12,2.498104E-12,6.217241E-7,6.291833E-6,7.667614E-13,0.00408035,2.210657E-7,6.129887E-14,3.182658E-9,6.474995E-10,1.219581E-11,1.702695E-9,0.01102772,0.006635438,0.02676522,9.433708,1.149794E-4,535023.4,535023.4
1.884462E-4,15.69833,-1.216326E7,999.7196,999.7196,0.001805082,1.0,0.9512882,4.9093E-8,2.387033E-5,1.272767E-6,2.092792E-5,2.045314E-6,7.754471E-5,4.942104E-9,6.699246E-7,6.04672E-9,1.030909E-7,4.431663E-5,4.962593E-6,3.76197E-10,1.674161E-8,2.901539E-7,3.673364E-8,3.598486E-10,2.409563E-10,4.766602E-9,1.457426E-5,7.107482E-7,7.298514E-6,8.630617E-6,3.364436E-11,3.127509E-7,5.419942E-10,5.935958E-12,6.72207E-9,1.205216E-5,2.158128E-11,4.756709E-8,9.243795E-12,6.798265E-6,1.259553E-6,1.217427E-10,2.210393E-11,1.357227E-6,1.541801E-5,6.829921E-12,0.00407947,5.141795E-7,8.137514E-13,9.702491E-9,3.250254E-9,1.289928E-10,9.681889E-9,0.01101991,0.006629207,0.02673796,9.432756,1.149853E-4,534969.4,534969.4
1.888447E-4,15.69833,-1.216976E7,999.7189,999.7189,0.001805082,1.0,0.9512878,4.911862E-8,2.393772E-5,1.273246E-6,2.098637E-5,2.046018E-6,7.775909E-5,4.965166E-9,6.718589E-7,6.052376E-9,1.031306E-7,4.443999E-5,4.966287E-6,3.777455E-10,1.680519E-8,2.910715E-7,3.674725E-8,3.612156E-10,2.428609E-10,4.793039E-9,1.461472E-5,7.138346E-7,7.31163E-6,8.658006E-6,3.385654E-11,3.13647E-7,5.454348E-10,5.973167E-12,6.744111E-9,1.208658E-5,2.170272E-11,4.779291E-8,9.295451E-12,6.817794E-6,1.265376E-6,1.227535E-10,2.225733E-11,1.360676E-6,1.546178E-5,6.877826E-12,0.004079466,5.155012E-7,8.204638E-13,9.738682E-9,3.267957E-9,1.299625E-10,9.734483E-9,0.01101987,0.006629178,0.02673783,9.432751,1.149853E-4,534969.1,534969.1
1.893292E-4,15.69832,-1.217033E7,999.718,999.718,0.001805082,1.0,0.9512872,4.913927E-8,2.40197E-5,1.273826E-6,2.105747E-5,2.046872E-6,7.801984E-5,4.993276E-9,6.742122E-7,6.059249E-9,1.031764E-7,4.459002E-5,4.970751E-6,3.796318E-10,1.688257E-8,2.921881E-7,3.676158E-8,3.628802E-10,2.451911E-10,4.825292E-9,1.466391E-5,7.175755E-7,7.327551E-6,8.691336E-6,3.411563E-11,3.147372E-7,5.496362E-10,6.01859E-12,6.770932E-9,1.212846E-5,2.185092E-11,4.806816E-8,9.358487E-12,6.841549E-6,1.272466E-6,1.239899E-10,2.244478E-11,1.364872E-6,1.551502E-5,6.936371E-12,0.004079461,5.171075E-7,8.28677E-13,9.782769E-9,3.289561E-9,1.311482E-10,9.798639E-9,0.01101983,0.006629142,0.02673767,9.432746,1.149853E-4,534968.8,534968.8
1.916765E-4,15.6983,-1.21891E7,999.7138,999.7138,0.001805082,1.0,0.9512845,4.927049E-8,2.441739E-5,1.276611E-6,2.140236E-5,2.050971E-6,7.928477E-5,5.130539E-9,6.856326E-7,6.092485E-9,1.034022E-7,4.531792E-5,4.991987E-6,3.888256E-10,1.725873E-8,2.976099E-7,3.683676E-8,3.709835E-10,2.567071E-10,4.983267E-9,1.49026E-5,7.358067E-7,7.40431E-6,8.853311E-6,3.538842E-11,3.20027E-7,5.702817E-10,6.241505E-12,6.901206E-9,1.233167E-5,2.257738E-11,4.941206E-8,9.667426E-12,6.956819E-6,1.306981E-6,1.300972E-10,2.336756E-11,1.385218E-6,1.577337E-5,7.224689E-12,0.004079437,5.248865E-7,8.693076E-13,9.99765E-9,3.39544E-9,1.369974E-10,1.011271E-8,0.01101961,0.006628966,0.02673691,9.432719,1.149855E-4,534967.3,534967.3
