Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_H_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_CH3_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H5_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C3H8_Soln#3 (),Mole_fraction_IC3H7_Soln#3 (),Mole_fraction_NC3H7_Soln#3 (),Mole_fraction_C3H6_Soln#3 (),Mole_fraction_C3H5-A_Soln#3 (),Mole_fraction_C3H4-P_Soln#3 (),Mole_fraction_C3H4-A_Soln#3 (),Mole_fraction_NC4H10_Soln#3 (),Mole_fraction_IC4H10_Soln#3 (),Mole_fraction_IC4H8_Soln#3 (),Mole_fraction_IC4H7_Soln#3 (),Mole_fraction_C4H8-1_Soln#3 (),Mole_fraction_C4H8-2_Soln#3 (),Mole_fraction_C4H71-3_Soln#3 (),Mole_fraction_C4H6_Soln#3 (),Mole_fraction_C4H4_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C5H6_Soln#3 (),Mole_fraction_MCPTD_Soln#3 (),Mole_fraction_NC5H12_Soln#3 (),Mole_fraction_NC5H10_Soln#3 (),Mole_fraction_B1M2_Soln#3 (),Mole_fraction_B1M3_Soln#3 (),Mole_fraction_B2M2_Soln#3 (),Mole_fraction_CYC5H8_Soln#3 (),Mole_fraction_LC5H8_Soln#3 (),Mole_fraction_DIALLYL_Soln#3 (),Mole_fraction_CYC6H8_Soln#3 (),Mole_fraction_CYC6H10_Soln#3 (),Mole_fraction_NC6H12_Soln#3 (),Mole_fraction_NC7H14_Soln#3 (),Mole_fraction_DIMEPTD_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_XYLENE_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_NPBENZ_Soln#3 (),Mole_fraction_NC12H26_Soln#3 (),Mole_fraction_NC16H34_Soln#3 (),Mole_fraction_NC10H20_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.7,-6.367029E7,1100.0,1100.0,0.001640984,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,1.045213E-4,535064.1,535064.1
3.209062E-8,15.69994,-8.251517E7,1100.0,1100.0,0.001640984,1.0,0.9514598,1.025431E-9,8.389969E-12,3.447635E-9,1.871454E-11,1.159223E-8,8.128667E-9,1.050983E-15,7.186219E-12,2.421355E-12,9.37249E-9,1.23721E-8,2.130868E-8,2.209396E-15,5.894775E-14,3.379645E-12,1.683597E-20,1.062062E-21,1.339733E-21,5.711096E-9,8.885381E-13,2.129891E-8,1.235556E-11,1.400979E-22,6.362781E-13,1.309261E-20,1.906043E-21,2.199673E-16,3.747309E-9,5.6804E-21,3.403596E-17,1.179647E-21,4.721509E-22,3.227365E-12,1.749779E-15,9.46319E-22,4.697129E-21,1.250799E-9,1.740527E-9,1.887383E-21,0.004081008,2.895513E-12,6.328176E-23,5.907486E-15,2.886991E-16,1.829495E-20,1.216672E-15,0.01103334,0.006639938,0.02678573,9.434425,1.045213E-4,535064.1,535064.1
1.923513E-7,15.69992,-9.997137E7,1099.997,1099.997,0.001640984,1.0,0.9514591,1.082601E-8,1.042318E-9,6.367447E-8,1.669611E-9,1.654349E-7,1.620238E-7,8.210896E-14,4.420114E-10,1.471327E-10,8.351159E-8,1.715208E-7,1.282985E-7,7.962956E-14,2.130157E-12,1.794037E-10,1.267755E-16,2.015144E-18,3.406582E-17,7.682704E-8,3.302649E-11,1.279513E-7,1.119849E-9,7.540639E-20,5.101354E-11,1.458187E-17,1.077343E-18,1.975828E-13,4.849493E-8,7.889065E-18,2.467294E-14,2.131187E-18,2.684999E-19,7.911375E-10,3.787308E-13,5.318129E-19,2.681632E-18,1.541936E-8,2.408834E-8,1.048556E-18,0.004081005,1.13305E-10,3.440757E-20,5.270289E-13,3.617847E-14,3.635403E-18,7.483701E-14,0.01103328,0.006639889,0.0267855,9.434417,1.045214E-4,535063.6,535063.6
7.66193E-7,15.69983,-1.134075E8,1099.988,1099.988,0.001640984,1.0,0.9514558,4.425227E-8,3.137665E-8,4.544332E-7,4.04295E-8,9.118113E-7,1.230572E-6,3.831017E-12,5.828014E-9,1.835685E-9,2.13914E-7,8.57854E-7,5.220541E-7,1.282584E-12,3.49009E-11,1.750531E-9,5.179952E-14,3.427034E-16,1.958302E-14,3.714222E-7,5.114029E-10,5.167385E-7,2.309827E-8,3.845343E-17,8.763972E-10,3.486906E-15,8.959579E-17,1.355286E-11,2.367304E-7,9.608797E-16,2.936817E-12,3.164594E-16,2.363346E-17,1.781813E-8,2.468724E-11,4.54212E-17,2.245267E-16,7.027315E-8,1.384741E-7,8.525425E-17,0.004080988,1.848443E-9,3.580919E-18,1.276679E-11,1.114706E-12,2.42779E-16,1.010604E-12,0.01103305,0.006639692,0.0267846,9.434384,1.04522E-4,535061.7,535061.7
2.744957E-6,15.69953,-1.40564E8,1099.948,1099.948,0.001640984,1.0,0.9514404,1.591784E-7,5.883882E-7,2.1782E-6,5.789238E-7,3.307126E-6,7.303443E-6,1.463507E-10,4.082312E-8,1.007647E-8,3.30148E-7,4.141667E-6,2.004868E-6,1.741436E-11,5.025646E-10,1.194358E-8,5.812083E-12,4.003733E-14,3.902864E-12,1.661382E-6,6.69018E-9,1.94371E-6,3.242765E-7,2.017769E-14,1.1566E-8,5.696783E-13,5.490955E-15,3.197966E-10,1.120892E-6,6.167935E-14,2.000365E-10,2.525935E-14,1.68389E-15,2.538867E-7,1.260956E-9,3.693141E-15,1.394586E-14,2.777949E-7,9.018959E-7,4.945944E-15,0.004080886,2.422899E-8,2.290142E-16,1.843517E-10,2.240136E-11,1.34079E-14,1.239074E-11,0.01103195,0.006638764,0.02678057,9.434227,1.04524E-4,535052.9,535052.9
6.467216E-6,15.69891,-1.802567E8,1099.854,1099.854,0.001640984,1.0,0.951398,3.436059E-7,3.644927E-6,5.386802E-6,3.022122E-6,6.842027E-6,2.604334E-5,1.491881E-9,1.626673E-7,2.505747E-8,4.755037E-7,1.383673E-5,5.180875E-6,1.073628E-10,3.336287E-9,6.2397E-8,9.26655E-11,1.152448E-12,1.093453E-10,5.160326E-6,4.032747E-8,4.912467E-6,1.793057E-6,1.181771E-12,6.145432E-8,1.619664E-11,1.027896E-13,2.326096E-9,3.714854E-6,1.002244E-12,3.035723E-9,4.587764E-13,3.585503E-14,1.379736E-6,1.923047E-8,1.997456E-13,2.67182E-13,7.383996E-7,3.751999E-6,8.684774E-14,0.004080543,1.281957E-7,5.924413E-15,1.009956E-9,1.591751E-10,3.016001E-13,1.847435E-10,0.01102869,0.006636084,0.02676945,9.433792,1.045282E-4,535028.2,535028.2
6.54382E-6,15.69889,-1.809534E8,1099.851,1099.851,0.001640984,1.0,0.951397,3.469946E-7,3.734484E-6,5.449332E-6,3.089111E-6,6.904145E-6,2.651717E-5,1.538678E-9,1.660575E-7,2.534844E-8,4.781757E-7,1.407973E-5,5.249677E-6,1.101492E-10,3.426599E-9,6.396762E-8,9.60868E-11,1.208422E-12,1.143054E-10,5.245869E-6,4.135554E-8,4.976406E-6,1.834899E-6,1.247482E-12,6.284591E-8,1.694444E-11,1.07131E-13,2.389868E-9,3.780087E-6,1.041441E-12,3.14946E-9,4.774387E-13,3.742894E-14,1.411312E-6,1.997267E-8,2.124826E-13,2.786029E-13,7.487406E-7,3.828054E-6,9.043112E-14,0.004080534,1.310846E-7,6.234499E-15,1.033802E-9,1.635606E-10,3.159909E-13,1.924731E-10,0.01102861,0.006636018,0.02676918,9.433781,1.045283E-4,535027.5,535027.5
6.656146E-6,15.69887,-1.819672E8,1099.848,1099.848,0.001640984,1.0,0.9513955,3.519364E-7,3.867669E-6,5.54069E-6,3.188434E-6,6.994555E-6,2.721787E-5,1.608847E-9,1.710972E-7,2.577369E-8,4.820736E-7,1.4439E-5,5.350727E-6,1.143087E-10,3.561578E-9,6.631236E-8,1.012472E-10,1.294238E-12,1.218653E-10,5.372236E-6,4.288863E-8,5.07032E-6,1.897065E-6,1.348822E-12,6.491102E-8,1.808579E-11,1.137372E-13,2.4851E-9,3.876559E-6,1.100814E-12,3.321306E-9,5.057606E-13,3.982806E-14,1.458183E-6,2.109654E-8,2.323881E-13,2.959958E-13,7.639621E-7,3.940751E-6,9.587805E-14,0.00408052,1.353705E-7,6.713716E-15,1.069284E-9,1.701176E-10,3.380723E-13,2.042332E-10,0.01102849,0.006635919,0.02676878,9.433765,1.045284E-4,535026.7,535026.7
6.943376E-6,15.69882,-1.845167E8,1099.84,1099.84,0.001640984,1.0,0.9513915,3.644186E-7,4.21826E-6,5.77248E-6,3.448273E-6,7.222142E-6,2.904129E-5,1.796748E-9,1.843563E-7,2.685345E-8,4.919274E-7,1.537349E-5,5.609952E-6,1.253484E-10,3.920666E-9,7.253483E-8,1.152337E-10,1.534974E-12,1.428062E-10,5.700381E-6,4.694994E-8,5.311303E-6,2.060384E-6,1.636498E-12,7.032353E-8,2.125675E-11,1.319819E-13,2.737974E-9,4.12766E-6,1.263206E-12,3.788805E-9,5.835286E-13,4.647717E-14,1.581085E-6,2.416847E-8,2.905198E-13,3.441113E-13,8.031965E-7,4.235233E-6,1.108878E-13,0.004080486,1.465974E-7,8.081468E-15,1.162823E-9,1.875766E-10,4.001418E-13,2.366945E-10,0.01102817,0.006635663,0.02676774,9.433724,1.045287E-4,535024.3,535024.3
7.044771E-6,15.69881,-1.854005E8,1099.837,1099.837,0.001640984,1.0,0.9513901,3.687708E-7,4.345466E-6,5.853663E-6,3.542E-6,7.301255E-6,2.96958E-5,1.866042E-9,1.891662E-7,2.723196E-8,4.953661E-7,1.570879E-5,5.701726E-6,1.293863E-10,4.052293E-9,7.481024E-8,1.204496E-10,1.627725E-12,1.507767E-10,5.81794E-6,4.843324E-8,5.39665E-6,2.119535E-6,1.748507E-12,7.227933E-8,2.246712E-11,1.389092E-13,2.830488E-9,4.217815E-6,1.3243E-12,3.963781E-9,6.128935E-13,4.900999E-14,1.625514E-6,2.532349E-8,3.137671E-13,3.624098E-13,8.171532E-7,4.341345E-6,1.165752E-13,0.004080474,1.506519E-7,8.617225E-15,1.196821E-9,1.939821E-10,4.241065E-13,2.49011E-10,0.01102806,0.006635571,0.02676737,9.43371,1.045288E-4,535023.5,535023.5
