Time_Soln#11 (sec),Volume_Soln#11 (cm3),Volumetric_heat_production_rate_Soln#11 (erg/cm3-sec),Surface_temperature_Soln#11 (K),Temperature_Soln#11 (K),Mass_Soln#11 (g),Pressure_Soln#11 (atm),Mole_fraction_H2_Soln#11 (),Mole_fraction_H_Soln#11 (),Mole_fraction_CH4_Soln#11 (),Mole_fraction_CH3_Soln#11 (),Mole_fraction_C2H6_Soln#11 (),Mole_fraction_C2H5_Soln#11 (),Mole_fraction_C2H4_Soln#11 (),Mole_fraction_C2H3_Soln#11 (),Mole_fraction_C2H2_Soln#11 (),Mole_fraction_C3H8_Soln#11 (),Mole_fraction_IC3H7_Soln#11 (),Mole_fraction_NC3H7_Soln#11 (),Mole_fraction_C3H6_Soln#11 (),Mole_fraction_C3H5-A_Soln#11 (),Mole_fraction_C3H4-P_Soln#11 (),Mole_fraction_C3H4-A_Soln#11 (),Mole_fraction_NC4H10_Soln#11 (),Mole_fraction_PC4H9_Soln#11 (),Mole_fraction_IC4H10_Soln#11 (),Mole_fraction_IC4H8_Soln#11 (),Mole_fraction_IC4H7_Soln#11 (),Mole_fraction_C4H8-1_Soln#11 (),Mole_fraction_C4H8-2_Soln#11 (),Mole_fraction_C4H71-3_Soln#11 (),Mole_fraction_C4H6_Soln#11 (),Mole_fraction_C4H5_Soln#11 (),Mole_fraction_C4H4_Soln#11 (),Mole_fraction_C4H2_Soln#11 (),Mole_fraction_C6H6_Soln#11 (),Mole_fraction_FULVENE_Soln#11 (),Mole_fraction_C5H6_Soln#11 (),Mole_fraction_C5H5_Soln#11 (),Mole_fraction_C10H8_Soln#11 (),Mole_fraction_NC5H12_Soln#11 (),Mole_fraction_NC5H10_Soln#11 (),Mole_fraction_B1M3_Soln#11 (),Mole_fraction_LC5H8_Soln#11 (),Mole_fraction_DIALLYL_Soln#11 (),Mole_fraction_NC6H12_Soln#11 (),Mole_fraction_NC7H14_Soln#11 (),Mole_fraction_C7H8_Soln#11 (),Mole_fraction_C7H7_Soln#11 (),Mole_fraction_LC6H6_Soln#11 (),Mole_fraction_C6H5C2H3_Soln#11 (),Mole_fraction_C6H5C2H5_Soln#11 (),Mole_fraction_INDENE_Soln#11 (),Mole_fraction_NPBENZ_Soln#11 (),Mole_fraction_NC12H26_Soln#11 (),Mole_fraction_NC16H34_Soln#11 (),Mole_fraction_NC10H20_Soln#11 (),Molecular_weight_Soln#11 (g/mole),Mass_density_Soln#11 (g/cm3),Unburned_hydrocarbons_Soln#11 (ppm),Volatile_organic_compounds_Soln#11 (ppm)
0.0,15.7,-5.08121E11,1500.0,1500.0,0.001203388,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,7.664893E-5,535064.1,535064.1
2.964809E-11,15.69998,-5.169968E11,1499.997,1499.997,0.001203388,1.0,0.9514593,1.220563E-9,1.465762E-14,1.599724E-9,6.910572E-13,7.33094E-8,4.176028E-9,1.485578E-12,1.61105E-15,3.359551E-13,2.204881E-12,7.291413E-8,6.064283E-9,1.284502E-7,4.585826E-15,1.029643E-13,1.883529E-13,7.369344E-8,1.541666E-24,1.217254E-24,5.367368E-27,2.797198E-9,8.501805E-14,1.284144E-7,3.054341E-11,9.977734E-22,7.305698E-20,4.635137E-20,1.039362E-15,2.668707E-26,1.35892E-22,3.796741E-29,5.215293E-28,8.722963E-18,2.268147E-9,6.337771E-20,6.049553E-16,8.290525E-18,5.75979E-10,1.550528E-9,0.004081006,6.220369E-11,5.026653E-33,1.895009E-23,2.164593E-16,3.767507E-28,6.778558E-17,0.01103316,0.00663978,0.0267855,9.43442,7.664904E-5,535063.8,535063.8
7.68368E-10,15.69944,-6.632251E11,1499.909,1499.909,0.001203388,1.0,0.9514363,6.088511E-7,2.104186E-10,8.436332E-7,7.623682E-10,3.602023E-6,2.148797E-6,1.041739E-9,1.445423E-12,3.486361E-10,2.281847E-9,3.302864E-6,3.138786E-6,3.326312E-6,3.140028E-12,6.915293E-11,2.099172E-10,3.610014E-6,2.077711E-17,9.015203E-18,7.132535E-19,1.425609E-6,6.307859E-11,3.302445E-6,2.051917E-8,1.69608E-16,2.505142E-16,3.103938E-17,1.204939E-11,9.052604E-21,4.889093E-17,3.437145E-22,1.775462E-22,4.837293E-13,1.145737E-6,2.291644E-14,9.941371E-11,1.427903E-13,2.808918E-7,7.766253E-7,0.004080906,1.655188E-9,7.249448E-25,5.114829E-19,2.387865E-13,2.553975E-22,7.03476E-14,0.01102855,0.006635561,0.02677895,9.434191,7.665167E-5,535050.8,535050.8
3.266803E-9,15.69763,-7.650125E11,1499.546,1499.546,0.001203388,1.0,0.9513153,5.893725E-6,9.929272E-9,8.220441E-6,2.320288E-8,2.549285E-5,2.055254E-5,2.090616E-8,4.986495E-11,9.767085E-9,6.290715E-8,2.098068E-5,2.906219E-5,1.410841E-5,5.836759E-11,1.24952E-9,5.887408E-9,2.244958E-5,2.575116E-14,4.147677E-15,2.83377E-15,1.294698E-5,1.302795E-9,1.368826E-5,3.747948E-7,1.161536E-13,1.702712E-14,5.585374E-16,5.612379E-10,1.930445E-18,1.107916E-14,2.975842E-19,4.558313E-20,1.035853E-10,1.025257E-5,4.379595E-12,1.176187E-8,1.093236E-11,2.401942E-6,6.859257E-6,0.004080378,8.885209E-9,1.578726E-21,6.490096E-17,7.265118E-12,1.690938E-19,1.9618E-12,0.01101247,0.006621046,0.02675785,9.43299,7.666049E-5,534982.7,534982.7
8.724922E-9,15.6937,-7.831849E11,1498.708,1498.708,0.001203388,1.0,0.9510232,2.087391E-5,1.009903E-7,2.882763E-5,2.106693E-7,8.191747E-5,7.441815E-5,1.659929E-7,7.722443E-10,8.310366E-8,5.125469E-7,5.994128E-5,9.322563E-5,3.751726E-5,4.204818E-10,8.898954E-9,4.851695E-8,6.100641E-5,2.129124E-12,1.402212E-13,3.726935E-13,4.122356E-5,1.004568E-8,3.468599E-5,2.652647E-6,7.439228E-12,3.220964E-13,4.116323E-15,5.727923E-9,6.514583E-17,5.080945E-13,2.287342E-17,2.097034E-18,2.821401E-9,3.239625E-5,1.113835E-10,1.598645E-7,2.068697E-10,7.462969E-6,2.167177E-5,0.004079081,3.907031E-8,1.639966E-19,1.602659E-15,6.590681E-11,1.276745E-17,1.660313E-11,0.01097727,0.006589414,0.02671184,9.430087,7.667972E-5,534818.1,534818.1
3.148758E-8,15.67763,-8.182131E11,1495.091,1495.091,0.001203388,1.0,0.9497149,1.057105E-4,1.823897E-6,1.442366E-4,3.29595E-6,3.435506E-4,4.098343E-4,2.19279E-6,3.423601E-8,1.195805E-6,5.949263E-6,1.824997E-4,3.607491E-4,1.330888E-4,5.428321E-9,1.156162E-7,6.499821E-7,1.587381E-4,4.770286E-10,1.037447E-11,1.222944E-10,1.575916E-4,1.525301E-7,1.027491E-4,3.102648E-5,1.477699E-9,2.03424E-11,9.730357E-14,1.050656E-7,9.185457E-15,1.133376E-10,1.107334E-14,3.769567E-16,1.439251E-7,1.230752E-4,6.187818E-9,3.28376E-6,9.482855E-9,2.780684E-5,8.493694E-5,0.004072805,4.463154E-7,5.421975E-17,1.069945E-13,1.02931E-9,3.610064E-15,2.854375E-10,0.01083186,0.006460088,0.02651399,9.416968,7.67583E-5,534074.0,534074.0
1.068082E-7,15.63181,-7.866116E11,1482.954,1482.954,0.001203388,1.0,0.9449954,4.277448E-4,3.068073E-5,7.424554E-4,3.93958E-5,0.001080393,0.002194261,1.934912E-5,1.210895E-6,1.61275E-5,3.7621E-5,3.392016E-4,0.00128113,4.163967E-4,6.839328E-8,1.332578E-6,8.289801E-6,2.141511E-4,6.07427E-8,7.969254E-10,2.149675E-8,5.2868E-4,2.563492E-6,2.13191E-4,2.548274E-4,1.736401E-7,3.599246E-9,6.384038E-12,1.562487E-6,1.572885E-12,2.141526E-8,1.678974E-11,4.732658E-14,3.709456E-6,4.194775E-4,2.3964E-7,4.941852E-5,3.342165E-7,8.732364E-5,3.246533E-4,0.004043702,5.768301E-6,1.922163E-14,1.768603E-11,1.309445E-8,1.914874E-12,1.467559E-8,0.01035876,0.006052707,0.02577992,9.3679,7.698328E-5,531291.2,531291.2
1.166541E-7,15.62683,-7.740516E11,1481.435,1481.435,0.001203388,1.0,0.9443762,4.605718E-4,3.770887E-5,8.363784E-4,4.652201E-5,0.001146876,0.002464471,2.242503E-5,1.560471E-6,1.951082E-5,4.164767E-5,3.456307E-4,0.001405723,4.482895E-4,8.342778E-8,1.586182E-6,9.998887E-6,2.127433E-4,8.432455E-8,1.11315E-9,3.027445E-8,5.755847E-4,3.142256E-6,2.21293E-4,2.922299E-4,2.369384E-7,5.350508E-9,8.663317E-12,1.870561E-6,2.267238E-12,3.049167E-8,2.82321E-11,6.64542E-14,4.540449E-6,4.583567E-4,3.085339E-7,5.908213E-5,4.279024E-7,9.430799E-5,3.589698E-4,0.004039244,6.857214E-6,3.124214E-14,2.722218E-11,1.576835E-8,3.093806E-12,2.018689E-8,0.01029816,0.00600178,0.02567706,9.361284,7.700781E-5,530916.0,530916.0
1.231109E-7,15.6237,-7.652837E11,1480.452,1480.452,0.001203388,1.0,0.9439725,4.804316E-4,4.276877E-5,8.991597E-4,5.142901E-5,0.00118675,0.00264378,2.452133E-5,1.821121E-6,2.191017E-5,4.41953E-5,3.488912E-4,0.001487715,4.684473E-4,9.433355E-8,1.76337E-6,1.120567E-5,2.115202E-4,1.028069E-7,1.366947E-9,3.719319E-8,6.060983E-4,3.554237E-6,2.261565E-4,3.173162E-4,2.854715E-7,6.807074E-9,1.041765E-11,2.084139E-6,2.830396E-12,3.771114E-8,3.860798E-11,8.172243E-14,5.123039E-6,4.838328E-4,3.596588E-7,6.576339E-5,4.969674E-7,9.879462E-5,3.816881E-4,0.004036274,7.606767E-6,4.231542E-14,3.545886E-11,1.768378E-8,4.139652E-12,2.449859E-8,0.01025868,0.005968729,0.02560913,9.356952,7.702327E-5,530670.3,530670.3
1.301616E-7,15.62039,-7.55312E11,1479.392,1479.392,0.001203388,1.0,0.9435341,5.006163E-4,4.870702E-5,9.686125E-4,5.698408E-5,0.001227047,0.002841087,2.687586E-5,2.135399E-6,2.469114E-5,4.688586E-5,3.516953E-4,0.001577425,4.89762E-4,1.072282E-7,1.96636E-6,1.259861E-5,2.099775E-4,1.259409E-7,1.6917E-9,4.587999E-8,6.391841E-4,4.032532E-6,2.311027E-4,3.451377E-4,3.450786E-7,8.717872E-9,1.258143E-11,2.32695E-6,3.555204E-12,4.683926E-8,5.314451E-11,1.011623E-13,5.790752E-6,5.116166E-4,4.210492E-7,7.334131E-5,5.79408E-7,1.036104E-4,4.066473E-4,0.004032996,8.453777E-6,5.820024E-14,4.660349E-11,1.993086E-8,5.582292E-12,2.988498E-8,0.01021583,0.005932967,0.02553462,9.352234,7.703959E-5,530402.7,530402.7
