Time_Soln#12 (sec),Volume_Soln#12 (cm3),Volumetric_heat_production_rate_Soln#12 (erg/cm3-sec),Surface_temperature_Soln#12 (K),Temperature_Soln#12 (K),Mass_Soln#12 (g),Pressure_Soln#12 (atm),Mole_fraction_H2_Soln#12 (),Mole_fraction_H_Soln#12 (),Mole_fraction_CH4_Soln#12 (),Mole_fraction_CH3_Soln#12 (),Mole_fraction_C2H6_Soln#12 (),Mole_fraction_C2H5_Soln#12 (),Mole_fraction_C2H4_Soln#12 (),Mole_fraction_C2H3_Soln#12 (),Mole_fraction_C2H2_Soln#12 (),Mole_fraction_C3H8_Soln#12 (),Mole_fraction_IC3H7_Soln#12 (),Mole_fraction_NC3H7_Soln#12 (),Mole_fraction_C3H6_Soln#12 (),Mole_fraction_C3H5-A_Soln#12 (),Mole_fraction_C3H4-P_Soln#12 (),Mole_fraction_C3H4-A_Soln#12 (),Mole_fraction_NC4H10_Soln#12 (),Mole_fraction_PC4H9_Soln#12 (),Mole_fraction_IC4H10_Soln#12 (),Mole_fraction_IC4H8_Soln#12 (),Mole_fraction_IC4H7_Soln#12 (),Mole_fraction_C4H8-1_Soln#12 (),Mole_fraction_C4H8-2_Soln#12 (),Mole_fraction_C4H71-3_Soln#12 (),Mole_fraction_C4H6_Soln#12 (),Mole_fraction_C4H5_Soln#12 (),Mole_fraction_C4H4_Soln#12 (),Mole_fraction_C4H2_Soln#12 (),Mole_fraction_C6H6_Soln#12 (),Mole_fraction_FULVENE_Soln#12 (),Mole_fraction_C5H6_Soln#12 (),Mole_fraction_C5H5_Soln#12 (),Mole_fraction_C10H8_Soln#12 (),Mole_fraction_NC5H12_Soln#12 (),Mole_fraction_NC5H10_Soln#12 (),Mole_fraction_B1M3_Soln#12 (),Mole_fraction_LC5H8_Soln#12 (),Mole_fraction_DIALLYL_Soln#12 (),Mole_fraction_NC6H12_Soln#12 (),Mole_fraction_NC7H14_Soln#12 (),Mole_fraction_C7H8_Soln#12 (),Mole_fraction_C7H7_Soln#12 (),Mole_fraction_LC6H6_Soln#12 (),Mole_fraction_C6H5C2H_Soln#12 (),Mole_fraction_C6H5C2H3_Soln#12 (),Mole_fraction_C6H5C2H5_Soln#12 (),Mole_fraction_INDENE_Soln#12 (),Mole_fraction_NC12H26_Soln#12 (),Mole_fraction_NC16H34_Soln#12 (),Mole_fraction_NC10H20_Soln#12 (),Molecular_weight_Soln#12 (g/mole),Mass_density_Soln#12 (g/cm3),Unburned_hydrocarbons_Soln#12 (ppm),Volatile_organic_compounds_Soln#12 (ppm)
0.0,15.7,-1.138814E12,1550.0,1550.0,0.001164569,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,7.417639E-5,535064.1,535064.1
2.390732E-11,15.69996,-1.161157E12,1549.994,1549.994,0.001164569,1.0,0.9514588,2.710645E-9,2.856747E-14,3.343829E-9,1.269344E-12,1.43224E-7,8.810101E-9,3.619271E-12,3.563939E-15,6.248823E-13,5.245453E-12,1.424223E-7,1.264388E-8,2.257618E-7,1.014727E-14,2.283993E-13,3.57527E-13,1.440201E-7,4.990176E-24,5.052041E-24,2.029747E-26,5.822597E-9,1.59636E-13,2.25671E-7,7.71361E-11,5.583091E-21,2.997225E-19,1.604487E-19,1.871112E-15,1.125238E-25,4.555291E-22,1.571871E-28,1.575281E-27,2.66335E-17,4.824657E-9,1.822919E-19,1.257232E-15,1.654695E-17,1.186037E-9,3.367588E-9,0.004081004,1.182375E-10,3.143057E-32,3.360293E-31,6.665443E-23,3.927129E-16,1.44235E-27,0.01103299,0.006639622,0.02678529,9.434415,7.417657E-5,535063.5,535063.5
5.458379E-10,15.69914,-1.484787E12,1549.852,1549.852,0.001164569,1.0,0.9514211,1.065794E-6,2.805406E-10,1.371703E-6,1.057986E-9,5.998454E-6,3.524781E-6,1.986248E-9,2.52115E-12,4.92576E-10,4.121473E-9,5.53447E-6,5.106543E-6,5.148295E-6,5.450643E-12,1.190655E-10,3.016183E-10,6.033836E-6,3.48794E-17,1.987968E-17,1.223781E-18,2.316561E-6,9.237395E-11,5.101361E-6,4.009619E-8,4.758651E-16,9.303145E-16,8.335965E-17,1.52978E-11,2.322927E-20,9.863813E-17,7.500016E-22,3.292583E-22,9.510964E-13,1.90647E-6,3.959925E-14,1.322024E-10,1.944655E-13,4.522535E-7,1.316693E-6,0.004080839,2.756539E-9,2.209006E-24,1.143968E-25,1.184772E-18,3.2731E-13,5.487789E-22,0.01102513,0.006632437,0.02677524,9.43404,7.418044E-5,535042.3,535042.3
2.34427E-9,15.69639,-1.709183E12,1549.252,1549.252,0.001164569,1.0,0.9512191,1.055885E-5,1.354419E-8,1.349836E-5,3.243341E-8,4.236738E-5,3.392646E-5,4.130285E-8,9.159578E-11,1.405809E-8,1.15215E-7,3.542949E-5,4.81514E-5,2.202261E-5,1.049988E-10,2.19304E-9,8.633443E-9,3.803061E-5,4.480487E-14,9.52601E-15,5.067034E-15,2.142975E-5,1.971472E-9,2.118552E-5,7.366272E-7,3.300966E-13,6.599417E-14,1.525136E-15,7.367423E-10,5.108059E-18,2.302137E-14,6.864771E-19,9.060253E-20,2.069077E-10,1.741875E-5,7.771569E-12,1.626808E-8,1.531913E-11,3.944125E-6,1.18344E-5,0.004079959,1.441E-8,5.132898E-21,7.011377E-23,1.517574E-16,1.003014E-11,3.554402E-19,0.01099739,0.006607359,0.02674259,9.432037,7.419342E-5,534928.6,534928.6
6.356156E-9,15.69034,-1.72887E12,1547.85,1547.85,0.001164569,1.0,0.9507262,3.807869E-5,1.405114E-7,4.726475E-5,2.999472E-7,1.361887E-4,1.22097E-4,3.384619E-7,1.503942E-9,1.247654E-7,9.65724E-7,1.029215E-4,1.56268E-4,5.921923E-5,7.827318E-10,1.603405E-8,7.418335E-8,1.060184E-4,3.886821E-12,3.321481E-13,7.03891E-13,6.905034E-5,1.590656E-8,5.350228E-5,5.247521E-6,2.219821E-11,1.264373E-12,1.139929E-14,7.790317E-9,1.780556E-16,1.100772E-12,5.808877E-17,4.472813E-18,5.842636E-9,5.570117E-5,2.016232E-10,2.293438E-7,3.019212E-10,1.241106E-5,3.776428E-5,0.004077778,6.132965E-8,5.703113E-19,7.99506E-21,3.868509E-15,9.266286E-11,2.800348E-17,0.01093592,0.006552117,0.02667059,9.42714,7.422205E-5,534650.9,534650.9
2.196101E-8,15.66777,-1.727516E12,1542.368,1542.368,0.001164569,1.0,0.9487422,1.787715E-4,2.201538E-6,2.126945E-4,4.135441E-6,5.249127E-4,6.004909E-4,3.919501E-6,5.743906E-8,1.713625E-6,1.030497E-5,3.046423E-4,5.636502E-4,1.981915E-4,9.137919E-9,1.878573E-7,9.385219E-7,2.779127E-4,6.964541E-10,1.973558E-11,1.809185E-10,2.465984E-4,2.260087E-7,1.443791E-4,5.307864E-5,3.459227E-9,5.596896E-11,2.127182E-13,1.277189E-7,2.013939E-14,1.939557E-10,2.436496E-14,6.258934E-16,2.552891E-7,1.970638E-4,8.95308E-9,4.18345E-6,1.194191E-8,4.336067E-5,1.367921E-4,0.004068395,5.98106E-7,1.494742E-16,3.738409E-18,2.165306E-13,1.274079E-9,6.375683E-15,0.01070646,0.00634829,0.02638919,9.407279,7.432895E-5,533524.5,533524.5
6.957242E-8,15.61107,-1.523942E12,1526.539,1526.539,0.001164569,1.0,0.9426554,6.512784E-4,2.981271E-5,9.518983E-4,4.170957E-5,0.001522899,0.002769048,2.84462E-5,1.568545E-6,2.097689E-5,5.997671E-5,5.614886E-4,0.001736553,5.594934E-4,9.480215E-8,1.804261E-6,1.034055E-5,3.907865E-4,6.643018E-8,1.01453E-9,2.250582E-8,7.262084E-4,3.159196E-6,2.611536E-4,3.464326E-4,2.743784E-7,4.739388E-9,9.343951E-12,1.584817E-6,2.344431E-12,2.487316E-8,2.130226E-11,5.362779E-14,5.518959E-6,5.819742E-4,2.475511E-7,5.228914E-5,3.288698E-7,1.215764E-4,4.393174E-4,0.004032747,6.297852E-6,3.347498E-14,2.047872E-15,2.251383E-11,1.335431E-8,2.107878E-12,0.0100777,0.005808531,0.02550172,9.344553,7.459894E-5,529967.1,529967.1
1.448741E-7,15.55664,-1.10685E12,1506.532,1506.532,0.001164569,1.0,0.9342745,9.977779E-4,1.587679E-4,0.002438506,1.507046E-4,0.002138012,0.006634309,8.743315E-5,1.17904E-5,9.556931E-5,1.187818E-4,5.71198E-4,0.003455151,9.159205E-4,4.956025E-7,6.954895E-6,4.429991E-5,3.203748E-4,8.846851E-7,1.495316E-8,3.010856E-7,0.001340965,1.491907E-5,3.14533E-4,9.117874E-4,2.65018E-6,9.699564E-8,9.935055E-11,6.196117E-6,4.112626E-11,3.577074E-7,1.077429E-9,8.886504E-13,2.478974E-5,0.001109341,1.738924E-6,1.990111E-4,2.194324E-6,2.105514E-4,9.053966E-4,0.003969492,2.278602E-5,2.005999E-12,2.390198E-13,6.659084E-10,6.414436E-8,8.735723E-11,0.009254318,0.00513751,0.02410286,9.254352,7.485996E-5,524851.4,524851.4
2.653713E-7,15.52162,-6.659448E11,1485.425,1485.425,0.001164569,1.0,0.924379,9.841916E-4,5.624023E-4,0.00437875,3.685984E-4,0.002015947,0.01187898,1.728189E-4,5.026181E-5,2.705547E-4,1.419236E-4,4.391613E-4,0.005730384,0.001110573,1.897157E-6,1.779374E-5,1.140768E-4,2.206944E-4,4.954666E-6,1.233323E-7,1.525886E-6,0.002075301,4.096571E-5,3.312499E-4,0.00171296,1.050823E-5,8.055306E-7,5.292639E-10,1.465184E-5,3.546999E-10,1.949463E-6,1.283307E-8,9.796408E-12,5.892301E-5,0.001767565,7.145591E-6,4.498737E-4,7.681375E-6,3.021266E-4,0.001500757,0.003884663,4.858026E-5,5.815368E-11,7.460989E-12,7.037883E-9,2.965332E-7,1.016387E-9,0.008284701,0.004388205,0.02221444,9.145286,7.502887E-5,518665.8,518665.8
2.759214E-7,15.52023,-6.39729E11,1484.024,1484.024,0.001164569,1.0,0.9236713,9.744339E-4,6.058591E-4,0.004502415,3.887265E-4,0.001987178,0.01227192,1.782587E-4,5.45577E-5,2.868012E-4,1.416721E-4,4.2861E-4,0.005902318,0.001115848,2.056874E-6,1.876659E-5,1.199717E-4,2.1453E-4,5.44052E-6,1.397914E-7,1.664754E-6,0.002129681,4.330716E-5,3.311992E-4,0.001774547,1.130356E-5,9.093939E-7,5.871276E-10,1.536047E-5,4.057408E-10,2.139965E-6,1.468237E-8,1.13955E-11,6.159591E-5,0.001815368,7.753553E-6,4.698952E-4,8.219707E-6,3.082935E-4,0.0015438,0.00387846,5.04966E-5,7.1035E-11,9.044024E-12,8.028605E-9,3.283422E-7,1.162947E-9,0.008215149,0.004335955,0.02207149,9.137472,7.503556E-5,518222.7,518222.7
