Time_Soln#14 (sec),Volume_Soln#14 (cm3),Volumetric_heat_production_rate_Soln#14 (erg/cm3-sec),Surface_temperature_Soln#14 (K),Temperature_Soln#14 (K),Mass_Soln#14 (g),Pressure_Soln#14 (atm),Mole_fraction_H2_Soln#14 (),Mole_fraction_H_Soln#14 (),Mole_fraction_CH4_Soln#14 (),Mole_fraction_CH3_Soln#14 (),Mole_fraction_C2H6_Soln#14 (),Mole_fraction_C2H5_Soln#14 (),Mole_fraction_C2H4_Soln#14 (),Mole_fraction_C2H3_Soln#14 (),Mole_fraction_C2H2_Soln#14 (),Mole_fraction_C3H8_Soln#14 (),Mole_fraction_IC3H7_Soln#14 (),Mole_fraction_NC3H7_Soln#14 (),Mole_fraction_C3H6_Soln#14 (),Mole_fraction_C3H5-A_Soln#14 (),Mole_fraction_C3H4-P_Soln#14 (),Mole_fraction_C3H4-A_Soln#14 (),Mole_fraction_C3H3_Soln#14 (),Mole_fraction_NC4H10_Soln#14 (),Mole_fraction_PC4H9_Soln#14 (),Mole_fraction_IC4H10_Soln#14 (),Mole_fraction_IC4H8_Soln#14 (),Mole_fraction_IC4H7_Soln#14 (),Mole_fraction_C4H8-1_Soln#14 (),Mole_fraction_C4H8-2_Soln#14 (),Mole_fraction_C4H71-3_Soln#14 (),Mole_fraction_C4H6_Soln#14 (),Mole_fraction_C4H5_Soln#14 (),Mole_fraction_C4H4_Soln#14 (),Mole_fraction_C4H2_Soln#14 (),Mole_fraction_C6H6_Soln#14 (),Mole_fraction_FULVENE_Soln#14 (),Mole_fraction_C5H6_Soln#14 (),Mole_fraction_C5H5_Soln#14 (),Mole_fraction_C10H8_Soln#14 (),Mole_fraction_NC5H12_Soln#14 (),Mole_fraction_NC5H10_Soln#14 (),Mole_fraction_B1M3_Soln#14 (),Mole_fraction_LC5H8_Soln#14 (),Mole_fraction_DIALLYL_Soln#14 (),Mole_fraction_NC6H12_Soln#14 (),Mole_fraction_NC7H14_Soln#14 (),Mole_fraction_C7H8_Soln#14 (),Mole_fraction_C7H7_Soln#14 (),Mole_fraction_C6H5C2H_Soln#14 (),Mole_fraction_C6H5C2H3_Soln#14 (),Mole_fraction_C6H5C2H5_Soln#14 (),Mole_fraction_INDENE_Soln#14 (),Mole_fraction_NC12H26_Soln#14 (),Mole_fraction_NC16H34_Soln#14 (),Mole_fraction_NC10H20_Soln#14 (),Molecular_weight_Soln#14 (g/mole),Mass_density_Soln#14 (g/cm3),Unburned_hydrocarbons_Soln#14 (ppm),Volatile_organic_compounds_Soln#14 (ppm)
0.0,15.7,-4.95463E12,1650.0,1650.0,0.001093989,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.968085E-5,535064.1,535064.1
6.021379E-12,15.69996,-4.999859E12,1649.994,1649.994,0.001093989,1.0,0.9514587,1.711203E-9,5.246069E-15,1.801656E-9,5.232208E-13,1.743549E-7,4.823995E-9,2.53027E-12,1.982161E-15,2.65026E-13,3.448605E-12,1.739507E-7,6.776756E-9,2.344617E-7,5.702177E-15,1.304214E-13,4.889599E-18,1.561559E-13,1.747888E-7,3.175566E-25,5.466818E-25,1.4754E-27,3.113813E-9,6.989582E-14,2.343927E-7,5.802923E-11,6.648814E-21,4.138498E-19,2.031347E-19,3.563795E-16,3.319164E-26,8.54417E-23,1.796495E-29,3.114065E-28,1.025122E-17,2.691771E-9,2.588062E-20,1.627138E-16,3.016858E-18,6.232151E-10,1.939218E-9,0.004081003,1.282801E-10,6.265325E-32,3.518375E-23,1.572526E-16,3.222096E-28,0.01103291,0.006639541,0.02678527,9.434413,6.968103E-5,535063.4,535063.4
1.903994E-10,15.69878,-6.058154E12,1649.775,1649.775,0.001093989,1.0,0.9514041,1.359763E-6,1.403574E-10,1.533209E-6,7.23725E-10,8.555335E-6,4.034234E-6,2.659187E-9,2.54105E-12,3.536796E-10,4.590148E-9,8.117426E-6,5.729424E-6,7.401465E-6,5.99488E-12,1.304381E-10,1.189449E-13,2.200981E-10,8.721482E-6,9.727702E-18,1.135248E-17,2.563885E-19,2.605385E-6,7.606908E-11,7.333011E-6,5.765936E-8,5.209186E-16,2.942904E-15,2.023746E-16,6.937113E-12,2.340758E-20,6.763804E-17,3.871867E-22,2.12351E-22,6.838101E-13,2.247391E-6,2.052042E-14,4.597527E-11,9.105232E-14,5.067941E-7,1.602936E-6,0.004080765,4.081591E-9,6.974953E-26,1.388185E-18,2.17514E-13,3.521423E-22,0.01101925,0.006627017,0.02677045,9.433872,6.968627E-5,535032.7,535032.7
8.714435E-10,15.69474,-7.256006E12,1648.781,1648.781,0.001093989,1.0,0.9510756,1.761931E-5,9.159469E-9,1.952674E-5,2.468575E-8,6.589876E-5,4.979404E-5,6.323453E-8,9.817792E-11,1.144214E-8,1.454132E-7,5.777615E-5,7.131447E-5,3.366183E-5,1.381288E-10,2.726995E-9,8.968408E-12,7.267077E-9,6.274828E-5,1.903154E-14,9.617284E-15,1.833659E-15,3.182871E-5,1.870082E-9,3.227867E-5,1.182484E-6,4.161436E-13,2.509549E-13,4.180875E-15,4.547739E-10,7.217558E-18,2.088868E-14,5.452508E-19,8.083874E-20,1.849439E-10,2.727009E-5,5.817163E-12,9.161072E-9,8.66297E-12,5.860123E-6,1.904553E-5,0.004079338,2.044229E-8,5.181401E-23,2.049235E-16,7.417752E-12,2.503548E-19,0.0109679,0.00658046,0.02672023,9.430614,6.97042E-5,534847.9,534847.9
2.56607E-9,15.68513,-7.248908E12,1646.148,1646.148,0.001093989,1.0,0.9501391,7.485944E-5,1.233171E-7,7.9147E-5,2.810389E-7,2.387716E-4,2.024554E-4,6.197762E-7,1.910203E-9,1.290605E-7,1.527919E-6,1.947971E-4,2.76698E-4,9.759116E-5,1.258545E-9,2.33508E-8,1.624747E-10,7.918626E-8,2.065155E-4,2.662327E-12,5.242886E-13,4.753973E-13,1.22314E-4,1.845331E-8,8.666121E-5,9.640705E-6,4.153793E-11,5.849913E-12,3.536613E-14,6.331144E-9,3.32704E-16,1.223581E-12,7.334063E-17,5.416022E-18,7.57904E-9,1.039048E-4,2.086393E-10,1.936498E-7,2.171578E-10,2.183508E-5,7.183346E-5,0.00407524,8.133177E-8,8.211648E-21,6.857301E-15,8.437293E-11,2.782812E-17,0.01084267,0.00646792,0.02660096,9.421319,6.97469E-5,534320.8,534320.8
6.637659E-9,15.66329,-6.833802E12,1640.052,1640.052,0.001093989,1.0,0.9479486,2.36389E-4,9.846926E-7,2.325004E-4,2.070981E-6,6.504724E-4,6.209263E-4,4.092292E-6,2.98794E-8,1.012482E-6,1.000789E-5,4.769984E-4,7.418913E-4,2.434223E-4,8.239814E-9,1.510499E-7,1.905494E-9,5.766159E-7,4.865328E-4,1.449906E-10,1.152885E-11,3.51572E-11,3.264955E-4,1.395716E-7,1.832366E-4,5.508E-5,1.900089E-9,8.545497E-11,2.436764E-13,5.382247E-8,1.028466E-14,5.463576E-11,6.24925E-15,2.173253E-16,1.438021E-7,2.742126E-4,3.640045E-9,1.875203E-6,3.600954E-9,5.750296E-5,1.906279E-4,0.0040654,3.691247E-7,8.630042E-19,1.363889E-13,6.203451E-10,1.597E-15,0.01056337,0.006219714,0.02632483,9.399521,6.984415E-5,533084.5,533084.5
2.525064E-8,15.58379,-5.209566E12,1616.395,1616.395,0.001093989,1.0,0.9391971,0.001035325,1.669767E-5,0.001070005,2.86743E-5,0.002241576,0.003046871,3.81339E-5,1.240652E-6,1.915961E-5,9.202419E-5,0.00116747,0.002450848,7.889931E-4,1.053657E-7,1.924862E-6,4.414863E-8,8.8683E-6,0.001020231,2.789843E-8,7.254407E-10,8.954536E-9,0.001055562,2.635057E-6,3.492165E-4,4.41277E-4,2.662097E-7,3.900658E-9,8.05812E-12,9.483622E-7,1.832592E-12,1.203275E-8,7.94075E-12,3.08413E-14,5.673244E-6,8.626284E-4,1.380413E-7,3.403043E-5,1.636577E-7,1.808555E-4,6.269734E-4,0.004020939,4.497015E-6,7.850277E-16,1.319933E-11,8.593605E-9,6.854674E-13,0.009563434,0.00536361,0.02518952,9.311197,7.020046E-5,528075.3,528075.3
5.289774E-8,15.5115,-3.597705E12,1590.894,1590.894,0.001093989,1.0,0.9291885,0.001789527,8.228127E-5,0.002642725,1.060088E-4,0.003533095,0.007024568,1.109746E-4,8.752637E-6,9.066157E-5,2.148874E-4,0.001358557,0.004342417,0.00130677,4.566514E-7,7.171465E-6,1.847206E-7,3.800103E-5,9.803332E-4,4.091897E-7,7.813672E-9,1.324378E-7,0.001783083,1.233946E-5,3.930113E-4,0.00106607,2.586927E-6,5.096804E-8,8.123128E-11,3.896756E-6,2.968827E-11,1.793903E-7,4.014191E-10,4.53579E-13,2.941927E-5,0.001453316,8.571384E-7,1.361225E-4,1.122649E-6,2.959219E-4,0.001111167,0.003957257,1.681543E-5,6.211072E-14,2.755239E-10,3.425881E-8,2.633321E-11,0.008547401,0.004547367,0.02374205,9.207012,7.052763E-5,522166.6,522166.6
5.438295E-8,15.50872,-3.531103E12,1589.768,1589.768,0.001093989,1.0,0.9287292,0.001813565,8.737075E-5,0.002733393,1.10947E-4,0.003571422,0.00723204,1.153218E-4,9.40087E-6,9.568301E-5,2.201116E-4,0.001356786,0.004431347,0.001326721,4.834189E-7,7.513495E-6,1.940016E-7,3.999529E-5,9.703943E-4,4.500607E-7,8.559259E-9,1.451593E-7,0.00181472,1.301807E-5,3.93943E-4,0.001097602,2.789986E-6,5.630408E-8,8.830192E-11,4.089259E-6,3.279603E-11,1.968023E-7,4.59896E-10,5.029744E-13,3.103205E-5,0.00147986,9.15818E-7,1.426192E-4,1.200475E-6,3.007153E-4,0.00113372,0.003953994,1.758613E-5,7.360631E-14,3.093219E-10,3.611226E-8,3.00459E-11,0.008502526,0.004512555,0.02367058,9.202147,7.054029E-5,521890.7,521890.7
5.763361E-8,15.50293,-3.391028E12,1587.375,1587.375,0.001093989,1.0,0.9277475,0.001861281,9.907529E-5,0.002932561,1.219447E-4,0.003646469,0.007681884,1.249238E-4,1.091325E-5,1.069862E-4,2.310045E-4,0.001350609,0.004622497,0.00136806,5.449359E-7,8.277465E-6,2.147948E-7,4.44691E-5,9.478437E-4,5.485608E-7,1.036454E-8,1.754756E-7,0.001881955,1.454487E-5,3.95778E-4,0.001165748,3.260724E-6,6.934077E-8,1.050391E-10,4.51824E-6,4.03545E-11,2.383982E-7,6.094738E-10,6.253976E-13,3.462891E-5,0.001536601,1.051657E-6,1.570306E-4,1.379476E-6,3.108396E-4,0.001182065,0.003946926,1.929104E-5,1.050248E-13,3.938942E-10,4.036153E-8,3.951921E-11,0.00840695,0.004438754,0.02351625,9.191725,7.056662E-5,521299.6,521299.6
