Time_Soln#18 (sec),Volume_Soln#18 (cm3),Volumetric_heat_production_rate_Soln#18 (erg/cm3-sec),Surface_temperature_Soln#18 (K),Temperature_Soln#18 (K),Mass_Soln#18 (g),Pressure_Soln#18 (atm),Mole_fraction_H2_Soln#18 (),Mole_fraction_H_Soln#18 (),Mole_fraction_CH4_Soln#18 (),Mole_fraction_CH3_Soln#18 (),Mole_fraction_C2H6_Soln#18 (),Mole_fraction_C2H5_Soln#18 (),Mole_fraction_C2H4_Soln#18 (),Mole_fraction_C2H3_Soln#18 (),Mole_fraction_C2H2_Soln#18 (),Mole_fraction_C3H8_Soln#18 (),Mole_fraction_IC3H7_Soln#18 (),Mole_fraction_NC3H7_Soln#18 (),Mole_fraction_C3H6_Soln#18 (),Mole_fraction_C3H5-A_Soln#18 (),Mole_fraction_C3H4-P_Soln#18 (),Mole_fraction_C3H4-A_Soln#18 (),Mole_fraction_C3H3_Soln#18 (),Mole_fraction_NC4H10_Soln#18 (),Mole_fraction_PC4H9_Soln#18 (),Mole_fraction_IC4H10_Soln#18 (),Mole_fraction_IC4H8_Soln#18 (),Mole_fraction_C4H8-1_Soln#18 (),Mole_fraction_C4H8-2_Soln#18 (),Mole_fraction_C4H71-3_Soln#18 (),Mole_fraction_C4H6_Soln#18 (),Mole_fraction_C4H5_Soln#18 (),Mole_fraction_C4H4_Soln#18 (),Mole_fraction_C4H2_Soln#18 (),Mole_fraction_C6H6_Soln#18 (),Mole_fraction_FULVENE_Soln#18 (),Mole_fraction_C5H6_Soln#18 (),Mole_fraction_C5H5_Soln#18 (),Mole_fraction_C10H8_Soln#18 (),Mole_fraction_NC5H12_Soln#18 (),Mole_fraction_NC5H11_Soln#18 (),Mole_fraction_NC5H10_Soln#18 (),Mole_fraction_B1M3_Soln#18 (),Mole_fraction_LC5H8_Soln#18 (),Mole_fraction_NC6H12_Soln#18 (),Mole_fraction_NC7H15_Soln#18 (),Mole_fraction_NC7H14_Soln#18 (),Mole_fraction_C7H8_Soln#18 (),Mole_fraction_C7H7_Soln#18 (),Mole_fraction_C6H5C2H_Soln#18 (),Mole_fraction_C6H5C2H3_Soln#18 (),Mole_fraction_C12H8_Soln#18 (),Mole_fraction_C14H10_Soln#18 (),Mole_fraction_NC12H26_Soln#18 (),Mole_fraction_NC16H34_Soln#18 (),Mole_fraction_NC10H20_Soln#18 (),Molecular_weight_Soln#18 (g/mole),Mass_density_Soln#18 (g/cm3),Unburned_hydrocarbons_Soln#18 (ppm),Volatile_organic_compounds_Soln#18 (ppm)
0.0,15.7,-5.85658E13,1850.0,1850.0,9.757202E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.214778E-5,535064.1,535064.1
1.154988E-12,15.69992,-5.884116E13,1849.984,1849.984,9.757202E-4,1.0,0.9514568,2.812031E-9,2.242297E-15,2.410046E-9,4.619807E-13,4.857151E-7,6.609925E-9,5.19939E-12,2.428115E-15,2.473674E-13,6.509944E-12,4.852133E-7,8.985852E-9,4.829491E-7,7.019934E-15,1.703806E-13,1.867223E-17,1.527935E-13,4.862763E-7,7.099061E-26,3.389387E-25,4.112486E-9,6.707033E-14,4.827813E-7,1.371565E-10,6.173665E-20,2.318838E-18,8.100653E-19,1.257106E-16,3.952418E-26,6.872715E-23,1.638869E-29,3.984834E-28,1.570599E-17,8.10679E-7,3.850657E-9,1.299369E-20,5.289001E-17,7.992336E-10,1.933933E-6,2.866394E-9,0.004080995,1.814363E-10,2.931261E-32,9.082419E-23,1.972284E-45,3.809369E-21,0.01103211,0.006638805,0.02678472,9.434394,6.214811E-5,535062.3,535062.3
3.804624E-11,15.69744,-6.632159E13,1849.446,1849.446,9.757202E-4,1.0,0.9513301,2.622947E-6,6.929227E-11,2.378051E-6,5.979495E-10,2.05508E-5,6.460119E-6,5.975605E-9,3.363522E-12,3.144287E-10,8.253498E-9,1.998258E-5,8.857198E-6,1.585536E-5,8.802349E-12,1.853558E-10,5.491596E-13,2.008104E-10,2.095008E-5,2.293638E-18,8.818272E-18,4.030299E-6,7.836307E-11,1.567543E-5,1.472577E-7,2.483658E-15,3.17641E-14,8.739493E-16,2.774638E-12,3.146005E-20,6.351671E-17,3.887312E-22,3.218471E-22,8.13629E-13,2.439729E-5,3.776976E-6,1.198576E-14,1.340996E-11,7.714451E-7,5.357782E-5,2.789075E-6,0.004080446,5.980325E-9,3.602682E-26,3.42701E-18,3.380381E-35,4.349876E-18,0.01099248,0.006602361,0.02675228,9.433138,6.215791E-5,534991.1,534991.1
2.294723E-10,15.68689,-8.077374E13,1846.07,1846.07,9.757202E-4,1.0,0.9502325,6.358564E-5,1.086259E-8,5.598507E-5,3.401449E-8,2.083132E-4,1.467906E-4,2.606012E-7,2.5652E-10,1.736208E-8,4.397371E-7,1.892848E-4,2.060988E-4,9.398421E-5,4.599367E-10,6.752957E-9,1.058249E-10,1.138293E-8,2.05993E-4,1.820352E-14,3.333166E-14,9.216044E-5,3.536113E-9,8.78698E-5,5.055248E-6,2.736196E-12,6.198534E-12,3.071787E-14,4.419731E-10,3.081494E-17,5.957178E-14,2.239093E-18,3.876399E-19,4.927847E-10,8.73288E-5,8.631193E-5,1.055506E-11,8.831652E-9,1.680851E-5,1.537025E-4,6.208488E-5,0.004075703,3.799823E-8,9.112915E-23,1.059766E-15,7.412068E-30,3.697478E-16,0.01078847,0.006417487,0.02660569,9.422254,6.219974E-5,534373.8,534373.8
7.067317E-10,15.66506,-7.564514E13,1837.278,1837.278,9.757202E-4,1.0,0.9470259,2.989961E-4,1.701636E-7,2.484275E-4,4.172774E-7,7.847749E-4,6.377345E-4,2.74734E-6,5.44844E-9,2.253379E-7,4.997706E-6,6.753914E-4,8.940375E-4,2.777293E-4,5.197602E-9,6.208776E-8,2.375375E-9,1.376187E-7,7.298512E-4,3.2786E-12,2.385282E-12,3.953662E-4,3.971396E-8,2.288413E-4,4.134218E-5,3.020305E-10,1.471506E-10,2.66651E-13,7.281252E-9,1.708871E-15,3.74085E-12,3.938517E-16,2.924372E-17,2.366734E-8,9.800758E-5,3.65946E-4,4.379704E-10,2.468065E-7,6.971344E-5,1.587801E-4,2.590825E-4,0.004061808,1.460718E-7,1.773666E-20,3.784964E-14,1.522171E-26,1.333323E-14,0.01032295,0.0060046,0.02628813,9.390446,6.228641E-5,532569.9,532569.9
2.045535E-9,15.61324,-5.712518E13,1816.881,1816.881,9.757202E-4,1.0,0.939633,9.582913E-4,1.579395E-6,7.230827E-4,3.503975E-6,0.00211922,0.001867268,1.916016E-5,1.008476E-7,2.36083E-6,3.734667E-5,0.001706025,0.002455775,7.252494E-4,3.955899E-8,4.645274E-7,3.351575E-8,1.206587E-6,0.001825628,2.529485E-10,6.353291E-11,0.001081609,3.672232E-7,4.492208E-4,2.397662E-4,1.670099E-8,2.16597E-9,1.879632E-12,7.440447E-8,7.097367E-14,2.039046E-10,5.208308E-14,1.375777E-15,5.517711E-7,7.719121E-5,9.684362E-4,8.65152E-9,3.010573E-6,1.880352E-4,1.248746E-4,6.912355E-4,0.004029263,6.857027E-7,2.975136E-18,8.931307E-13,2.594805E-23,3.751943E-13,0.009308041,0.005137216,0.02552129,9.317018,6.249314E-5,528405.4,528405.4
4.608577E-9,15.53863,-3.867256E13,1789.047,1789.047,9.757202E-4,1.0,0.9297369,0.002019864,7.327658E-6,0.001459156,1.503051E-5,0.003890019,0.003815017,6.269845E-5,8.074483E-7,1.368792E-5,1.356863E-4,0.00283276,0.004433139,0.001390355,1.546853E-7,1.9756E-6,1.836207E-7,5.715171E-6,0.002980607,5.101041E-9,5.55577E-10,0.00194434,1.911491E-6,5.863605E-4,7.131586E-4,2.488231E-7,1.224784E-8,8.859947E-12,3.755056E-7,1.29227E-12,3.871642E-9,2.22793E-12,2.052648E-14,4.386737E-6,5.5828E-5,0.001660354,5.986666E-8,1.557158E-5,3.349904E-4,8.951671E-5,0.001212567,0.003983699,2.549514E-6,1.496744E-16,9.220459E-12,9.102704E-21,4.110882E-12,0.008034847,0.004115354,0.02436517,9.218334,6.27932E-5,522808.7,522808.7
1.067894E-8,15.42974,-2.162386E13,1748.721,1748.721,9.757202E-4,1.0,0.9154346,0.003645905,3.33738E-5,0.003005495,5.842381E-5,0.006299981,0.007665438,1.720295E-4,5.878285E-6,7.577231E-5,3.891545E-4,0.003788296,0.00708251,0.002415811,5.680628E-7,7.925314E-6,7.401295E-7,2.609638E-5,0.003794627,8.941701E-8,4.423955E-9,0.003056239,9.452048E-6,6.094153E-4,0.001677933,2.673603E-6,5.933593E-8,6.221863E-11,1.714624E-6,2.289813E-11,6.202111E-8,9.816728E-11,2.92173E-13,2.732566E-5,3.596512E-5,0.002443989,3.381222E-7,6.905992E-5,5.193396E-4,5.496584E-5,0.001856473,0.003909974,9.786524E-6,9.699159E-15,1.150054E-10,3.642649E-18,4.153801E-11,0.006397426,0.002920299,0.02242732,9.074134,6.323632E-5,514630.5,514630.5
1.917745E-8,15.34998,-1.295001E13,1715.845,1715.845,9.757202E-4,1.0,0.9033385,0.004711962,9.688784E-5,0.005222833,1.375026E-4,0.007846277,0.01227594,3.317681E-4,2.196821E-5,2.164229E-4,6.600045E-4,0.003874328,0.009210663,0.00320174,1.412855E-6,1.916803E-5,1.601949E-6,6.878437E-5,0.003589205,5.761981E-7,1.884202E-8,0.003850937,2.546228E-5,5.761287E-4,0.002639107,1.056325E-5,2.025822E-7,2.816309E-10,4.373493E-6,1.438828E-10,3.442294E-7,1.140207E-9,1.896706E-12,7.917672E-5,2.594E-5,0.002956747,1.033384E-6,1.678873E-4,6.458202E-4,3.65836E-5,0.002314869,0.003835671,2.293653E-5,1.993094E-13,7.438256E-10,1.884044E-16,1.862648E-10,0.005209724,0.002146709,0.02054283,8.949805,6.356493E-5,507579.3,507579.3
2.157031E-8,15.33556,-1.154093E13,1709.036,1709.036,9.757202E-4,1.0,0.900733,0.004864267,1.203858E-4,0.00585818,1.617586E-4,0.008067194,0.01345181,3.777593E-4,2.848074E-5,2.619557E-4,7.167573E-4,0.00380867,0.009669146,0.003343944,1.704565E-6,2.264056E-5,1.842346E-6,8.240759E-5,0.003449047,8.25047E-7,2.536991E-8,0.004003909,3.0561E-5,5.68212E-4,0.002857417,1.352521E-5,2.669821E-7,3.80274E-10,5.202441E-6,2.043745E-10,4.73411E-7,1.809994E-9,2.784117E-12,9.573477E-5,2.429635E-5,0.003056322,1.289411E-6,1.972403E-4,6.694866E-4,3.355132E-5,0.002405059,0.003817863,2.684785E-5,3.659646E-13,1.086516E-9,4.004447E-16,2.487068E-10,0.004975597,0.002004229,0.02010703,8.922675,6.362469E-5,506040.7,506040.7
