Time_Soln#19 (sec),Volume_Soln#19 (cm3),Volumetric_heat_production_rate_Soln#19 (erg/cm3-sec),Surface_temperature_Soln#19 (K),Temperature_Soln#19 (K),Mass_Soln#19 (g),Pressure_Soln#19 (atm),Mole_fraction_H2_Soln#19 (),Mole_fraction_H_Soln#19 (),Mole_fraction_CH4_Soln#19 (),Mole_fraction_CH3_Soln#19 (),Mole_fraction_C2H6_Soln#19 (),Mole_fraction_C2H5_Soln#19 (),Mole_fraction_C2H4_Soln#19 (),Mole_fraction_C2H3_Soln#19 (),Mole_fraction_C2H2_Soln#19 (),Mole_fraction_C3H8_Soln#19 (),Mole_fraction_IC3H7_Soln#19 (),Mole_fraction_NC3H7_Soln#19 (),Mole_fraction_C3H6_Soln#19 (),Mole_fraction_C3H5-A_Soln#19 (),Mole_fraction_C3H4-P_Soln#19 (),Mole_fraction_C3H4-A_Soln#19 (),Mole_fraction_C3H3_Soln#19 (),Mole_fraction_NC4H10_Soln#19 (),Mole_fraction_PC4H9_Soln#19 (),Mole_fraction_IC4H10_Soln#19 (),Mole_fraction_C4H8-1_Soln#19 (),Mole_fraction_C4H8-2_Soln#19 (),Mole_fraction_C4H71-3_Soln#19 (),Mole_fraction_C4H6_Soln#19 (),Mole_fraction_C4H5_Soln#19 (),Mole_fraction_C4H4_Soln#19 (),Mole_fraction_C4H2_Soln#19 (),Mole_fraction_C6H6_Soln#19 (),Mole_fraction_FULVENE_Soln#19 (),Mole_fraction_C5H6_Soln#19 (),Mole_fraction_C5H5_Soln#19 (),Mole_fraction_C10H8_Soln#19 (),Mole_fraction_NC5H12_Soln#19 (),Mole_fraction_NC5H11_Soln#19 (),Mole_fraction_NC5H10_Soln#19 (),Mole_fraction_LC5H8_Soln#19 (),Mole_fraction_NC6H12_Soln#19 (),Mole_fraction_NC7H15_Soln#19 (),Mole_fraction_NC7H14_Soln#19 (),Mole_fraction_C7H8_Soln#19 (),Mole_fraction_C7H7_Soln#19 (),Mole_fraction_C6H5C2H_Soln#19 (),Mole_fraction_C6H5C2H3_Soln#19 (),Mole_fraction_C12H8_Soln#19 (),Mole_fraction_C14H10_Soln#19 (),Mole_fraction_BIN1B_Soln#19 (),Mole_fraction_NC12H25_Soln#19 (),Mole_fraction_NC12H26_Soln#19 (),Mole_fraction_NC16H34_Soln#19 (),Mole_fraction_NC10H20_Soln#19 (),Molecular_weight_Soln#19 (g/mole),Mass_density_Soln#19 (g/cm3),Unburned_hydrocarbons_Soln#19 (ppm),Volatile_organic_compounds_Soln#19 (ppm)
0.0,15.7,-1.001679E14,1900.0,1900.0,9.500434E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,6.051232E-5,535064.1,535064.1
2.290009E-13,15.69997,-1.002825E14,1899.995,1899.995,9.500434E-4,1.0,0.9514588,2.894763E-10,4.350403E-17,2.090882E-10,3.631489E-14,1.713102E-7,5.74063E-10,4.902575E-13,1.981252E-16,1.972662E-14,6.01532E-13,1.712675E-7,7.751147E-10,1.603321E-7,5.741739E-16,1.427722E-14,7.468105E-19,1.228639E-14,1.713585E-7,9.954563E-29,3.545007E-10,5.374223E-15,1.603156E-7,1.340366E-11,2.283471E-21,1.755267E-19,8.066958E-20,3.871917E-18,3.468699E-28,4.384917E-25,3.503357E-32,3.69183E-30,3.904478E-19,2.829862E-7,3.382959E-10,7.807551E-19,6.850232E-11,6.731597E-7,2.528105E-10,0.004081004,5.025229E-11,1.445723E-34,2.57018E-24,2.67203E-49,3.268111E-22,1.994766E-41,3.041596E-7,0.01103291,0.006639542,0.02678542,9.434415,6.051242E-5,535063.5,535063.5
2.038492E-11,15.6977,-1.092999E14,1899.493,1899.493,9.500434E-4,1.0,0.9513455,1.778043E-6,2.663741E-11,1.538813E-6,3.243606E-10,1.821816E-5,4.215086E-6,4.062792E-9,1.922268E-12,1.739779E-10,5.295476E-9,1.78704E-5,5.726523E-6,1.422896E-5,5.267142E-12,1.131281E-10,3.693355E-13,1.110725E-10,1.85075E-5,4.138081E-19,2.608618E-6,4.507209E-11,1.409965E-5,1.049214E-7,1.595128E-15,2.385819E-14,6.340853E-16,1.013141E-12,1.060543E-20,2.126568E-17,1.113749E-22,1.291603E-22,3.489621E-13,2.366363E-5,2.49145E-6,3.627373E-12,4.988622E-7,5.31666E-5,1.851023E-6,0.004080513,4.472229E-9,8.820198E-27,1.814892E-18,3.885796E-36,2.627405E-18,1.034056E-33,2.381551E-5,0.01099421,0.006603909,0.02675534,9.433291,6.05212E-5,534999.8,534999.8
1.939535E-10,15.68247,-1.357236E14,1894.23,1894.23,9.500434E-4,1.0,0.9496308,1.009002E-4,1.55325E-8,8.428043E-5,4.82812E-8,3.117466E-4,2.215149E-4,4.616135E-7,4.380224E-10,2.52272E-8,7.308942E-7,2.83281E-4,3.097393E-4,1.319672E-4,8.190294E-10,1.029438E-8,2.729803E-10,1.65551E-8,3.082635E-4,3.166865E-14,1.383721E-4,5.355072E-9,1.21326E-4,8.742106E-6,7.023006E-12,1.761216E-11,5.461329E-14,6.02603E-10,6.160797E-17,1.163419E-13,5.873188E-18,9.404048E-19,9.444082E-10,1.2338E-4,1.32084E-4,1.29821E-8,2.508273E-5,2.164328E-4,9.518243E-5,0.004073113,4.533919E-8,1.638395E-22,2.249585E-15,1.995768E-29,5.233711E-16,1.658021E-29,9.147099E-5,0.01066791,0.006308863,0.02653606,9.416288,6.057995E-5,534035.4,534035.4
5.754755E-10,15.65633,-1.21448E14,1882.461,1882.461,9.500434E-4,1.0,0.9453077,4.359652E-4,2.149444E-7,3.434147E-4,5.288326E-7,0.00108685,8.814512E-4,4.382323E-6,8.402348E-9,2.999529E-7,7.404429E-6,9.384125E-4,0.001234418,3.716815E-4,8.618254E-9,8.708935E-8,5.325869E-9,1.797441E-7,0.001016359,4.570848E-12,5.458533E-4,5.546015E-8,2.953598E-4,6.409201E-5,6.157511E-10,3.555293E-10,4.297925E-13,8.807975E-9,2.961495E-15,6.229032E-12,8.433769E-16,5.868866E-17,3.777934E-8,1.313739E-4,5.13252E-4,3.117358E-7,9.590567E-5,2.139684E-4,3.647916E-4,0.004054403,1.704762E-7,2.73773E-20,6.806664E-14,3.149827E-26,1.55044E-14,5.58587E-27,8.616402E-5,0.01003674,0.00575429,0.02613157,9.373406,6.068109E-5,531603.5,531603.5
1.581186E-9,15.59955,-8.656142E13,1858.086,1858.086,9.500434E-4,1.0,0.9364771,0.00126143,1.720194E-6,9.075416E-4,3.837091E-6,0.002672979,0.002320803,2.611223E-5,1.276088E-7,2.779586E-6,4.784318E-5,0.0021737,0.003091683,9.074025E-4,5.682076E-8,5.753248E-7,6.1297E-8,1.366869E-6,0.002342666,2.684638E-10,0.001362362,4.466883E-7,5.337923E-4,3.21119E-4,2.541439E-8,4.178379E-9,2.632659E-12,7.760869E-8,1.01198E-13,2.615355E-10,8.151437E-14,2.096847E-15,7.03791E-7,9.841422E-5,0.001230627,3.243645E-6,2.362152E-4,1.60593E-4,8.845161E-4,0.004015632,7.418267E-7,3.501429E-18,1.28417E-12,3.508877E-23,3.509606E-13,1.815383E-24,6.095618E-5,0.008815031,0.004730441,0.02523833,9.285716,6.090199E-5,526630.2,526630.2
5.067651E-9,15.47245,-4.285543E13,1808.612,1808.612,9.500434E-4,1.0,0.9191479,0.003262879,1.409207E-5,0.002283431,2.769189E-5,0.005726769,0.005814704,1.226025E-4,2.191572E-6,3.214922E-5,2.640471E-4,0.004002169,0.006473249,0.002161859,3.518977E-7,4.249324E-6,5.635226E-7,1.162239E-5,0.004236462,1.669187E-8,0.002831896,4.305093E-6,6.854282E-4,0.001306198,9.39479E-7,3.978863E-8,2.403857E-11,7.120928E-7,5.883333E-12,1.440295E-8,1.401146E-11,8.468628E-14,1.12801E-5,5.491184E-5,0.002337547,3.018836E-5,4.842159E-4,8.843679E-5,0.001755316,0.003934652,4.659704E-6,9.253792E-16,3.264834E-11,1.214975E-19,9.676511E-12,1.197632E-21,2.96802E-5,0.006623301,0.003071088,0.02310429,9.112717,6.140227E-5,516818.7,516818.7
1.052293E-8,15.36723,-2.348955E13,1767.993,1767.993,9.500434E-4,1.0,0.9049571,0.004904968,4.962311E-5,0.004134192,8.236156E-5,0.007968848,0.009994329,2.712653E-4,1.118259E-5,1.282838E-4,5.80817E-4,0.004645378,0.008999118,0.003270945,1.005624E-6,1.326293E-5,1.590819E-6,4.003322E-5,0.004717262,1.747081E-7,0.003860964,1.552624E-5,6.512623E-4,0.002430825,5.916347E-6,1.359155E-7,1.341131E-10,2.422516E-6,6.198434E-11,1.315806E-7,2.977555E-10,7.824874E-13,4.685975E-5,3.50674E-5,0.002964197,9.809429E-5,6.513115E-4,5.356967E-5,0.002320609,0.003857788,1.397591E-5,3.366565E-14,2.730281E-10,1.667056E-17,6.559906E-11,5.629748E-20,1.637179E-5,0.005095425,0.002067402,0.02097965,8.969052,6.182269E-5,508670.9,508670.9
1.138616E-8,15.35586,-2.18617E13,1763.346,1763.346,9.500434E-4,1.0,0.9033002,0.005069156,5.690896E-5,0.004427892,9.204881E-5,0.008191995,0.01059288,2.949434E-4,1.327736E-5,1.472609E-4,6.230848E-4,0.004660558,0.009284185,0.003394122,1.127297E-6,1.490085E-5,1.754522E-6,4.543743E-5,0.004697906,2.230056E-7,0.003968703,1.766283E-5,6.443273E-4,0.002573304,7.071898E-6,1.564653E-7,1.632591E-10,2.740089E-6,7.885419E-11,1.643779E-7,4.084206E-10,9.970206E-13,5.383507E-5,3.339038E-5,0.003024233,1.101597E-4,6.683484E-4,5.053331E-5,0.002378545,0.00384785,1.562961E-5,4.992756E-14,3.458626E-10,2.784925E-17,8.001284E-11,8.435055E-20,1.529353E-5,0.004934484,0.001969848,0.02071055,8.952098,6.186844E-5,507709.4,507709.4
1.31261E-8,15.33583,-1.913442E13,1754.894,1754.894,9.500434E-4,1.0,0.9002553,0.005345587,7.295719E-5,0.005023176,1.121389E-4,0.008569197,0.01176089,3.429528E-4,1.807005E-5,1.876067E-4,7.016907E-4,0.004655074,0.009805441,0.003612324,1.387461E-6,1.831712E-5,2.081255E-6,5.684784E-5,0.004621135,3.447357E-7,0.004159453,2.216504E-5,6.312293E-4,0.002839478,9.659769E-6,2.036371E-7,2.330881E-10,3.405369E-6,1.209031E-10,2.434887E-7,7.157611E-10,1.546992E-12,6.861438E-5,3.057509E-5,0.003129101,1.349948E-4,6.982566E-4,4.540934E-5,0.002480956,0.003828958,1.904143E-5,1.017746E-13,5.312736E-10,6.946189E-17,1.140297E-10,1.739724E-19,1.350698E-5,0.00464812,0.001800363,0.02020499,8.920825,6.194926E-5,505935.8,505935.8
1.506027E-8,15.31728,-1.674134E13,1746.668,1746.668,9.500434E-4,1.0,0.8972461,0.005581415,9.292121E-5,0.005688654,1.351907E-4,0.008892849,0.01300416,3.9667E-4,2.429608E-5,2.350344E-4,7.792648E-4,0.004607855,0.01031908,0.003814962,1.699861E-6,2.225699E-5,2.438549E-6,7.017767E-5,0.004494574,5.220484E-7,0.00433863,2.740889E-5,6.182233E-4,0.003107416,1.289962E-5,2.662198E-7,3.287889E-10,4.175974E-6,1.81253E-10,3.521793E-7,1.216297E-9,2.372912E-12,8.59055E-5,2.809296E-5,0.003226781,1.630863E-4,7.260265E-4,4.087495E-5,0.00257718,0.003809446,2.291551E-5,2.026187E-13,8.06399E-10,1.65438E-16,1.597999E-10,3.479575E-19,1.196094E-5,0.004376796,0.001644726,0.0196915,8.889765,6.202429E-5,504174.2,504174.2
1.7096E-8,15.30113,-1.473376E13,1739.067,1739.067,9.500434E-4,1.0,0.8944171,0.005764334,1.163214E-4,0.006390289,1.600841E-4,0.009144712,0.01425525,4.533706E-4,3.186719E-5,2.870322E-4,8.506556E-4,0.004526819,0.01080271,0.003991002,2.054567E-6,2.652085E-5,2.807597E-6,8.473574E-5,0.004332365,7.61046E-7,0.004498585,3.311939E-5,6.062236E-4,0.003363259,1.666463E-5,3.450621E-7,4.507397E-10,5.01262E-6,2.614801E-10,4.902271E-7,1.960403E-9,3.531874E-12,1.047619E-4,2.599299E-5,0.003314246,1.928461E-4,7.505193E-4,3.704175E-5,0.002663299,0.0037903,2.703818E-5,3.817538E-13,1.186067E-9,3.628329E-16,2.171697E-10,6.556579E-19,1.067917E-5,0.004131892,0.00150849,0.01919629,8.86042,6.208973E-5,502509.9,502509.9
