Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_H_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H5_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H3_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C3H8_Soln#1 (),Mole_fraction_IC3H7_Soln#1 (),Mole_fraction_NC3H7_Soln#1 (),Mole_fraction_C3H6_Soln#1 (),Mole_fraction_C3H5-A_Soln#1 (),Mole_fraction_C3H4-P_Soln#1 (),Mole_fraction_C3H4-A_Soln#1 (),Mole_fraction_NC4H10_Soln#1 (),Mole_fraction_PC4H9_Soln#1 (),Mole_fraction_IC4H8_Soln#1 (),Mole_fraction_IC4H7_Soln#1 (),Mole_fraction_C4H8-1_Soln#1 (),Mole_fraction_C4H8-2_Soln#1 (),Mole_fraction_C4H71-3_Soln#1 (),Mole_fraction_C4H71-4_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C5H6_Soln#1 (),Mole_fraction_NC5H12_Soln#1 (),Mole_fraction_NC5H11_Soln#1 (),Mole_fraction_NC5H10_Soln#1 (),Mole_fraction_B1M3_Soln#1 (),Mole_fraction_LC5H8_Soln#1 (),Mole_fraction_DIALLYL_Soln#1 (),Mole_fraction_CYC6H8_Soln#1 (),Mole_fraction_NC6H12_Soln#1 (),Mole_fraction_NC7H15_Soln#1 (),Mole_fraction_NC7H14_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_XYLENE_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Mole_fraction_NC10H21_Soln#1 (),Mole_fraction_NC12H25_Soln#1 (),Mole_fraction_NC16H33_Soln#1 (),Mole_fraction_NC10H19_Soln#1 (),Mole_fraction_NC12H26_Soln#1 (),Mole_fraction_NC16H34_Soln#1 (),Mole_fraction_NC10H20_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.7,-2316760.0,1000.0,1000.0,0.001805082,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,1.149734E-4,535064.1,535064.1
3.346865E-7,15.69995,-3406442.0,999.9999,999.9999,0.001805082,1.0,0.9514599,2.89941E-10,4.042091E-11,2.463112E-9,6.326069E-11,6.833353E-9,6.111973E-9,2.373832E-13,4.970805E-16,1.856098E-11,1.907881E-12,3.965273E-9,7.512672E-9,8.260148E-9,7.054635E-16,2.165302E-14,7.169419E-12,3.84292E-9,2.867303E-21,3.915693E-20,3.426158E-9,1.383034E-12,8.257533E-9,3.372439E-13,2.223289E-11,1.998318E-12,2.639389E-20,6.690045E-16,2.442205E-9,2.084465E-9,1.121855E-16,1.874408E-11,4.704709E-15,1.533254E-21,7.365638E-10,4.334561E-9,8.256428E-10,0.004081009,3.70556E-12,1.914739E-14,1.226889E-15,7.620054E-20,2.734171E-15,4.329364E-10,5.074911E-10,1.007095E-10,7.002834E-11,0.01103334,0.006639945,0.02678576,9.434425,1.149734E-4,535064.1,535064.1
1.68238E-6,15.69995,-3939371.0,999.9991,999.9991,0.001805082,1.0,0.9514596,1.468038E-9,2.577053E-9,2.809077E-8,3.261333E-9,6.136116E-8,7.644579E-8,5.35228E-12,3.393492E-14,4.937601E-10,4.90607E-11,1.562891E-8,5.803885E-8,4.218945E-8,1.801367E-14,5.60986E-13,1.287741E-10,8.889634E-9,1.656696E-18,1.156988E-16,2.542542E-8,3.483827E-11,4.212633E-8,7.196624E-12,1.073389E-9,5.57101E-11,1.436485E-17,1.517677E-13,3.090183E-9,1.538899E-8,3.531813E-14,9.84236E-10,6.113036E-13,3.317452E-19,5.032139E-9,4.698965E-9,7.594518E-9,0.004081007,1.012766E-10,9.871709E-13,7.859256E-14,1.091938E-17,7.291698E-14,8.853338E-10,7.271168E-10,2.53569E-10,5.6179E-10,0.01103333,0.006639933,0.02678568,9.434423,1.149735E-4,535063.9,535063.9
7.58934E-6,15.69991,-4989655.0,999.9952,999.9952,0.001805082,1.0,0.9514581,6.757303E-9,8.086776E-8,1.70278E-7,8.064514E-8,2.993966E-7,6.329114E-7,7.17125E-11,1.972057E-12,4.924956E-9,4.106786E-10,2.777663E-8,3.857304E-7,2.050731E-7,3.86969E-13,1.293837E-11,9.957533E-10,1.208206E-8,4.955544E-16,6.947418E-14,1.537884E-7,7.303535E-10,2.040478E-7,8.451508E-11,2.62781E-8,1.180671E-9,5.635486E-15,7.055871E-12,4.94919E-9,1.00701E-7,5.081071E-12,2.436426E-8,6.283395E-11,4.927646E-17,2.609258E-8,5.55827E-9,7.906738E-8,0.004080998,2.166925E-9,2.445338E-11,2.51821E-12,1.096976E-15,8.661286E-13,2.778597E-9,1.653307E-9,9.416926E-10,2.834841E-9,0.01103324,0.006639856,0.02678523,9.434408,1.149737E-4,535063.1,535063.1
1.0E-5,15.69989,-5369435.0,999.9934,999.9934,0.001805082,1.0,0.9514573,8.753283E-9,1.442847E-7,2.246988E-7,1.400969E-7,3.882585E-7,9.472134E-7,1.086749E-10,4.02265E-12,7.337259E-9,5.70515E-10,3.131743E-8,5.668945E-7,2.777011E-7,6.866728E-13,2.35568E-11,1.501508E-9,1.323955E-8,1.472421E-15,2.106887E-13,2.204275E-7,1.291429E-9,2.761034E-7,1.248639E-10,4.594739E-8,2.038594E-9,1.668611E-14,1.360487E-11,5.653711E-9,1.476794E-7,1.209634E-11,4.255648E-8,1.501186E-10,1.348485E-16,3.567131E-8,5.883638E-9,1.270594E-7,0.004080992,3.742214E-9,4.254204E-11,4.538055E-12,2.611873E-15,1.511745E-12,3.494225E-9,2.003978E-9,1.202201E-9,3.695479E-9,0.01103318,0.006639812,0.026785,9.4344,1.149738E-4,535062.7,535062.7
2.0E-5,15.69982,-6746479.0,999.9845,999.9845,0.001805082,1.0,0.951453,1.606364E-8,5.802795E-7,4.237683E-7,5.383161E-7,7.114954E-7,2.723105E-6,2.875107E-10,2.281791E-11,2.079664E-8,1.241503E-9,4.428058E-8,1.579698E-6,6.094004E-7,2.985509E-12,1.117645E-10,4.825886E-9,1.748272E-8,2.500942E-14,3.141644E-12,5.756351E-7,5.553883E-9,6.061678E-7,3.15156E-10,1.801477E-7,7.783725E-9,2.43257E-13,7.053675E-11,8.237875E-9,4.10185E-7,1.027748E-10,1.65541E-7,1.401334E-9,2.365565E-15,8.080753E-8,7.076407E-9,4.294835E-7,0.004080957,1.425421E-8,1.651022E-10,1.919656E-11,2.577664E-14,9.567471E-12,6.116588E-9,3.290662E-9,2.158063E-9,6.853368E-9,0.01103288,0.006639567,0.02678378,9.434358,1.149744E-4,535060.3,535060.3
3.0E-5,15.69975,-7845513.0,999.9738,999.9738,0.001805082,1.0,0.9514474,2.201318E-8,1.255278E-6,5.85101E-7,1.144929E-6,9.715143E-7,5.153119E-6,4.937522E-10,6.1548E-11,3.949802E-8,1.875402E-9,5.48443E-8,2.956677E-6,9.759799E-7,7.213804E-12,2.876562E-10,1.041074E-8,2.094084E-8,1.377503E-13,1.427453E-11,1.041167E-6,1.329515E-8,9.762544E-7,5.3198E-10,3.894086E-7,1.655783E-8,1.115318E-12,1.82281E-10,1.034631E-8,7.682528E-7,3.496294E-10,3.544848E-7,5.32242E-9,1.66906E-14,1.334357E-7,8.048655E-9,8.752715E-7,0.004080908,3.019777E-8,3.565521E-10,4.427672E-11,1.106996E-13,3.542145E-11,8.252729E-9,4.341102E-9,2.938427E-9,9.431485E-9,0.01103246,0.006639231,0.0267822,9.434303,1.149749E-4,535057.1,535057.1
4.0E-5,15.69967,-8716521.0,999.9616,999.9616,0.001805082,1.0,0.9514406,2.684295E-8,2.12347E-6,7.152192E-7,1.918945E-6,1.179898E-6,8.114808E-6,7.190966E-10,1.241416E-10,6.288408E-8,2.442096E-9,6.343212E-8,4.632217E-6,1.360528E-6,1.361836E-11,5.685728E-10,1.834867E-8,2.3752E-8,4.657744E-13,4.020364E-11,1.597899E-6,2.490044E-8,1.374734E-6,7.676272E-10,6.624642E-7,2.779349E-8,3.197185E-12,3.512496E-10,1.206252E-8,1.2064E-6,8.191106E-10,5.971701E-7,1.378585E-8,7.289159E-14,1.921621E-7,8.839203E-9,1.437776E-6,0.004080848,5.044471E-8,6.092334E-10,8.078821E-11,3.301312E-13,9.259956E-11,9.988552E-9,5.196693E-9,3.574043E-9,1.153141E-8,0.01103195,0.006638822,0.02678031,9.434237,1.149755E-4,535053.4,535053.4
5.0E-5,15.69958,-9402973.0,999.9483,999.9483,0.001805082,1.0,0.9514329,3.076E-8,3.147196E-6,8.198397E-7,2.826983E-6,1.346447E-6,1.150784E-5,9.574682E-10,2.139611E-10,9.033804E-8,2.935725E-9,7.040742E-8,6.55224E-6,1.748888E-6,2.236995E-11,9.657116E-10,2.851746E-8,2.6035E-8,1.195094E-12,8.74015E-11,2.23005E-6,4.065071E-8,1.792182E-6,1.016137E-9,9.899661E-7,4.102594E-8,7.102331E-12,5.747575E-10,1.345837E-8,1.71175E-6,1.563558E-9,8.835637E-7,2.872157E-8,2.332491E-13,2.55843E-7,9.481438E-9,2.095132E-6,0.004080779,7.40673E-8,9.176986E-10,1.303191E-10,7.901613E-13,1.942422E-10,1.139788E-8,5.893077E-9,4.091386E-9,1.324061E-8,0.01103137,0.006638354,0.02677818,9.434162,1.149761E-4,535049.2,535049.2
6.0E-5,15.6995,-9942128.0,999.9341,999.9341,0.001805082,1.0,0.9514245,3.394007E-8,4.295854E-6,9.038618E-7,3.842089E-6,1.479408E-6,1.525076E-5,1.203944E-9,3.337614E-10,1.212579E-7,3.360987E-9,7.607847E-8,8.672543E-6,2.129776E-6,3.356724E-11,1.48454E-9,4.069295E-8,2.789079E-8,2.566763E-12,1.61611E-10,2.924656E-6,6.074043E-8,2.221051E-6,1.27271E-9,1.364216E-6,5.58781E-8,1.344958E-11,8.476536E-10,1.459493E-8,2.273586E-6,2.621276E-9,1.205502E-6,5.189738E-8,6.017002E-13,3.235484E-7,1.000372E-8,2.829564E-6,0.004080702,1.00311E-7,1.277901E-9,1.948441E-10,1.626881E-12,3.518546E-10,1.254339E-8,6.460557E-9,4.512967E-9,1.463345E-8,0.01103072,0.006637837,0.02677586,9.434081,1.149768E-4,535044.6,535044.6
