Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_H_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_CH3_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H5_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H3_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C3H8_Soln#2 (),Mole_fraction_IC3H7_Soln#2 (),Mole_fraction_NC3H7_Soln#2 (),Mole_fraction_C3H6_Soln#2 (),Mole_fraction_C3H5-A_Soln#2 (),Mole_fraction_C3H4-P_Soln#2 (),Mole_fraction_C3H4-A_Soln#2 (),Mole_fraction_NC4H10_Soln#2 (),Mole_fraction_PC4H9_Soln#2 (),Mole_fraction_IC4H10_Soln#2 (),Mole_fraction_IC4H8_Soln#2 (),Mole_fraction_IC4H7_Soln#2 (),Mole_fraction_C4H8-1_Soln#2 (),Mole_fraction_C4H8-2_Soln#2 (),Mole_fraction_C4H71-3_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C4H4_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_C5H6_Soln#2 (),Mole_fraction_NC5H12_Soln#2 (),Mole_fraction_NC5H11_Soln#2 (),Mole_fraction_NC5H10_Soln#2 (),Mole_fraction_B1M3_Soln#2 (),Mole_fraction_LC5H8_Soln#2 (),Mole_fraction_DIALLYL_Soln#2 (),Mole_fraction_CYC6H8_Soln#2 (),Mole_fraction_CYC6H10_Soln#2 (),Mole_fraction_NC6H12_Soln#2 (),Mole_fraction_NC7H15_Soln#2 (),Mole_fraction_NC7H14_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_XYLENE_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Mole_fraction_NC10H21_Soln#2 (),Mole_fraction_NC10H19_Soln#2 (),Mole_fraction_NC12H26_Soln#2 (),Mole_fraction_NC16H34_Soln#2 (),Mole_fraction_NC10H20_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.7,-1.309742E7,1050.0,1050.0,0.001719126,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,1.094985E-4,535064.1,535064.1
9.187994E-8,15.69995,-1.791979E7,1050.0,1050.0,0.001719126,1.0,0.9514599,5.805795E-10,1.489542E-11,2.654223E-9,2.753153E-11,8.025211E-9,6.313368E-9,3.413376E-13,6.23171E-16,9.653887E-12,1.856992E-12,5.814914E-9,9.054313E-9,1.271533E-8,1.146528E-15,3.255288E-14,4.249433E-12,6.292128E-9,3.327158E-20,1.314853E-21,4.882135E-21,4.165216E-9,9.578263E-13,1.271038E-8,1.176468E-11,5.176097E-23,1.029241E-12,1.395302E-20,2.873007E-16,5.518318E-9,2.63824E-9,4.751483E-17,6.702912E-12,2.332394E-15,9.644829E-22,4.669122E-21,9.099519E-10,1.078785E-8,1.125399E-9,0.004081008,2.557802E-12,8.538506E-15,4.83912E-16,2.508519E-20,1.535513E-15,1.0454E-9,5.014531E-11,0.01103334,0.006639943,0.02678575,9.434425,1.094985E-4,535064.1,535064.1
4.517659E-7,15.69994,-2.102159E7,1049.999,1049.999,0.001719126,1.0,0.9514595,3.46777E-9,1.027073E-9,3.362924E-8,1.514625E-9,8.340035E-8,8.749148E-8,8.07968E-12,3.367995E-14,3.403511E-10,6.445477E-11,3.445052E-8,8.244306E-8,6.294842E-8,2.784096E-14,7.942823E-13,1.19868E-10,2.672022E-8,8.193574E-17,9.216884E-19,2.80045E-17,3.67926E-8,2.34684E-11,6.283055E-8,7.2616E-10,2.708021E-20,3.806827E-11,7.291424E-18,1.039323E-13,8.166194E-9,2.261664E-8,1.575803E-14,6.032557E-10,2.797261E-13,2.380121E-19,1.166483E-18,7.417785E-9,1.310154E-8,1.070392E-8,0.004081007,7.51037E-11,4.697423E-13,3.354796E-14,3.621775E-18,5.415434E-14,1.911233E-9,6.414359E-10,0.01103332,0.006639923,0.02678564,9.434422,1.094986E-4,535063.9,535063.9
1.774121E-6,15.6999,-2.404612E7,1049.994,1049.994,0.001719126,1.0,0.9514579,1.393245E-8,2.88507E-8,2.22215E-7,3.362396E-8,4.2042E-7,6.244354E-7,1.130855E-10,1.490639E-12,3.742145E-9,6.595393E-10,7.297555E-8,4.11491E-7,2.544649E-7,4.381491E-13,1.282931E-11,9.409669E-10,3.697742E-8,2.582882E-14,1.517444E-16,1.254749E-14,1.755321E-7,3.567247E-10,2.52743E-7,1.398517E-8,1.646948E-17,6.016394E-10,1.56449E-15,5.44059E-12,1.006947E-8,1.105266E-7,1.732167E-12,1.205274E-8,1.767706E-11,1.95098E-17,9.347545E-17,3.290472E-8,1.39624E-8,6.659006E-8,0.004080998,1.17667E-9,1.043293E-11,9.573265E-13,2.244339E-16,6.14438E-13,3.766799E-9,2.963949E-9,0.01103322,0.006639838,0.02678518,9.434406,1.094989E-4,535063.0,535063.0
6.588088E-6,15.69974,-3.159422E7,1049.974,1049.974,0.001719126,1.0,0.9514495,4.998113E-8,5.248334E-7,9.761981E-7,4.895258E-7,1.505464E-6,3.989943E-6,1.059785E-9,5.455315E-11,2.569159E-8,3.363939E-9,1.166605E-7,2.272775E-6,1.039584E-6,6.527544E-12,2.083173E-10,6.685678E-9,5.084645E-8,2.554039E-12,2.231842E-14,2.655818E-12,8.796719E-7,5.173939E-9,1.020172E-6,2.069162E-7,9.937362E-15,8.299554E-9,2.821811E-13,1.271659E-10,1.673601E-8,6.007782E-7,1.209289E-10,1.785132E-7,1.049838E-9,2.110281E-15,7.218234E-15,1.392336E-7,1.69686E-8,5.353167E-7,0.004080939,1.624044E-8,1.532928E-10,1.850287E-11,1.411743E-14,8.57936E-12,1.020952E-8,1.109751E-8,0.01103264,0.006639356,0.02678286,9.434321,1.095E-4,535058.2,535058.2
1.0E-5,15.69961,-3.61052E7,1049.956,1049.956,0.001719126,1.0,0.9514413,7.231112E-8,1.239721E-6,1.4691E-6,1.093814E-6,2.150598E-6,7.493353E-6,1.959552E-9,1.611601E-10,4.907163E-8,5.265012E-9,1.421687E-7,4.168634E-6,1.662826E-6,1.583945E-11,5.29567E-10,1.447711E-8,5.945457E-8,9.541021E-12,1.18438E-13,1.340938E-11,1.553415E-6,1.243565E-8,1.625277E-6,4.729158E-7,6.948605E-14,1.862686E-8,1.425304E-12,3.376334E-10,2.088905E-8,1.098728E-6,4.462482E-10,4.049134E-7,4.005823E-9,1.385276E-14,3.121322E-14,2.263383E-7,1.883747E-8,1.09762E-6,0.004080872,3.63922E-8,3.471799E-10,4.595133E-11,6.085732E-14,3.068944E-11,1.420837E-8,1.616998E-8,0.01103203,0.006638865,0.02678062,9.434239,1.095009E-4,535053.5,535053.5
1.801367E-5,15.69929,-4.448456E7,1049.907,1049.907,0.001719126,1.0,0.9514162,1.155349E-7,3.951866E-6,2.450142E-6,3.250157E-6,3.357514E-6,1.87469E-5,4.395199E-9,7.095372E-10,1.310301E-7,9.365191E-9,1.916743E-7,1.02076E-5,3.251422E-6,5.721136E-11,2.059527E-9,4.819018E-8,7.615786E-8,5.512895E-11,1.332549E-12,1.206546E-10,3.625294E-6,4.39973E-8,3.186768E-6,1.470941E-6,9.408926E-13,5.615252E-8,1.321826E-11,1.317401E-9,2.896359E-8,2.695624E-6,2.710543E-9,1.233575E-6,2.722279E-8,2.836242E-13,2.643172E-13,4.629906E-7,2.246397E-8,3.047397E-6,0.004080652,1.09041E-7,1.085218E-9,1.67876E-10,5.861458E-13,2.276373E-10,2.196341E-8,2.604122E-8,0.01103011,0.006637308,0.0267738,9.433987,1.095031E-4,535039.2,535039.2
1.813773E-5,15.69929,-4.459459E7,1049.906,1049.906,0.001719126,1.0,0.9514158,1.161143E-7,4.003943E-6,2.463361E-6,3.290495E-6,3.373306E-6,1.89502E-5,4.435404E-9,7.217596E-10,1.325947E-7,9.423669E-9,1.92336E-7,1.031647E-5,3.276718E-6,5.808869E-11,2.092857E-9,4.88911E-8,7.63809E-8,5.622057E-11,1.371126E-12,1.236962E-10,3.662198E-6,4.466856E-8,3.212075E-6,1.490149E-6,9.688207E-13,5.686125E-8,1.355912E-11,1.338132E-9,2.907241E-8,2.724596E-6,2.76716E-9,1.24927E-6,2.783936E-8,2.941842E-13,2.710896E-13,4.669632E-7,2.251274E-8,3.083649E-6,0.004080648,1.104047E-7,1.099736E-9,1.704755E-10,6.026005E-13,2.331004E-10,2.206761E-8,2.617456E-8,0.01103008,0.006637279,0.02677368,9.433983,1.095031E-4,535039.0,535039.0
1.830418E-5,15.69928,-4.473748E7,1049.905,1049.905,0.001719126,1.0,0.9514152,1.168827E-7,4.074262E-6,2.481001E-6,3.344921E-6,3.394365E-6,1.922421E-5,4.489441E-9,7.383557E-10,1.34708E-7,9.501865E-9,1.932184E-7,1.046321E-5,3.310668E-6,5.927809E-11,2.138079E-9,4.984033E-8,7.667823E-8,5.770564E-11,1.424255E-12,1.278623E-10,3.711918E-6,4.556724E-8,3.24607E-6,1.516092E-6,1.007263E-12,5.781779E-8,1.402641E-11,1.366219E-9,2.921569E-8,2.76366E-6,2.844338E-9,1.270453E-6,2.868202E-8,3.08871E-13,2.803817E-13,4.723069E-7,2.257704E-8,3.132555E-6,0.004080643,1.122448E-7,1.119369E-9,1.740012E-10,6.252578E-13,2.405782E-10,2.220536E-8,2.635019E-8,0.01103003,0.006637242,0.02677351,9.433977,1.095032E-4,535038.6,535038.6
1.90289E-5,15.69925,-4.535347E7,1049.9,1049.9,0.001719126,1.0,0.9514126,1.201878E-7,4.386194E-6,2.556594E-6,3.58579E-6,3.484422E-6,2.043373E-5,4.725929E-9,8.131967E-10,1.440919E-7,9.838943E-9,1.970029E-7,1.111089E-5,3.458624E-6,6.461708E-11,2.341538E-9,5.408718E-8,7.795547E-8,6.443808E-11,1.674052E-12,1.471312E-10,3.931178E-6,4.958518E-8,3.394616E-6,1.631264E-6,1.187662E-12,6.205521E-8,1.61939E-11,1.492033E-9,2.983534E-8,2.936226E-6,3.196347E-9,1.364316E-6,3.25548E-8,3.799644E-13,3.235876E-13,4.95749E-7,2.285488E-8,3.348946E-6,0.004080619,1.203897E-7,1.206834E-9,1.898498E-10,7.317361E-13,2.750975E-10,2.279925E-8,2.710902E-8,0.01102982,0.006637075,0.0267728,9.43395,1.095034E-4,535037.1,535037.1
