Time_Soln#4 (sec),Volume_Soln#4 (cm3),Volumetric_heat_production_rate_Soln#4 (erg/cm3-sec),Surface_temperature_Soln#4 (K),Temperature_Soln#4 (K),Mass_Soln#4 (g),Pressure_Soln#4 (atm),Mole_fraction_H2_Soln#4 (),Mole_fraction_H_Soln#4 (),Mole_fraction_CH4_Soln#4 (),Mole_fraction_CH3_Soln#4 (),Mole_fraction_C2H6_Soln#4 (),Mole_fraction_C2H5_Soln#4 (),Mole_fraction_C2H4_Soln#4 (),Mole_fraction_C2H3_Soln#4 (),Mole_fraction_C2H2_Soln#4 (),Mole_fraction_C3H8_Soln#4 (),Mole_fraction_IC3H7_Soln#4 (),Mole_fraction_NC3H7_Soln#4 (),Mole_fraction_C3H6_Soln#4 (),Mole_fraction_C3H5-A_Soln#4 (),Mole_fraction_C3H4-P_Soln#4 (),Mole_fraction_C3H4-A_Soln#4 (),Mole_fraction_NC4H10_Soln#4 (),Mole_fraction_PC4H9_Soln#4 (),Mole_fraction_IC4H10_Soln#4 (),Mole_fraction_IC4H8_Soln#4 (),Mole_fraction_IC4H7_Soln#4 (),Mole_fraction_C4H8-1_Soln#4 (),Mole_fraction_C4H8-2_Soln#4 (),Mole_fraction_C4H71-3_Soln#4 (),Mole_fraction_C4H6_Soln#4 (),Mole_fraction_C4H4_Soln#4 (),Mole_fraction_C6H6_Soln#4 (),Mole_fraction_C5H6_Soln#4 (),Mole_fraction_MCPTD_Soln#4 (),Mole_fraction_NC5H12_Soln#4 (),Mole_fraction_NC5H10_Soln#4 (),Mole_fraction_B1M2_Soln#4 (),Mole_fraction_B1M3_Soln#4 (),Mole_fraction_B2M2_Soln#4 (),Mole_fraction_LC5H8_Soln#4 (),Mole_fraction_DIALLYL_Soln#4 (),Mole_fraction_CYC6H8_Soln#4 (),Mole_fraction_CYC6H10_Soln#4 (),Mole_fraction_NC6H12_Soln#4 (),Mole_fraction_NC7H14_Soln#4 (),Mole_fraction_C7H8_Soln#4 (),Mole_fraction_C7H7_Soln#4 (),Mole_fraction_C6H5C2H3_Soln#4 (),Mole_fraction_C6H5C2H5_Soln#4 (),Mole_fraction_XYLENE_Soln#4 (),Mole_fraction_C6H5C2H4C6H5_Soln#4 (),Mole_fraction_NPBENZ_Soln#4 (),Mole_fraction_NC12H26_Soln#4 (),Mole_fraction_NC16H34_Soln#4 (),Mole_fraction_NC10H20_Soln#4 (),Molecular_weight_Soln#4 (g/mole),Mass_density_Soln#4 (g/cm3),Unburned_hydrocarbons_Soln#4 (ppm),Volatile_organic_compounds_Soln#4 (ppm)
0.0,15.7,-2.713499E8,1150.0,1150.0,0.001569637,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,9.997687E-5,535064.1,535064.1
1.135004E-8,15.69994,-3.313697E8,1149.999,1149.999,0.001569637,1.0,0.9514598,1.368867E-9,3.956697E-12,3.756311E-9,1.145777E-11,1.500041E-8,8.907165E-9,8.4909E-13,1.432486E-15,4.702922E-12,2.625216E-12,1.309585E-8,1.391946E-8,3.155687E-8,3.333858E-15,8.464753E-14,2.300371E-12,1.460808E-8,6.053548E-21,5.941161E-22,2.508778E-22,6.442265E-9,7.145534E-13,3.154196E-8,1.456554E-11,4.12118E-22,3.065356E-13,9.282889E-21,1.424657E-21,1.348359E-16,4.37196E-9,3.688576E-21,1.839893E-17,5.586973E-22,1.156651E-12,1.042167E-15,6.73917E-22,3.422271E-21,1.411269E-9,2.192388E-9,0.004081008,4.071308E-12,5.576038E-23,3.66042E-15,1.429931E-16,1.577378E-20,8.372774E-16,0.01103333,0.006639931,0.02678571,9.434424,9.997691E-5,535064.0,535064.0
7.593307E-8,15.6999,-4.136999E8,1149.995,1149.995,0.001569637,1.0,0.9514586,2.39856E-8,7.309414E-10,9.201695E-8,1.287317E-9,2.530622E-7,2.277128E-7,3.877842E-11,1.235698E-13,4.017939E-10,2.224507E-10,1.565049E-7,2.778232E-7,2.11559E-7,1.495399E-13,3.799577E-12,1.842919E-10,1.533187E-7,9.065484E-17,2.353299E-18,1.74212E-17,1.249804E-7,3.390965E-11,2.108973E-7,1.225668E-9,1.345537E-19,4.369075E-11,1.46051E-17,1.430862E-18,2.06794E-13,8.14104E-8,9.387085E-18,2.203988E-14,2.137884E-18,6.252492E-10,3.127405E-13,6.707488E-19,3.468145E-18,2.509167E-8,4.235329E-8,0.004081003,1.186454E-10,4.138069E-20,4.112483E-13,2.671018E-14,2.32088E-18,7.150809E-14,0.01103322,0.006639835,0.02678533,9.434412,9.997713E-5,535063.3,535063.3
2.673023E-7,15.69979,-4.582123E8,1149.982,1149.982,0.001569637,1.0,0.951454,9.408233E-8,1.668686E-8,5.664014E-7,2.491233E-8,1.296257E-6,1.501223E-6,4.978323E-10,3.81364E-12,5.133468E-9,2.758205E-9,4.701252E-7,1.238234E-6,7.532278E-7,1.867948E-12,4.782855E-11,1.920941E-9,3.386074E-7,2.705779E-14,2.597304E-16,7.997486E-15,5.451638E-7,4.149788E-10,7.452042E-7,2.103308E-8,2.362857E-17,6.730304E-10,2.291335E-15,8.463973E-17,1.302076E-11,3.532411E-7,8.40378E-16,1.743574E-12,2.211819E-16,1.355827E-8,1.38573E-11,4.017143E-17,2.058281E-16,1.044832E-7,1.995383E-7,0.004080981,1.568406E-9,2.975237E-18,7.959247E-12,6.260975E-13,1.084117E-16,9.207694E-13,0.01103287,0.006639529,0.02678415,9.434366,9.997783E-5,535060.7,535060.7
9.362623E-7,15.69939,-5.364825E8,1149.927,1149.927,0.001569637,1.0,0.9514341,3.535926E-7,3.322969E-7,3.062237E-6,3.813793E-7,5.169073E-6,8.829433E-6,6.000998E-9,1.460928E-10,4.18457E-8,1.954684E-8,8.371143E-7,5.317993E-6,2.748651E-6,2.365388E-11,6.255027E-10,1.323239E-8,4.323623E-7,4.196355E-12,2.587939E-14,1.802779E-12,2.228777E-6,4.995864E-9,2.656127E-6,2.941848E-7,1.00019E-14,9.005817E-9,3.68645E-13,4.474127E-15,3.931931E-10,1.486538E-6,5.300517E-14,1.216351E-10,1.77321E-14,2.010743E-7,6.319376E-10,2.382288E-15,1.089902E-14,3.961086E-7,1.039216E-6,0.004080865,2.034566E-8,1.830337E-16,1.222924E-10,1.331148E-11,5.291011E-15,9.534945E-12,0.01103139,0.006638256,0.02677925,9.434164,9.99804E-5,535049.3,535049.3
3.332537E-6,15.69783,-7.262558E8,1149.679,1149.679,0.001569637,1.0,0.9513291,1.165674E-6,5.601299E-6,1.337089E-5,4.68218E-6,1.598778E-5,5.52062E-5,5.565307E-8,5.384552E-9,3.32402E-7,8.321049E-8,1.319451E-6,2.866175E-5,1.087823E-5,3.405268E-10,9.683986E-9,1.424383E-7,5.95341E-7,3.255829E-10,3.368863E-12,2.817189E-10,1.090784E-5,6.984194E-8,9.932061E-6,3.842371E-6,4.859925E-12,1.127339E-7,5.738116E-11,3.043052E-13,7.700289E-9,7.863605E-6,3.171629E-12,7.426682E-9,1.363776E-12,2.615037E-6,3.380705E-8,6.115562E-13,7.554091E-13,1.610484E-6,7.583374E-6,0.004080049,2.521069E-7,2.227798E-14,1.609706E-9,2.74327E-10,4.97184E-13,4.047435E-10,0.01102305,0.006631311,0.02675304,9.433066,9.999034E-5,534987.0,534987.0
1.0E-5,15.69343,-9.617913E8,1148.738,1148.738,0.001569637,1.0,0.9508502,2.517234E-6,5.164621E-5,3.583769E-5,3.218008E-5,3.110225E-5,2.920739E-4,2.505724E-7,9.420321E-8,2.937807E-6,2.094337E-7,2.096729E-6,1.455278E-4,3.324961E-5,4.162241E-9,1.145494E-7,1.521317E-6,8.658053E-7,8.070899E-9,2.964649E-10,1.406257E-8,5.229623E-5,7.613992E-7,2.984544E-5,3.093457E-5,6.253795E-10,8.305148E-7,3.335597E-9,1.399606E-11,8.512696E-8,4.083047E-5,1.02396E-10,2.04041E-7,5.580792E-11,1.959426E-5,1.015632E-6,2.151625E-10,3.842558E-11,5.961105E-6,4.647366E-5,0.004075566,1.798053E-6,4.555075E-12,1.821646E-8,3.972998E-9,5.286677E-11,1.777312E-8,0.01098226,0.006598125,0.02662996,9.42798,1.000183E-4,534698.5,534698.5
1.992232E-5,15.68795,-1.005582E9,1147.134,1147.134,0.001569637,1.0,0.9499231,3.145475E-6,1.657771E-4,4.742802E-5,9.007928E-5,3.694172E-5,7.713509E-4,4.718704E-7,4.609723E-7,1.043004E-5,3.01711E-7,2.444367E-6,3.849429E-4,5.035945E-5,2.085949E-8,4.572235E-7,5.379746E-6,9.826615E-7,3.967767E-8,4.472615E-9,1.125594E-7,1.394633E-4,3.146814E-6,5.006845E-5,9.89467E-5,8.061646E-9,2.432937E-6,3.12482E-8,1.298326E-10,3.005818E-7,1.120495E-4,7.713557E-10,1.142979E-6,4.563035E-10,5.749244E-5,5.813662E-6,4.84694E-9,3.980392E-10,1.352534E-5,1.29486E-4,0.004066515,4.898944E-6,9.985189E-11,1.004403E-7,1.988801E-8,8.467507E-10,1.367984E-7,0.01090028,0.006532072,0.02638664,9.418103,1.000533E-4,534138.4,534138.4
2.0E-5,15.68791,-1.005481E9,1147.121,1147.121,0.001569637,1.0,0.9499155,3.14726E-6,1.667551E-4,4.746078E-5,9.055929E-5,3.695607E-5,7.753106E-4,4.7311E-7,4.647897E-7,1.049666E-5,3.021882E-7,2.445245E-6,3.869313E-4,5.042917E-5,2.104502E-8,4.604248E-7,5.413646E-6,9.82924E-7,3.998932E-8,4.538295E-9,1.137681E-7,1.40197E-4,3.170378E-6,5.017852E-5,9.954933E-5,8.166885E-9,2.446453E-6,3.16135E-8,1.313552E-10,3.02474E-7,1.126511E-4,7.797412E-10,1.152732E-6,4.613133E-10,5.781048E-5,5.861999E-6,4.921867E-9,4.029415E-10,1.358585E-5,1.301771E-4,0.004066441,4.923134E-6,1.014641E-10,1.013888E-7,2.0058E-8,8.591828E-10,1.382324E-7,0.0108996,0.006531528,0.02638464,9.418023,1.000535E-4,534133.8,534133.8
2.009668E-5,15.68786,-1.005355E9,1147.105,1147.105,0.001569637,1.0,0.9499061,3.149447E-6,1.679732E-4,4.750083E-5,9.115697E-5,3.697355E-5,7.802408E-4,4.746431E-7,4.695581E-7,1.057966E-5,3.027788E-7,2.446315E-6,3.894072E-4,5.051497E-5,2.127709E-8,4.644163E-7,5.455878E-6,9.832431E-7,4.037822E-8,4.620968E-9,1.152821E-7,1.411108E-4,3.199793E-6,5.031459E-5,1.003004E-4,8.299014E-9,2.463286E-6,3.207158E-8,1.332648E-10,3.048312E-7,1.134003E-4,7.902518E-10,1.16491E-6,4.675904E-10,5.820651E-5,5.9223E-6,5.016144E-9,4.090931E-10,1.366118E-5,1.310377E-4,0.00406635,4.953214E-6,1.034957E-10,1.025758E-7,2.027044E-8,8.74826E-10,1.400279E-7,0.01089876,0.006530851,0.02638214,9.417922,1.000538E-4,534128.1,534128.1
