Time_Soln#7 (sec),Volume_Soln#7 (cm3),Volumetric_heat_production_rate_Soln#7 (erg/cm3-sec),Surface_temperature_Soln#7 (K),Temperature_Soln#7 (K),Mass_Soln#7 (g),Pressure_Soln#7 (atm),Mole_fraction_H2_Soln#7 (),Mole_fraction_H_Soln#7 (),Mole_fraction_CH4_Soln#7 (),Mole_fraction_CH3_Soln#7 (),Mole_fraction_C2H6_Soln#7 (),Mole_fraction_C2H5_Soln#7 (),Mole_fraction_C2H4_Soln#7 (),Mole_fraction_C2H3_Soln#7 (),Mole_fraction_C2H2_Soln#7 (),Mole_fraction_C3H8_Soln#7 (),Mole_fraction_IC3H7_Soln#7 (),Mole_fraction_NC3H7_Soln#7 (),Mole_fraction_C3H6_Soln#7 (),Mole_fraction_C3H5-A_Soln#7 (),Mole_fraction_C3H4-P_Soln#7 (),Mole_fraction_C3H4-A_Soln#7 (),Mole_fraction_NC4H10_Soln#7 (),Mole_fraction_PC4H9_Soln#7 (),Mole_fraction_IC4H10_Soln#7 (),Mole_fraction_IC4H8_Soln#7 (),Mole_fraction_IC4H7_Soln#7 (),Mole_fraction_C4H8-1_Soln#7 (),Mole_fraction_C4H8-2_Soln#7 (),Mole_fraction_C4H71-3_Soln#7 (),Mole_fraction_C4H6_Soln#7 (),Mole_fraction_C4H4_Soln#7 (),Mole_fraction_C6H6_Soln#7 (),Mole_fraction_C5H6_Soln#7 (),Mole_fraction_C5H5_Soln#7 (),Mole_fraction_MCPTD_Soln#7 (),Mole_fraction_NC5H12_Soln#7 (),Mole_fraction_NC5H10_Soln#7 (),Mole_fraction_B1M2_Soln#7 (),Mole_fraction_B1M3_Soln#7 (),Mole_fraction_B2M2_Soln#7 (),Mole_fraction_LC5H8_Soln#7 (),Mole_fraction_DIALLYL_Soln#7 (),Mole_fraction_CYC6H8_Soln#7 (),Mole_fraction_CYC6H10_Soln#7 (),Mole_fraction_NC6H12_Soln#7 (),Mole_fraction_NC7H14_Soln#7 (),Mole_fraction_C7H8_Soln#7 (),Mole_fraction_C7H7_Soln#7 (),Mole_fraction_C6H5C2H3_Soln#7 (),Mole_fraction_C6H5C2H5_Soln#7 (),Mole_fraction_XYLENE_Soln#7 (),Mole_fraction_NPBENZ_Soln#7 (),Mole_fraction_NC12H26_Soln#7 (),Mole_fraction_NC16H34_Soln#7 (),Mole_fraction_NC10H20_Soln#7 (),Molecular_weight_Soln#7 (g/mole),Mass_density_Soln#7 (g/cm3),Unburned_hydrocarbons_Soln#7 (ppm),Volatile_organic_compounds_Soln#7 (ppm)
0.0,15.7,-1.105099E10,1300.0,1300.0,0.001388525,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,8.844108E-5,535064.1,535064.1
5.34548E-10,15.69994,-1.172714E10,1299.999,1299.999,0.001388525,1.0,0.9514597,1.057945E-9,1.716952E-13,1.988061E-9,1.836277E-12,2.308479E-8,4.937745E-9,8.905138E-13,1.303313E-15,8.399185E-13,1.632962E-12,2.245954E-8,7.588506E-9,5.634618E-8,3.547965E-15,8.222876E-14,4.335324E-13,2.346417E-8,5.827139E-23,1.627002E-23,4.012704E-25,3.519144E-9,1.879294E-13,5.632805E-8,1.57689E-11,4.183558E-21,1.261721E-14,7.398848E-22,3.978033E-28,1.207255E-22,1.583246E-17,2.60099E-9,2.756162E-22,7.155137E-19,9.736048E-24,1.597671E-14,7.314348E-17,5.054427E-23,2.726308E-22,7.573509E-10,1.55473E-9,0.004081008,1.41642E-11,1.68103E-23,5.922654E-16,6.962245E-18,1.641837E-16,0.0110333,0.006639902,0.02678566,9.434423,8.844113E-5,535064.0,535064.0
7.182779E-9,15.69982,-1.566984E10,1299.982,1299.982,0.001388525,1.0,0.951455,1.177039E-7,3.068879E-10,2.40806E-7,7.33717E-10,7.860041E-7,5.862743E-7,1.659787E-10,3.543881E-13,2.947642E-10,5.709776E-10,6.495559E-7,8.588899E-7,7.570988E-7,6.432712E-13,1.485206E-11,1.621432E-10,7.09906E-7,3.20941E-17,3.312852E-18,2.253905E-18,3.891097E-7,3.754141E-11,7.538448E-7,3.056475E-9,2.862708E-18,2.037887E-11,1.745983E-17,1.193835E-22,2.636725E-18,2.131998E-13,2.800269E-7,1.420483E-17,1.660925E-14,1.941349E-18,2.176942E-10,1.773069E-13,1.092815E-18,5.988522E-18,7.801681E-8,1.680244E-7,0.004080987,2.463497E-10,8.703103E-20,2.366393E-13,1.266824E-14,5.759073E-14,0.01103266,0.006639324,0.02678422,9.434377,8.844183E-5,535061.3,535061.3
2.322296E-8,15.69951,-1.704825E10,1299.935,1299.935,0.001388525,1.0,0.9514395,6.002052E-7,6.253805E-9,1.369545E-6,1.215502E-8,3.838482E-6,3.423742E-6,1.842217E-9,6.89507E-12,4.200899E-9,8.047332E-9,2.617158E-6,4.295447E-6,2.451443E-6,6.752881E-12,1.55679E-10,2.201107E-9,2.628808E-6,9.090509E-15,3.565741E-16,1.392782E-15,1.915572E-6,4.16136E-10,2.417924E-6,3.694214E-8,1.028856E-16,3.801015E-10,1.58009E-15,2.420259E-20,1.51484E-16,1.537207E-11,1.352259E-6,1.274235E-15,1.058759E-12,2.049222E-16,7.387392E-9,5.999262E-12,6.257659E-17,3.443304E-16,3.652152E-7,8.179589E-7,0.004080919,1.665613E-9,4.738583E-18,3.919629E-12,2.694253E-13,8.199449E-13,0.01103105,0.006637891,0.02678075,9.434222,8.84436E-5,535052.6,535052.6
8.771562E-8,15.69821,-1.88942E10,1299.728,1299.728,0.001388525,1.0,0.9513676,3.020065E-6,1.488743E-7,8.388173E-6,2.454347E-7,1.952138E-5,2.281913E-5,2.926141E-8,3.053912E-10,6.151181E-8,1.113629E-7,8.513598E-6,1.930301E-5,9.354977E-6,9.71816E-11,2.258783E-9,2.843724E-8,6.747745E-6,3.149244E-12,4.06748E-14,7.582887E-13,8.468933E-6,5.967469E-9,8.899664E-6,6.022261E-7,1.351989E-14,7.610046E-9,3.810296E-13,7.783366E-18,1.025989E-14,1.086011E-9,5.953993E-6,1.190105E-13,9.185796E-11,2.225216E-14,1.871322E-7,3.272252E-10,4.354456E-15,2.296369E-14,1.557313E-6,3.78432E-6,0.004080574,2.338641E-8,3.854552E-16,7.914237E-11,7.230278E-12,1.247236E-11,0.01102428,0.006631887,0.02676599,9.433502,8.845091E-5,535011.7,535011.7
2.981613E-7,15.69384,-2.243476E10,1298.95,1298.95,0.001388525,1.0,0.9510746,1.301068E-5,2.73034E-6,4.501293E-5,3.39481E-6,7.346575E-5,1.331328E-4,3.393828E-7,1.189966E-8,5.70724E-7,7.913109E-7,1.648175E-5,7.812021E-5,3.304518E-5,1.175593E-9,2.796366E-8,2.587409E-7,9.321312E-6,4.533755E-10,3.506685E-12,1.640167E-10,3.267137E-5,7.462337E-8,2.838478E-5,7.532659E-6,4.699989E-12,1.140112E-7,7.542576E-11,4.512131E-15,4.752807E-13,3.205106E-8,2.349901E-5,6.357312E-12,5.430421E-9,1.560031E-12,2.96758E-6,1.352175E-8,2.837835E-13,1.026203E-12,5.593306E-6,1.756553E-5,0.004078826,3.230307E-7,2.892353E-14,1.111383E-9,1.603502E-10,2.414877E-10,0.01099834,0.006609356,0.02670763,9.430478,8.847555E-5,534840.2,534840.2
9.210167E-7,15.6813,-2.704542E10,1296.154,1296.154,0.001388525,1.0,0.9498975,3.607001E-5,3.701858E-5,1.877496E-4,3.033001E-5,1.812063E-4,6.807346E-4,2.568911E-6,3.252023E-7,5.302869E-6,2.858843E-6,2.366072E-5,3.358185E-4,1.058336E-4,1.425771E-8,3.128422E-7,2.87475E-6,1.141957E-5,2.502709E-8,3.049334E-10,1.443246E-8,1.286111E-4,9.518336E-7,7.462199E-5,6.794571E-5,1.178192E-9,1.129282E-6,7.345178E-9,3.36091E-12,1.87408E-11,4.475671E-7,9.873451E-5,2.18104E-10,1.986639E-7,7.96021E-11,2.985258E-5,4.292889E-7,8.050653E-11,4.343632E-11,1.867396E-5,9.282188E-5,0.004069359,3.09114E-6,5.97745E-12,1.278391E-8,2.838664E-9,1.300407E-8,0.01089178,0.006519713,0.02645527,9.417704,8.854629E-5,534115.8,534115.8
1.124509E-6,15.67762,-2.740792E10,1295.169,1295.169,0.001388525,1.0,0.9494497,4.092632E-5,5.765627E-5,2.355842E-4,4.322886E-5,2.020053E-4,9.051905E-4,3.510441E-6,5.69786E-7,8.213639E-6,3.381798E-6,2.4917E-5,4.397458E-4,1.273284E-4,2.30619E-8,4.800799E-7,4.441109E-6,1.179839E-5,4.735893E-8,6.933157E-10,2.940546E-8,1.660673E-4,1.492916E-6,8.628743E-5,9.734379E-5,2.925909E-9,1.626332E-6,1.533975E-8,9.966093E-12,3.606325E-11,6.840478E-7,1.292768E-4,3.976705E-10,3.619022E-7,1.588096E-10,4.30284E-5,7.740131E-7,2.362385E-10,8.80172E-11,2.314935E-5,1.252954E-4,0.004065356,4.40625E-6,1.634255E-11,2.084009E-8,4.650381E-9,2.601416E-8,0.01085038,0.006485422,0.026355,9.412755,8.856708E-5,533835.1,533835.1
1.147297E-6,15.67722,-2.742447E10,1295.058,1295.058,0.001388525,1.0,0.9493983,4.140361E-5,6.025214E-5,2.408356E-4,4.476546E-5,2.039884E-4,9.312567E-4,3.617949E-6,6.02364E-7,8.585231E-6,3.435361E-6,2.503653E-5,4.51815E-4,1.296113E-4,2.421913E-8,5.010419E-7,4.636558E-6,1.183347E-5,5.041989E-8,7.529793E-10,3.153136E-8,1.704082E-4,1.561256E-6,8.749676E-5,1.008563E-4,3.200672E-9,1.685647E-6,1.649289E-8,1.109118E-11,3.850278E-11,7.132207E-7,1.328362E-4,4.221164E-10,3.840061E-7,1.701651E-10,4.46E-5,8.204246E-7,2.628595E-10,9.45298E-11,2.365309E-5,1.29098E-4,0.004064889,4.561485E-6,1.806091E-11,2.192516E-8,4.883972E-9,2.785157E-8,0.01084561,0.006481483,0.0263434,9.412186,8.856932E-5,533802.8,533802.8
1.18403E-6,15.67659,-2.744222E10,1294.879,1294.879,0.001388525,1.0,0.9493151,4.21469E-5,6.455496E-5,2.492426E-4,4.727791E-5,2.070507E-4,9.736205E-4,3.791649E-6,6.571344E-7,9.203525E-6,3.519632E-6,2.522097E-5,4.714337E-4,1.332348E-4,2.616089E-8,5.357559E-7,4.959649E-6,1.188716E-5,5.560078E-8,8.571863E-10,3.51622E-8,1.774632E-4,1.674624E-6,8.940655E-5,1.066034E-4,3.682937E-9,1.782657E-6,1.847114E-8,1.310887E-11,4.266572E-11,7.613188E-7,1.386274E-4,4.634565E-10,4.213165E-7,1.896347E-10,4.716992E-5,8.986244E-7,3.106611E-10,1.057556E-10,2.446584E-5,1.352902E-4,0.004064131,4.814593E-6,2.112133E-11,2.375956E-8,5.273494E-9,3.098542E-8,0.01083787,0.006475096,0.02632457,9.411263,8.857288E-5,533750.5,533750.5
