Time_Soln#10 (sec),Volume_Soln#10 (cm3),Volumetric_heat_production_rate_Soln#10 (erg/cm3-sec),Surface_temperature_Soln#10 (K),Temperature_Soln#10 (K),Mass_Soln#10 (g),Pressure_Soln#10 (atm),Mole_fraction_H2_Soln#10 (),Mole_fraction_H_Soln#10 (),Mole_fraction_CH4_Soln#10 (),Mole_fraction_CH3_Soln#10 (),Mole_fraction_C2H6_Soln#10 (),Mole_fraction_C2H5_Soln#10 (),Mole_fraction_C2H4_Soln#10 (),Mole_fraction_C2H3_Soln#10 (),Mole_fraction_C2H2_Soln#10 (),Mole_fraction_C3H8_Soln#10 (),Mole_fraction_IC3H7_Soln#10 (),Mole_fraction_NC3H7_Soln#10 (),Mole_fraction_C3H6_Soln#10 (),Mole_fraction_C3H5-A_Soln#10 (),Mole_fraction_C3H4-P_Soln#10 (),Mole_fraction_C3H4-A_Soln#10 (),Mole_fraction_C3H3_Soln#10 (),Mole_fraction_NC4H10_Soln#10 (),Mole_fraction_PC4H9_Soln#10 (),Mole_fraction_IC4H10_Soln#10 (),Mole_fraction_IC4H8_Soln#10 (),Mole_fraction_IC4H7_Soln#10 (),Mole_fraction_C4H8-1_Soln#10 (),Mole_fraction_C4H8-2_Soln#10 (),Mole_fraction_C4H71-3_Soln#10 (),Mole_fraction_C4H6_Soln#10 (),Mole_fraction_C4H5_Soln#10 (),Mole_fraction_C4H4_Soln#10 (),Mole_fraction_C6H6_Soln#10 (),Mole_fraction_FULVENE_Soln#10 (),Mole_fraction_C5H6_Soln#10 (),Mole_fraction_C5H5_Soln#10 (),Mole_fraction_MCPTD_Soln#10 (),Mole_fraction_NC5H12_Soln#10 (),Mole_fraction_NC5H10_Soln#10 (),Mole_fraction_B1M3_Soln#10 (),Mole_fraction_LC5H8_Soln#10 (),Mole_fraction_DIALLYL_Soln#10 (),Mole_fraction_CYC6H8_Soln#10 (),Mole_fraction_NC6H12_Soln#10 (),Mole_fraction_NC7H14_Soln#10 (),Mole_fraction_C7H8_Soln#10 (),Mole_fraction_C7H7_Soln#10 (),Mole_fraction_LC6H6_Soln#10 (),Mole_fraction_C6H5C2H3_Soln#10 (),Mole_fraction_C6H5C2H5_Soln#10 (),Mole_fraction_NPBENZ_Soln#10 (),Mole_fraction_NC12H26_Soln#10 (),Mole_fraction_NC16H34_Soln#10 (),Mole_fraction_NC10H20_Soln#10 (),Molecular_weight_Soln#10 (g/mole),Mass_density_Soln#10 (g/cm3),Unburned_hydrocarbons_Soln#10 (ppm),Volatile_organic_compounds_Soln#10 (ppm)
0.0,15.7,-2.147675E11,1450.0,1450.0,0.001244884,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,7.9292E-5,535064.1,535064.1
3.802559E-11,15.69999,-2.181406E11,1449.998,1449.998,0.001244884,1.0,0.9514596,5.41119E-10,7.886293E-15,7.573079E-10,3.762393E-13,3.655068E-8,1.956706E-9,5.958873E-13,7.050292E-16,1.806671E-13,9.081043E-13,3.635681E-8,2.878286E-9,7.16294E-8,2.003459E-15,4.502912E-14,9.64044E-19,9.904912E-14,3.673305E-8,5.26871E-25,3.255919E-25,1.678666E-27,1.329927E-9,4.523473E-14,7.161563E-8,1.181196E-11,1.729277E-22,1.686157E-20,5.981726E-16,6.417181E-27,4.306645E-23,1.076244E-29,7.219058E-24,2.904353E-18,1.0549E-9,2.364998E-20,3.173803E-16,4.274129E-18,2.750838E-24,2.770251E-10,7.032138E-10,0.004081007,3.095165E-11,8.954377E-34,5.474134E-24,1.19109E-16,3.643733E-17,0.01103326,0.006639864,0.02678562,9.434423,7.929206E-5,535063.9,535063.9
1.044974E-9,15.69967,-2.782317E11,1449.949,1449.949,0.001244884,1.0,0.951447,3.030433E-7,1.321608E-10,4.540918E-7,4.70554E-10,1.93005E-6,1.146894E-6,4.652232E-10,6.919537E-13,2.118584E-10,1.062527E-9,1.762748E-6,1.6895E-6,1.967488E-6,1.529841E-12,3.398512E-11,1.47496E-14,1.249845E-10,1.930558E-6,8.768022E-18,2.984395E-18,2.859056E-19,7.689314E-7,3.736558E-11,1.957145E-6,8.946372E-9,4.394067E-17,5.277379E-17,7.944799E-12,2.582776E-21,1.853463E-17,1.115896E-22,3.069625E-18,1.898437E-13,6.035067E-7,1.025054E-14,5.96815E-11,8.531964E-14,1.161306E-18,1.533524E-7,3.999931E-7,0.004080952,8.77526E-10,1.590788E-25,1.741111E-19,1.489619E-13,4.272718E-14,0.0110308,0.00663762,0.02678173,9.434297,7.929369E-5,535056.8,535056.8
4.173412E-9,15.69866,-3.223809E11,1449.763,1449.763,0.001244884,1.0,0.9513861,2.719987E-6,5.449944E-9,4.165351E-6,1.261011E-8,1.290484E-5,1.035054E-5,8.051575E-9,1.942328E-11,5.19286E-9,2.576084E-8,1.053423E-5,1.466922E-5,7.848845E-6,2.481972E-11,5.422465E-10,6.146356E-13,3.068704E-9,1.127961E-5,8.361657E-15,1.121862E-15,8.520682E-16,6.55069E-6,6.693383E-10,7.686868E-6,1.463385E-7,2.376147E-14,2.904452E-15,3.196671E-10,4.499357E-19,3.363819E-15,7.354693E-20,4.663192E-16,3.35694E-11,5.056947E-6,1.6234E-12,6.037925E-9,5.423286E-12,1.749765E-16,1.231168E-6,3.321151E-6,0.004080687,4.485628E-9,2.584658E-22,1.837481E-17,3.991006E-12,1.044382E-12,0.01102292,0.006630506,0.02677008,9.433693,7.929879E-5,535022.6,535022.6
1.072869E-8,15.69653,-3.329684E11,1449.348,1449.348,0.001244884,1.0,0.951243,9.287459E-6,5.26168E-8,1.441699E-5,1.082343E-7,4.082914E-5,3.691097E-5,5.865311E-8,2.576215E-10,4.102433E-8,1.978483E-7,2.941598E-5,4.627459E-5,2.014923E-5,1.65337E-10,3.586777E-9,6.234435E-12,2.347374E-8,2.982361E-5,6.170976E-13,3.546215E-14,1.013811E-13,2.049583E-5,4.716437E-9,1.911915E-5,9.849311E-7,1.337735E-12,5.017633E-14,3.040438E-9,1.356018E-17,1.310899E-13,4.754775E-18,1.041429E-14,8.455928E-10,1.568948E-5,3.832211E-11,7.835853E-8,9.186196E-11,3.922588E-15,3.7501E-6,1.031193E-5,0.004080051,1.909184E-8,2.338483E-20,4.123745E-16,3.423558E-11,8.226245E-12,0.01100623,0.006615515,0.02674562,9.43227,7.930955E-5,534941.9,534941.9
3.9722E-8,15.68713,-3.587627E11,1447.408,1447.408,0.001244884,1.0,0.9505467,4.873423E-5,1.051859E-6,7.747392E-5,1.862972E-6,1.833095E-4,2.183886E-4,8.621609E-7,1.22681E-8,5.99942E-7,2.483347E-6,9.28676E-5,1.894336E-4,7.429576E-5,2.268173E-9,4.958629E-8,1.471852E-10,3.201698E-7,7.88465E-5,1.640776E-10,3.072542E-12,4.034573E-11,8.28292E-5,7.18525E-8,6.201073E-5,1.299514E-5,3.111256E-10,3.995257E-12,5.95056E-8,2.096435E-15,3.234839E-11,2.073624E-15,5.99371E-13,4.910914E-8,6.312371E-5,2.536087E-9,1.760491E-6,4.621586E-9,2.391812E-13,1.473751E-5,4.294316E-5,0.004076714,2.348265E-7,8.851506E-18,2.983167E-14,5.886439E-10,1.378336E-10,0.01093132,0.006548817,0.02663244,9.425288,7.935704E-5,534545.9,534545.9
1.112039E-7,15.66511,-3.826579E11,1442.253,1442.253,0.001244884,1.0,0.9485742,1.734227E-4,1.163127E-5,3.138147E-4,1.604575E-5,5.255418E-4,9.386657E-4,5.967463E-6,2.603933E-7,4.927201E-6,1.291509E-5,1.680586E-4,5.749964E-4,2.046793E-4,1.871123E-8,4.01275E-7,1.897784E-9,2.589981E-6,1.08568E-4,1.056306E-8,1.214787E-10,3.576268E-9,2.415376E-4,7.430205E-7,1.328274E-4,8.863647E-5,2.091704E-8,3.691678E-10,6.101865E-7,1.664297E-13,2.986177E-9,9.269103E-13,1.36508E-11,8.431375E-7,1.864208E-4,6.373427E-8,1.848237E-5,9.910936E-8,9.047272E-12,4.076448E-5,1.401172E-4,0.004065072,2.149658E-6,1.098882E-15,1.722746E-12,5.201797E-9,3.029849E-9,0.01073678,0.006379413,0.0263126,9.40492,7.94686E-5,533390.8,533390.8
1.338E-7,15.65871,-3.8304E11,1440.585,1440.585,0.001244884,1.0,0.9479095,2.103197E-4,1.800252E-5,4.043609E-4,2.318509E-5,6.144029E-4,0.001215731,8.297024E-6,4.488639E-7,7.287708E-6,1.651518E-5,1.794949E-4,7.075075E-4,2.439555E-4,2.797679E-8,5.859355E-7,2.996045E-9,3.851301E-6,1.100802E-4,2.152544E-8,2.450881E-10,7.684618E-9,2.932326E-4,1.153557E-6,1.487448E-4,1.227769E-4,4.280615E-8,8.885862E-10,9.115273E-7,3.682939E-13,6.575983E-9,2.92391E-12,2.388566E-11,1.333949E-6,2.277922E-4,1.120029E-7,2.761961E-5,1.707185E-7,2.069264E-11,4.869133E-5,1.759827E-4,0.00406053,3.172664E-6,2.836273E-15,4.16498E-12,7.677291E-9,5.940702E-9,0.01067255,0.00632447,0.02619993,9.397883,7.950109E-5,532991.6,532991.6
1.410375E-7,15.65673,-3.826384E11,1440.051,1440.051,0.001244884,1.0,0.9476943,2.214073E-4,2.038773E-5,4.345184E-4,2.570589E-5,6.406079E-4,0.001307918,9.104214E-6,5.239715E-7,8.153419E-6,1.764995E-5,1.8243E-4,7.509097E-4,2.562395E-4,3.144315E-8,6.525883E-7,3.409955E-9,4.315285E-6,1.103024E-4,2.628697E-8,3.001086E-10,9.518021E-9,3.099069E-4,1.307412E-6,1.533799E-4,1.345063E-4,5.227582E-8,1.14056E-9,1.019811E-6,4.612176E-13,8.20396E-9,4.041828E-12,2.800237E-11,1.51472E-6,2.412683E-4,1.313347E-7,3.089775E-5,1.991246E-7,2.652668E-11,5.119806E-5,1.87921E-4,0.004059005,3.537677E-6,3.754517E-15,5.39297E-12,8.583326E-9,7.21116E-9,0.01065178,0.006306785,0.02616286,9.395589,7.951116E-5,532861.5,532861.5
1.488465E-7,15.65462,-3.819499E11,1439.476,1439.476,0.001244884,1.0,0.9474611,2.329323E-4,2.315414E-5,4.676075E-4,2.854546E-5,6.676655E-4,0.001409022,1.00062E-5,6.136952E-7,9.148307E-6,1.885884E-5,1.852627E-4,7.98217E-4,2.693137E-4,3.54734E-8,7.285533E-7,3.891299E-9,4.848735E-6,1.10439E-4,3.220293E-8,3.696246E-10,1.182343E-8,3.279496E-4,1.485692E-6,1.581546E-4,1.475501E-4,6.399878E-8,1.471422E-9,1.142665E-6,5.801476E-13,1.026704E-8,5.616534E-12,3.294179E-11,1.722087E-6,2.55921E-4,1.544623E-7,3.461353E-5,2.329521E-7,3.437997E-11,5.388463E-5,2.010249E-4,0.004057326,3.950294E-6,5.029776E-15,7.041745E-12,9.625928E-9,8.794895E-9,0.01062927,0.00628767,0.02612238,9.393096,7.952183E-5,532720.1,532720.1
