Time_Soln#13 (sec),Volume_Soln#13 (cm3),Volumetric_heat_production_rate_Soln#13 (erg/cm3-sec),Surface_temperature_Soln#13 (K),Temperature_Soln#13 (K),Mass_Soln#13 (g),Pressure_Soln#13 (atm),Mole_fraction_H2_Soln#13 (),Mole_fraction_H_Soln#13 (),Mole_fraction_CH4_Soln#13 (),Mole_fraction_CH3_Soln#13 (),Mole_fraction_C2H6_Soln#13 (),Mole_fraction_C2H5_Soln#13 (),Mole_fraction_C2H4_Soln#13 (),Mole_fraction_C2H3_Soln#13 (),Mole_fraction_C2H2_Soln#13 (),Mole_fraction_C3H8_Soln#13 (),Mole_fraction_IC3H7_Soln#13 (),Mole_fraction_NC3H7_Soln#13 (),Mole_fraction_C3H6_Soln#13 (),Mole_fraction_C3H5-A_Soln#13 (),Mole_fraction_C3H4-P_Soln#13 (),Mole_fraction_C3H4-A_Soln#13 (),Mole_fraction_C3H3_Soln#13 (),Mole_fraction_NC4H10_Soln#13 (),Mole_fraction_PC4H9_Soln#13 (),Mole_fraction_IC4H10_Soln#13 (),Mole_fraction_IC4H8_Soln#13 (),Mole_fraction_IC4H7_Soln#13 (),Mole_fraction_C4H8-1_Soln#13 (),Mole_fraction_C4H8-2_Soln#13 (),Mole_fraction_C4H71-3_Soln#13 (),Mole_fraction_C4H6_Soln#13 (),Mole_fraction_C4H5_Soln#13 (),Mole_fraction_C4H4_Soln#13 (),Mole_fraction_C4H2_Soln#13 (),Mole_fraction_C6H6_Soln#13 (),Mole_fraction_FULVENE_Soln#13 (),Mole_fraction_C5H6_Soln#13 (),Mole_fraction_C5H5_Soln#13 (),Mole_fraction_NC5H12_Soln#13 (),Mole_fraction_NC5H10_Soln#13 (),Mole_fraction_B1M3_Soln#13 (),Mole_fraction_LC5H8_Soln#13 (),Mole_fraction_DIALLYL_Soln#13 (),Mole_fraction_NC6H12_Soln#13 (),Mole_fraction_NC7H15_Soln#13 (),Mole_fraction_NC7H14_Soln#13 (),Mole_fraction_C7H8_Soln#13 (),Mole_fraction_C7H7_Soln#13 (),Mole_fraction_LC6H6_Soln#13 (),Mole_fraction_C6H5C2H3_Soln#13 (),Mole_fraction_C6H5C2H5_Soln#13 (),Mole_fraction_NPBENZ_Soln#13 (),Mole_fraction_NC12H26_Soln#13 (),Mole_fraction_NC16H34_Soln#13 (),Mole_fraction_NC10H20_Soln#13 (),Molecular_weight_Soln#13 (g/mole),Mass_density_Soln#13 (g/cm3),Unburned_hydrocarbons_Soln#13 (ppm),Volatile_organic_compounds_Soln#13 (ppm)
0.0,15.7,-2.429501E12,1600.0,1600.0,0.001128176,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,7.185838E-5,535064.1,535064.1
8.91527E-12,15.69997,-2.454007E12,1599.995,1599.995,0.001128176,1.0,0.951459,1.255746E-9,5.181384E-15,1.404005E-9,4.596338E-13,1.191024E-7,3.730785E-9,1.733983E-12,1.523951E-15,2.296896E-13,2.420824E-12,1.187791E-7,5.294093E-9,1.747838E-7,4.37679E-15,9.920429E-14,2.910766E-18,1.332611E-13,1.194427E-7,3.02585E-25,4.022728E-25,1.19765E-27,2.435605E-9,5.996133E-14,1.747384E-7,3.836754E-11,2.641666E-21,1.959346E-19,1.053442E-19,3.699644E-16,2.043812E-26,6.32372E-23,1.257729E-29,6.938787E-18,2.061919E-9,2.192936E-20,1.661483E-16,3.002318E-18,4.918704E-10,5.504922E-7,1.464654E-9,0.004081005,9.538148E-11,2.145059E-33,2.063536E-23,1.402475E-16,4.585204E-17,0.01103305,0.00663967,0.0267854,9.434417,7.185851E-5,535063.6,535063.6
3.410147E-10,15.6989,-3.095372E12,1599.801,1599.801,0.001128176,1.0,0.9514087,1.382602E-6,2.416062E-10,1.66103E-6,1.021111E-9,7.906245E-6,4.315922E-6,2.678922E-9,2.991828E-12,4.864929E-10,5.110967E-9,7.385664E-6,6.195552E-6,6.67526E-6,6.676933E-12,1.451386E-10,1.225678E-13,3.011806E-10,8.01038E-6,2.622066E-17,2.099182E-17,8.361978E-19,2.812335E-6,9.702345E-11,6.609453E-6,5.582682E-8,6.56981E-16,2.077717E-15,1.535352E-16,1.254528E-11,3.118113E-20,1.075737E-16,7.555517E-22,1.0359E-12,2.37035E-6,3.738134E-14,1.005156E-10,1.642335E-13,5.470873E-7,1.399877E-5,1.66483E-6,0.004080785,3.695958E-9,2.686137E-24,1.61233E-18,3.115636E-13,9.715061E-14,0.01102167,0.006629257,0.02677207,9.433918,7.186343E-5,535035.3,535035.3
1.523476E-9,15.69527,-3.61675E12,1598.95,1598.95,0.001128176,1.0,0.9511224,1.545737E-5,1.353149E-8,1.829298E-5,3.380617E-8,5.885322E-5,4.623751E-5,6.082403E-8,1.170939E-10,1.514331E-8,1.554496E-7,5.027467E-5,6.601494E-5,2.965565E-5,1.424396E-10,2.890245E-9,7.848441E-12,9.462938E-9,5.426223E-5,4.238962E-14,1.315616E-14,4.639933E-15,2.939251E-5,2.267607E-9,2.839101E-5,1.097169E-6,5.255073E-13,1.65573E-13,3.027465E-15,7.052793E-10,8.187444E-18,2.929052E-14,8.740767E-19,2.598123E-10,2.452846E-5,8.831017E-12,1.551377E-8,1.45386E-11,5.393392E-6,2.308441E-5,1.689471E-5,0.00407954,1.912101E-8,8.494231E-21,2.290214E-16,1.031151E-11,2.99982E-12,0.01098031,0.006591832,0.02672802,9.431078,7.188005E-5,534874.3,534874.3
4.016552E-9,15.6878,-3.619953E12,1597.07,1597.07,0.001128176,1.0,0.9504573,5.45871E-5,1.336525E-7,6.211804E-5,2.950895E-7,1.833813E-4,1.594684E-4,4.706808E-7,1.745901E-9,1.295063E-7,1.249872E-6,1.447865E-4,2.121423E-4,7.730123E-5,1.0144E-9,1.991228E-8,9.860594E-11,7.841338E-8,1.516697E-4,3.346793E-12,4.327686E-13,6.004283E-13,9.375367E-5,1.748328E-8,6.918676E-5,7.285424E-6,3.174514E-11,2.84367E-12,2.09088E-14,7.156912E-9,2.538589E-16,1.194732E-12,6.784341E-17,6.881994E-9,7.764324E-5,2.108101E-10,2.155909E-7,2.626415E-10,1.678709E-5,2.301636E-5,5.319404E-5,0.004076614,7.185089E-8,8.666909E-19,5.320059E-15,8.991916E-11,2.5189E-11,0.01089436,0.006514572,0.02663748,9.424474,7.191427E-5,534499.7,534499.7
1.370833E-8,15.66041,-3.459696E12,1589.936,1589.936,0.001128176,1.0,0.9478838,2.4561E-4,1.968673E-6,2.604126E-4,3.8828E-6,6.774476E-4,7.215512E-4,5.237651E-6,6.246552E-8,1.800436E-6,1.338367E-5,4.372139E-4,7.472828E-4,2.526111E-4,1.143151E-8,2.24026E-7,2.255453E-9,9.923963E-7,4.211896E-4,5.637535E-10,2.339973E-11,1.45431E-10,3.277769E-4,2.421171E-7,1.797797E-4,6.931996E-5,4.474571E-9,1.001845E-10,3.088868E-13,1.12878E-7,2.45985E-14,1.817398E-10,2.480017E-14,2.924955E-7,2.680035E-4,8.497226E-9,3.849027E-6,9.894661E-9,5.759082E-5,2.117168E-5,1.864442E-4,0.004064725,6.025262E-7,2.081121E-16,2.685293E-13,1.179244E-9,3.753097E-10,0.01058277,0.006238021,0.02629339,9.398785,7.204005E-5,533042.8,533042.8
4.363883E-8,15.5929,-2.830485E12,1570.366,1570.366,0.001128176,1.0,0.9404836,8.813969E-4,2.488944E-5,0.001084923,3.835984E-5,0.001960629,0.003121923,3.613536E-5,1.628051E-6,2.28838E-5,8.231323E-5,8.533919E-4,0.002169291,6.982915E-4,1.112833E-7,2.081801E-6,3.426262E-8,1.083589E-5,6.641859E-4,5.360452E-8,1.010165E-9,1.761117E-8,9.205046E-4,3.266933E-6,3.074153E-4,4.212354E-4,3.280174E-7,4.879053E-9,1.035497E-11,1.373431E-6,2.572379E-12,2.139413E-8,1.753476E-11,6.563331E-6,7.440463E-4,2.110825E-7,4.724779E-5,2.684829E-7,1.560057E-4,1.711797E-5,5.500689E-4,0.004024061,5.913756E-6,3.975971E-14,2.099518E-11,1.184306E-8,1.164583E-8,0.00978688,0.005557058,0.02527701,9.323284,7.235191E-5,528760.8,528760.8
5.924544E-8,15.56695,-2.514966E12,1561.712,1561.712,0.001128176,1.0,0.9370526,0.001127986,4.930126E-5,0.00160892,6.710258E-5,0.002399329,0.004515357,5.770326E-5,3.757715E-6,4.413001E-5,1.180371E-4,9.141857E-4,0.002825965,8.753226E-4,2.102882E-7,3.666487E-6,6.502294E-8,2.019736E-5,6.510547E-4,1.664524E-7,2.870701E-9,5.576546E-8,0.001173459,6.366413E-6,3.307147E-4,6.293957E-4,8.881621E-7,1.607913E-8,2.834692E-11,2.516107E-6,8.543411E-12,6.884591E-8,9.66344E-11,1.320192E-5,9.51652E-4,4.693107E-7,8.581034E-5,6.08687E-7,1.95577E-4,1.562511E-5,7.223273E-4,0.004001689,1.047468E-5,1.831235E-13,8.082719E-11,2.148016E-8,3.316394E-8,0.00944213,0.005273271,0.02476877,9.287367,7.247253E-5,526723.8,526723.8
6.223849E-8,15.56259,-2.457826E12,1560.167,1560.167,0.001128176,1.0,0.9364288,0.001166627,5.505907E-5,0.001714244,7.322286E-5,0.002465861,0.004783566,6.214684E-5,4.295191E-6,4.892841E-5,1.243063E-4,9.192061E-4,0.00294702,9.052153E-4,2.335568E-7,4.009544E-6,7.184833E-8,2.228291E-5,6.446547E-4,1.989363E-7,3.40502E-9,6.665507E-8,0.001218558,7.067516E-6,3.339399E-4,6.693352E-4,1.034673E-6,1.95156E-8,3.324679E-11,2.763417E-6,1.032976E-11,8.254064E-8,1.261171E-10,1.467653E-5,9.892558E-4,5.327734E-7,9.40712E-5,6.919847E-7,2.024736E-4,1.537117E-5,7.54213E-4,0.003997392,1.144274E-5,2.363651E-13,1.007358E-10,2.366341E-8,3.91894E-8,0.009380281,0.005223045,0.02467321,9.280777,7.249284E-5,526350.1,526350.1
6.63379E-8,15.55691,-2.381524E12,1558.107,1558.107,0.001128176,1.0,0.9355918,0.001215185,6.351992E-5,0.001860319,8.187271E-5,0.002548529,0.005149977,6.836615E-5,5.103371E-6,5.58438E-5,1.325414E-4,9.23463E-4,0.003110476,9.441455E-4,2.677822E-7,4.497506E-6,8.164179E-8,2.527435E-5,6.346926E-4,2.500345E-7,4.250239E-9,8.367337E-8,0.001278718,8.077964E-6,3.379087E-4,7.23845E-4,1.256286E-6,2.506539E-8,4.079384E-11,3.114311E-6,1.318429E-11,1.040395E-7,1.772041E-10,1.67814E-5,0.001039734,6.272844E-7,1.057435E-4,8.154777E-7,2.115984E-4,1.503765E-5,7.972855E-4,0.003991522,1.280581E-5,3.300521E-13,1.339488E-10,2.684205E-8,4.85598E-8,0.009297597,0.005156219,0.02454344,9.271907,7.251931E-5,525847.0,525847.0
