Time_Soln#20 (sec),Volume_Soln#20 (cm3),Volumetric_heat_production_rate_Soln#20 (erg/cm3-sec),Surface_temperature_Soln#20 (K),Temperature_Soln#20 (K),Mass_Soln#20 (g),Pressure_Soln#20 (atm),Mole_fraction_H2_Soln#20 (),Mole_fraction_H_Soln#20 (),Mole_fraction_CH4_Soln#20 (),Mole_fraction_CH3_Soln#20 (),Mole_fraction_C2H6_Soln#20 (),Mole_fraction_C2H5_Soln#20 (),Mole_fraction_C2H4_Soln#20 (),Mole_fraction_C2H3_Soln#20 (),Mole_fraction_C2H2_Soln#20 (),Mole_fraction_C3H8_Soln#20 (),Mole_fraction_IC3H7_Soln#20 (),Mole_fraction_NC3H7_Soln#20 (),Mole_fraction_C3H6_Soln#20 (),Mole_fraction_C3H5-A_Soln#20 (),Mole_fraction_C3H5-T_Soln#20 (),Mole_fraction_C3H4-P_Soln#20 (),Mole_fraction_C3H4-A_Soln#20 (),Mole_fraction_C3H3_Soln#20 (),Mole_fraction_NC4H10_Soln#20 (),Mole_fraction_PC4H9_Soln#20 (),Mole_fraction_IC4H10_Soln#20 (),Mole_fraction_IC4H8_Soln#20 (),Mole_fraction_C4H8-1_Soln#20 (),Mole_fraction_C4H8-2_Soln#20 (),Mole_fraction_C4H71-3_Soln#20 (),Mole_fraction_C4H6_Soln#20 (),Mole_fraction_C4H5_Soln#20 (),Mole_fraction_C4H4_Soln#20 (),Mole_fraction_C4H2_Soln#20 (),Mole_fraction_C6H6_Soln#20 (),Mole_fraction_FULVENE_Soln#20 (),Mole_fraction_C5H6_Soln#20 (),Mole_fraction_C5H5_Soln#20 (),Mole_fraction_C10H8_Soln#20 (),Mole_fraction_NC5H12_Soln#20 (),Mole_fraction_NC5H11_Soln#20 (),Mole_fraction_NC5H10_Soln#20 (),Mole_fraction_LC5H8_Soln#20 (),Mole_fraction_NC6H12_Soln#20 (),Mole_fraction_NC7H15_Soln#20 (),Mole_fraction_NC7H14_Soln#20 (),Mole_fraction_C7H8_Soln#20 (),Mole_fraction_C7H7_Soln#20 (),Mole_fraction_C6H5C2H_Soln#20 (),Mole_fraction_C6H5C2H3_Soln#20 (),Mole_fraction_NC10H21_Soln#20 (),Mole_fraction_NC12H25_Soln#20 (),Mole_fraction_NC12H26_Soln#20 (),Mole_fraction_NC16H34_Soln#20 (),Mole_fraction_NC10H20_Soln#20 (),Molecular_weight_Soln#20 (g/mole),Mass_density_Soln#20 (g/cm3),Unburned_hydrocarbons_Soln#20 (ppm),Volatile_organic_compounds_Soln#20 (ppm)
0.0,15.7,-1.666713E14,1950.0,1950.0,9.256833E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.896072E-5,535064.1,535064.1
3.591311E-13,15.69993,-1.670302E14,1949.985,1949.985,9.256833E-4,1.0,0.951457,1.392723E-9,3.924242E-16,1.073468E-9,1.727121E-13,4.682236E-7,2.969359E-9,2.75558E-12,9.687215E-16,9.511087E-14,3.328185E-12,4.680057E-7,3.985442E-9,4.099813E-7,7.783688E-18,2.804852E-15,7.104631E-14,1.011836E-17,5.977732E-14,4.684689E-7,3.500191E-27,2.734794E-26,1.82126E-9,2.592613E-14,4.098844E-7,7.783489E-11,3.82332E-20,1.421166E-18,4.612751E-19,2.178038E-17,6.141851E-27,9.728892E-24,1.969391E-30,8.567201E-29,4.646696E-18,7.577023E-7,1.770747E-9,7.509611E-18,3.49898E-10,1.792857E-6,1.326324E-9,0.004080996,1.041999E-10,2.425247E-33,3.367879E-23,4.02271E-7,8.284677E-7,0.01103215,0.006638841,0.02678487,9.434397,5.896098E-5,535062.5,535062.5
2.464541E-11,15.69562,-1.873747E14,1948.94,1948.94,9.256833E-4,1.0,0.9512082,5.539905E-6,1.072694E-10,4.569475E-6,9.613093E-10,4.081118E-5,1.252424E-5,1.406134E-8,6.420038E-12,5.205633E-10,1.814645E-8,3.974839E-5,1.696274E-5,2.796992E-5,6.154642E-14,1.76647E-11,3.367774E-10,2.647074E-12,3.377675E-10,4.157687E-5,4.151953E-18,2.615E-17,7.708279E-6,1.34605E-10,2.75224E-5,3.602752E-7,1.286521E-14,1.829554E-13,2.151217E-15,3.852563E-12,8.079369E-20,1.619671E-16,1.657479E-21,1.241201E-21,2.102724E-12,4.714072E-5,7.503795E-6,2.031439E-11,1.459451E-6,1.030641E-4,5.572125E-6,0.004079921,7.154973E-9,5.9053E-26,1.114751E-17,2.497593E-5,4.699292E-5,0.01095129,0.006564519,0.02672651,9.431929,5.897718E-5,534922.5,534922.5
1.807715E-10,15.67553,-2.193448E14,1940.91,1940.91,9.256833E-4,1.0,0.9485032,1.776398E-4,2.733146E-8,1.406877E-4,8.197642E-8,5.072336E-4,3.693716E-4,9.608571E-7,9.314694E-10,4.409532E-8,1.42986E-6,4.588672E-4,5.152804E-4,1.979223E-4,7.428549E-11,1.785277E-9,1.824245E-8,8.674677E-10,2.874068E-8,4.994793E-4,8.071279E-14,2.120868E-13,2.29774E-4,9.719703E-9,1.767937E-4,1.727272E-5,2.470007E-11,6.046872E-11,1.078212E-13,1.014982E-9,1.615209E-16,3.01882E-13,2.253402E-17,3.097681E-18,2.379294E-9,1.741437E-4,2.230836E-4,2.474544E-8,4.129893E-5,3.016488E-4,1.606825E-4,0.004068262,5.746342E-8,4.240361E-22,6.052968E-15,8.84119E-5,1.288746E-4,0.01045551,0.006119244,0.02641923,9.405106,5.905277E-5,533401.3,533401.3
5.187939E-10,15.6429,-1.817856E14,1924.412,1924.412,9.256833E-4,1.0,0.9424046,6.832508E-4,3.247806E-7,5.088673E-4,7.908079E-7,0.001599372,0.001301829,8.039186E-6,1.614744E-8,4.807467E-7,1.268356E-5,0.001377783,0.001818307,5.299909E-4,3.031559E-9,1.687104E-8,1.41793E-7,1.430941E-8,2.768523E-7,0.001495194,9.012395E-12,9.419867E-12,8.037561E-4,9.225179E-8,3.960524E-4,1.119429E-4,1.683996E-9,1.016019E-9,7.652388E-13,1.283668E-8,6.725815E-15,1.393737E-11,2.623761E-15,1.575387E-16,7.654631E-8,1.672903E-4,7.634306E-4,4.848092E-7,1.405424E-4,2.739603E-4,5.449161E-4,0.004041878,2.182729E-7,6.226323E-20,1.532235E-13,7.975867E-5,1.105627E-4,0.009568774,0.005352882,0.02587449,9.344612,5.917594E-5,529970.4,529970.4
1.463908E-9,15.57134,-1.148512E14,1891.575,1891.575,9.256833E-4,1.0,0.9305998,0.001873455,2.522097E-6,0.001273137,5.561723E-6,0.003709109,0.003215199,4.435041E-5,2.406475E-7,4.586493E-6,7.794283E-5,0.002996401,0.004270529,0.001277229,6.161731E-8,1.055635E-7,9.382948E-7,1.520136E-7,2.070939E-6,0.003248597,5.133206E-10,1.815839E-10,0.001882338,7.423405E-7,6.62017E-4,5.251666E-4,6.425747E-8,1.084978E-8,4.655716E-12,1.110659E-7,2.501472E-13,5.88562E-10,2.559779E-13,5.360333E-15,1.325751E-6,1.12449E-4,0.001689387,4.834976E-6,3.24964E-4,1.854474E-4,0.00122992,0.003989962,1.013249E-6,8.794373E-18,2.800283E-12,4.842647E-5,6.865328E-5,0.007940827,0.00403759,0.0246631,9.227372,5.944788E-5,523321.3,523321.3
4.155499E-9,15.44471,-5.536164E13,1840.577,1840.577,9.256833E-4,1.0,0.913053,0.004036809,1.530206E-5,0.002701585,3.000301E-5,0.006770762,0.006688353,1.590211E-4,2.765397E-6,3.844916E-5,3.26854E-4,0.004782868,0.007634124,0.002658841,7.455439E-7,4.840061E-7,5.315115E-6,9.543238E-7,1.303223E-5,0.005146685,1.807546E-8,2.111304E-9,0.003343785,5.182415E-6,7.600472E-4,0.001658299,1.355002E-6,6.908224E-8,3.228407E-11,7.48205E-7,8.83093E-12,1.819236E-8,2.081031E-11,1.283206E-13,1.372672E-5,6.082446E-5,0.002711105,3.248824E-5,5.69453E-4,9.956886E-5,0.00207372,0.00390777,5.062523E-6,1.224563E-15,4.520346E-11,2.176163E-5,3.171523E-5,0.005745597,0.002472988,0.02238314,9.052213,5.993531E-5,513387.3,513387.3
7.684473E-9,15.35249,-3.249028E13,1804.628,1804.628,9.256833E-4,1.0,0.9008238,0.005566381,4.221552E-5,0.004255387,7.264923E-5,0.008713133,0.01007361,2.990326E-4,1.0435E-5,1.193586E-4,6.233027E-4,0.005361831,0.009777722,0.003725205,2.567274E-6,1.106143E-6,1.357105E-5,2.19305E-6,3.560627E-5,0.005651536,1.231867E-7,7.984309E-9,0.00422318,1.46597E-5,7.121701E-4,0.002716984,6.032039E-6,1.747544E-7,1.288688E-10,2.042014E-6,6.129858E-11,1.094747E-7,2.414655E-10,7.82257E-13,4.343001E-5,4.019541E-5,0.003177369,8.487464E-5,7.106843E-4,6.349991E-5,0.002530721,0.003842592,1.244321E-5,2.335736E-14,2.449215E-10,1.251576E-5,1.809218E-5,0.004440462,0.001673913,0.02045462,8.928726,6.029533E-5,506383.8,506383.8
1.218438E-8,15.28558,-2.080491E13,1776.386,1776.386,9.256833E-4,1.0,0.8909376,0.006539351,9.133722E-5,0.006208984,1.346715E-4,0.009941045,0.0137376,4.756612E-4,2.747224E-5,2.557635E-4,9.081838E-4,0.00532602,0.01143018,0.004525992,5.78238E-6,2.07721E-6,2.611645E-5,3.709857E-6,7.178482E-5,0.005421022,4.854294E-7,2.183426E-8,0.004825571,2.976013E-5,6.558668E-4,0.003662955,1.59858E-5,3.676219E-7,3.941995E-10,4.061115E-6,2.363047E-10,3.731749E-7,1.371317E-9,3.097674E-12,9.260785E-5,2.94807E-5,0.003441104,1.603402E-4,8.033189E-4,4.412743E-5,0.002824853,0.003781733,2.320934E-5,2.188254E-13,9.111306E-10,8.32081E-6,1.152167E-5,0.003542893,0.001189888,0.01871354,8.827463,6.055927E-5,500640.9,500640.9
1.641265E-8,15.24844,-1.520471E13,1758.152,1758.152,9.256833E-4,1.0,0.8842566,0.006940381,1.520508E-4,0.008040941,1.966445E-4,0.01045191,0.0167746,6.413502E-4,5.085741E-5,3.985407E-4,0.001096317,0.005045127,0.01254086,0.004971419,9.240505E-6,3.167482E-6,3.8809E-5,5.036175E-6,1.091515E-4,0.004944667,1.138852E-6,4.263548E-8,0.005171722,4.518107E-5,6.195474E-4,0.004327224,2.810154E-5,6.366624E-7,8.116473E-10,6.125538E-6,5.399791E-10,7.776169E-7,3.947801E-9,7.667608E-12,1.434138E-4,2.421992E-5,0.003584078,2.319333E-4,8.543933E-4,3.458035E-5,0.002988718,0.003735311,3.364849E-5,9.229997E-13,2.153436E-9,6.482748E-6,8.52353E-6,0.003013834,9.323776E-4,0.01745579,8.758131,6.070676E-5,496708.8,496708.8
