Time_Soln#24 (sec),Volume_Soln#24 (cm3),Volumetric_heat_production_rate_Soln#24 (erg/cm3-sec),Surface_temperature_Soln#24 (K),Temperature_Soln#24 (K),Mass_Soln#24 (g),Pressure_Soln#24 (atm),Mole_fraction_H2_Soln#24 (),Mole_fraction_H_Soln#24 (),Mole_fraction_CH4_Soln#24 (),Mole_fraction_CH3_Soln#24 (),Mole_fraction_CH2_Soln#24 (),Mole_fraction_C2H6_Soln#24 (),Mole_fraction_C2H5_Soln#24 (),Mole_fraction_C2H4_Soln#24 (),Mole_fraction_C2H3_Soln#24 (),Mole_fraction_C2H2_Soln#24 (),Mole_fraction_C3H8_Soln#24 (),Mole_fraction_IC3H7_Soln#24 (),Mole_fraction_NC3H7_Soln#24 (),Mole_fraction_C3H6_Soln#24 (),Mole_fraction_C3H5-A_Soln#24 (),Mole_fraction_C3H5-T_Soln#24 (),Mole_fraction_C3H4-P_Soln#24 (),Mole_fraction_C3H4-A_Soln#24 (),Mole_fraction_C3H3_Soln#24 (),Mole_fraction_C3H2_Soln#24 (),Mole_fraction_NC4H10_Soln#24 (),Mole_fraction_PC4H9_Soln#24 (),Mole_fraction_C4H8-1_Soln#24 (),Mole_fraction_C4H8-2_Soln#24 (),Mole_fraction_C4H71-3_Soln#24 (),Mole_fraction_C4H6_Soln#24 (),Mole_fraction_C4H5_Soln#24 (),Mole_fraction_C4H4_Soln#24 (),Mole_fraction_C4H2_Soln#24 (),Mole_fraction_C6H6_Soln#24 (),Mole_fraction_FULVENE_Soln#24 (),Mole_fraction_C5H6_Soln#24 (),Mole_fraction_C10H8_Soln#24 (),Mole_fraction_NC5H12_Soln#24 (),Mole_fraction_NC5H11_Soln#24 (),Mole_fraction_NC5H10_Soln#24 (),Mole_fraction_LC5H8_Soln#24 (),Mole_fraction_NC6H12_Soln#24 (),Mole_fraction_NC7H15_Soln#24 (),Mole_fraction_NC7H14_Soln#24 (),Mole_fraction_C7H8_Soln#24 (),Mole_fraction_C7H7_Soln#24 (),Mole_fraction_C6H5C2H_Soln#24 (),Mole_fraction_C12H8_Soln#24 (),Mole_fraction_C14H10_Soln#24 (),Mole_fraction_NC10H21_Soln#24 (),Mole_fraction_NC12H25_Soln#24 (),Mole_fraction_NC12H26_Soln#24 (),Mole_fraction_NC16H34_Soln#24 (),Mole_fraction_NC10H20_Soln#24 (),Molecular_weight_Soln#24 (g/mole),Mass_density_Soln#24 (g/cm3),Unburned_hydrocarbons_Soln#24 (ppm),Volatile_organic_compounds_Soln#24 (ppm)
0.0,15.7,-1.006999E15,2150.0,2150.0,8.395732E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.3476E-5,535064.1,535064.1
4.24574E-14,15.69996,-1.007423E15,2149.989,2149.989,8.395732E-4,1.0,0.9514576,3.25245E-10,1.345513E-17,2.093898E-10,2.500812E-22,2.522052E-14,3.902382E-7,5.867611E-10,7.212089E-13,1.402117E-16,1.467797E-14,8.20957E-13,3.90197E-7,7.719387E-10,2.729686E-7,9.593673E-19,4.04787E-16,1.135824E-14,2.665317E-18,4.847927E-29,9.495439E-15,3.902841E-7,3.518952E-10,3.983409E-15,2.729385E-7,2.322308E-11,1.085943E-20,3.857946E-19,1.016666E-19,7.06978E-19,1.491696E-28,1.958594E-25,3.805768E-30,3.899344E-19,5.993423E-7,3.672317E-10,2.008037E-19,6.635524E-11,1.397579E-6,2.749393E-10,0.004080999,2.556651E-11,1.237714E-35,2.366819E-50,2.771586E-22,3.367504E-7,6.943411E-7,0.01103235,0.006639023,0.02678516,9.434403,5.347615E-5,535062.8,535062.8
5.221496E-12,15.69493,-1.053724E15,2148.591,2148.591,8.395732E-4,1.0,0.9511435,4.26453E-6,2.19009E-11,2.992461E-6,4.103639E-16,4.076598E-10,5.321658E-5,8.363082E-6,1.171209E-8,3.054558E-12,2.354615E-10,1.313583E-8,5.25876E-5,1.105217E-5,3.334303E-5,2.419597E-14,1.012711E-11,1.742012E-10,4.128947E-12,8.220741E-21,1.546871E-10,5.379754E-5,5.026268E-6,6.571309E-11,3.289704E-5,3.445016E-7,1.847074E-14,3.548251E-13,1.519278E-15,6.360217E-13,1.608748E-20,3.440255E-17,5.85953E-22,8.010622E-13,6.988239E-5,5.2455E-6,1.995407E-12,9.420259E-7,1.576844E-4,3.912164E-6,0.004079648,3.142343E-9,3.279937E-27,3.170951E-36,4.174567E-18,3.92446E-5,7.773524E-5,0.01091136,0.006527702,0.02671284,9.431288,5.349328E-5,534886.2,534886.2
5.899052E-11,15.66309,-1.147453E15,2132.515,2132.515,8.395732E-4,1.0,0.9459465,3.426727E-4,2.123078E-8,2.332621E-4,8.818685E-13,7.392339E-8,9.384134E-4,6.226408E-4,2.043805E-6,1.398737E-9,4.302631E-8,2.207163E-6,8.674399E-4,8.489737E-4,3.54381E-4,1.14375E-10,4.367767E-9,2.389248E-8,4.617115E-9,9.879355E-16,2.835927E-8,9.422587E-4,3.801929E-4,1.272806E-8,3.077897E-4,3.682234E-5,5.80861E-11,3.932603E-10,1.738683E-13,6.396171E-10,1.901261E-16,3.535522E-13,7.629854E-18,2.769869E-9,4.362044E-4,3.9329E-4,1.422405E-8,6.835925E-5,8.067691E-4,2.864885E-4,0.004057311,3.935878E-8,1.985028E-22,4.959344E-29,6.733762E-16,2.3656E-4,3.694755E-4,0.009790651,0.005534966,0.02612855,9.379755,5.360203E-5,531963.5,531963.5
1.435442E-10,15.63656,-9.189422E14,2109.519,2109.519,8.395732E-4,1.0,0.9373344,0.001124947,1.823971E-7,7.411427E-4,1.773174E-11,4.840637E-7,0.002454578,0.001900165,1.210997E-5,1.426512E-8,3.156535E-7,1.341518E-5,0.002172731,0.002638968,7.987177E-4,2.884538E-9,3.155631E-8,1.370643E-7,4.58841E-8,8.048566E-14,1.844509E-7,0.00237567,0.001172092,8.561193E-8,5.886217E-4,1.691804E-4,1.706603E-9,3.880566E-9,8.76857E-13,5.773095E-9,4.633713E-15,8.116261E-12,1.921959E-16,5.089545E-8,4.573848E-4,0.001180064,2.07772E-7,2.053753E-4,7.779089E-4,8.543373E-4,0.004020247,1.234558E-7,1.321875E-20,1.862745E-26,6.665672E-15,2.302847E-4,3.278554E-4,0.008475185,0.00444812,0.02545413,9.294349,5.369297E-5,527119.8,527119.8
3.40836E-10,15.58784,-5.588073E14,2072.614,2072.614,8.395732E-4,1.0,0.9238207,0.002577152,1.052831E-6,0.001607125,2.114708E-10,2.440012E-6,0.004866419,0.003931917,5.089868E-5,1.203845E-7,2.022645E-6,6.083044E-5,0.004113216,0.005474522,0.001647833,3.745202E-8,1.473627E-7,6.533282E-7,3.142332E-7,3.288805E-12,9.419897E-7,0.004520653,0.002423858,4.568052E-7,9.149494E-4,6.007605E-4,3.340504E-8,2.619656E-8,3.784984E-12,3.608213E-8,9.229883E-14,1.572163E-10,3.327908E-15,5.553638E-7,2.989211E-4,0.00228629,1.646112E-6,4.174397E-4,5.083778E-4,0.001689218,0.003961762,4.376253E-7,7.597808E-19,5.64787E-24,7.359101E-14,1.310145E-4,1.894721E-4,0.006587698,0.003034399,0.02421104,9.160288,5.386079E-5,519516.7,519516.7
8.336629E-10,15.49652,-2.759155E14,2022.692,2022.692,8.395732E-4,1.0,0.9069116,0.004828346,4.793629E-6,0.002802982,1.68032E-9,1.013509E-5,0.007849435,0.00648486,1.579285E-4,9.051397E-7,1.178868E-5,2.16245E-4,0.00620699,0.008769775,0.003145675,3.138463E-7,5.085602E-7,2.820314E-6,1.590676E-6,8.336884E-11,4.146089E-6,0.006910603,0.003882062,2.128486E-6,0.001109942,0.001691168,4.566695E-7,1.296394E-7,1.631022E-11,1.841461E-7,1.919511E-12,2.772034E-9,4.593293E-14,4.055E-6,1.533858E-4,0.003242975,8.929986E-6,6.580598E-4,2.686344E-4,0.002539158,0.003887111,1.658121E-6,4.56633E-17,1.748804E-21,8.079611E-13,5.241398E-5,8.083064E-5,0.004386158,0.00163223,0.02202117,8.992333,5.417819E-5,509991.3,509991.3
1.783369E-9,15.38663,-1.381578E14,1974.784,1974.784,8.395732E-4,1.0,0.8918372,0.007272464,1.50451E-5,0.004136048,7.701138E-9,2.914307E-5,0.01040367,0.009043137,3.299056E-4,4.316096E-6,4.624167E-5,5.154576E-4,0.007523182,0.01139904,0.004943358,1.431085E-6,1.218097E-6,8.883135E-6,4.769628E-6,8.608511E-10,1.304392E-5,0.008514775,0.005032729,7.002056E-6,0.001051715,0.0032675,3.010322E-6,3.814744E-7,6.230644E-11,6.35462E-7,2.188986E-11,2.461576E-8,3.573329E-13,1.635062E-5,8.095566E-5,0.003615399,2.966647E-5,8.353565E-4,1.437016E-4,0.003065294,0.003816693,4.923487E-6,1.381578E-15,1.78457E-19,5.491649E-12,1.992972E-5,3.257646E-5,0.002721043,7.865008E-4,0.01937227,8.84204,5.456509E-5,501467.6,501467.6
3.07173E-9,15.2971,-8.148111E13,1939.183,1939.183,8.395732E-4,1.0,0.8810232,0.009124092,3.290822E-5,0.00548908,2.177106E-8,5.821373E-5,0.01207827,0.0113907,5.206994E-4,1.236142E-5,1.136317E-4,8.614939E-4,0.0079693,0.01309849,0.006435518,3.732979E-6,2.175286E-6,1.925167E-5,9.122562E-6,3.724125E-9,2.828089E-5,0.009133795,0.005740521,1.544336E-5,9.195323E-4,0.004693018,9.761905E-6,7.294645E-7,1.865406E-10,1.439855E-6,1.094813E-10,1.008067E-7,1.510157E-12,3.900577E-5,5.095166E-5,0.003611269,6.284936E-5,9.32081E-4,8.953357E-5,0.003292593,0.003760843,1.02986E-5,1.552971E-14,4.192665E-18,2.036228E-11,9.38105E-6,1.553271E-5,0.001784536,4.122566E-4,0.01708404,8.733457,5.488446E-5,495309.4,495309.4
3.516691E-9,15.2745,-7.117301E13,1930.275,1930.275,8.395732E-4,1.0,0.878325,0.009565074,3.996229E-5,0.005919457,2.824092E-8,6.868954E-5,0.01245699,0.01209205,5.815811E-4,1.597596E-5,1.405461E-4,9.654083E-4,0.007998789,0.01350114,0.006815603,4.668282E-6,2.510857E-6,2.318989E-5,1.055672E-5,5.231595E-9,3.408988E-5,0.009193063,0.005898288,1.864376E-5,8.81941E-4,0.005073494,1.281026E-5,8.480586E-7,2.499184E-10,1.74984E-6,1.604532E-10,1.404597E-7,2.167416E-12,4.774191E-5,4.548267E-5,0.003581373,7.474326E-5,9.515118E-4,7.941771E-5,0.003329765,0.003745766,1.229553E-5,2.833086E-14,9.019089E-18,2.802222E-11,7.775663E-6,1.278185E-5,0.001588942,3.451081E-4,0.01647206,8.706203,5.496567E-5,493763.7,493763.7
