Time_Soln#25 (sec),Volume_Soln#25 (cm3),Volumetric_heat_production_rate_Soln#25 (erg/cm3-sec),Surface_temperature_Soln#25 (K),Temperature_Soln#25 (K),Mass_Soln#25 (g),Pressure_Soln#25 (atm),Mole_fraction_H2_Soln#25 (),Mole_fraction_H_Soln#25 (),Mole_fraction_CH4_Soln#25 (),Mole_fraction_CH3_Soln#25 (),Mole_fraction_CH2_Soln#25 (),Mole_fraction_C2H6_Soln#25 (),Mole_fraction_C2H5_Soln#25 (),Mole_fraction_C2H4_Soln#25 (),Mole_fraction_C2H3_Soln#25 (),Mole_fraction_C2H2_Soln#25 (),Mole_fraction_C3H8_Soln#25 (),Mole_fraction_IC3H7_Soln#25 (),Mole_fraction_NC3H7_Soln#25 (),Mole_fraction_C3H6_Soln#25 (),Mole_fraction_C3H5-A_Soln#25 (),Mole_fraction_C3H5-T_Soln#25 (),Mole_fraction_C3H4-P_Soln#25 (),Mole_fraction_C3H4-A_Soln#25 (),Mole_fraction_C3H3_Soln#25 (),Mole_fraction_C3H2_Soln#25 (),Mole_fraction_NC4H10_Soln#25 (),Mole_fraction_PC4H9_Soln#25 (),Mole_fraction_C4H8-1_Soln#25 (),Mole_fraction_C4H8-2_Soln#25 (),Mole_fraction_C4H71-3_Soln#25 (),Mole_fraction_C4H6_Soln#25 (),Mole_fraction_C4H5_Soln#25 (),Mole_fraction_C4H4_Soln#25 (),Mole_fraction_C4H2_Soln#25 (),Mole_fraction_C6H6_Soln#25 (),Mole_fraction_C5H6_Soln#25 (),Mole_fraction_C10H8_Soln#25 (),Mole_fraction_NC5H12_Soln#25 (),Mole_fraction_NC5H11_Soln#25 (),Mole_fraction_NC5H10_Soln#25 (),Mole_fraction_LC5H8_Soln#25 (),Mole_fraction_NC6H12_Soln#25 (),Mole_fraction_NC7H15_Soln#25 (),Mole_fraction_NC7H14_Soln#25 (),Mole_fraction_C7H8_Soln#25 (),Mole_fraction_C7H7_Soln#25 (),Mole_fraction_C6H5C2H_Soln#25 (),Mole_fraction_C12H8_Soln#25 (),Mole_fraction_C14H10_Soln#25 (),Mole_fraction_BIN1B_Soln#25 (),Mole_fraction_NC10H21_Soln#25 (),Mole_fraction_NC12H25_Soln#25 (),Mole_fraction_NC12H26_Soln#25 (),Mole_fraction_NC16H34_Soln#25 (),Mole_fraction_NC10H20_Soln#25 (),Molecular_weight_Soln#25 (g/mole),Mass_density_Soln#25 (g/cm3),Unburned_hydrocarbons_Soln#25 (ppm),Volatile_organic_compounds_Soln#25 (ppm)
0.0,15.7,-1.499355E15,2200.0,2200.0,8.20492E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,5.226064E-5,535064.1,535064.1
5.092217E-14,15.69992,-1.500146E15,2199.98,2199.98,8.20492E-4,1.0,0.9514557,8.339982E-10,4.640691E-17,5.384169E-10,1.290304E-21,6.109299E-14,7.222784E-7,1.51526E-9,1.982853E-12,3.323748E-16,3.604069E-14,2.227474E-12,7.221729E-7,1.985368E-9,4.801555E-7,2.196957E-18,9.6058E-16,2.756203E-14,1.41061E-17,5.334105E-28,2.346934E-14,7.223953E-7,9.045709E-10,9.755126E-15,4.800689E-7,6.584912E-11,5.929394E-20,1.661422E-18,2.564007E-19,1.8266E-18,1.174876E-24,2.702684E-29,1.652649E-18,1.096258E-6,9.599305E-10,6.932812E-19,1.699005E-10,2.547758E-6,7.172224E-10,0.00408099,3.504856E-11,5.098655E-35,4.943643E-49,6.71112E-22,1.642445E-41,6.229367E-7,1.284255E-6,0.0110315,0.006638238,0.02678469,9.434384,5.226089E-5,535061.7,535061.7
5.062527E-12,15.69301,-1.567232E15,2197.928,2197.928,8.20492E-4,1.0,0.950987,7.391156E-6,3.894967E-11,4.994045E-6,1.090501E-15,6.491395E-10,8.018579E-5,1.397922E-5,2.156203E-8,5.370806E-12,3.798119E-10,2.339074E-8,7.913213E-5,1.841158E-5,4.728441E-5,4.546543E-14,1.929682E-11,2.794129E-10,1.167605E-11,3.807987E-20,2.514823E-10,8.11297E-5,8.366882E-6,1.083757E-10,4.645299E-5,6.354099E-7,5.20748E-14,1.043801E-12,2.499025E-15,1.073345E-12,8.360787E-17,1.738713E-21,1.77775E-12,1.020861E-4,8.874742E-6,3.908813E-12,1.561041E-6,2.28922E-4,6.603929E-6,0.004078976,3.482668E-9,6.523379E-27,1.221654E-35,6.60611E-18,1.16729E-33,5.795212E-5,1.142892E-4,0.01085184,0.006473172,0.02668241,9.429737,5.228391E-5,534798.2,534798.2
5.656472E-11,15.65498,-1.587365E15,2175.358,2175.358,8.20492E-4,1.0,0.9435082,5.341032E-4,3.392583E-8,3.499391E-4,2.102006E-12,1.125605E-7,0.001357465,9.280373E-4,3.736694E-6,2.678206E-9,6.769421E-8,3.717873E-6,0.001247681,0.001265088,4.876045E-4,2.746669E-10,8.846348E-9,3.846772E-8,1.163279E-8,4.060703E-15,4.398999E-8,0.001358013,5.659399E-4,2.154253E-8,4.079013E-4,6.274894E-5,1.553944E-10,1.028909E-9,2.703293E-13,9.79338E-10,7.573273E-13,2.008536E-17,5.720212E-9,5.612794E-4,5.906744E-4,2.434822E-8,1.011479E-4,0.001028428,4.300745E-4,0.004046842,4.51885E-8,4.56692E-22,1.679155E-28,1.04079E-15,2.32191E-29,3.040944E-4,4.690388E-4,0.009289436,0.005109252,0.02590391,9.355577,5.241092E-5,530592.3,530592.3
1.600787E-10,15.61983,-1.058094E15,2139.164,2139.164,8.20492E-4,1.0,0.9299,0.001878982,3.70153E-7,0.001182086,5.76592E-11,9.27179E-7,0.003762664,0.002960972,2.672371E-5,3.768471E-8,6.722609E-7,2.76618E-5,0.003277976,0.004122282,0.001226528,9.707472E-9,7.750636E-8,2.839068E-7,1.481402E-7,5.445854E-13,3.599528E-7,0.003595611,0.001829353,1.866869E-7,8.056183E-4,3.393357E-4,6.941065E-9,1.291553E-8,1.708548E-12,1.144637E-8,2.767247E-11,7.639254E-16,1.440056E-7,4.853354E-4,0.001816022,4.677404E-7,3.178184E-4,8.253311E-4,0.001326808,0.003988245,1.87242E-7,6.08592E-20,1.647502E-25,1.506626E-14,3.381813E-27,2.330207E-4,3.318331E-4,0.007289856,0.003537253,0.02482713,9.220619,5.252885E-5,522938.3,522938.3
3.970365E-10,15.55458,-5.466203E14,2091.601,2091.601,8.20492E-4,1.0,0.913051,0.003923336,1.999448E-6,0.002314029,5.938794E-10,4.433648E-6,0.00676526,0.005445044,1.012124E-4,3.137785E-7,4.330039E-6,1.160701E-4,0.005575469,0.007561019,0.002501188,1.084859E-7,3.226E-7,1.343533E-6,9.23889E-7,1.938095E-11,1.760291E-6,0.006175783,0.003351392,9.575977E-7,0.001135364,0.001120389,1.231187E-7,7.880891E-8,7.686297E-12,6.823743E-8,5.604172E-10,1.270036E-14,1.366714E-6,2.597091E-4,0.003003697,3.311829E-6,5.720208E-4,4.526991E-4,0.002291382,0.00391504,7.2758E-7,3.97732E-18,5.974733E-23,1.734718E-13,3.58748E-25,1.004586E-4,1.508869E-4,0.005019363,0.002003856,0.02300371,9.053431,5.274924E-5,513456.4,513456.4
9.046579E-10,15.45507,-2.652316E14,2040.785,2040.785,8.20492E-4,1.0,0.8966449,0.006447579,7.296178E-6,0.003576682,3.349544E-9,1.485082E-5,0.009623469,0.00788053,2.503267E-4,1.802021E-6,2.00029E-5,3.300655E-4,0.007370526,0.01057401,0.004306008,6.368613E-7,8.855768E-7,4.828834E-6,3.52182E-6,2.97394E-10,6.260057E-6,0.008306473,0.00468718,3.561789E-6,0.001203771,0.002573514,1.117832E-6,2.930609E-7,3.032936E-11,2.787606E-7,6.789512E-9,1.243159E-13,7.007973E-6,1.288245E-4,0.003607737,1.365957E-5,7.837252E-4,2.317299E-4,0.00297772,0.003841664,2.421621E-6,1.594918E-16,9.853608E-21,1.436825E-12,2.274745E-23,3.56916E-5,5.799344E-5,0.003054363,9.374952E-4,0.02041911,8.890347,5.308886E-5,504207.2,504207.2
1.879291E-9,15.34053,-1.320606E14,1992.729,1992.729,8.20492E-4,1.0,0.8821737,0.009074127,2.081171E-5,0.005041399,1.326045E-8,3.85523E-5,0.01199285,0.01038678,4.714787E-4,7.516456E-6,6.915846E-5,7.028099E-4,0.008335151,0.01291147,0.00636977,2.45423E-6,1.916459E-6,1.393656E-5,9.180646E-6,2.400769E-9,1.771132E-5,0.009597798,0.00570045,1.038184E-5,0.001049698,0.004461613,5.981861E-6,7.498668E-7,1.166268E-10,8.665279E-7,4.891537E-8,8.414084E-13,2.371584E-5,6.732497E-5,0.003642929,3.960653E-5,9.250592E-4,1.221442E-4,0.003331215,0.003772026,6.675729E-6,4.006125E-15,7.157572E-19,8.535352E-12,7.971591E-22,1.213699E-5,2.091774E-5,0.001702492,3.826639E-4,0.01742335,8.745816,5.348524E-5,496010.3,496010.3
3.033575E-9,15.25938,-8.188674E13,1960.787,1960.787,8.20492E-4,1.0,0.8727933,0.01077919,4.063012E-5,0.006408835,3.206481E-8,6.889846E-5,0.01334867,0.01251474,6.856109E-4,1.833985E-5,1.464727E-4,0.001062839,0.008514667,0.01427833,0.007837857,5.420068E-6,3.108231E-6,2.691418E-5,1.555934E-5,8.097983E-9,3.387191E-5,0.009958339,0.006251212,1.997826E-5,8.960759E-4,0.00589639,1.575161E-5,1.271173E-6,3.144749E-10,1.730991E-6,1.578379E-7,2.940826E-12,4.812512E-5,4.439826E-5,0.003456929,7.299471E-5,9.869581E-4,7.939844E-5,0.003429088,0.003721446,1.252253E-5,3.262476E-14,1.046179E-17,2.632035E-11,7.757965E-21,5.819657E-6,9.887479E-6,0.001070169,1.876826E-4,0.01518457,8.65139,5.376967E-5,490655.0,490655.0
3.709486E-9,15.22569,-6.661074E13,1947.418,1947.418,8.20492E-4,1.0,0.8688494,0.01143151,5.389131E-5,0.00715504,4.678249E-8,8.717718E-5,0.01384185,0.0136079,8.016888E-4,2.652481E-5,1.975478E-4,0.001239878,0.008464429,0.01482648,0.008445155,7.407858E-6,3.814504E-6,3.515218E-5,1.902944E-5,1.305116E-8,4.411849E-5,0.009960905,0.006452823,2.598672E-5,8.302908E-4,0.006521156,2.297857E-5,1.566409E-6,4.890586E-10,2.287239E-6,2.511071E-7,5.005529E-12,6.359178E-5,3.741959E-5,0.003346096,9.249823E-5,0.00100513,6.611774E-5,0.003441006,0.003698146,1.615053E-5,7.856033E-14,3.134112E-17,4.189242E-11,2.000569E-20,4.325912E-6,7.085514E-6,8.621956E-4,1.347146E-4,0.01419803,8.611419,5.388866E-5,488388.1,488388.1
