Time_Soln#30 (sec),Volume_Soln#30 (cm3),Volumetric_heat_production_rate_Soln#30 (erg/cm3-sec),Surface_temperature_Soln#30 (K),Temperature_Soln#30 (K),Mass_Soln#30 (g),Pressure_Soln#30 (atm),Mole_fraction_H2_Soln#30 (),Mole_fraction_H_Soln#30 (),Mole_fraction_CH4_Soln#30 (),Mole_fraction_CH3_Soln#30 (),Mole_fraction_CH2_Soln#30 (),Mole_fraction_C2H6_Soln#30 (),Mole_fraction_C2H5_Soln#30 (),Mole_fraction_C2H4_Soln#30 (),Mole_fraction_C2H3_Soln#30 (),Mole_fraction_C2H2_Soln#30 (),Mole_fraction_C3H8_Soln#30 (),Mole_fraction_IC3H7_Soln#30 (),Mole_fraction_NC3H7_Soln#30 (),Mole_fraction_C3H6_Soln#30 (),Mole_fraction_C3H5-A_Soln#30 (),Mole_fraction_C3H5-S_Soln#30 (),Mole_fraction_C3H5-T_Soln#30 (),Mole_fraction_C3H4-P_Soln#30 (),Mole_fraction_C3H4-A_Soln#30 (),Mole_fraction_C3H3_Soln#30 (),Mole_fraction_C3H2_Soln#30 (),Mole_fraction_NC4H10_Soln#30 (),Mole_fraction_PC4H9_Soln#30 (),Mole_fraction_C4H8-1_Soln#30 (),Mole_fraction_C4H8-2_Soln#30 (),Mole_fraction_C4H71-3_Soln#30 (),Mole_fraction_C4H6_Soln#30 (),Mole_fraction_C4H5_Soln#30 (),Mole_fraction_C4H4_Soln#30 (),Mole_fraction_C4H2_Soln#30 (),Mole_fraction_C6H6_Soln#30 (),Mole_fraction_C10H8_Soln#30 (),Mole_fraction_NC5H12_Soln#30 (),Mole_fraction_NC5H11_Soln#30 (),Mole_fraction_NC5H10_Soln#30 (),Mole_fraction_LC5H8_Soln#30 (),Mole_fraction_NC6H12_Soln#30 (),Mole_fraction_NC7H15_Soln#30 (),Mole_fraction_NC7H14_Soln#30 (),Mole_fraction_C7H8_Soln#30 (),Mole_fraction_C7H7_Soln#30 (),Mole_fraction_C6H5C2H_Soln#30 (),Mole_fraction_C12H8_Soln#30 (),Mole_fraction_BIN1B_Soln#30 (),Mole_fraction_NC10H21_Soln#30 (),Mole_fraction_NC12H25_Soln#30 (),Mole_fraction_NC16H33_Soln#30 (),Mole_fraction_NC12H26_Soln#30 (),Mole_fraction_NC16H34_Soln#30 (),Mole_fraction_NC10H20_Soln#30 (),Molecular_weight_Soln#30 (g/mole),Mass_density_Soln#30 (g/cm3),Unburned_hydrocarbons_Soln#30 (ppm),Volatile_organic_compounds_Soln#30 (ppm)
0.0,15.7,-8.562896E15,2450.0,2450.0,7.367683E-4,1.0,0.9514599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004081009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01103335,0.006639947,0.02678577,9.434426,4.692792E-5,535064.1,535064.1
5.326538E-15,15.69996,-8.562725E15,2449.987,2449.987,7.367683E-4,1.0,0.9514571,1.46697E-10,1.028334E-18,7.728989E-11,1.585867E-22,6.736395E-15,5.057073E-7,2.199474E-10,3.759093E-13,2.930041E-17,4.247821E-15,3.988824E-13,5.056924E-7,2.834324E-10,2.696323E-7,8.215771E-21,1.672343E-19,8.400194E-17,2.813276E-15,2.35294E-18,8.0893E-29,2.853725E-15,5.057234E-7,1.288705E-10,1.128081E-15,2.696118E-7,1.453431E-11,9.2043E-21,3.032818E-19,2.731785E-20,3.478003E-20,5.959676E-31,8.508914E-20,7.352584E-7,1.478426E-10,1.260833E-20,2.382268E-11,1.68674E-6,1.086108E-10,0.004080997,6.123142E-12,6.619021E-38,4.147641E-53,1.295364E-43,4.368123E-7,9.008923E-7,1.424255E-7,0.01103205,0.00663875,0.02678515,9.434397,4.692803E-5,535062.5,535062.5
1.312195E-12,15.6912,-8.509264E15,2446.735,2446.735,7.367683E-4,1.0,0.9507251,7.761897E-6,1.37595E-11,4.443617E-6,2.098999E-15,4.157873E-10,1.29663E-4,1.2592E-5,2.548958E-8,3.838277E-12,2.609859E-10,2.443056E-8,1.287662E-4,1.627872E-5,6.55879E-5,7.435677E-15,2.831352E-14,1.901995E-11,1.816226E-10,3.078118E-11,2.260459E-19,1.76885E-10,1.305206E-4,7.393418E-6,7.847414E-11,6.43954E-5,8.52063E-7,1.243133E-13,3.287874E-12,1.622262E-15,2.93914E-13,1.662722E-21,1.296752E-12,1.715339E-4,8.45625E-6,7.716296E-13,1.362579E-6,3.875694E-4,6.208828E-6,0.004077854,1.507216E-9,1.015672E-27,1.012367E-36,3.802058E-34,1.015865E-4,2.05183E-4,3.239854E-5,0.01072171,0.006354221,0.02663819,9.427139,4.695425E-5,534650.9,534650.9
1.063215E-11,15.65546,-7.713821E15,2424.586,2424.586,7.367683E-4,1.0,0.9442692,3.728898E-4,5.589036E-9,2.13161E-4,9.00524E-13,2.998167E-8,0.001229048,5.807095E-4,2.39458E-6,9.943378E-10,1.883719E-8,1.677661E-6,0.001174314,7.655875E-4,4.939638E-4,2.699612E-11,3.910486E-11,5.522606E-9,1.541184E-8,1.253512E-8,1.374535E-15,1.289187E-8,0.001251041,3.455466E-4,8.352034E-9,4.316122E-4,4.634383E-5,6.407508E-11,1.324283E-9,9.723328E-14,1.22519E-10,5.626086E-18,9.420796E-10,9.45419E-4,3.864374E-4,1.791112E-9,6.253704E-5,0.001959466,2.833973E-4,0.004050141,1.314468E-8,2.484639E-23,1.574541E-30,1.456054E-30,5.43723E-4,9.753186E-4,1.524665E-4,0.008882543,0.004764457,0.02580396,9.363124,4.706142E-5,531020.3,531020.3
3.882696E-11,15.63858,-4.900362E15,2373.291,2373.291,7.367683E-4,1.0,0.9252911,0.002297509,1.385221E-7,0.001301438,3.60201E-11,3.94763E-7,0.004480128,0.003250797,3.185505E-5,2.614814E-8,2.84084E-7,1.989363E-5,0.004005534,0.004440681,0.001574015,3.837995E-9,4.536892E-9,1.071469E-7,2.200877E-7,3.181013E-7,5.073732E-13,1.673768E-7,0.004405053,0.001986672,1.37197E-7,0.001064917,3.970996E-4,4.183537E-9,3.280613E-8,1.122092E-12,3.230549E-9,5.460398E-16,5.072756E-8,0.001203359,0.002071147,1.119195E-7,3.480822E-4,0.00220648,0.001540656,0.003968627,7.187267E-8,1.052541E-20,8.123464E-27,2.434938E-28,6.114288E-4,9.256003E-4,1.385283E-4,0.005716255,0.002433079,0.02423162,9.174932,4.711224E-5,520347.2,520347.2
9.097161E-11,15.61977,-2.483413E15,2320.165,2320.165,7.367683E-4,1.0,0.9056722,0.004899107,7.510264E-7,0.002695424,3.163825E-10,1.729016E-6,0.007961174,0.006102943,1.192923E-4,1.74507E-7,1.563273E-6,7.768321E-5,0.006693192,0.008541995,0.003128466,4.380668E-8,5.152757E-8,4.489508E-7,9.685568E-7,1.833303E-6,1.527885E-11,7.182517E-7,0.007453236,0.003810396,6.291466E-7,0.001555456,0.00126019,5.871307E-8,1.840771E-7,5.607237E-12,1.887126E-8,7.660332E-15,4.369939E-7,6.700796E-4,0.003515335,9.026215E-7,6.486344E-4,0.001202527,0.002755621,0.00388411,2.622529E-7,4.429818E-19,1.888679E-24,9.097204E-27,2.591126E-4,3.83384E-4,5.100144E-5,0.003301032,0.001051172,0.02220424,8.98035,4.716897E-5,509311.7,509311.7
1.933823E-10,15.55981,-1.212506E15,2268.89,2268.89,7.367683E-4,1.0,0.8890836,0.007771455,2.576879E-6,0.004038172,1.550429E-9,5.281636E-6,0.01090297,0.008217615,2.927169E-4,8.135603E-7,6.099956E-6,2.087043E-4,0.00857833,0.0115893,0.005283118,2.26328E-7,2.770568E-7,1.169203E-6,3.04281E-6,6.800092E-6,2.018644E-10,2.172714E-6,0.009716752,0.005176827,1.937401E-6,0.001753244,0.002880077,4.570114E-7,6.641494E-7,2.382317E-11,7.119264E-8,6.306163E-14,1.957617E-6,2.914432E-4,0.003914614,3.7413E-6,8.504478E-4,5.565381E-4,0.003424765,0.003811924,8.004554E-7,1.070708E-17,1.971551E-22,2.725646E-25,6.601448E-5,1.119091E-4,1.166808E-5,0.001616084,3.510339E-4,0.01935805,8.815727,4.735073E-5,499975.2,499975.2
3.558829E-10,15.48136,-6.791603E14,2225.977,2225.977,7.367683E-4,1.0,0.8767148,0.01050054,6.186405E-6,0.005169836,4.726467E-9,1.174993E-5,0.0130006,0.009632303,5.128257E-4,2.591578E-6,1.669271E-5,4.097396E-4,0.009588911,0.01347019,0.00752064,6.820289E-7,8.797008E-7,2.199542E-6,7.177779E-6,1.684438E-5,1.289051E-9,4.855694E-6,0.01109643,0.006024918,4.335079E-6,0.001612378,0.004871435,1.977977E-6,1.607108E-6,7.627849E-11,1.878025E-7,3.069303E-13,5.325201E-6,1.53191E-4,0.003599933,9.546499E-6,9.45131E-4,3.045723E-4,0.003625892,0.003756798,1.888815E-6,1.35015E-16,7.194693E-21,4.45323E-24,1.737158E-5,3.39696E-5,2.610445E-6,7.423646E-4,1.059581E-4,0.01639621,8.692817,4.759067E-5,493004.5,493004.5
6.189792E-10,15.39399,-3.959246E14,2186.127,2186.127,7.367683E-4,1.0,0.865956,0.01318117,1.29403E-5,0.006299013,1.205561E-8,2.295056E-5,0.01470987,0.01090199,7.676537E-4,6.931056E-6,3.940135E-5,6.995924E-4,0.01014417,0.01488867,0.009790468,1.658773E-6,2.26428E-6,3.647849E-6,1.511692E-5,3.417011E-5,5.916545E-9,9.652653E-6,0.01204902,0.006654825,8.57268E-6,0.001307325,0.007039582,6.489483E-6,3.191676E-6,2.151282E-10,4.285039E-7,1.209625E-12,1.181228E-5,8.99253E-5,0.003026942,1.974809E-5,9.815725E-4,1.808463E-4,0.00360465,0.003706701,3.982429E-6,1.325764E-15,1.614818E-19,5.58304E-23,4.581063E-6,9.751584E-6,5.102469E-7,3.03991E-4,2.674619E-5,0.01339115,8.585648,4.786076E-5,486926.5,486926.5
1.003409E-9,15.31099,-2.414943E14,2151.328,2151.328,7.367683E-4,1.0,0.8568695,0.01547296,2.402332E-5,0.00744937,2.652745E-8,3.987437E-5,0.01602992,0.01216908,0.001032138,1.559851E-5,8.031306E-5,0.001059408,0.01035505,0.01598406,0.01180461,3.369568E-6,4.845151E-6,5.505127E-6,2.827029E-5,5.82936E-5,1.987828E-8,1.723538E-5,0.01265443,0.007119278,1.514283E-5,0.001003847,0.009006439,1.646837E-5,5.350326E-6,5.292345E-10,8.475367E-7,3.917679E-12,2.222243E-5,5.759622E-5,0.002445359,3.419628E-5,9.770191E-4,1.150723E-4,0.003461467,0.003661296,7.428286E-6,9.57704E-15,2.145588E-18,4.999267E-22,1.488863E-6,2.836902E-6,9.539346E-8,1.177994E-4,6.193828E-6,0.01069565,8.494784,4.812022E-5,481773.3,481773.3
