Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H5_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H5-A_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_NC4H10_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC6H12_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_XYLENE_PFRC2 (),Mass_fraction_NC12H26_PFRC2 (),Mass_fraction_NC16H34_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,932.4327,0.2365664,-1.357575E11,1425.013,0.0,1425.013,1.0,0.2031835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04552402,0.1977926,0.1580827,0.3954171,9.443275,8.075802E-5,535652.9,535652.9
2.567967E-6,2.754101E-9,6.283185,3.141593,6.283185,932.3989,0.2365664,-1.947205E11,1424.922,1.979942E8,1424.922,1.0,0.2031835,8.592701E-8,1.638071E-9,2.030781E-6,7.947353E-9,1.323713E-5,9.404959E-6,8.365401E-12,4.954512E-9,2.059572E-5,1.445923E-5,2.228389E-11,4.937556E-10,3.844428E-9,3.583652E-16,1.237322E-5,9.003875E-10,1.682325E-7,1.111895E-15,7.569242E-18,1.632933E-15,1.187661E-5,5.450121E-9,3.600232E-6,1.083024E-5,1.168235E-9,0.04552398,0.1977236,0.1579973,0.395328,9.443014,8.076095E-5,535638.1,535638.1
2.368667E-5,2.540741E-8,6.283185,3.141593,6.283185,932.1139,0.2365664,-2.193071E11,1424.011,1.978339E8,1424.011,1.0,0.2031838,1.648505E-6,3.59714E-7,4.157009E-5,1.268767E-6,2.088974E-4,2.080611E-4,3.557266E-9,6.25635E-7,3.242215E-4,1.333223E-4,1.922806E-9,4.223881E-8,4.474231E-7,1.345241E-12,1.905699E-4,8.793669E-8,1.50966E-5,1.12518E-12,3.343201E-13,9.935024E-12,1.792916E-4,2.377989E-6,5.183309E-5,1.653649E-4,2.455314E-7,0.04552253,0.197153,0.1572925,0.394638,9.439862,8.078564E-5,535459.3,535459.3
1.946083E-4,2.089974E-7,6.283185,3.141593,6.283185,929.9536,0.2365664,-2.543815E11,1415.433,1.963241E8,1415.433,1.0,0.2032247,2.029604E-5,4.987019E-5,7.206759E-4,1.043349E-4,0.001779109,0.004108498,1.880377E-6,4.468033E-5,0.003322571,0.001076015,1.525927E-7,3.10955E-6,3.161841E-5,2.721728E-9,0.001790996,9.575267E-6,8.311227E-4,1.066617E-8,4.860245E-9,9.120762E-8,0.001744783,2.829164E-4,4.324544E-4,0.001984695,2.98177E-5,0.04538989,0.1920154,0.1511379,0.3875228,9.404792,8.097331E-5,533470.0,533470.0
5.705515E-4,6.139492E-7,6.283185,3.141593,6.283185,927.2247,0.2365664,-1.848147E11,1398.205,1.932918E8,1398.205,1.0,0.2034251,3.168316E-5,5.629644E-4,0.002506498,6.591132E-4,0.002586619,0.01612474,3.59704E-5,4.275511E-4,0.01148087,0.00228745,2.084341E-6,2.506838E-5,2.698833E-4,1.888583E-7,0.005632295,9.248048E-5,0.00424522,1.045061E-6,2.613472E-7,3.833868E-6,0.005848572,0.001798799,0.00114524,0.007557916,2.116333E-4,0.04477865,0.1798598,0.137339,0.3675039,9.317659,8.121162E-5,528527.6,528527.6
0.001919263,2.069695E-6,6.283185,3.141593,6.283185,926.6023,0.2365664,-6.852234E10,1368.031,1.87981E8,1368.031,1.0,0.2038406,2.292877E-5,0.004067184,0.003613778,0.003022825,0.001707742,0.04730872,3.147264E-4,0.002431424,0.03299925,0.002268526,2.456271E-5,1.229822E-4,0.001137922,6.554803E-6,0.01594454,4.986254E-4,0.01413365,3.543828E-5,5.287919E-6,5.7312E-5,0.01585078,0.006319256,0.002562958,0.02111739,8.378431E-4,0.04358003,0.1508557,0.1065695,0.3142588,9.122705,8.126617E-5,517469.1,517469.1
0.00509604,5.495212E-6,6.283185,3.141593,6.283185,927.8703,0.2365664,-2.908197E10,1339.439,1.829486E8,1339.439,1.0,0.2041472,1.267709E-5,0.01004282,0.002289881,0.006345623,0.001012652,0.08392459,8.535364E-4,0.004865321,0.05711732,0.001871965,9.187549E-5,2.618052E-4,0.002002218,3.788749E-5,0.02664931,0.001163418,0.02610578,1.903121E-4,2.639713E-5,2.259372E-4,0.02500279,0.01119681,0.003845823,0.03342514,0.001672994,0.04257242,0.119586,0.07630696,0.252281,8.919836,8.115511E-5,505962.2,505962.2
0.006005153,6.47494E-6,6.283185,3.141593,6.283185,927.9652,0.2365664,-2.497202E10,1334.312,1.820461E8,1334.312,1.0,0.2041884,1.123156E-5,0.01121713,0.002054607,0.006929013,9.150329E-4,0.09066181,9.746193E-4,0.005248338,0.06131699,0.001824969,1.092724E-4,2.904627E-4,0.002127483,4.792894E-5,0.02832233,0.001295839,0.02831144,2.329014E-4,3.301016E-5,2.709559E-4,0.02636029,0.01198148,0.004041336,0.03517669,0.001833698,0.04239196,0.114224,0.07143163,0.2412624,8.88478,8.114681E-5,503976.9,503978.2
0.006126539,6.605748E-6,6.283185,3.141593,6.283185,927.9725,0.2365664,-2.446767E10,1333.683,1.819354E8,1333.683,1.0,0.2041931,1.106038E-5,0.01136248,0.002026943,0.006999797,9.035384E-4,0.09148936,9.89942E-4,0.005293809,0.06182732,0.001819354,1.115184E-4,2.94069E-4,0.002142138,4.927908E-5,0.02852159,0.001312388,0.02858224,2.383984E-4,3.389526E-5,2.768059E-4,0.02652006,0.01207506,0.0040645,0.0353806,0.001853573,0.0423697,0.1135741,0.07084725,0.2399195,8.880521,8.114617E-5,503736.3,503738.0
0.006174092,6.656993E-6,6.283185,3.141593,6.283185,927.9752,0.2365664,-2.429468E10,1333.439,1.818926E8,1333.439,1.0,0.204195,1.099745E-5,0.01141877,0.002016339,0.007027125,8.991473E-4,0.09180968,9.958942E-4,0.005311305,0.06202463,0.001817203,1.123935E-4,2.954692E-4,0.002147765,4.98084E-5,0.02859847,0.001318971,0.02868698,2.405395E-4,3.4242E-5,2.790874E-4,0.02658147,0.01211111,0.004073411,0.03545884,0.001861269,0.04236107,0.1133232,0.07062201,0.2394005,8.878874,8.114594E-5,503643.8,503645.9
