Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H71-3_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_B1M3_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_DIALLYL_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NPBENZ_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,753.9968,0.2365664,-2.861834E8,1151.892,0.0,1151.892,1.0,0.9514247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004083974,0.0,0.01104136,0.006644772,0.02680524,9.439816,9.986968E-5,535452.9,535452.9
6.386046E-4,8.469763E-7,6.283185,3.141593,6.283185,753.9666,0.2365664,-5.581992E8,1151.817,1.499258E8,1151.817,1.000001,0.9514004,2.820523E-7,2.864033E-6,3.304845E-7,4.938381E-6,8.166692E-6,1.221598E-10,3.806429E-8,4.991007E-6,2.608727E-6,5.553235E-10,1.208438E-8,2.04103E-14,2.101913E-6,4.377247E-9,2.525342E-6,2.584902E-7,7.868321E-9,2.83919E-13,1.398495E-6,9.760898E-11,1.753069E-7,5.126148E-10,3.762201E-7,9.599562E-7,0.004083841,8.347512E-12,0.01103952,0.006643175,0.02679911,9.439571,9.987368E-5,535439.0,535439.0
0.01130472,1.499866E-5,6.283185,3.141593,6.283185,753.4483,0.2365664,-1.05024E9,1149.6,1.495356E8,1149.6,1.000001,0.9503011,1.119691E-4,4.59525E-5,6.331351E-5,3.652552E-5,5.560823E-4,2.726608E-7,6.881845E-6,2.767236E-4,4.587701E-5,2.900647E-7,3.561522E-6,1.716145E-9,9.976691E-5,1.918922E-6,4.319737E-5,6.684672E-5,1.693286E-6,1.462149E-8,7.946979E-5,6.467777E-7,4.009409E-5,3.255035E-6,1.024439E-5,9.17054E-5,0.004073518,6.807567E-8,0.010945,0.006566391,0.02651542,9.427883,9.994239E-5,534776.0,534776.0
0.04436678,5.891499E-5,6.283185,3.141593,6.283185,752.2903,0.2365664,-8.731697E8,1142.296,1.4825E8,1142.296,1.000001,0.9460345,6.786496E-4,4.672193E-5,3.350032E-4,3.523857E-5,0.002800749,3.451268E-6,4.597332E-5,0.001405867,5.861355E-5,2.342861E-6,2.315716E-5,1.878324E-7,5.172298E-4,1.867746E-5,6.591495E-5,4.375064E-4,9.505611E-6,5.352061E-7,4.236081E-4,7.545758E-6,2.19263E-4,3.133031E-5,4.347897E-5,4.789707E-4,0.004034271,1.639783E-6,0.01056291,0.006260946,0.02538869,9.382399,1.000962E-4,532196.1,532196.1
0.1856129,2.471305E-4,6.283185,3.141593,6.283185,748.8678,0.2365664,-4.193603E8,1122.677,1.447969E8,1122.677,1.000001,0.9346735,0.00230926,2.853442E-5,0.001099424,2.171516E-5,0.008798995,2.007945E-5,1.425124E-4,0.004407976,5.481208E-5,9.648809E-6,6.938153E-5,6.296983E-6,0.001573293,7.876081E-5,5.386115E-5,0.001482787,3.155311E-5,6.024069E-6,0.001315912,2.76215E-5,6.569672E-4,8.484586E-5,1.262834E-4,0.001424006,0.003946713,1.063088E-5,0.009563815,0.005478896,0.02244096,9.263398,1.005537E-4,525446.0,525446.0
0.2,2.663458E-4,6.283185,3.141593,6.283185,748.5882,0.2365664,-3.975587E8,1121.255,1.445466E8,1121.255,1.000001,0.9338702,0.002431316,2.754386E-5,0.001156,2.097534E-5,0.009222599,2.164746E-5,1.488368E-4,0.004618779,5.430288E-5,1.026741E-5,7.227115E-5,7.29383E-6,0.001643719,8.35673E-5,5.301687E-5,0.001556721,3.318028E-5,6.654975E-6,0.001376597,2.898376E-5,6.853219E-4,8.762841E-5,1.318354E-4,0.001485465,0.003940967,1.134259E-5,0.009494438,0.005425497,0.0222362,9.255121,1.005913E-4,524976.5,524976.5
0.4,5.341284E-4,6.283185,3.141593,6.283185,745.322,0.2365664,-2.250395E8,1106.284,1.419116E8,1106.284,1.000001,0.9256501,0.003739101,1.904084E-5,0.001757498,1.461609E-5,0.01354791,4.046393E-5,2.107335E-4,0.006762314,4.810106E-5,1.74092E-5,9.93293E-5,2.432573E-5,0.002327693,1.369559E-4,4.485213E-5,0.002312135,5.047758E-5,1.518056E-5,0.001975023,4.243889E-5,9.548681E-4,1.110576E-4,1.85963E-4,0.002073037,0.003883726,1.845657E-5,0.008794444,0.004893755,0.0201719,9.17156,1.010321E-4,520236.9,520236.9
0.4641853,6.202979E-4,6.283185,3.141593,6.283185,744.4349,0.2365664,-1.983033E8,1102.674,1.412763E8,1102.674,1.000002,0.9237471,0.004058207,1.742111E-5,0.001903155,1.339661E-5,0.01454602,4.550993E-5,2.244513E-4,0.007254877,4.647097E-5,1.927276E-5,1.04977E-4,3.03816E-5,0.002476053,1.505167E-4,4.303424E-5,0.002486533,5.466807E-5,1.773234E-5,0.00210717,4.541841E-5,0.001011741,1.154338E-4,1.977436E-4,0.002198197,0.003870827,2.002312E-5,0.008635055,0.004774525,0.01970256,9.152526,1.011525E-4,519159.4,519159.9
0.4755619,6.355815E-4,6.283185,3.141593,6.283185,744.2821,0.2365664,-1.933763E8,1102.073,1.411705E8,1102.073,1.000002,0.923435,0.004111172,1.710716E-5,0.001927253,1.315257E-5,0.01470978,4.635726E-5,2.266753E-4,0.007335752,4.616289E-5,1.958592E-5,1.058786E-4,3.146185E-5,0.002500282,1.531228E-4,4.264186E-5,0.002515041,5.536184E-5,1.817248E-5,0.002128516,4.590101E-5,0.001020789,1.161073E-4,1.996439E-4,0.002218215,0.003868733,2.027572E-5,0.008609128,0.004755198,0.01962616,9.149414,1.011732E-4,518989.3,518992.0
0.6,8.029529E-4,6.283185,3.141593,6.283185,742.7153,0.2365664,-1.547846E8,1096.132,1.401248E8,1096.132,1.000002,0.9203936,0.004636561,1.481236E-5,0.00216632,1.146774E-5,0.01630068,5.499783E-5,2.48205E-4,0.008119166,4.351557E-5,2.273724E-5,1.143979E-4,4.330911E-5,0.002727839,1.756189E-4,4.000143E-5,0.002792981,6.225E-5,2.281064E-5,0.002333587,5.05288E-5,0.001106742,1.223988E-4,2.177482E-4,0.002408711,0.003848405,2.268207E-5,0.008356677,0.004568005,0.01888396,9.119289,1.013867E-4,517279.8,517283.1
