Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H5_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H5-A_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_NC4H10_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H71-3_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_B1M3_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_DIALLYL_PFRC2 (),Mass_fraction_NC6H12_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NPBENZ_PFRC2 (),Mass_fraction_NC12H26_PFRC2 (),Mass_fraction_NC16H34_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,753.9968,0.2365664,-2.861834E8,1151.892,0.0,1151.892,1.0,0.2031835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986357,0.0,0.1992409,0.1593998,0.3983123,9.439816,9.986968E-5,535452.9,535452.9
6.386046E-4,8.469763E-7,6.283185,3.141593,6.283185,753.9666,0.2365664,-5.581992E8,1151.817,1.499258E8,1151.817,1.000001,0.2031836,4.793622E-7,4.561744E-6,1.052771E-6,1.520408E-5,2.427121E-5,3.369673E-10,1.778184E-7,2.224973E-5,1.135105E-5,2.357016E-9,7.440978E-8,1.213179E-13,1.249367E-5,2.601815E-8,1.474085E-5,1.48125E-6,6.511225E-8,1.988232E-12,1.039073E-5,7.25229E-10,1.265081E-6,4.460962E-9,3.354352E-6,9.985385E-6,0.03986331,1.062906E-10,0.1992127,0.1593656,0.3982316,9.439571,9.987368E-5,535439.0,535439.0
0.01130472,1.499866E-5,6.283185,3.141593,6.283185,753.4483,0.2365664,-1.05024E9,1149.6,1.495356E8,1149.6,1.000001,0.2032004,1.90533E-4,7.328247E-5,2.019377E-4,1.125926E-4,0.001654712,7.530437E-7,3.218858E-5,0.001235153,1.998667E-4,1.232677E-6,2.195731E-5,1.021333E-8,5.937449E-4,1.142012E-5,2.524631E-4,3.835327E-4,1.402972E-5,1.025185E-7,5.911879E-4,4.811478E-6,2.896928E-4,2.836162E-5,9.145145E-5,9.550945E-4,0.03981184,8.678961E-7,0.197752,0.1577189,0.3945045,9.427883,9.994239E-5,534776.0,534776.0
0.04436678,5.891499E-5,6.283185,3.141593,6.283185,752.2903,0.2365664,-8.731697E8,1142.296,1.4825E8,1142.296,1.000001,0.2032688,0.001160428,7.487073E-5,0.001073668,1.091521E-4,0.008374481,9.578036E-6,2.160743E-4,0.006305494,2.565924E-4,1.000464E-5,1.434595E-4,1.12327E-6,0.003093123,1.116944E-4,3.871014E-4,0.002522359,7.914054E-5,3.770788E-6,0.003166562,5.640616E-5,0.001591926,2.743092E-4,3.900176E-4,0.005012572,0.0396194,2.100692E-5,0.1917737,0.1511114,0.3795718,9.382399,1.000962E-4,532196.1,532196.1
0.1856129,2.471305E-4,6.283185,3.141593,6.283185,748.8678,0.2365664,-4.193603E8,1122.677,1.447969E8,1122.677,1.000001,0.2034076,0.003999345,4.63131E-5,0.003568864,6.812718E-5,0.02664774,5.64408E-5,6.784117E-4,0.02002432,2.430332E-4,4.173228E-5,4.353427E-4,3.81408E-5,0.009529426,4.770539E-4,3.20376E-4,0.008658546,2.660754E-4,4.298773E-5,0.009963093,2.091291E-4,0.004831088,7.52402E-4,0.001147347,0.01509409,0.03925744,1.379396E-4,0.1758653,0.1339349,0.339812,9.263398,1.005537E-4,525446.0,525446.0
0.2,2.663458E-4,6.283185,3.141593,6.283185,748.5882,0.2365664,-3.975587E8,1121.255,1.445466E8,1121.255,1.000001,0.2034146,0.004214496,4.474534E-5,0.003755873,6.586501E-5,0.0279556,6.09027E-5,7.09152E-4,0.02100071,2.409908E-4,4.444751E-5,4.538795E-4,4.421821E-5,0.009964901,5.066195E-4,3.156361E-4,0.009098404,2.80047E-4,4.753235E-5,0.01043187,2.196394E-4,0.005044104,7.777722E-4,0.001198861,0.01575963,0.03923535,1.473059E-4,0.1747457,0.1327482,0.3370125,9.255121,1.005913E-4,524976.5,524976.5
0.4,5.341284E-4,6.283185,3.141593,6.283185,745.322,0.2365664,-2.250395E8,1106.284,1.419116E8,1106.284,1.000001,0.203461,0.006540492,3.12139E-5,0.005762179,4.631438E-5,0.04144067,1.148779E-4,0.001013215,0.03102708,2.154126E-4,7.605089E-5,6.294944E-4,1.488162E-4,0.01424,8.378475E-4,2.694602E-4,0.01363661,4.299206E-4,1.094131E-4,0.01510312,3.245326E-4,0.007092049,9.947059E-4,0.001706484,0.02219369,0.03901774,2.418788E-4,0.1633369,0.1208287,0.3085114,9.17156,1.010321E-4,520236.9,520236.9
0.4641853,6.202979E-4,6.283185,3.141593,6.283185,744.4349,0.2365664,-1.983033E8,1102.674,1.412763E8,1102.674,1.000002,0.203465,0.007113439,2.861805E-5,0.006252713,4.253847E-5,0.04458625,1.294723E-4,0.001081415,0.0333563,2.085453E-4,8.436681E-5,6.6667E-4,1.862504E-4,0.01517912,9.227227E-4,2.590764E-4,0.01469568,4.665795E-4,1.280707E-4,0.01614717,3.480395E-4,0.007530085,0.001036052,0.001818362,0.02358258,0.03896903,2.629546E-4,0.1607102,0.11813,0.3019599,9.152526,1.011525E-4,519159.4,519159.9
0.4755619,6.355815E-4,6.283185,3.141593,6.283185,744.2821,0.2365664,-1.933763E8,1102.073,1.411705E8,1102.073,1.000002,0.2034654,0.007208731,2.811188E-5,0.006334037,4.177776E-5,0.04510352,1.319277E-4,0.001092501,0.03373962,2.072332E-4,8.576683E-5,6.726246E-4,1.929384E-4,0.01533286,9.390185E-4,2.568015E-4,0.01486922,4.726614E-4,1.312943E-4,0.01631628,3.518573E-4,0.007600013,0.001042451,0.00183646,0.02380543,0.0389612,2.663624E-4,0.1602821,0.1176919,0.3008913,9.149414,1.011732E-4,518989.3,518992.0
0.6,8.029529E-4,6.283185,3.141593,6.283185,742.7153,0.2365664,-1.547846E8,1096.132,1.401248E8,1096.132,1.000002,0.2034652,0.008156829,2.442128E-5,0.007143266,3.654641E-5,0.05014668,1.570349E-4,0.00120022,0.03746617,1.959942E-4,9.989539E-5,7.291468E-4,2.664685E-4,0.01678361,0.001080533,2.416959E-4,0.01656698,5.332259E-4,1.65349E-4,0.01794736,3.886115E-4,0.008267175,0.001102569,0.002009613,0.02593518,0.0388845,2.98959E-4,0.156096,0.1134323,0.2904689,9.119289,1.013867E-4,517279.8,517283.1
