Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H71-3_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_B1M3_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,861.1271,0.2365664,-1.550609E10,1315.557,0.0,1315.557,1.0,0.9514247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004083974,0.01104136,0.006644772,0.02680524,9.439816,8.744519E-5,535452.9,535452.9
1.862971E-5,2.16347E-8,6.283185,3.141593,6.283185,861.087,0.2365664,-2.398412E10,1315.47,1.787299E8,1315.47,1.00001,0.9513973,8.331695E-9,1.839601E-6,1.626451E-8,5.149818E-6,4.614481E-6,1.094347E-11,5.648301E-9,5.762743E-6,3.177364E-6,1.015916E-11,2.325861E-10,2.986399E-9,6.461568E-16,2.567165E-6,5.666671E-10,3.125947E-6,5.550033E-8,2.190958E-16,5.034527E-10,2.807812E-15,1.827174E-6,1.7051E-12,1.017716E-8,4.86716E-7,1.118103E-6,0.004083854,0.01103827,0.006641991,0.02679875,9.439545,8.744926E-5,535437.5,535437.5
2.388238E-4,2.7741E-7,6.283185,3.141593,6.283185,860.6878,0.2365664,-3.156774E10,1314.166,1.785004E8,1314.166,1.00001,0.950913,3.560081E-6,5.972675E-5,4.421103E-6,9.616415E-5,1.778188E-4,1.933481E-8,7.796792E-7,1.035904E-4,4.271014E-5,1.772358E-9,4.176852E-8,3.654239E-7,6.186646E-12,4.322908E-5,1.049679E-7,3.574585E-5,1.088833E-5,9.646263E-12,1.52777E-7,1.394752E-10,3.137926E-5,8.387577E-9,4.045307E-6,7.355421E-6,2.369049E-5,0.004081051,0.01099424,0.006603579,0.02670376,9.434563,8.748982E-5,535154.9,535154.9
0.001697601,1.97452E-6,6.283185,3.141593,6.283185,858.7176,0.2365664,-3.301939E10,1303.355,1.765975E8,1303.355,1.00001,0.9458339,2.80229E-4,5.519489E-4,1.517426E-4,2.932173E-4,0.002757327,4.670589E-6,4.527297E-5,0.001305577,2.394628E-4,1.758544E-7,2.487569E-6,2.159826E-5,1.550966E-8,4.817751E-4,7.933753E-6,1.408652E-4,3.689284E-4,7.632453E-8,5.920816E-6,2.178127E-7,3.892558E-4,2.93702E-6,1.578373E-4,5.735882E-5,3.963248E-4,0.004035552,0.01051757,0.006210384,0.02556922,9.378409,8.769055E-5,531969.7,531969.7
0.006865838,7.999226E-6,6.283185,3.141593,6.283185,857.3841,0.2365664,-1.579932E10,1279.167,1.723403E8,1279.167,1.00001,0.9312252,0.002111298,6.041009E-4,7.667876E-4,2.12455E-4,0.01088507,5.131599E-5,3.185582E-4,0.005150631,2.372054E-4,3.139755E-6,1.596017E-5,1.172191E-4,9.985765E-7,0.001922768,6.084825E-5,1.535323E-4,0.001737493,3.962982E-6,2.893734E-5,5.526947E-6,0.001502568,3.094363E-5,7.121454E-4,1.763217E-4,0.001552498,0.003904158,0.009109008,0.005100504,0.02206176,9.218681,8.782694E-5,522909.5,522909.5
0.0137823,1.607034E-5,6.283185,3.141593,6.283185,856.5046,0.2365664,-9.205258E9,1261.66,1.69259E8,1261.66,1.00001,0.9202964,0.003771871,4.20385E-4,0.001263904,1.497825E-4,0.01710602,1.070171E-4,5.17132E-4,0.007989099,2.117175E-4,8.187577E-6,2.810018E-5,1.804913E-4,4.083311E-6,0.002905691,1.14109E-4,1.343666E-4,0.002806029,1.195651E-5,4.85179E-5,1.527699E-5,0.002249004,5.529723E-5,0.001095958,2.541642E-4,0.002298137,0.003817005,0.008089225,0.004333589,0.01945702,9.101848,8.791712E-5,516284.1,516284.1
0.01550726,1.808455E-5,6.283185,3.141593,6.283185,856.2964,0.2365664,-8.329852E9,1258.447,1.686935E8,1258.447,1.00001,0.9183126,0.004087683,3.914519E-4,0.001355159,1.400509E-4,0.01824484,1.188609E-4,5.500517E-4,0.008495782,2.074828E-4,9.383707E-6,3.053674E-5,1.906929E-4,5.025901E-6,0.003071471,1.248592E-4,1.30672E-4,0.0030015,1.38513E-5,5.228117E-5,1.765169E-5,0.002374985,5.96058E-5,0.001160685,2.673226E-4,0.002419627,0.003801899,0.007908408,0.004200943,0.01899021,9.080878,8.79385E-5,515099.3,515100.9
0.01584859,1.848317E-5,6.283185,3.141593,6.283185,856.2557,0.2365664,-8.215656E9,1257.847,1.685878E8,1257.847,1.00001,0.9179427,0.004146953,3.862743E-4,0.001372177,1.382801E-4,0.01845747,1.2112E-4,5.560676E-4,0.008590014,2.066765E-4,9.615975E-6,3.099889E-5,1.925477E-4,5.21783E-6,0.0031021,1.271303E-4,1.299586E-4,0.003037892,1.421812E-5,5.298874E-5,1.811529E-5,0.002398071,6.040175E-5,0.001172523,2.697358E-4,0.002441714,0.003799106,0.007874943,0.004176509,0.01890365,9.076976,8.794268E-5,514883.7,514887.1
0.01589405,1.853625E-5,6.283185,3.141593,6.283185,856.2496,0.2365664,-8.126537E9,1257.768,1.685739E8,1257.768,1.00001,0.9178948,0.004154775,3.855931E-4,0.001374421,1.380278E-4,0.0184853,1.214187E-4,5.56858E-4,0.008602322,2.065559E-4,9.646765E-6,3.105993E-5,1.927914E-4,5.243493E-6,0.003106054,1.27368E-4,1.298507E-4,0.003042676,1.42668E-5,5.3082E-5,1.817688E-5,0.002401097,6.050652E-5,0.001174065,2.700525E-4,0.002444596,0.003798743,0.007870567,0.004173315,0.01889231,9.076469,8.794331E-5,514854.6,514857.9
0.01601845,1.868154E-5,6.283185,3.141593,6.283185,856.235,0.2365664,-8.121105E9,1257.552,1.68536E8,1257.552,1.00001,0.9177621,0.004176083,3.837136E-4,0.001380528,1.373654E-4,0.01856149,1.222332E-4,5.59005E-4,0.008636052,2.062658E-4,9.730858E-6,3.12265E-5,1.934521E-4,5.313851E-6,0.00311699,1.281803E-4,1.295863E-4,0.003055726,1.43996E-5,5.333615E-5,1.834502E-5,0.002409337,6.079145E-5,0.001178287,2.709144E-4,0.002452461,0.003797743,0.007858587,0.004164577,0.01886131,9.075071,8.794481E-5,514777.1,514781.0
