Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H5_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H5-A_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_NC4H10_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H71-3_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC6H12_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NC12H26_PFRC2 (),Mass_fraction_NC16H34_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,932.4981,0.2365664,-1.356649E11,1424.591,0.0,1424.591,1.0,0.2031835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986357,0.1992409,0.1593998,0.3983123,9.439816,8.075236E-5,535452.9,535452.9
4.591645E-6,4.924201E-9,6.283185,3.141593,6.283185,932.4341,0.2365664,-2.034807E11,1424.418,1.979054E8,1424.418,1.000003,0.2031835,2.015588E-7,7.34127E-9,4.841273E-6,3.146573E-8,2.886317E-5,2.238142E-5,3.540328E-11,1.874981E-8,4.751092E-5,2.583789E-5,7.122886E-11,1.56961E-9,1.442741E-8,3.792081E-15,2.831542E-5,3.003417E-9,3.405391E-5,5.446716E-7,6.922678E-15,2.13549E-9,1.421307E-14,2.695902E-5,3.38178E-8,8.0296E-6,2.450767E-5,0.03986353,0.1991176,0.159247,0.3981576,9.439283,8.07579E-5,535422.7,535422.7
5.954753E-5,6.388577E-8,6.283185,3.141593,6.283185,931.692,0.2365664,-2.366468E11,1421.916,1.974652E8,1421.916,1.000003,0.2031864,5.380252E-6,3.012E-6,1.419089E-4,9.273234E-6,5.934558E-4,7.614759E-4,5.545962E-8,3.926377E-6,8.699338E-4,3.35744E-4,1.218538E-8,2.704724E-7,2.676835E-6,3.23259E-11,5.031921E-4,6.131806E-7,3.670987E-4,9.216889E-5,3.972887E-11,8.062494E-7,5.416503E-10,4.738565E-4,2.049443E-5,1.332337E-4,4.586905E-4,0.03985851,0.1976087,0.1573922,0.3962821,9.430214,8.082223E-5,534908.3,534908.3
3.244354E-4,3.486792E-7,6.283185,3.141593,6.283185,928.7577,0.2365664,-2.383511E11,1408.416,1.950891E8,1408.416,1.000003,0.2032899,2.841606E-5,1.631489E-4,0.001390866,2.647468E-4,0.002367329,0.008186,8.184967E-6,1.349505E-4,0.006116637,0.001659451,5.216996E-7,8.766866E-6,9.457185E-5,2.133631E-8,0.003133655,3.079327E-5,0.001114327,0.001927561,1.097611E-7,2.949965E-5,6.460775E-7,0.003156279,7.562688E-4,7.026335E-4,0.003890777,0.03970369,0.1891296,0.147439,0.3835615,9.370189,8.107758E-5,531503.5,531503.5
0.001143035,1.231739E-6,6.283185,3.141593,6.283185,926.3013,0.2365664,-1.094284E11,1380.898,1.902456E8,1380.898,1.000004,0.2036619,2.886788E-5,0.001990455,0.003665242,0.001714084,0.002167121,0.0319419,1.504983E-4,0.00135434,0.02247842,0.002488709,9.786763E-6,7.01305E-5,7.088312E-4,1.854293E-6,0.01082334,2.752709E-4,0.001409096,0.009190667,9.964541E-6,1.716442E-4,2.208332E-5,0.01115105,0.004130528,0.00190129,0.01480724,0.03910691,0.166305,0.1223846,0.3433408,9.21147,8.129258E-5,522500.4,522500.4
0.003325966,3.587146E-6,6.283185,3.141593,6.283185,927.3397,0.2365664,-4.324418E10,1351.145,1.85009E8,1351.145,1.000004,0.20404,1.748683E-5,0.007205714,0.002985714,0.004894986,0.001306286,0.06765298,5.927768E-4,0.003889123,0.04691366,0.001987748,5.665952E-5,1.942863E-4,0.001675045,2.008149E-5,0.02219002,8.689684E-4,0.00126476,0.02081805,1.050741E-4,4.412531E-4,1.388322E-4,0.02138096,0.009305939,0.003300292,0.02883287,0.0383555,0.1343167,0.09004666,0.2816386,9.002909,8.120155E-5,510670.3,510670.3
0.006772699,7.302351E-6,6.283185,3.141593,6.283185,927.9125,0.2365664,-2.235843E10,1329.054,1.811208E8,1329.054,1.000004,0.2042374,1.058461E-5,0.01215348,0.001922383,0.007459925,8.549859E-4,0.09653059,0.001094973,0.005644436,0.06526711,0.001760073,1.266891E-4,3.106475E-4,0.002261404,5.93727E-5,0.02960554,0.001432994,0.001078875,0.0302748,2.755198E-4,6.966382E-4,3.218826E-4,0.02756548,0.01286829,0.004163789,0.03699573,0.03786975,0.1108597,0.06835234,0.2337065,8.850245,8.115141E-5,502011.1,502011.2
0.007500609,8.086811E-6,6.283185,3.141593,6.283185,927.909,0.2365664,-2.02256E10,1325.798,1.805477E8,1325.798,1.000004,0.2042593,9.785268E-6,0.01291637,0.001791409,0.007822132,8.006557E-4,0.1008244,0.001180124,0.005870224,0.06787041,0.001731623,1.396165E-4,3.297889E-4,0.002332005,6.794408E-5,0.03055942,0.001517955,0.001049703,0.03167752,3.070854E-4,7.376734E-4,3.565991E-4,0.02832781,0.01333505,0.004272839,0.03795404,0.03780282,0.1075647,0.06545085,0.2268109,8.828598,8.115172E-5,500784.0,500784.0
0.01251675,1.349351E-5,6.283185,3.141593,6.283185,927.5557,0.2365664,-1.19987E10,1309.433,1.776673E8,1309.433,1.000004,0.204338,6.532806E-6,0.016897,0.001247314,0.009590618,5.695343E-4,0.1225776,0.001649946,0.006881616,0.08052865,0.0015913,2.156747E-4,4.357957E-4,0.002629624,1.261362E-4,0.03481268,0.001944138,9.051421E-4,0.03875791,4.881098E-4,9.601187E-4,5.652085E-4,0.03156353,0.01543395,0.004747246,0.04181264,0.03747194,0.09161791,0.05195492,0.1929,8.722941,8.118263E-5,494792.7,494792.7
0.01275535,1.375075E-5,6.283185,3.141593,6.283185,927.533,0.2365664,-1.179167E10,1308.832,1.775615E8,1308.832,1.000004,0.2043399,6.436225E-6,0.0170486,0.001230647,0.009654285,5.622351E-4,0.1233839,0.001668521,0.006915062,0.08098071,0.001586123,2.188433E-4,4.40033E-4,0.002638835,1.288373E-4,0.03495253,0.001960521,9.000008E-4,0.03901892,4.954589E-4,9.688689E-4,5.740345E-4,0.03166306,0.01550292,0.004762251,0.04192385,0.03745978,0.0910513,0.05149276,0.1916791,8.719151,8.118462E-5,494580.1,494580.4
0.01282084,1.382135E-5,6.283185,3.141593,6.283185,927.5261,0.2365664,-1.170224E10,1308.669,1.775328E8,1308.669,1.000004,0.2043404,6.402809E-6,0.01708977,0.001226132,0.009671535,5.602097E-4,0.123602,0.001673572,0.006924088,0.08110266,0.001584652,2.197066E-4,4.411858E-4,0.002641314,1.29577E-4,0.03498986,0.001964593,8.985049E-4,0.03908966,4.974608E-4,9.712468E-4,5.764429E-4,0.03168978,0.01552144,0.004766289,0.04195354,0.03745651,0.0908982,0.05136808,0.191349,8.71813,8.118523E-5,494521.9,494522.0
0.01289591,1.39023E-5,6.283185,3.141593,6.283185,927.5188,0.2365664,-1.16105E10,1308.483,1.775002E8,1308.483,1.000004,0.2043409,6.377352E-6,0.01713674,0.001220999,0.00969119,5.579409E-4,0.123851,0.001679337,0.006934352,0.08124185,0.001583042,2.206933E-4,4.425027E-4,0.002644127,1.304243E-4,0.03503259,0.00196949,8.968661E-4,0.03917034,4.997461E-4,9.739622E-4,5.791943E-4,0.03172012,0.01554256,0.004770876,0.04198726,0.03745275,0.09072358,0.051226,0.1909724,8.716962,8.118587E-5,494455.9,494456.1
0.01312366,1.414785E-5,6.283185,3.141593,6.283185,927.4965,0.2365664,-1.140687E10,1307.928,1.774024E8,1307.928,1.000004,0.2043425,6.292036E-6,0.01727768,0.001205797,0.009749998,5.513113E-4,0.124597,0.001696664,0.006964929,0.08165789,0.001578278,2.236668E-4,4.464629E-4,0.002652474,1.329909E-4,0.0351595,0.001983911,8.921243E-4,0.03941201,5.066201E-4,9.821272E-4,5.874903E-4,0.03181016,0.01560552,0.004784504,0.042087,0.03744149,0.09020113,0.05080166,0.1898452,8.71347,8.118781E-5,494257.9,494258.2
0.01391254,1.499843E-5,6.283185,3.141593,6.283185,927.4169,0.2365664,-1.07699E10,1306.074,1.770761E8,1306.074,1.000004,0.2043473,6.001487E-6,0.01775007,0.00115693,0.009945625,5.299698E-4,0.1270867,0.001754998,0.007065361,0.08303959,0.001562259,2.337534E-4,4.598246E-4,0.002679627,1.418306E-4,0.03557478,0.002031673,8.762347E-4,0.04021795,5.298374E-4,0.001009626,6.156874E-4,0.03210176,0.01581168,0.004828844,0.04240621,0.0374039,0.08846818,0.04940154,0.1860997,8.701868,8.119479E-5,493601.9,493602.3
0.01397372,1.50644E-5,6.283185,3.141593,6.283185,927.4106,0.2365664,-1.067749E10,1305.935,1.770517E8,1305.935,1.000004,0.2043476,5.981607E-6,0.01778572,0.001153312,0.009960292,5.283436E-4,0.1272738,0.001759413,0.007072809,0.0831429,0.00156105,2.345218E-4,4.608383E-4,0.002681621,1.425126E-4,0.03560549,0.002035244,8.750373E-4,0.04027848,5.315999E-4,0.001011708,6.178389E-4,0.03212311,0.01582692,0.004832104,0.04242934,0.03740107,0.0883386,0.04929732,0.1858192,8.701,8.119533E-5,493552.6,493553.0
0.01453867,1.567358E-5,6.283185,3.141593,6.283185,927.3538,0.2365664,-1.025771E10,1304.681,1.768309E8,1304.681,1.000004,0.2043503,5.796357E-6,0.01810855,0.001121132,0.01009251,5.141618E-4,0.1289646,0.001799503,0.007139431,0.08407313,0.001550237,2.415303E-4,4.700542E-4,0.002699334,1.487888E-4,0.03588008,0.002067983,8.644436E-4,0.04082509,5.476286E-4,0.001030628,6.374806E-4,0.03231241,0.01596316,0.004861086,0.04263291,0.03737549,0.08717177,0.04836183,0.1832914,8.693175,8.120031E-5,493110.4,493111.3
0.01464854,1.579207E-5,6.283185,3.141593,6.283185,927.3425,0.2365664,-1.019044E10,1304.442,1.767889E8,1304.442,1.000004,0.2043508,5.756478E-6,0.01817006,0.001115125,0.01011758,5.114936E-4,0.1292861,0.00180716,0.00715196,0.08424944,0.001548135,2.42875E-4,4.71817E-4,0.002702644,1.500043E-4,0.03593183,0.002074423,8.623623E-4,0.04092888,5.506971E-4,0.001034243,6.412551E-4,0.03234763,0.01598868,0.004866499,0.04267044,0.03737064,0.0869511,0.04818551,0.1828128,8.691693,8.12013E-5,493027.4,493028.6
0.01473817,1.588872E-5,6.283185,3.141593,6.283185,927.3332,0.2365664,-1.008703E10,1304.249,1.76755E8,1304.249,1.000004,0.2043512,5.73068E-6,0.01821993,0.001110254,0.01013788,5.093228E-4,0.1295461,0.00181337,0.007162078,0.08439184,0.001546458,2.439673E-4,4.732481E-4,0.002705309,1.509943E-4,0.03597336,0.002079389,8.60689E-4,0.04101296,5.531875E-4,0.001037176,6.443213E-4,0.03237599,0.01600929,0.004870863,0.04270059,0.03736671,0.08677249,0.04804293,0.1824253,8.690494,8.120211E-5,492959.6,492960.9
0.01491406,1.607839E-5,6.283185,3.141593,6.283185,927.3154,0.2365664,-9.972855E9,1303.874,1.76689E8,1303.874,1.000004,0.2043519,5.677804E-6,0.01831703,0.0011009,0.01017732,5.051952E-4,0.1300525,0.001825473,0.007181676,0.08466891,0.001543212,2.461003E-4,4.760387E-4,0.002710458,1.529345E-4,0.03605415,0.002089458,8.574944E-4,0.04117643,5.58044E-4,0.001042894,6.503109E-4,0.03243072,0.01604921,0.004879291,0.0427586,0.03735904,0.08642551,0.04776631,0.1816723,8.688162,8.120367E-5,492828.5,492830.3
