Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_NC3H7_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H71-3_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1003.761,0.2365664,-8.775985E11,1533.46,0.0,1533.46,1.0,0.9514247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004083974,0.01104136,0.006644772,0.02680524,9.439816,7.50193E-5,535452.9,535452.9
1.356043E-6,1.351025E-9,6.283185,3.141593,6.283185,1003.662,0.2365664,-1.266774E12,1533.152,2.170435E8,1533.152,0.9999935,0.9513331,3.345208E-6,2.268504E-9,4.415132E-6,6.225913E-9,1.523787E-5,1.113578E-5,1.388282E-11,2.770679E-9,1.334147E-5,1.613455E-5,9.89872E-6,2.289227E-11,4.913437E-10,1.704778E-9,7.243296E-6,4.322268E-10,9.71549E-6,1.587364E-7,6.113583E-15,1.250969E-10,1.567657E-15,5.875358E-6,1.900126E-9,1.37266E-6,4.000655E-6,0.004083575,0.01102587,0.006630675,0.02678544,9.438908,7.502665E-5,535401.4,535401.4
1.178405E-5,1.174507E-8,6.283185,3.141593,6.283185,1002.876,0.2365664,-1.350087E12,1530.364,2.165527E8,1530.364,0.9999936,0.9503511,5.936818E-5,3.968998E-7,7.483874E-5,8.034895E-7,2.045043E-4,1.997514E-4,5.451862E-9,3.216045E-7,1.401772E-4,2.284637E-4,8.468898E-5,1.776408E-9,3.679759E-8,1.854419E-7,1.006812E-4,4.009205E-8,7.279615E-5,1.128535E-5,3.779788E-12,2.25321E-8,7.043568E-12,8.025619E-5,6.951849E-7,1.798835E-5,5.448155E-5,0.004079174,0.01090598,0.0065231,0.02663884,9.429132,7.508551E-5,534846.9,534846.9
1.178021E-4,1.17813E-7,6.283185,3.141593,6.283185,996.838,0.2365664,-1.093459E12,1503.4,2.11807E8,1503.4,0.999994,0.9397996,7.582299E-4,7.392174E-5,0.001474273,8.336747E-5,0.001717533,0.004191506,4.320617E-6,4.42163E-5,5.049137E-4,0.002308878,6.833964E-4,2.046394E-7,3.442065E-6,2.156066E-5,9.273506E-4,7.01899E-6,2.777504E-4,5.456992E-4,2.293462E-8,3.393183E-6,1.058558E-7,7.522929E-4,1.093207E-4,1.496053E-4,5.987956E-4,0.004012974,0.009827841,0.005603296,0.02502086,9.3191,7.554028E-5,528605.5,528605.5
3.516675E-4,3.530437E-7,6.283185,3.141593,6.283185,992.8581,0.2365664,-4.813981E11,1468.471,2.056591E8,1468.471,0.9999943,0.9234531,8.218376E-4,7.524841E-4,0.004421139,4.450518E-4,0.001700453,0.01274615,6.355684E-5,3.155662E-4,3.446292E-4,0.006063729,0.001037245,2.406408E-6,2.021983E-5,1.302474E-4,0.002166098,4.801215E-5,3.181744E-4,0.001853287,1.227522E-6,1.739386E-5,2.662897E-6,0.001846608,5.214619E-4,3.035053E-4,0.001595825,0.003874021,0.008221552,0.004347115,0.02190024,9.139069,7.584309E-5,518393.7,518393.7
7.464792E-4,7.506533E-7,6.283185,3.141593,6.283185,993.5817,0.2365664,-2.029293E11,1443.73,2.013046E8,1443.73,0.9999942,0.9087118,6.010844E-4,0.002417999,0.005371296,0.00110778,0.001091362,0.02128738,2.108908E-4,7.511759E-4,2.00284E-4,0.009911948,9.40287E-4,9.319683E-6,4.598388E-5,2.625714E-4,0.00342374,1.13773E-4,2.946262E-4,0.003263217,8.578414E-6,3.625102E-5,1.126148E-5,0.002805425,9.898502E-4,4.20337E-4,0.002477333,0.0037465,0.006761516,0.003295044,0.01867081,8.978551,7.578785E-5,509288.7,509288.7
0.001715016,1.723352E-6,6.283185,3.141593,6.283185,997.6028,0.2365664,-8.463891E10,1418.677,1.96895E8,1418.677,0.9999939,0.8905417,3.784527E-4,0.005759531,0.004152409,0.002294254,6.517168E-4,0.03233898,4.943546E-4,0.001336189,1.032986E-4,0.0147437,7.563388E-4,2.904369E-5,8.570475E-5,4.086944E-4,0.004928045,2.246172E-4,2.516871E-4,0.00515973,4.102523E-5,6.709895E-5,3.580038E-5,0.003700386,0.001571529,5.322233E-4,0.003336292,0.003599044,0.005018033,0.002155989,0.01445309,8.787184,7.548238E-5,498434.6,498434.6
0.001951766,1.960585E-6,6.283185,3.141593,6.283185,998.3066,0.2365664,-7.467093E10,1414.788,1.962105E8,1414.788,0.9999939,0.8876121,3.476896E-4,0.006385054,0.003862939,0.002493777,6.002636E-4,0.03417181,5.505806E-4,0.001423228,9.230441E-5,0.01549897,7.353087E-4,3.363947E-5,9.283813E-5,4.280003E-4,0.005139062,2.443378E-4,2.437591E-4,0.005474644,4.988254E-5,7.289083E-5,4.15808E-5,0.003805395,0.001657934,5.462167E-4,0.0034389,0.00357644,0.00475035,0.001993747,0.01377258,8.756919,7.542916E-5,496719.9,496720.3
0.001966931,1.975776E-6,6.283185,3.141593,6.283185,998.3481,0.2365664,-7.414001E10,1414.554,1.961694E8,1414.554,0.9999939,0.8874366,3.458783E-4,0.006423111,0.003845451,0.002505662,5.972786E-4,0.03428213,5.540574E-4,0.001428339,9.167489E-5,0.01554392,7.341156E-4,3.392864E-5,9.327383E-5,4.291119E-4,0.005151348,2.455243E-4,2.432729E-4,0.005493581,5.045001E-5,7.324586E-5,4.194561E-5,0.003811314,0.001663014,5.470171E-4,0.003444688,0.003575095,0.004734451,0.001984225,0.01373189,8.75511,7.542603E-5,496617.3,496617.8
0.002063567,2.072559E-6,6.283185,3.141593,6.283185,998.6032,0.2365664,-7.081951E10,1413.106,1.959144E8,1413.106,0.9999939,0.8863483,3.348447E-4,0.006660303,0.003737005,0.002579067,5.79043E-4,0.03496696,5.758808E-4,0.001459726,8.784974E-5,0.01582167,7.26886E-4,3.575597E-5,9.599589E-5,4.35882E-4,0.005226522,2.528701E-4,2.40237E-4,0.005611085,5.40607E-5,7.546641E-5,4.4254E-5,0.003847028,0.001694231,5.51878E-4,0.003479622,0.00356678,0.004636302,0.001925736,0.01347997,8.743909,7.540676E-5,495982.4,495983.0
