Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H3_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_NC3H7_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_PC4H9_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1110.32,0.2365664,-9.239E12,1696.252,0.0,1696.252,1.0,0.9514247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004083974,0.01104136,0.006644772,0.02680524,9.439816,6.781959E-5,535452.9,535452.9
2.64192E-7,2.379615E-10,6.283185,3.141593,6.283185,1110.137,0.2365664,-1.206473E13,1695.69,2.456513E8,1695.69,0.9999933,0.9512726,5.048257E-6,7.079183E-10,5.363969E-6,2.850124E-9,2.434389E-5,1.407552E-5,1.19457E-8,1.160566E-11,1.393319E-9,2.269255E-5,1.994298E-5,1.680991E-5,2.454479E-11,5.090449E-10,8.879126E-10,2.460961E-5,9.015949E-6,2.550551E-7,3.359994E-14,3.33193E-11,7.516224E-16,7.927329E-6,3.436812E-10,1.717422E-6,5.675673E-6,0.004083312,0.01100658,0.006612933,0.0267711,9.438308,6.783076E-5,535367.4,535367.4
1.943678E-6,1.751561E-9,6.283185,3.141593,6.283185,1109.074,0.2365664,-1.327678E13,1691.315,2.448812E8,1691.315,0.9999933,0.9497285,9.958782E-5,1.176386E-7,9.911233E-5,2.752116E-7,3.041408E-4,2.533497E-4,8.039805E-7,2.121921E-9,1.311462E-7,2.535416E-4,3.514684E-4,1.206698E-4,1.563037E-9,2.710147E-8,8.110624E-8,2.708231E-4,1.554069E-4,1.256158E-5,1.131389E-11,5.793165E-9,1.308063E-12,1.350161E-4,1.793786E-7,2.767465E-5,9.402015E-5,0.004076581,0.01078804,0.006416301,0.02657928,9.422979,6.789578E-5,534497.8,534497.8
1.379551E-5,1.246896E-8,6.283185,3.141593,6.283185,1103.0,0.2365664,-9.646392E12,1665.016,2.402524E8,1665.016,0.9999938,0.9401838,9.434015E-4,7.559832E-6,8.39625E-4,1.456178E-5,0.002069826,0.002337281,2.868329E-5,5.357003E-7,9.756268E-6,0.001309489,0.002297676,7.309127E-4,6.797915E-8,1.179556E-6,4.652719E-6,0.00126916,0.001002603,3.420042E-4,2.174248E-9,4.289024E-7,3.071541E-9,8.362001E-4,1.599112E-5,1.735229E-4,5.982667E-4,0.004031912,0.009603049,0.005389832,0.02541385,9.327536,6.826966E-5,529084.0,529084.0
4.265214E-5,3.874301E-8,6.283185,3.141593,6.283185,1094.737,0.2365664,-5.376223E12,1624.042,2.330408E8,1624.042,0.9999944,0.9245463,0.002298305,7.879917E-5,0.003045511,1.07269E-4,0.004373328,0.007942948,1.404969E-4,1.006281E-5,1.070609E-4,0.001849957,0.005224446,0.001610195,5.614065E-7,8.658974E-6,4.226146E-5,0.001446751,0.002165652,0.001296875,6.098908E-8,3.77669E-6,1.87088E-7,0.001756948,1.359288E-4,3.621415E-4,0.001334933,0.003939585,0.007956236,0.004078879,0.02324934,9.166662,6.878494E-5,519958.9,519958.9
1.196031E-4,1.092845E-7,6.283185,3.141593,6.283185,1088.986,0.2365664,-1.91502E12,1574.711,2.243582E8,1574.711,0.9999948,0.9030195,0.002503238,6.377922E-4,0.008704114,4.71793E-4,0.004347308,0.01915645,4.487369E-4,1.088413E-4,5.516984E-4,0.001209041,0.009659097,0.002163929,4.136749E-6,3.781277E-5,1.979862E-4,6.609102E-4,0.003521884,0.003001271,1.558369E-6,1.664859E-5,3.177021E-6,0.002936541,5.413356E-4,5.535742E-4,0.002327445,0.003768535,0.005947934,0.002668855,0.01948561,8.935154,6.914817E-5,506827.0,506827.0
2.977113E-4,2.727605E-7,6.283185,3.141593,6.283185,1091.045,0.2365664,-5.257584E11,1538.969,2.180674E8,1538.969,0.9999947,0.8827812,0.001684044,0.00269548,0.0124975,0.001398682,0.002229903,0.03157998,6.223261E-4,4.67139E-4,0.001303886,5.073689E-4,0.01477899,0.001967366,1.830465E-5,9.280996E-5,4.083828E-4,2.445189E-4,0.004867413,0.005045418,1.397092E-5,4.010227E-5,1.66639E-5,0.003912223,0.001113245,6.833991E-4,0.003163794,0.00358673,0.004107104,0.001558461,0.01502484,8.715868,6.901766E-5,494388.5,494388.5
6.887282E-4,6.296961E-7,6.283185,3.141593,6.283185,1099.599,0.2365664,-1.584518E11,1516.951,2.14192E8,1516.951,0.999994,0.8643145,0.001095117,0.00676831,0.01087772,0.003086738,0.001157902,0.04369538,5.292496E-4,0.001088309,0.002011438,2.289143E-4,0.01987456,0.001636193,5.453399E-5,1.682757E-4,5.616677E-4,1.099364E-4,0.006161471,0.007232284,6.546166E-5,7.46907E-5,5.009007E-5,0.004256354,0.001670781,7.460541E-4,0.003595067,0.003424314,0.002502418,7.553261E-4,0.01039956,8.524348,6.848081E-5,483525.0,483525.0
9.563249E-4,8.725517E-7,6.283185,3.141593,6.283185,1103.955,0.2365664,-1.069452E11,1509.893,2.129498E8,1509.893,0.9999937,0.8569911,9.116632E-4,0.008915197,0.009381591,0.003873098,9.209133E-4,0.04876109,4.883693E-4,0.001414091,0.002246725,1.667251E-4,0.02180349,0.001531952,7.854846E-5,2.047899E-4,6.015472E-4,7.92027E-5,0.00656529,0.00813218,1.086186E-4,9.289021E-5,7.178413E-5,0.004177122,0.001861607,7.485371E-4,0.003611797,0.003362101,0.001932441,5.165172E-4,0.008554406,8.451209,6.821058E-5,479380.2,479381.4
9.911229E-4,9.040658E-7,6.283185,3.141593,6.283185,1104.437,0.2365664,-1.026172E11,1509.148,2.128186E8,1509.148,0.9999937,0.8561948,8.92647E-4,0.009164003,0.009207176,0.003958318,8.979285E-4,0.04932281,4.841572E-4,0.001452971,0.002270134,1.608769E-4,0.02200657,0.001521776,8.156488E-5,2.090304E-4,6.050117E-4,7.628844E-5,0.006602498,0.008230051,1.143996E-4,9.50596E-5,7.450027E-5,0.004160198,0.001880477,7.478749E-4,0.003607219,0.003355415,0.001873696,4.935524E-4,0.008356545,8.443347,6.818078E-5,478934.3,478935.6
