Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H5_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H3_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_NC3H7_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H5-A_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_NC4H10_PFRC2 (),Mass_fraction_PC4H9_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC6H12_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NC12H26_PFRC2 (),Mass_fraction_NC16H34_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,1110.32,0.2365664,-9.239E12,1696.252,0.0,1696.252,1.0,0.2031835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986357,0.1992409,0.1593998,0.3983123,9.439816,6.781959E-5,535452.9,535452.9
2.64192E-7,2.379615E-10,6.283185,3.141593,6.283185,1110.137,0.2365664,-1.206473E13,1695.69,2.456513E8,1695.69,0.9999933,0.2031835,5.391318E-7,1.203304E-9,8.54471E-6,9.080394E-9,7.495895E-5,4.18377E-5,3.423134E-8,3.20175E-11,6.5098E-9,1.035996E-4,8.891698E-5,7.315279E-5,1.041919E-10,2.16088E-9,5.468067E-9,1.489261E-4,5.359755E-5,1.461761E-6,1.853899E-13,2.757622E-10,5.264177E-15,5.890746E-5,2.480465E-9,1.531446E-5,5.904578E-5,0.03986348,0.1986449,0.1586613,0.3978686,9.438308,6.783076E-5,535367.4,535367.4
1.943678E-6,1.751561E-9,6.283185,3.141593,6.283185,1109.074,0.2365664,-1.327678E13,1691.315,2.448812E8,1691.315,0.9999933,0.2031837,1.065285E-5,2.002849E-7,1.581411E-4,8.782409E-7,9.380246E-4,7.542751E-4,2.307617E-6,5.863442E-9,6.137319E-7,0.001159391,0.001569592,5.259811E-4,6.645837E-9,1.152321E-7,5.002923E-7,0.001641564,9.25358E-4,7.210948E-5,6.252665E-11,4.802425E-8,9.176253E-12,0.001004928,1.296743E-6,2.471797E-4,9.797118E-4,0.0398625,0.1950175,0.1541941,0.3956604,9.422979,6.789578E-5,534497.8,534497.8
1.379551E-5,1.246896E-8,6.283185,3.141593,6.283185,1103.0,0.2365664,-9.646392E12,1665.016,2.402524E8,1665.016,0.9999938,0.2031999,1.019477E-4,1.300264E-5,0.001353392,4.694429E-5,0.006449035,0.007029777,8.317034E-5,1.495432E-6,4.61241E-5,0.006049282,0.01036599,0.003218535,2.919964E-7,5.066645E-6,2.89933E-5,0.007771585,0.006031004,0.001983357,1.213902E-8,3.591901E-6,2.176779E-8,0.006287542,1.16784E-4,0.0015657,0.006297868,0.03982913,0.1753725,0.1308517,0.3821828,9.327536,6.826966E-5,529084.0,529084.0
4.265214E-5,3.874301E-8,6.283185,3.141593,6.283185,1094.737,0.2365664,-5.376223E12,1624.042,2.330408E8,1624.042,0.9999944,0.203327,2.527226E-4,1.379103E-4,0.004995213,3.518828E-4,0.01386528,0.02430906,4.145357E-4,2.858379E-5,5.150277E-4,0.008695996,0.02398379,0.007214844,2.453776E-6,3.784634E-5,2.67973E-4,0.009014526,0.01325577,0.007652853,3.464834E-7,3.218348E-5,1.349148E-6,0.01344266,0.001010118,0.003324956,0.01429927,0.03960007,0.1478481,0.1007629,0.355768,9.166662,6.878494E-5,519958.9,519958.9
1.196031E-4,1.092845E-7,6.283185,3.141593,6.283185,1088.986,0.2365664,-1.91502E12,1574.711,2.243582E8,1574.711,0.9999948,0.2037383,2.823889E-4,0.001145153,0.01464629,0.001587759,0.01413989,0.06014652,0.001358301,3.171783E-4,0.002722769,0.005830529,0.04549077,0.009947196,1.854923E-5,1.695529E-4,0.001287925,0.004224747,0.0221157,0.01816936,9.082594E-6,1.455487E-4,2.350407E-5,0.02305004,0.004127016,0.005214259,0.02557661,0.03886219,0.1133922,0.06763852,0.3059,8.935154,6.914817E-5,506827.0,506827.0
2.977113E-4,2.727605E-7,6.283185,3.141593,6.283185,1091.045,0.2365664,-5.257584E11,1538.969,2.180674E8,1538.969,0.9999947,0.2041832,1.947558E-4,0.004961487,0.02155846,0.004825512,0.007435378,0.101648,0.00193114,0.001395555,0.006596903,0.002508315,0.07135476,0.009271159,8.414331E-5,4.266313E-4,0.00272342,0.001602367,0.03133395,0.03131287,8.347492E-5,3.594109E-4,1.263837E-4,0.03148115,0.008700648,0.006599068,0.03564209,0.03791794,0.08026835,0.04049081,0.2418059,8.715868,6.901766E-5,494388.5,494388.5
6.887282E-4,6.296961E-7,6.283185,3.141593,6.283185,1099.599,0.2365664,-1.584518E11,1516.951,2.14192E8,1516.951,0.999994,0.2044035,1.294932E-4,0.01273813,0.01918589,0.01088864,0.003947648,0.1438043,0.001679213,0.00332432,0.01040535,0.001157126,0.09811267,0.007883754,2.563155E-4,7.909134E-4,0.003829799,7.366151E-4,0.0405556,0.04589346,3.999148E-4,6.844445E-4,3.884324E-4,0.03501984,0.01335149,0.007365937,0.0414106,0.03701427,0.05000552,0.02006525,0.1711282,8.524348,6.848081E-5,483525.0,483525.0
9.563249E-4,8.725517E-7,6.283185,3.141593,6.283185,1103.955,0.2365664,-1.069452E11,1509.893,2.129498E8,1509.893,0.9999937,0.2044255,1.087334E-4,0.01692382,0.01669025,0.01378081,0.003166851,0.1618647,0.001562917,0.004356825,0.01172309,8.500626E-4,0.1085665,0.007445364,3.72381E-4,9.708638E-4,0.00413722,5.352805E-4,0.04358757,0.05205045,6.693097E-4,8.585863E-4,5.614803E-4,0.03466538,0.01500516,0.007454411,0.04196334,0.0366563,0.03894993,0.01384003,0.1419837,8.451209,6.821058E-5,479380.2,479381.4
9.911229E-4,9.040658E-7,6.283185,3.141593,6.283185,1104.437,0.2365664,-1.026172E11,1509.148,2.128186E8,1509.148,0.9999937,0.2044257,1.065645E-4,0.01741233,0.01639521,0.01409715,0.003090686,0.1638818,0.00155088,0.004480785,0.01185627,8.210089E-4,0.1096798,0.007402794,3.870413E-4,9.918902E-4,0.004164922,5.16065E-4,0.04387541,0.05272593,7.055888E-4,8.794562E-4,5.832679E-4,0.03455708,0.01517137,0.007454751,0.04194919,0.03661747,0.03780104,0.01323701,0.1388288,8.443347,6.818078E-5,478934.3,478935.6
0.001010943,9.220094E-7,6.283185,3.141593,6.283185,1104.705,0.2365664,-1.002842E11,1508.736,2.127461E8,1508.736,0.9999937,0.2044257,1.053778E-4,0.01768556,0.01623048,0.01427209,0.003049039,0.1650038,0.001544234,0.004550508,0.01192907,8.052431E-4,0.1102941,0.007379621,3.953422E-4,0.001003669,0.004179751,5.056613E-4,0.04403118,0.05310034,7.263201E-4,8.911892E-4,5.955995E-4,0.03449106,0.01526211,0.007454113,0.04193483,0.03659596,0.03716971,0.0129093,0.1370842,8.438997,6.816425E-5,478688.3,478689.9
0.001066957,9.726969E-7,6.283185,3.141593,6.283185,1105.433,0.2365664,-9.446348E10,1507.621,2.125497E8,1507.621,0.9999936,0.2044248,1.021793E-4,0.01843829,0.01577849,0.01474649,0.002937783,0.1680704,0.001526176,0.004744183,0.01212344,7.635148E-4,0.1119541,0.00731793,4.186012E-4,0.001036209,0.00421816,4.783507E-4,0.04443852,0.05411924,7.851199E-4,9.237589E-4,6.301369E-4,0.03428897,0.01550375,0.007449265,0.04187134,0.03653748,0.03547195,0.01204152,0.1323517,8.427202,6.811935E-5,478019.2,478020.8
