Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H5_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H5-A_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_NC4H10_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC6H12_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_XYLENE_PFRC2 (),Mole_fraction_NC12H26_PFRC2 (),Mole_fraction_NC16H34_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,932.4327,0.2365664,-1.357575E11,1425.013,0.0,1425.013,1.0,0.9517733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004049169,0.01096512,0.006592285,0.02662015,9.443275,8.075802E-5,535652.9,535652.9
2.567967E-6,2.754101E-9,6.283185,3.141593,6.283185,932.3989,0.2365664,-1.947205E11,1424.922,1.979942E8,1424.922,1.0,0.951747,8.049942E-7,9.641772E-10,1.275465E-6,2.495732E-9,4.301072E-6,3.165702E-6,3.033792E-12,1.060963E-9,4.621668E-6,3.32427E-6,5.2521E-12,1.163735E-10,6.24575E-10,6.031273E-17,2.082407E-6,1.515349E-10,2.936866E-8,2.016197E-16,9.150191E-19,2.332674E-16,1.599063E-6,7.555189E-10,4.03945E-7,1.041557E-6,1.197248E-10,0.004049054,0.01096099,0.006588538,0.02661342,9.443014,8.076095E-5,535638.1,535638.1
2.368667E-5,2.540741E-8,6.283185,3.141593,6.283185,932.1139,0.2365664,-2.193071E11,1424.011,1.978339E8,1424.011,1.0,0.9514308,1.543861E-5,2.116589E-7,2.610006E-5,3.983017E-7,6.785331E-5,7.000983E-5,1.289645E-9,1.339293E-7,7.273083E-5,3.064141E-5,4.530357E-10,9.951958E-9,7.266517E-8,2.26328E-13,3.206213E-5,1.479477E-8,2.634561E-6,2.039605E-13,4.040129E-14,1.418762E-12,2.413171E-5,3.295369E-7,5.813717E-6,1.589803E-5,2.515452E-8,0.004047573,0.01092571,0.006556961,0.02655809,9.439862,8.078564E-5,535459.3,535459.3
1.946083E-4,2.089974E-7,6.283185,3.141593,6.283185,929.9536,0.2365664,-2.543815E11,1415.433,1.963241E8,1415.433,1.0,0.9480866,1.893707E-4,2.923505E-5,4.508001E-4,3.2632E-5,5.757368E-4,0.001377319,6.791763E-7,9.529157E-6,7.425651E-4,2.463814E-4,3.581905E-8,7.299247E-7,5.116011E-6,4.562116E-10,3.002038E-4,1.604991E-6,1.445034E-4,1.926265E-9,5.851598E-10,1.297644E-8,2.339661E-4,3.906031E-5,4.832486E-5,1.900979E-4,3.043453E-6,0.004020786,0.01060147,0.006276991,0.02598238,9.404792,8.097331E-5,533470.0,533470.0
5.705515E-4,6.139492E-7,6.283185,3.141593,6.283185,927.2247,0.2365664,-1.848147E11,1398.205,1.932918E8,1398.205,1.0,0.9402292,2.928787E-4,3.26965E-4,0.001553349,2.042357E-4,8.292999E-4,0.005355525,1.287183E-5,9.034076E-5,0.002542102,5.189182E-4,4.847379E-7,5.829945E-6,4.326385E-5,3.136283E-8,9.353295E-4,1.535781E-5,7.31258E-4,1.869851E-7,3.117395E-8,5.404047E-7,7.769966E-4,2.460469E-4,1.267899E-4,7.172049E-4,2.1401E-5,0.003929891,0.009838336,0.005651057,0.02441188,9.317659,8.121162E-5,528527.6,528527.6
0.001919263,2.069695E-6,6.283185,3.141593,6.283185,926.6023,0.2365664,-6.852234E10,1368.031,1.87981E8,1368.031,1.0,0.9224373,2.075185E-4,0.002312762,0.002192704,9.170679E-4,5.360657E-4,0.01538393,1.102669E-4,5.03006E-4,0.007153835,5.038575E-4,5.592825E-6,2.800253E-5,1.785987E-4,1.065751E-6,0.002592437,8.107192E-5,0.002383644,6.208043E-6,6.175548E-7,7.909413E-6,0.002061753,8.462878E-4,2.77809E-4,0.001961997,8.295253E-5,0.003744672,0.008079161,0.004293245,0.02043824,9.122705,8.126617E-5,517469.1,517469.1
0.00509604,5.495212E-6,6.283185,3.141593,6.283185,927.8703,0.2365664,-2.908197E10,1339.439,1.829486E8,1339.439,1.0,0.9032807,1.121834E-4,0.005583754,0.001358515,0.001882331,3.108061E-4,0.02668385,2.923932E-4,9.841408E-4,0.01210698,4.065323E-4,2.045445E-5,5.828629E-5,3.072631E-4,6.023169E-6,0.004236578,1.849546E-4,0.004304841,3.25973E-5,3.014259E-6,3.048735E-5,0.003179858,0.001466154,4.075936E-4,0.003036438,1.61955E-4,0.003576744,0.006262072,0.00300573,0.01604256,8.919836,8.115511E-5,505962.2,505962.2
0.006005153,6.47494E-6,6.283185,3.141593,6.283185,927.9652,0.2365664,-2.497202E10,1334.312,1.820461E8,1334.312,1.0,0.8999122,9.900091E-5,0.00621215,0.001214145,0.002047307,2.797407E-4,0.02871266,3.325601E-4,0.001057444,0.01294609,3.947686E-4,2.423197E-5,6.441222E-5,3.252033E-4,7.589567E-6,0.004484853,2.051967E-4,0.004650206,3.973536E-5,3.754581E-6,3.641836E-5,0.00333933,0.001562736,4.266314E-4,0.003182996,1.768144E-4,0.003547586,0.005957785,0.002802632,0.0152816,8.88478,8.114681E-5,503976.9,503978.2
0.006126539,6.605748E-6,6.283185,3.141593,6.283185,927.9725,0.2365664,-2.446767E10,1333.683,1.819354E8,1333.683,1.0,0.8995017,9.744534E-5,0.006289631,0.001197222,0.00206723,2.760942E-4,0.02896086,3.376266E-4,0.001066094,0.01304758,3.933654E-4,2.471817E-5,6.518069E-5,3.272866E-4,7.799621E-6,0.004514239,2.077175E-4,0.004692435,4.065371E-5,3.853404E-6,3.71868E-5,0.003357959,0.001574187,4.288711E-4,0.003199912,1.786453E-4,0.003544023,0.005921047,0.002778372,0.01518925,8.880521,8.114617E-5,503736.3,503738.0
0.006174092,6.656993E-6,6.283185,3.141593,6.283185,927.9752,0.2365664,-2.429468E10,1333.439,1.818926E8,1333.439,1.0,0.8993429,9.687293E-5,0.006319616,0.001190738,0.002074915,2.747015E-4,0.02905687,3.395936E-4,0.001069419,0.01308679,3.928274E-4,2.490752E-5,6.54789E-5,3.280855E-4,7.881936E-6,0.004525569,2.087208E-4,0.004708757,4.101122E-5,3.892101E-6,3.748635E-5,0.00336511,0.001578593,4.297316E-4,0.003206394,1.793537E-4,0.003542644,0.005906869,0.002769025,0.01515359,8.878874,8.114594E-5,503643.8,503645.9
0.006292251,6.784322E-6,6.283185,3.141593,6.283185,927.981,0.2365664,-2.383813E10,1332.842,1.817875E8,1332.842,1.0,0.8989543,9.547354E-5,0.00639324,0.001174954,0.00209373,2.713083E-4,0.029292,3.444385E-4,0.00107753,0.01318263,3.915123E-4,2.537525E-5,6.621304E-5,3.300297E-4,8.08653E-6,0.004553074,2.110425E-4,0.004748785,4.189406E-5,3.988212E-6,3.822703E-5,0.003382525,0.00158935,4.318298E-4,0.00322215,1.81093E-4,0.003539266,0.00587217,0.002746184,0.01506624,8.874846,8.114544E-5,503415.3,503417.2
0.006471177,6.977134E-6,6.283185,3.141593,6.283185,927.9885,0.2365664,-2.322594E10,1331.958,1.81632E8,1331.958,1.0,0.8983791,9.340982E-5,0.006502424,0.001151934,0.002121485,2.66368E-4,0.02964024,3.51664E-4,0.001089422,0.0133242,3.895827E-4,2.607642E-5,6.730693E-5,3.328683E-4,8.396514E-6,0.004593503,2.145649E-4,0.004808025,4.321622E-5,4.133632E-6,3.933922E-5,0.003407992,0.001605148,4.34903E-4,0.003245119,1.836727E-4,0.003534263,0.005820966,0.002712573,0.01493718,8.868889,8.114478E-5,503078.4,503080.8
0.006497485,7.005483E-6,6.283185,3.141593,6.283185,927.9894,0.2365664,-2.310603E10,1331.83,1.816094E8,1331.83,1.0,0.8982959,9.310914E-5,0.006518251,0.001148624,0.002125493,2.656534E-4,0.02969065,3.527153E-4,0.001091133,0.01334464,3.893035E-4,2.617878E-5,6.746599E-5,3.332753E-4,8.442099E-6,0.004599318,2.150747E-4,0.004816598,4.340914E-5,4.154997E-6,3.950178E-5,0.003411646,0.001607421,4.353446E-4,0.003248408,1.840466E-4,0.003533539,0.005813572,0.002707729,0.01491852,8.868028,8.11447E-5,503029.7,503032.2
0.006528396,7.038792E-6,6.283185,3.141593,6.283185,927.9905,0.2365664,-2.30245E10,1331.681,1.815831E8,1331.681,1.0,0.8981985,9.276732E-5,0.006536769,0.001144762,0.002130179,2.648213E-4,0.02974964,3.539467E-4,0.001093129,0.01336856,3.88978E-4,2.629881E-5,6.765229E-5,3.337499E-4,8.495661E-6,0.004606125,2.156887E-4,0.004826626,4.363529E-5,4.180095E-6,3.969243E-5,0.00341591,0.001610076,4.358601E-4,0.003252242,1.844841E-4,0.003532691,0.005804928,0.002702069,0.01489671,8.86702,8.11446E-5,502973.0,502975.6
0.006818202,7.351085E-6,6.283185,3.141593,6.283185,927.9973,0.2365664,-2.208594E10,1330.308,1.813415E8,1330.308,1.0,0.8973085,8.960758E-5,0.006706682,0.001109913,0.002172939,2.573028E-4,0.03028954,3.65306E-4,0.001111231,0.01358679,3.859974E-4,2.741175E-5,6.936986E-5,3.380352E-4,8.997823E-6,0.004667778,2.212149E-4,0.004918425,4.573048E-5,4.415055E-6,4.146356E-5,0.003454448,0.001634162,4.405286E-4,0.003286766,1.884972E-4,0.003524937,0.005726075,0.002650583,0.01469748,8.857815,8.1144E-5,502453.9,502457.6
