Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_H_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H5_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C3H8_Soln#1 (),Mole_fraction_IC3H7_Soln#1 (),Mole_fraction_NC3H7_Soln#1 (),Mole_fraction_C3H6_Soln#1 (),Mole_fraction_C3H5-A_Soln#1 (),Mole_fraction_C3H4-P_Soln#1 (),Mole_fraction_C3H4-A_Soln#1 (),Mole_fraction_C3H3_Soln#1 (),Mole_fraction_NC4H10_Soln#1 (),Mole_fraction_IC4H10_Soln#1 (),Mole_fraction_IC4H9_Soln#1 (),Mole_fraction_TC4H9_Soln#1 (),Mole_fraction_IC4H8_Soln#1 (),Mole_fraction_IC4H7_Soln#1 (),Mole_fraction_C4H8-1_Soln#1 (),Mole_fraction_C4H8-2_Soln#1 (),Mole_fraction_C4H71-3_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C4H4_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_C5H6_Soln#1 (),Mole_fraction_NC5H12_Soln#1 (),Mole_fraction_NEOC5H12_Soln#1 (),Mole_fraction_NC5H10_Soln#1 (),Mole_fraction_B1M2_Soln#1 (),Mole_fraction_B1M3_Soln#1 (),Mole_fraction_LC5H8_Soln#1 (),Mole_fraction_DIALLYL_Soln#1 (),Mole_fraction_CYC6H8_Soln#1 (),Mole_fraction_NC6H12_Soln#1 (),Mole_fraction_NC7H14_Soln#1 (),Mole_fraction_IC8H17_Soln#1 (),Mole_fraction_IC8H16_Soln#1 (),Mole_fraction_DIMEPTD_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_XYLENE_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Mole_fraction_NC10H20_Soln#1 (),Mole_fraction_IC12H26_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.0,-6535259.0,1000.0,1000.0,0.00167809,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,1.118727E-4,519545.7,519545.7
1.372775E-7,14.99996,-7658695.0,999.9999,999.9999,0.00167809,1.0,0.9452588,3.880942E-10,1.424242E-11,2.332413E-9,1.192772E-12,3.634442E-10,2.966887E-10,2.364131E-17,3.924468E-13,4.328815E-14,2.565506E-10,1.636271E-9,1.318959E-9,4.631398E-17,6.328971E-12,3.05775E-18,1.952784E-13,1.201704E-11,1.528793E-9,2.096251E-8,4.073238E-8,8.034E-9,2.536332E-10,7.516981E-14,1.318767E-9,2.008132E-12,9.920915E-24,1.926652E-12,3.817651E-22,4.486534E-18,7.810253E-17,1.441596E-10,1.946171E-18,6.876701E-18,1.779629E-12,4.923549E-17,3.157235E-20,6.18435E-11,3.428014E-11,4.125605E-9,0.01921551,1.264646E-11,0.00792393,3.398422E-12,7.34013E-16,9.077387E-16,5.255579E-20,1.199411E-16,0.01043317,0.0171685,9.179987,1.118727E-4,519545.7,519545.7
6.186789E-7,14.99995,-8308519.0,999.9993,999.9993,0.00167809,1.0,0.9452586,1.857896E-9,7.379051E-10,2.429959E-8,7.274521E-11,4.418215E-9,4.397927E-9,9.233633E-16,1.637812E-11,1.787484E-12,1.923256E-9,1.80072E-8,6.042666E-9,9.67261E-16,1.752034E-10,8.282628E-17,6.317472E-12,2.635823E-10,7.276817E-9,9.528463E-8,1.983886E-7,3.63475E-8,2.314442E-9,1.562648E-12,6.038792E-9,1.360336E-10,3.113082E-21,5.176824E-11,4.793415E-19,1.567617E-15,1.822699E-14,1.279176E-9,4.45943E-16,1.582571E-15,1.313464E-10,4.60622E-15,2.930986E-18,5.101754E-10,4.683095E-10,4.760733E-9,0.01921542,3.50172E-10,0.007923928,8.788384E-11,4.477881E-14,4.703437E-14,6.806551E-18,5.007916E-15,0.01043316,0.01716846,9.179985,1.118727E-4,519545.6,519545.6
3.306987E-6,14.99992,-9854386.0,999.9956,999.9956,0.00167809,1.0,0.9452573,9.492269E-9,4.281208E-8,2.526899E-7,4.094082E-9,4.126126E-8,6.317342E-8,9.006728E-14,4.08471E-10,4.124429E-11,6.841772E-9,2.321916E-7,3.584956E-8,3.601453E-14,5.067665E-9,2.923903E-15,9.280597E-11,6.41341E-9,2.458915E-8,4.128072E-7,1.165066E-6,1.982132E-7,1.902384E-8,4.714484E-11,3.574326E-8,5.296156E-9,5.804966E-18,1.398565E-9,5.531833E-16,2.299804E-13,4.760404E-12,1.114683E-8,1.386397E-13,5.221711E-13,5.15231E-9,8.230908E-13,4.918101E-16,3.370394E-9,9.515589E-9,6.056256E-9,0.0192149,1.012833E-8,0.007923913,2.4378E-9,2.547453E-12,2.730459E-12,1.033583E-15,1.327253E-13,0.01043306,0.01716821,9.179972,1.11873E-4,519544.8,519544.8
1.0E-5,14.99982,-1.227742E7,999.9844,999.9844,0.00167809,1.0,0.9452526,2.915792E-8,5.848379E-7,1.100447E-6,5.129017E-8,1.69892E-7,4.050341E-7,2.018933E-12,2.953297E-9,2.359922E-10,1.534927E-8,1.376984E-6,1.376994E-7,8.204928E-13,4.956803E-8,9.71702E-14,5.603816E-10,4.294145E-8,4.881401E-8,8.046378E-7,4.090543E-6,6.319459E-7,9.58685E-8,5.124959E-10,1.369639E-7,5.448574E-8,1.386552E-15,1.292849E-8,5.569867E-14,5.369379E-12,1.372708E-10,6.045592E-8,5.950041E-12,2.585938E-11,5.292454E-8,3.321051E-11,1.710858E-14,1.226697E-8,8.411785E-8,9.470368E-9,0.01921335,9.906312E-8,0.007923842,2.313646E-8,3.546215E-11,3.736739E-11,3.735153E-14,1.944712E-12,0.01043258,0.01716742,9.179928,1.118737E-4,519542.3,519542.3
2.0E-5,14.99967,-1.461941E7,999.9641,999.9641,0.00167809,1.0,0.9452422,5.600845E-8,2.740663E-6,2.391449E-6,2.514517E-7,4.052244E-7,1.435841E-6,1.49556E-11,1.240796E-8,6.910545E-10,2.716982E-8,4.200321E-6,3.595413E-7,9.306364E-12,2.024023E-7,1.431077E-12,2.450602E-9,1.243273E-7,6.895922E-8,1.052679E-6,9.605217E-6,1.361405E-6,3.054171E-7,2.588353E-9,3.593079E-7,2.265968E-7,3.832185E-14,5.114325E-8,9.436485E-13,4.06434E-11,8.793668E-10,1.983651E-7,5.837987E-11,2.994464E-10,2.188437E-7,4.212074E-10,1.835449E-13,3.013062E-8,3.326203E-7,1.41793E-8,0.01921043,4.044458E-7,0.007923652,9.262041E-8,2.289739E-10,1.757323E-10,5.312834E-13,2.500346E-11,0.01043126,0.01716586,9.179832,1.118748E-4,519536.9,519536.9
3.0E-5,14.99952,-1.635053E7,999.9408,999.9408,0.00167809,1.0,0.9452285,7.846076E-8,6.353743E-6,3.471061E-6,6.206816E-7,6.342362E-7,3.032989E-6,5.063002E-11,3.090659E-8,1.257782E-9,3.708564E-8,8.015944E-6,6.448243E-7,4.083366E-11,4.465751E-7,6.863635E-12,6.481674E-9,2.233142E-7,8.341022E-8,1.207241E-6,1.624384E-5,2.1752E-6,6.201018E-7,7.018317E-9,6.528421E-7,5.055154E-7,2.394211E-13,1.113162E-7,4.634344E-12,1.277259E-10,2.357271E-9,4.048195E-7,2.109267E-10,1.215845E-9,4.84845E-7,1.992863E-9,7.821959E-13,5.278105E-8,7.254357E-7,1.812372E-8,0.01920686,8.921749E-7,0.007923375,2.018105E-7,7.578915E-10,4.092962E-10,2.983982E-12,1.245879E-10,0.01042931,0.01716389,9.17971,1.118759E-4,519530.0,519530.0
4.0E-5,14.99938,-1.767939E7,999.9152,999.9152,0.00167809,1.0,0.9452121,9.676387E-8,1.115735E-5,4.341246E-6,1.145498E-6,8.311458E-7,5.10583E-6,1.223092E-10,5.958099E-8,1.881364E-9,4.5158E-8,1.2622E-5,9.683821E-7,1.15032E-10,7.661242E-7,2.010623E-11,1.306237E-8,3.351011E-7,9.493497E-8,1.32769E-6,2.379686E-5,3.056309E-6,1.028559E-6,1.447697E-8,1.000099E-6,8.754108E-7,8.237441E-13,1.895974E-7,1.374302E-11,2.763985E-10,4.552659E-9,6.695529E-7,5.100841E-10,3.197074E-9,8.334015E-7,6.033512E-9,2.238341E-12,7.937727E-8,1.237192E-6,2.134064E-8,0.01920276,1.53021E-6,0.00792303,3.425742E-7,1.82684E-9,7.230044E-10,1.054725E-11,3.79221E-10,0.01042683,0.01716159,9.179565,1.11877E-4,519521.8,519521.8
4.176272E-5,14.99935,-1.787876E7,999.9105,999.9105,0.00167809,1.0,0.945209,9.960384E-8,1.210907E-5,4.475413E-6,1.252366E-6,8.620375E-7,5.513767E-6,1.396626E-10,6.569421E-8,1.994995E-9,4.640819E-8,1.350401E-5,1.027641E-6,1.340554E-10,8.291533E-7,2.353623E-11,1.449413E-8,3.559285E-7,9.671891E-8,1.346309E-6,2.520944E-5,3.217422E-6,1.109464E-6,1.615509E-8,1.065681E-6,9.489239E-7,9.865077E-13,2.050064E-7,1.611848E-11,3.0914E-10,5.009942E-9,7.215424E-7,5.809691E-10,3.686132E-9,9.021768E-7,7.114756E-9,2.623903E-12,8.441605E-8,1.337962E-6,2.183986E-8,0.01920199,1.656026E-6,0.007922963,3.700937E-7,2.086407E-9,7.856108E-10,1.275307E-11,4.463765E-10,0.01042635,0.01716116,9.179538,1.118772E-4,519520.3,519520.3
4.2283E-5,14.99934,-1.793475E7,999.9091,999.9091,0.00167809,1.0,0.945208,1.004161E-7,1.239551E-5,4.513981E-6,1.284676E-6,8.70935E-7,5.636415E-6,1.450882E-10,6.755855E-8,2.028703E-9,4.676775E-8,1.376805E-5,1.045209E-6,1.400623E-10,8.481105E-7,2.462097E-11,1.493227E-8,3.621352E-7,9.723146E-8,1.351667E-6,2.563067E-5,3.265275E-6,1.133829E-6,1.666804E-8,1.085255E-6,9.710681E-7,1.038715E-12,2.096395E-7,1.687087E-11,3.191769E-10,5.148804E-9,7.371735E-7,6.03025E-10,3.839438E-9,9.228633E-7,7.459061E-9,2.746642E-12,8.592179E-8,1.368263E-6,2.198265E-8,0.01920176,1.693865E-6,0.007922943,3.783555E-7,2.167602E-9,8.044837E-10,1.346813E-11,4.676809E-10,0.01042621,0.01716103,9.17953,1.118773E-4,519519.8,519519.8
