Time_Soln#2 (sec),Volume_Soln#2 (cm3),Volumetric_heat_production_rate_Soln#2 (erg/cm3-sec),Surface_temperature_Soln#2 (K),Temperature_Soln#2 (K),Mass_Soln#2 (g),Pressure_Soln#2 (atm),Mole_fraction_H2_Soln#2 (),Mole_fraction_H_Soln#2 (),Mole_fraction_CH4_Soln#2 (),Mole_fraction_CH3_Soln#2 (),Mole_fraction_C2H6_Soln#2 (),Mole_fraction_C2H5_Soln#2 (),Mole_fraction_C2H4_Soln#2 (),Mole_fraction_C2H2_Soln#2 (),Mole_fraction_C3H8_Soln#2 (),Mole_fraction_IC3H7_Soln#2 (),Mole_fraction_C3H6_Soln#2 (),Mole_fraction_C3H5-A_Soln#2 (),Mole_fraction_C3H4-P_Soln#2 (),Mole_fraction_C3H4-A_Soln#2 (),Mole_fraction_NC4H10_Soln#2 (),Mole_fraction_IC4H10_Soln#2 (),Mole_fraction_IC4H9_Soln#2 (),Mole_fraction_TC4H9_Soln#2 (),Mole_fraction_IC4H8_Soln#2 (),Mole_fraction_IC4H7_Soln#2 (),Mole_fraction_C4H8-1_Soln#2 (),Mole_fraction_C4H8-2_Soln#2 (),Mole_fraction_C4H71-3_Soln#2 (),Mole_fraction_C4H6_Soln#2 (),Mole_fraction_C4H4_Soln#2 (),Mole_fraction_C6H6_Soln#2 (),Mole_fraction_C5H6_Soln#2 (),Mole_fraction_MCPTD_Soln#2 (),Mole_fraction_NC5H12_Soln#2 (),Mole_fraction_NEOC5H12_Soln#2 (),Mole_fraction_NC5H10_Soln#2 (),Mole_fraction_B1M2_Soln#2 (),Mole_fraction_B1M3_Soln#2 (),Mole_fraction_B2M2_Soln#2 (),Mole_fraction_LC5H8_Soln#2 (),Mole_fraction_DIALLYL_Soln#2 (),Mole_fraction_CYC6H8_Soln#2 (),Mole_fraction_CYC6H10_Soln#2 (),Mole_fraction_NC6H12_Soln#2 (),Mole_fraction_NC7H14_Soln#2 (),Mole_fraction_IC8H16_Soln#2 (),Mole_fraction_DIMEPTD_Soln#2 (),Mole_fraction_C7H8_Soln#2 (),Mole_fraction_C7H7_Soln#2 (),Mole_fraction_C6H5C2H5_Soln#2 (),Mole_fraction_XYLENE_Soln#2 (),Mole_fraction_C6H5C2H4C6H5_Soln#2 (),Mole_fraction_NPBENZ_Soln#2 (),Mole_fraction_NC10H20_Soln#2 (),Mole_fraction_IC12H26_Soln#2 (),Molecular_weight_Soln#2 (g/mole),Mass_density_Soln#2 (g/cm3),Unburned_hydrocarbons_Soln#2 (ppm),Volatile_organic_compounds_Soln#2 (ppm)
0.0,15.0,-3.38919E7,1050.0,1050.0,0.001598181,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,1.065454E-4,519545.7,519545.7
4.699077E-8,14.99995,-3.960404E7,1050.0,1050.0,0.001598181,1.0,0.9452588,9.28874E-10,1.020546E-11,3.831097E-9,7.637514E-13,5.08273E-10,4.012319E-10,5.352038E-17,2.686586E-13,5.503172E-14,2.563833E-9,2.533041E-9,1.169425E-16,5.559616E-12,1.471368E-13,1.196419E-11,3.018933E-9,4.266841E-8,4.50494E-8,1.506812E-8,3.777395E-10,8.14189E-14,2.532518E-9,1.668606E-12,2.323851E-23,1.5869E-12,3.536947E-22,2.140174E-19,3.626957E-18,8.540008E-17,2.182954E-10,2.055701E-18,7.002089E-18,1.91118E-20,1.152925E-12,4.7332E-17,4.081184E-20,4.783901E-22,9.351162E-11,5.556983E-11,0.0192155,1.108842E-11,0.00792393,3.506274E-12,4.799426E-16,6.898882E-16,3.225935E-20,8.819246E-17,0.01043317,0.01716849,9.179987,1.065454E-4,519545.7,519545.7
2.870968E-7,14.99993,-4.402809E7,1049.998,1049.998,0.001598181,1.0,0.9452583,8.258836E-9,1.207184E-9,6.625258E-8,1.097782E-10,1.062264E-8,1.012483E-8,3.995951E-15,2.714431E-11,5.503701E-12,4.65003E-8,1.569901E-8,4.486094E-15,3.906823E-10,1.184422E-11,5.137054E-10,2.654784E-8,2.659329E-7,3.274461E-7,9.2402E-8,5.872552E-9,3.149183E-12,1.567956E-8,3.058156E-10,1.80512E-20,1.098449E-10,2.292285E-18,1.075466E-16,5.209271E-15,6.220365E-14,3.257067E-9,1.45595E-15,4.954384E-15,1.617205E-17,2.864091E-10,1.099653E-14,9.424496E-18,3.472345E-19,1.308019E-9,1.184474E-9,0.01921535,7.802088E-10,0.007923925,2.040694E-10,6.901159E-14,8.16191E-14,1.190189E-17,8.914157E-15,0.01043314,0.01716836,9.179982,1.065455E-4,519545.4,519545.4
1.119613E-6,14.99987,-5.035569E7,1049.992,1049.992,0.001598181,1.0,0.9452563,3.009657E-8,3.397174E-8,4.676555E-7,3.049947E-9,6.866637E-8,9.003729E-8,1.666917E-13,4.233609E-10,8.186622E-11,3.83398E-7,6.512343E-8,8.047269E-14,6.064332E-9,1.255775E-10,7.126363E-9,8.20616E-8,8.895127E-7,1.416344E-6,3.646692E-7,3.139448E-8,4.936764E-11,6.482972E-8,6.302001E-9,7.141238E-18,1.645291E-9,7.611688E-16,6.866631E-15,3.621894E-13,6.042892E-12,1.790046E-8,1.602604E-13,5.629886E-13,1.949024E-15,5.99433E-9,7.158201E-13,5.913231E-16,4.391907E-17,6.070158E-9,1.22453E-8,0.01921478,1.21107E-8,0.007923904,3.068493E-9,1.933968E-12,2.298591E-12,7.374811E-16,1.435264E-13,0.01043299,0.01716788,9.179963,1.065459E-4,519544.3,519544.3
5.18202E-6,14.99957,-6.605768E7,1049.954,1049.954,0.001598181,1.0,0.9452419,1.322422E-7,1.375354E-6,3.916398E-6,1.028634E-7,4.738702E-7,1.090907E-6,1.419519E-11,7.082536E-9,9.546236E-10,4.378061E-6,3.899682E-7,5.307375E-12,1.324154E-7,1.570708E-9,9.845157E-8,2.054127E-7,2.18188E-6,8.342767E-6,1.786531E-6,2.584344E-7,1.285642E-9,3.846394E-7,1.495152E-7,1.234723E-14,3.34866E-8,3.970114E-13,6.901933E-13,2.744748E-11,6.75674E-10,1.595876E-7,3.140741E-11,1.277396E-10,4.486566E-13,1.416128E-7,1.067569E-10,7.527152E-14,1.177742E-14,3.422683E-8,2.193556E-7,0.01921131,2.643956E-7,0.007923689,6.437376E-8,8.161205E-11,9.350879E-11,1.035147E-13,6.180062E-12,0.01043156,0.01716506,9.179822,1.065481E-4,519536.4,519536.4
1.0E-5,14.99919,-7.559218E7,1049.901,1049.901,0.001598181,1.0,0.9452169,2.410622E-7,6.068672E-6,8.31663E-6,4.655482E-7,1.06E-6,3.518575E-6,9.909508E-11,3.100376E-8,2.590011E-9,1.195838E-5,9.360443E-7,5.266446E-11,4.903344E-7,6.879409E-9,2.581562E-7,2.654664E-7,2.653071E-6,1.919992E-5,3.666745E-6,7.482678E-7,5.93592E-9,9.25219E-7,5.650689E-7,2.873523E-13,1.201965E-7,5.518913E-12,4.973872E-12,1.782334E-10,3.795005E-9,4.708E-7,2.776023E-10,1.28706E-9,4.398104E-12,5.300302E-7,1.119315E-9,6.920325E-13,1.340518E-13,7.749211E-8,7.816739E-7,0.01920581,9.787794E-7,0.007923228,2.336169E-7,5.692236E-10,4.154231E-10,1.391369E-12,7.469291E-11,0.01042848,0.0171608,9.179587,1.065508E-4,519523.0,519523.0
1.913778E-5,14.9985,-8.711622E7,1049.785,1049.785,0.001598181,1.0,0.9451512,4.061739E-7,2.320559E-5,1.500105E-5,1.973235E-6,2.099035E-6,1.139288E-5,7.076581E-10,1.569265E-7,6.697849E-9,3.173553E-5,2.262411E-6,5.52792E-10,1.698018E-6,3.517221E-8,6.28015E-7,3.397563E-7,3.155843E-6,4.585098E-5,7.707043E-6,2.306932E-6,2.957332E-8,2.312291E-6,2.007889E-6,5.415905E-12,4.074415E-7,6.701797E-11,3.377648E-11,1.048586E-9,1.734927E-8,1.433675E-6,2.149563E-9,1.166273E-8,3.834903E-11,1.845034E-6,1.240681E-8,6.931221E-12,1.526812E-12,1.842523E-7,2.647574E-6,0.01919194,3.387155E-6,0.007921861,7.896765E-7,4.837416E-9,1.613114E-9,2.394231E-11,9.648118E-10,0.01041914,0.0171504,9.17899,1.065557E-4,519489.2,519489.2
1.94022E-5,14.99849,-8.736633E7,1049.781,1049.781,0.001598181,1.0,0.945149,4.101705E-7,2.383664E-5,1.516141E-5,2.032048E-6,2.125206E-6,1.167572E-5,7.379663E-10,1.6242E-7,6.82978E-9,3.23942E-5,2.303456E-6,5.80626E-10,1.741703E-6,3.640822E-8,6.397263E-7,3.415278E-7,3.167703E-6,4.672126E-5,7.831471E-6,2.363725E-6,3.062737E-8,2.357588E-6,2.060946E-6,5.748171E-12,4.177844E-7,7.053348E-11,3.514996E-11,1.086841E-9,1.788513E-8,1.467942E-6,2.241688E-9,1.22029E-8,4.00984E-11,1.892635E-6,1.30504E-8,7.286431E-12,1.607983E-12,1.877489E-7,2.714749E-6,0.01919148,3.474221E-6,0.007921814,8.094796E-7,5.065299E-9,1.657805E-9,2.545336E-11,1.016896E-9,0.01041881,0.01715006,9.17897,1.065558E-4,519488.1,519488.1
1.961366E-5,14.99847,-8.75612E7,1049.778,1049.778,0.001598181,1.0,0.9451473,4.133284E-7,2.434617E-5,1.528838E-5,2.079658E-6,2.14595E-6,1.19039E-5,7.628343E-10,1.668918E-7,6.935711E-9,3.292407E-5,2.336313E-6,6.035889E-10,1.776955E-6,3.741442E-8,6.491285E-7,3.429299E-7,3.177097E-6,4.742082E-5,7.93124E-6,2.409598E-6,3.14823E-8,2.393974E-6,2.103799E-6,6.024658E-12,4.261295E-7,7.343754E-11,3.627385E-11,1.117984E-9,1.831927E-8,1.495586E-6,2.317175E-9,1.264679E-8,4.15355E-11,1.931046E-6,1.358207E-8,7.580286E-12,1.675191E-12,1.905598E-7,2.768947E-6,0.01919111,3.544476E-6,0.007921775,8.254451E-7,5.252929E-9,1.693921E-9,2.671488E-11,1.059965E-9,0.01041855,0.01714979,9.178955,1.065559E-4,519487.2,519487.2
2.0E-5,14.99844,-8.791119E7,1049.773,1049.773,0.001598181,1.0,0.945144,4.190389E-7,2.528789E-5,1.551754E-5,2.167925E-6,2.183436E-6,1.232523E-5,8.096999E-10,1.752379E-7,7.130182E-9,3.389908E-5,2.396406E-6,6.47148E-10,1.842062E-6,3.929247E-8,6.663877E-7,3.454617E-7,3.194059E-6,4.870689E-5,8.114101E-6,2.494434E-6,3.308005E-8,2.460809E-6,2.183033E-6,6.554615E-12,4.415393E-7,7.895506E-11,3.838492E-11,1.176111E-9,1.912498E-8,1.546623E-6,2.459196E-9,1.348483E-8,4.424767E-11,2.00199E-6,1.459223E-8,8.139669E-12,1.803253E-12,1.957282E-7,2.869022E-6,0.01919043,3.674227E-6,0.007921705,8.548993E-7,5.608008E-9,1.760737E-9,2.914277E-11,1.14189E-9,0.01041806,0.01714929,9.178925,1.065561E-4,519485.6,519485.6
