Time_Soln#3 (sec),Volume_Soln#3 (cm3),Volumetric_heat_production_rate_Soln#3 (erg/cm3-sec),Surface_temperature_Soln#3 (K),Temperature_Soln#3 (K),Mass_Soln#3 (g),Pressure_Soln#3 (atm),Mole_fraction_H2_Soln#3 (),Mole_fraction_H_Soln#3 (),Mole_fraction_CH4_Soln#3 (),Mole_fraction_CH3_Soln#3 (),Mole_fraction_C2H6_Soln#3 (),Mole_fraction_C2H5_Soln#3 (),Mole_fraction_C2H4_Soln#3 (),Mole_fraction_C2H2_Soln#3 (),Mole_fraction_C3H8_Soln#3 (),Mole_fraction_IC3H7_Soln#3 (),Mole_fraction_C3H6_Soln#3 (),Mole_fraction_C3H5-A_Soln#3 (),Mole_fraction_C3H4-P_Soln#3 (),Mole_fraction_C3H4-A_Soln#3 (),Mole_fraction_NC4H10_Soln#3 (),Mole_fraction_IC4H10_Soln#3 (),Mole_fraction_IC4H9_Soln#3 (),Mole_fraction_TC4H9_Soln#3 (),Mole_fraction_IC4H8_Soln#3 (),Mole_fraction_IC4H7_Soln#3 (),Mole_fraction_C4H8-1_Soln#3 (),Mole_fraction_C4H8-2_Soln#3 (),Mole_fraction_C4H71-3_Soln#3 (),Mole_fraction_C4H6_Soln#3 (),Mole_fraction_C4H4_Soln#3 (),Mole_fraction_C6H6_Soln#3 (),Mole_fraction_C5H6_Soln#3 (),Mole_fraction_MCPTD_Soln#3 (),Mole_fraction_NEOC5H12_Soln#3 (),Mole_fraction_NC5H10_Soln#3 (),Mole_fraction_B1M2_Soln#3 (),Mole_fraction_B1M3_Soln#3 (),Mole_fraction_B2M2_Soln#3 (),Mole_fraction_LC5H8_Soln#3 (),Mole_fraction_DIALLYL_Soln#3 (),Mole_fraction_CYC6H8_Soln#3 (),Mole_fraction_CYC6H10_Soln#3 (),Mole_fraction_NC6H12_Soln#3 (),Mole_fraction_NC7H14_Soln#3 (),Mole_fraction_IC8H16_Soln#3 (),Mole_fraction_DIMEPTD_Soln#3 (),Mole_fraction_C7H8_Soln#3 (),Mole_fraction_C7H7_Soln#3 (),Mole_fraction_C6H5C2H3_Soln#3 (),Mole_fraction_C6H5C2H5_Soln#3 (),Mole_fraction_XYLENE_Soln#3 (),Mole_fraction_C6H5C2H4C6H5_Soln#3 (),Mole_fraction_NPBENZ_Soln#3 (),Mole_fraction_NC10H20_Soln#3 (),Mole_fraction_IC12H26_Soln#3 (),Molecular_weight_Soln#3 (g/mole),Mass_density_Soln#3 (g/cm3),Unburned_hydrocarbons_Soln#3 (ppm),Volatile_organic_compounds_Soln#3 (ppm)
0.0,15.0,-1.575011E8,1100.0,1100.0,0.001525536,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,1.017024E-4,519545.7,519545.7
1.376896E-8,14.99994,-1.785141E8,1100.0,1100.0,0.001525536,1.0,0.9452588,1.213128E-9,3.677404E-12,3.800084E-9,2.439107E-13,4.259302E-10,3.293855E-10,6.526875E-17,9.076136E-14,3.240024E-14,2.461207E-9,3.561133E-9,1.584879E-16,2.308793E-12,5.395403E-14,7.012477E-12,3.451338E-9,6.265874E-8,3.784837E-8,2.072799E-8,3.342092E-10,5.308687E-14,3.560421E-9,9.392396E-13,3.525295E-23,6.132141E-13,1.287913E-22,1.313771E-19,3.488279E-17,1.9729E-10,8.165022E-19,2.68505E-18,5.717911E-21,2.84685E-13,2.09642E-17,2.409391E-20,2.526116E-22,8.410612E-11,5.471288E-11,0.0192155,4.572106E-12,0.00792393,2.54595E-12,6.419872E-25,1.555523E-16,2.60696E-16,1.311747E-20,3.156925E-17,0.01043317,0.01716848,9.179987,1.017025E-4,519545.6,519545.6
8.784166E-8,14.99992,-2.012204E8,1099.997,1099.997,0.001525536,1.0,0.9452581,1.740146E-8,5.594812E-10,8.068114E-8,4.515906E-11,1.120738E-8,9.519894E-9,4.320417E-15,1.361948E-11,4.835013E-12,5.233057E-8,2.283173E-8,6.524446E-15,2.583862E-10,7.079694E-12,3.510865E-10,4.928244E-8,4.225444E-7,3.31683E-7,1.324674E-7,7.145382E-9,2.256455E-12,2.280288E-8,1.718203E-10,1.43605E-20,6.87255E-11,8.042591E-19,1.069266E-16,3.50346E-14,4.022893E-9,7.781796E-16,2.534235E-15,7.469859E-18,1.451153E-10,5.474106E-15,6.283901E-18,2.367389E-19,1.659683E-9,1.280885E-9,0.01921534,5.149182E-10,0.007923924,1.444536E-10,8.328062E-22,2.880109E-14,3.966864E-14,3.938475E-18,4.73549E-15,0.01043312,0.01716826,9.17998,1.017026E-4,519545.3,519545.3
3.286465E-7,14.99985,-2.219782E8,1099.989,1099.989,0.001525536,1.0,0.9452556,6.863824E-8,1.467841E-8,5.442552E-7,1.265592E-9,7.620337E-8,8.300807E-8,1.394206E-13,2.565099E-10,8.891453E-11,3.979604E-7,8.816382E-8,9.882225E-14,4.346437E-9,1.031504E-10,4.959317E-9,1.897148E-7,1.451625E-6,1.418746E-6,4.988031E-7,3.805007E-8,3.248011E-11,8.776123E-8,4.350578E-9,2.895291E-18,1.139137E-9,3.542865E-16,7.348282E-15,3.204831E-12,2.133554E-8,7.601805E-14,2.500262E-13,8.382925E-16,3.969538E-9,2.998793E-13,3.384309E-16,2.529653E-17,8.003847E-9,1.074857E-8,0.01921482,8.666678E-9,0.0079239,2.302569E-9,1.025111E-19,8.101539E-13,1.04144E-12,2.502114E-16,8.992387E-14,0.01043294,0.01716754,9.179956,1.017031E-4,519543.9,519543.9
1.619286E-6,14.99941,-2.828537E8,1099.936,1099.936,0.001525536,1.0,0.9452376,3.092509E-7,7.506732E-7,5.649456E-6,5.29259E-8,5.902776E-7,1.04513E-6,1.452758E-11,5.251549E-9,1.456075E-9,5.234373E-6,5.06586E-7,4.863397E-12,1.058255E-7,1.402366E-9,8.945245E-8,6.068257E-7,4.413136E-6,8.744547E-6,2.53656E-6,2.837282E-7,8.836027E-10,4.971714E-7,1.217529E-7,5.613186E-15,2.643396E-8,2.485161E-13,9.085866E-13,5.532579E-10,1.685579E-7,1.983747E-11,7.055271E-11,2.597259E-13,1.115088E-7,4.558032E-11,4.684616E-14,8.386548E-15,4.578894E-8,1.821638E-7,0.01921146,2.10978E-7,0.007923666,5.410894E-8,3.282184E-17,3.872526E-11,5.355879E-11,3.599308E-14,2.920978E-12,0.01043143,0.01716327,9.179777,1.01706E-4,519533.8,519533.8
5.817976E-6,14.99792,-3.470481E8,1099.719,1099.719,0.001525536,1.0,0.9451446,9.611218E-7,1.475281E-5,2.730618E-5,1.026644E-6,2.718651E-6,9.259188E-6,6.832499E-10,9.695424E-8,9.976463E-9,3.545636E-5,2.499059E-6,3.426748E-10,1.291625E-6,2.254085E-8,5.960459E-7,9.528821E-7,6.409374E-6,4.356846E-5,9.939776E-6,1.964372E-6,1.646392E-8,2.429444E-6,1.563728E-6,2.560492E-12,3.041995E-7,3.821573E-11,4.026609E-11,1.755618E-8,1.198775E-6,1.478256E-9,6.275566E-9,2.40074E-11,1.395601E-6,3.646272E-9,3.125193E-12,8.764396E-13,2.052195E-7,1.995286E-6,0.01919514,2.57273E-6,0.007922025,6.349474E-7,1.468469E-14,1.878808E-9,1.076184E-9,4.831737E-12,2.816338E-10,0.01042092,0.01714555,9.178882,1.017162E-4,519483.1,519483.1
1.0E-5,14.99655,-3.757555E8,1099.475,1099.475,0.001525536,1.0,0.9450159,1.471994E-6,4.546121E-5,4.498267E-5,3.52237E-6,4.689028E-6,2.420492E-5,3.545059E-9,4.103087E-7,2.186734E-8,7.666347E-5,4.969061E-6,2.394015E-9,3.583213E-6,8.97935E-8,1.221032E-6,1.120765E-6,7.183505E-6,9.030315E-5,1.825967E-5,4.991679E-6,6.346402E-8,4.987615E-6,4.466863E-6,3.00056E-11,8.292348E-7,2.968436E-10,1.942952E-10,6.080158E-8,2.957412E-6,8.138226E-9,3.821407E-8,1.475905E-10,3.885407E-6,2.500282E-8,2.087285E-11,6.276468E-12,4.099262E-7,5.410404E-6,0.01917221,7.130056E-6,0.00791936,1.719712E-6,2.950124E-13,1.255412E-8,3.392813E-9,5.271844E-11,2.311788E-9,0.0104034,0.01712315,9.177683,1.017255E-4,519415.3,519415.3
2.0E-5,14.99395,-3.930995E8,1098.85,1098.85,0.001525536,1.0,0.9446173,2.18884E-6,1.642258E-4,6.983559E-5,1.489984E-5,7.516638E-6,7.857262E-5,2.794884E-8,2.269656E-6,5.71482E-8,2.027207E-4,1.006273E-5,2.572079E-8,1.20447E-5,4.69782E-7,2.993941E-6,1.351464E-6,8.251363E-6,2.337179E-4,4.028044E-5,1.72399E-5,3.647525E-7,1.18438E-5,1.592101E-5,5.500357E-10,2.758251E-6,3.427619E-9,1.353413E-9,2.523445E-7,9.346322E-6,6.220807E-8,3.215859E-7,1.313709E-9,1.308222E-5,2.414329E-7,2.703233E-10,7.803482E-11,1.020331E-6,1.785368E-5,0.01909971,2.390997E-5,0.007910417,5.457111E-6,1.160732E-11,1.298839E-7,1.296313E-8,1.07634E-9,2.721529E-8,0.01034272,0.01705715,9.174056,1.017431E-4,519210.0,519210.0
2.290577E-5,14.99335,-3.916711E8,1098.666,1098.666,0.001525536,1.0,0.9444878,2.296385E-6,2.060107E-4,7.360473E-5,1.918849E-5,7.933339E-6,9.736479E-5,4.102174E-8,3.043582E-6,6.820337E-8,2.436876E-4,1.106004E-5,3.959518E-8,1.497658E-5,6.255763E-7,3.554403E-6,1.38485E-6,8.408301E-6,2.804121E-4,4.690665E-5,2.181691E-5,5.070067E-7,1.372646E-5,2.010102E-5,9.30814E-10,3.428283E-6,5.3352E-9,1.948051E-9,3.241539E-7,1.158752E-5,9.01118E-8,4.691727E-7,1.960229E-9,1.626827E-5,3.54351E-7,4.478278E-10,1.264484E-10,1.21626E-6,2.213745E-5,0.01907589,2.971129E-5,0.007907452,6.66524E-6,2.255527E-11,1.978593E-7,1.653187E-8,1.879653E-9,4.196177E-8,0.01032214,0.01703607,9.172889,1.017471E-4,519143.9,519143.9
2.302827E-5,14.99333,-3.91581E8,1098.659,1098.659,0.001525536,1.0,0.9444823,2.300201E-6,2.078169E-4,7.373894E-5,1.93757E-5,7.948082E-6,9.817536E-5,4.163651E-8,3.077846E-6,6.86715E-8,2.454403E-4,1.109732E-5,4.026092E-8,1.510303E-5,6.324593E-7,3.578305E-6,1.386015E-6,8.413801E-6,2.824109E-4,4.718639E-5,2.201712E-5,5.135301E-7,1.380335E-5,2.028347E-5,9.499599E-10,3.457215E-6,5.427219E-9,1.975885E-9,3.272875E-7,1.168453E-5,9.141383E-8,4.760331E-7,1.990853E-9,1.640567E-5,3.595469E-7,4.567456E-10,1.28853E-10,1.224626E-6,2.232198E-5,0.01907486,2.996137E-5,0.007907325,6.716396E-6,2.314155E-11,2.010953E-7,1.668841E-8,1.920695E-9,4.266552E-8,0.01032126,0.01703517,9.172839,1.017473E-4,519141.1,519141.1
