Time_Soln#9 (sec),Volume_Soln#9 (cm3),Volumetric_heat_production_rate_Soln#9 (erg/cm3-sec),Surface_temperature_Soln#9 (K),Temperature_Soln#9 (K),Mass_Soln#9 (g),Pressure_Soln#9 (atm),Mole_fraction_H2_Soln#9 (),Mole_fraction_H_Soln#9 (),Mole_fraction_CH4_Soln#9 (),Mole_fraction_CH3_Soln#9 (),Mole_fraction_C2H6_Soln#9 (),Mole_fraction_C2H5_Soln#9 (),Mole_fraction_C2H4_Soln#9 (),Mole_fraction_C2H3_Soln#9 (),Mole_fraction_C2H2_Soln#9 (),Mole_fraction_C3H8_Soln#9 (),Mole_fraction_C3H6_Soln#9 (),Mole_fraction_C3H5-A_Soln#9 (),Mole_fraction_C3H4-P_Soln#9 (),Mole_fraction_C3H4-A_Soln#9 (),Mole_fraction_C3H3_Soln#9 (),Mole_fraction_NC4H10_Soln#9 (),Mole_fraction_IC4H10_Soln#9 (),Mole_fraction_IC4H9_Soln#9 (),Mole_fraction_TC4H9_Soln#9 (),Mole_fraction_IC4H8_Soln#9 (),Mole_fraction_IC4H7_Soln#9 (),Mole_fraction_C4H8-1_Soln#9 (),Mole_fraction_C4H8-2_Soln#9 (),Mole_fraction_C4H71-3_Soln#9 (),Mole_fraction_C4H6_Soln#9 (),Mole_fraction_C4H4_Soln#9 (),Mole_fraction_C6H6_Soln#9 (),Mole_fraction_FULVENE_Soln#9 (),Mole_fraction_C5H6_Soln#9 (),Mole_fraction_C5H5_Soln#9 (),Mole_fraction_MCPTD_Soln#9 (),Mole_fraction_NEOC5H12_Soln#9 (),Mole_fraction_NC5H10_Soln#9 (),Mole_fraction_B1M2_Soln#9 (),Mole_fraction_B1M3_Soln#9 (),Mole_fraction_B2M2_Soln#9 (),Mole_fraction_LC5H8_Soln#9 (),Mole_fraction_DIALLYL_Soln#9 (),Mole_fraction_CYC6H10_Soln#9 (),Mole_fraction_NC6H12_Soln#9 (),Mole_fraction_NC7H14_Soln#9 (),Mole_fraction_IC8H16_Soln#9 (),Mole_fraction_DIMEPTD_Soln#9 (),Mole_fraction_C7H8_Soln#9 (),Mole_fraction_C7H7_Soln#9 (),Mole_fraction_C6H5C2H3_Soln#9 (),Mole_fraction_C6H5C2H5_Soln#9 (),Mole_fraction_XYLENE_Soln#9 (),Mole_fraction_NC10H20_Soln#9 (),Mole_fraction_IC12H26_Soln#9 (),Molecular_weight_Soln#9 (g/mole),Mass_density_Soln#9 (g/cm3),Unburned_hydrocarbons_Soln#9 (ppm),Volatile_organic_compounds_Soln#9 (ppm)
0.0,15.0,-1.885523E11,1400.0,1400.0,0.001198636,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,7.990905E-5,519545.7,519545.7
3.12381E-11,14.99999,-1.90769E11,1399.999,1399.999,0.001198636,1.0,0.9452586,6.585986E-10,6.11149E-15,8.771734E-10,2.572465E-16,5.289588E-11,4.064251E-11,3.45017E-14,4.38459E-17,1.066897E-16,5.181914E-10,9.389633E-9,1.248338E-16,4.699679E-14,9.850179E-19,8.084729E-17,2.614207E-13,1.033803E-9,2.216967E-7,7.91047E-9,4.9547E-8,4.396559E-11,2.916668E-15,9.388867E-9,6.594353E-13,2.457802E-21,9.935407E-16,2.726098E-27,4.465936E-25,9.540552E-28,1.296876E-21,6.335301E-20,2.859615E-11,1.106491E-21,3.05358E-21,1.87208E-24,3.736212E-17,7.616398E-20,1.287549E-24,1.131856E-11,1.221084E-11,0.01921548,1.076659E-14,0.007923928,1.744105E-11,2.076498E-27,1.641289E-19,4.911723E-19,0.01043315,0.01716834,9.179985,7.99091E-5,519545.6,519545.6
8.162799E-10,14.99977,-2.246659E11,1399.967,1399.967,0.001198636,1.0,0.9452509,3.119179E-7,8.572126E-11,4.598298E-7,3.981631E-12,3.148057E-8,2.38857E-8,2.390168E-11,3.427428E-14,1.60718E-12,2.616245E-7,2.452855E-7,8.604764E-14,9.404917E-11,1.255858E-14,1.188245E-12,2.147883E-10,5.327411E-7,6.185858E-6,1.25365E-6,1.294339E-6,2.520727E-8,2.059209E-12,2.447645E-7,4.592445E-10,2.241146E-18,1.226826E-11,8.702992E-22,1.656268E-19,6.42952E-21,3.864087E-16,2.317356E-14,1.619724E-8,3.964564E-16,1.053541E-15,3.538532E-18,9.952696E-12,1.307643E-15,4.316332E-19,6.332288E-9,6.842639E-9,0.01921461,1.313361E-10,0.007923863,4.942449E-10,7.730615E-22,2.540056E-15,6.891786E-15,0.0104326,0.0171639,9.179911,7.991026E-5,519541.3,519541.3
3.330123E-9,14.99905,-2.46104E11,1399.851,1399.851,0.001198636,1.0,0.9452184,2.481296E-6,3.662544E-9,4.308197E-6,2.021807E-10,3.573397E-7,2.70147E-7,4.158744E-10,8.143769E-13,7.683598E-11,2.302927E-6,1.000417E-6,1.457141E-12,2.931633E-9,4.706833E-13,5.356672E-11,4.446102E-9,5.029596E-6,2.567206E-5,9.822393E-6,5.27657E-6,2.645148E-7,3.695651E-11,9.918305E-7,8.632733E-9,7.838427E-17,4.591248E-10,1.473194E-19,8.185185E-17,4.672816E-18,6.459528E-14,4.055972E-12,1.659698E-7,7.035789E-14,1.778978E-13,1.228815E-15,1.188462E-9,8.87254E-14,6.908835E-17,6.313656E-8,6.945511E-8,0.0192138,4.919915E-9,0.007923587,3.306749E-9,1.646475E-19,1.287401E-13,2.947706E-13,0.01043072,0.01714956,9.179594,7.991411E-5,519523.4,519523.4
9.540247E-9,14.99723,-2.539802E11,1399.552,1399.552,0.001198636,1.0,0.9451313,8.616822E-6,4.609009E-8,1.750765E-5,2.854416E-9,1.564823E-6,1.265687E-6,3.707267E-9,1.217398E-11,1.00044E-9,9.518347E-6,2.871819E-6,1.231017E-11,3.065516E-8,5.145468E-12,6.450089E-10,4.183759E-8,2.185123E-5,6.724456E-5,3.454121E-5,1.509171E-5,1.057371E-6,3.343365E-10,2.802933E-6,8.203117E-8,1.77076E-15,4.993577E-9,6.685158E-18,1.262861E-14,4.712337E-16,2.151981E-12,1.342642E-10,6.521541E-7,2.534033E-12,6.192321E-12,5.576679E-14,2.154386E-8,2.090746E-12,2.400639E-15,2.409224E-7,2.841202E-7,0.01921244,5.359459E-8,0.00792283,2.109271E-8,7.103881E-18,1.812087E-12,3.718989E-12,0.01042591,0.01711412,9.178747,7.992381E-5,519475.5,519475.5
2.809869E-8,14.99169,-2.677836E11,1398.621,1398.621,0.001198636,1.0,0.9448532,2.854334E-5,5.622327E-7,7.324038E-5,3.534176E-8,6.000658E-6,5.944506E-6,3.629827E-8,2.72378E-10,1.090034E-8,4.688007E-5,8.537752E-6,1.226133E-10,3.032966E-7,5.414764E-11,6.210825E-9,3.92748E-7,7.925584E-5,1.632506E-4,1.127898E-4,4.423611E-5,3.574229E-6,3.474065E-9,7.972719E-6,7.760847E-7,6.739805E-14,5.024636E-8,5.475305E-16,1.565247E-12,4.30358E-14,6.503944E-11,4.072075E-9,2.194927E-6,9.157973E-11,2.154735E-10,2.252575E-12,2.662131E-7,5.413227E-11,9.636129E-14,7.770527E-7,1.136336E-6,0.01920713,5.403391E-7,0.00792025,1.745101E-7,2.962984E-16,2.280055E-11,4.572537E-11,0.01041058,0.01700886,9.176025,7.995334E-5,519321.4,519321.4
1.048184E-7,14.96887,-2.90983E11,1394.452,1394.452,0.001198636,1.0,0.9435051,1.147139E-4,1.347501E-5,4.922808E-4,9.091228E-7,2.960115E-5,4.594907E-5,5.410053E-7,1.533301E-8,2.240138E-7,3.964812E-4,3.298643E-5,4.659937E-9,4.652662E-6,1.424074E-9,9.174129E-8,4.962908E-6,2.26967E-4,3.892049E-4,4.774281E-4,1.61676E-4,1.573083E-5,7.973343E-8,2.643356E-5,1.078496E-5,1.980556E-11,7.808779E-7,2.589575E-13,4.094874E-10,8.906683E-12,3.624417E-9,2.534222E-7,9.718892E-6,8.315947E-9,1.781851E-8,2.293448E-10,4.469104E-6,2.978158E-9,1.072776E-11,2.952512E-6,8.170429E-6,0.01916635,8.422659E-6,0.007905181,2.52025E-6,6.113937E-14,9.042093E-10,1.158379E-9,0.0103316,0.01658515,9.162625,8.007525E-5,518563.1,518563.1
1.831506E-7,14.94718,-2.848682E11,1390.099,1390.099,0.001198636,1.0,0.9419844,1.861072E-4,5.202948E-5,0.00106307,4.484768E-6,5.441267E-5,1.123935E-4,1.610172E-6,8.724693E-8,9.861755E-7,9.196337E-4,5.835588E-5,3.214191E-8,1.396627E-5,8.093486E-9,3.312806E-7,1.2976E-5,2.810006E-4,4.736914E-4,8.848104E-4,2.760933E-4,3.111146E-5,3.236543E-7,4.163374E-5,3.082456E-5,2.768499E-10,2.355516E-6,3.645347E-12,3.758562E-9,7.871088E-11,1.836196E-8,1.280389E-6,1.914886E-5,5.552804E-8,1.108187E-7,1.62566E-9,1.359999E-5,1.647044E-8,7.637289E-11,5.09172E-6,2.061505E-5,0.01909951,2.536168E-5,0.007884702,7.445849E-6,1.083392E-12,7.276479E-9,4.902632E-9,0.01022964,0.01617516,9.147275,8.019144E-5,517694.3,517694.3
1.897753E-7,14.94545,-2.836181E11,1389.737,1389.737,0.001198636,1.0,0.9418541,1.91101E-4,5.660972E-5,0.001113232,4.986924E-6,5.638851E-5,1.189468E-4,1.722995E-6,9.745463E-8,1.087793E-6,9.672363E-4,6.04546E-5,3.641228E-8,1.493965E-5,9.086621E-9,3.60855E-7,1.374681E-5,2.831457E-4,4.771541E-4,9.198731E-4,2.854984E-4,3.254419E-5,3.535507E-7,4.277566E-5,3.287638E-5,3.268162E-10,2.520562E-6,4.297118E-12,4.304468E-9,9.015136E-11,2.02943E-8,1.411191E-6,2.001193E-5,6.251645E-8,1.24093E-7,1.837477E-9,1.455501E-5,1.835236E-8,8.632344E-11,5.268175E-6,2.186259E-5,0.01909296,2.713032E-5,0.007882821,7.954265E-6,1.310277E-12,8.363907E-9,5.3799E-9,0.01022028,0.01614164,9.145953,8.02007E-5,517619.5,517619.5
2.079169E-7,14.94082,-2.798141E11,1388.756,1388.756,0.001198636,1.0,0.9414975,2.03976E-4,7.02189E-5,0.001250637,6.560841E-6,6.166359E-5,1.375329E-4,2.047699E-6,1.294445E-7,1.401041E-6,0.001098946,6.613409E-5,5.01275E-8,1.773104E-5,1.224691E-8,4.501414E-7,1.590807E-5,2.877192E-4,4.846453E-4,0.001016027,3.110326E-4,3.656922E-5,4.431305E-7,4.579626E-5,3.873272E-5,4.994055E-10,2.994336E-6,6.537296E-12,6.076094E-9,1.274971E-10,2.618539E-8,1.80485E-6,2.241899E-5,8.462201E-8,1.65562E-7,2.512515E-9,1.729286E-5,2.42116E-8,1.180488E-10,5.747575E-6,2.540746E-5,0.01907446,3.219924E-5,0.007877587,9.405713E-6,2.138075E-12,1.197648E-8,6.832321E-9,0.01019421,0.01605079,9.142333,8.022558E-5,517414.6,517414.6
