Time_Soln#10 (sec),Volume_Soln#10 (cm3),Volumetric_heat_production_rate_Soln#10 (erg/cm3-sec),Surface_temperature_Soln#10 (K),Temperature_Soln#10 (K),Mass_Soln#10 (g),Pressure_Soln#10 (atm),Mole_fraction_H2_Soln#10 (),Mole_fraction_H_Soln#10 (),Mole_fraction_CH4_Soln#10 (),Mole_fraction_CH3_Soln#10 (),Mole_fraction_C2H6_Soln#10 (),Mole_fraction_C2H5_Soln#10 (),Mole_fraction_C2H4_Soln#10 (),Mole_fraction_C2H3_Soln#10 (),Mole_fraction_C2H2_Soln#10 (),Mole_fraction_C3H8_Soln#10 (),Mole_fraction_NC3H7_Soln#10 (),Mole_fraction_C3H6_Soln#10 (),Mole_fraction_C3H5-A_Soln#10 (),Mole_fraction_C3H4-P_Soln#10 (),Mole_fraction_C3H4-A_Soln#10 (),Mole_fraction_C3H3_Soln#10 (),Mole_fraction_NC4H10_Soln#10 (),Mole_fraction_IC4H10_Soln#10 (),Mole_fraction_IC4H9_Soln#10 (),Mole_fraction_TC4H9_Soln#10 (),Mole_fraction_IC4H8_Soln#10 (),Mole_fraction_IC4H7_Soln#10 (),Mole_fraction_C4H8-1_Soln#10 (),Mole_fraction_C4H8-2_Soln#10 (),Mole_fraction_C4H71-3_Soln#10 (),Mole_fraction_C4H6_Soln#10 (),Mole_fraction_C4H4_Soln#10 (),Mole_fraction_C4H2_Soln#10 (),Mole_fraction_C6H6_Soln#10 (),Mole_fraction_FULVENE_Soln#10 (),Mole_fraction_C5H6_Soln#10 (),Mole_fraction_C5H5_Soln#10 (),Mole_fraction_MCPTD_Soln#10 (),Mole_fraction_NEOC5H12_Soln#10 (),Mole_fraction_NC5H10_Soln#10 (),Mole_fraction_B1M2_Soln#10 (),Mole_fraction_B1M3_Soln#10 (),Mole_fraction_B2M2_Soln#10 (),Mole_fraction_LC5H8_Soln#10 (),Mole_fraction_NC6H12_Soln#10 (),Mole_fraction_NC7H14_Soln#10 (),Mole_fraction_IC8H16_Soln#10 (),Mole_fraction_DIMEPTD_Soln#10 (),Mole_fraction_C7H8_Soln#10 (),Mole_fraction_C7H7_Soln#10 (),Mole_fraction_C6H5C2H3_Soln#10 (),Mole_fraction_C6H5C2H5_Soln#10 (),Mole_fraction_C10H10_Soln#10 (),Mole_fraction_NC10H20_Soln#10 (),Mole_fraction_IC12H26_Soln#10 (),Molecular_weight_Soln#10 (g/mole),Mass_density_Soln#10 (g/cm3),Unburned_hydrocarbons_Soln#10 (ppm),Volatile_organic_compounds_Soln#10 (ppm)
0.0,15.0,-4.649949E11,1450.0,1450.0,0.001157303,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,7.715357E-5,519545.7,519545.7
2.30202E-11,14.99999,-4.710725E11,1449.998,1449.998,0.001157303,1.0,0.9452584,1.484787E-9,1.053195E-14,1.800188E-9,4.205348E-16,1.016064E-10,7.808171E-11,8.496398E-14,1.000647E-16,1.766559E-16,8.924976E-11,1.052607E-9,1.689022E-8,2.859207E-16,1.227464E-13,2.829544E-18,1.369715E-16,4.518079E-13,2.188895E-9,4.196002E-7,1.193459E-8,8.802804E-8,8.445351E-11,5.222188E-15,1.688826E-8,1.685273E-12,1.069026E-20,8.831549E-21,1.649407E-15,1.149715E-26,1.2924E-24,3.25104E-27,4.031764E-21,1.697625E-19,5.586371E-11,2.795137E-21,7.527448E-21,4.464984E-24,6.650535E-17,2.174108E-11,2.498941E-11,0.01921543,1.882199E-14,0.007923927,3.63848E-11,6.057199E-27,2.656845E-19,7.419695E-33,0.01043314,0.01716818,9.179983,7.715364E-5,519545.5,519545.5
6.562871E-10,14.99956,-5.645925E11,1449.932,1449.932,0.001157303,1.0,0.9452421,7.913823E-7,1.905803E-10,1.072272E-6,8.542721E-12,7.015605E-8,5.308241E-8,7.058033E-11,9.586931E-14,3.487133E-12,5.924122E-8,5.987396E-7,4.812431E-7,2.365888E-13,2.39604E-10,4.615858E-14,2.628847E-12,4.537206E-10,1.296898E-6,1.280097E-5,2.771328E-6,2.508164E-6,5.597924E-8,4.422358E-12,4.796533E-7,1.392158E-9,1.29531E-17,7.161348E-18,2.608469E-11,5.308172E-21,7.170477E-19,3.962972E-20,1.804779E-15,9.052394E-14,3.658408E-8,1.477032E-15,3.770348E-15,1.689762E-17,2.606664E-11,1.401346E-8,1.613528E-8,0.01921404,2.951749E-10,0.007923788,1.124813E-9,3.423067E-21,5.395795E-15,1.047762E-25,0.01043203,0.01715882,9.179824,7.715581E-5,519536.5,519536.5
2.202418E-9,14.99851,-6.078407E11,1449.751,1449.751,0.001157303,1.0,0.9451905,4.584899E-6,4.728076E-9,7.167881E-6,2.479228E-10,5.573148E-7,4.186327E-7,8.336888E-10,1.502196E-12,9.663676E-11,4.399499E-7,3.765943E-6,1.613419E-6,2.722958E-12,4.296431E-9,1.020932E-12,6.915566E-11,6.211589E-9,8.967647E-6,4.313056E-5,1.620174E-5,8.406086E-6,4.166871E-7,5.36446E-11,1.595722E-6,1.683626E-8,2.881137E-16,8.057609E-17,5.761502E-10,4.244659E-19,1.501166E-16,1.13123E-17,1.449702E-13,7.494677E-12,2.673878E-7,1.258393E-13,3.043997E-13,2.543121E-15,1.546202E-9,9.974957E-8,1.16342E-7,0.01921368,6.525193E-9,0.00792335,5.424738E-9,3.406217E-19,1.562322E-13,4.056089E-23,0.01042918,0.01713582,9.179323,7.716124E-5,519508.1,519508.1
4.806972E-9,14.99671,-6.191901E11,1449.435,1449.435,0.001157303,1.0,0.9450982,1.167465E-5,3.138034E-8,2.037526E-5,1.817421E-9,1.707975E-6,1.320773E-6,4.228964E-9,1.085676E-11,6.781044E-10,1.255481E-6,1.059359E-5,3.519569E-6,1.323899E-11,2.446493E-8,6.132085E-12,4.594345E-10,3.311706E-8,2.748116E-5,8.834702E-5,4.196674E-5,1.830738E-5,1.205033E-6,2.764806E-10,3.436849E-6,8.623887E-8,2.711969E-15,3.91038E-16,3.45086E-9,6.776537E-18,6.339298E-15,3.553674E-16,1.998315E-12,1.021214E-10,7.637237E-7,1.827847E-12,4.279871E-12,4.467373E-14,1.413525E-8,2.786595E-7,3.357302E-7,0.01921372,3.911975E-8,0.007922557,1.925553E-8,5.652081E-18,1.141291E-12,2.19491E-21,0.01042428,0.01709718,9.178426,7.71705E-5,519457.3,519457.3
1.363138E-8,14.99056,-6.348724E11,1448.343,1448.343,0.001157303,1.0,0.9447749,3.707782E-5,3.431106E-7,7.639213E-5,2.105105E-8,6.254964E-6,5.559049E-6,3.819502E-8,2.031581E-10,7.30751E-9,3.930534E-6,4.419662E-5,9.983807E-6,1.151637E-10,2.23605E-7,5.916022E-11,4.477833E-9,2.969557E-7,1.040121E-4,2.114989E-4,1.325067E-4,5.153586E-5,4.013412E-6,2.631343E-9,9.354977E-6,7.351037E-7,6.858553E-14,3.952879E-15,3.254936E-8,3.823007E-16,7.138894E-13,2.872678E-14,5.503673E-11,2.710005E-9,2.524662E-6,5.659776E-11,1.267566E-10,1.565861E-12,1.744413E-7,8.935094E-7,1.217105E-6,0.01921291,3.693974E-7,0.007919667,1.315937E-7,2.022157E-16,1.321439E-11,5.132003E-19,0.01040716,0.01696786,9.175271,7.720217E-5,519278.8,519278.8
5.000019E-8,14.96576,-6.574195E11,1443.682,1443.682,0.001157303,1.0,0.9433176,1.492906E-4,7.11822E-6,4.556397E-4,4.577009E-7,2.9582E-5,3.79852E-5,5.484567E-7,1.025366E-8,1.376617E-7,1.256274E-5,3.365149E-4,3.669081E-5,2.910064E-9,3.282242E-6,1.176226E-9,6.47491E-8,3.967911E-6,3.502291E-4,5.502712E-4,5.277377E-4,1.834111E-4,1.639565E-5,5.501564E-8,2.964595E-5,9.503637E-6,9.228142E-12,2.118077E-13,4.910786E-7,1.404044E-13,1.797067E-10,5.559525E-12,2.910294E-9,1.546722E-7,1.031673E-5,4.329041E-9,8.720497E-9,1.311043E-10,2.917235E-6,3.334142E-6,7.005505E-6,0.01919429,5.575779E-6,0.007904856,1.734971E-6,2.491342E-14,3.519842E-10,4.827069E-16,0.01032795,0.0164608,9.160905,7.73301E-5,518465.7,518465.7
1.543411E-7,14.90506,-5.811155E11,1430.755,1430.755,0.001157303,1.0,0.9388452,4.009305E-4,1.033788E-4,0.002091924,1.102728E-5,9.798695E-5,2.205487E-4,4.638539E-6,3.242924E-7,2.540735E-6,2.604595E-5,0.001813318,1.089393E-4,1.26318E-7,2.96018E-5,3.341825E-8,8.077829E-7,2.894248E-5,5.644474E-4,8.53785E-4,0.001713742,5.19974E-4,5.958523E-5,8.86164E-7,6.639211E-5,7.192215E-5,1.515272E-9,1.048121E-11,4.56851E-6,2.761282E-11,1.547292E-8,4.175033E-10,7.231148E-8,4.045791E-6,3.709235E-5,1.849873E-7,3.050364E-7,6.124632E-9,2.734729E-5,9.538756E-6,4.054154E-5,0.01903794,5.120168E-5,0.007846154,1.515932E-5,6.503282E-12,2.010321E-8,2.474972E-13,0.01004107,0.01521581,9.11584,7.764499E-5,515915.3,515915.3
1.604078E-7,14.90208,-5.741717E11,1430.065,1430.065,0.001157303,1.0,0.9385926,4.1062E-4,1.129122E-4,0.002190767,1.240049E-5,1.013251E-4,2.339745E-4,4.968797E-6,3.645905E-7,2.820273E-6,2.651322E-5,0.001908178,1.127009E-4,1.441328E-7,3.172644E-5,3.780283E-8,8.851344E-7,3.073814E-5,5.659134E-4,8.563731E-4,0.001781147,5.378078E-4,6.242887E-5,9.708101E-7,6.790633E-5,7.66115E-5,1.79894E-9,1.185501E-11,4.903282E-6,3.273394E-11,1.779798E-8,4.80137E-10,8.005692E-8,4.467206E-6,3.879178E-5,2.092048E-7,3.418555E-7,6.94833E-9,2.932338E-5,9.865373E-6,4.304021E-5,0.01902566,5.48891E-5,0.007842388,1.621883E-5,7.965868E-12,2.337824E-8,3.082591E-13,0.01002274,0.01515189,9.113268,7.766052E-5,515769.7,515769.7
1.674621E-7,14.89869,-5.659915E11,1429.273,1429.273,0.001157303,1.0,0.938301,4.212494E-4,1.24533E-4,0.002304907,1.413805E-5,1.050919E-4,2.498671E-4,5.362211E-6,4.153774E-7,3.168345E-6,2.702333E-5,0.002018503,1.169938E-4,1.668759E-7,3.425495E-5,4.33697E-8,9.803159E-7,3.284684E-5,5.668404E-4,8.582894E-4,0.001859064,5.58325E-4,6.577796E-5,1.074143E-6,6.960274E-5,8.21553E-5,2.176588E-9,1.358289E-11,5.302591E-6,3.952459E-11,2.077887E-8,5.607249E-10,8.960676E-8,4.982785E-6,4.077998E-5,2.39827E-7,3.878771E-7,7.993316E-9,3.167408E-5,1.024075E-5,4.599497E-5,0.01901109,5.927573E-5,0.007837993,1.747475E-5,9.985669E-12,2.766142E-8,3.938181E-13,0.01000131,0.01507862,9.110296,7.767819E-5,515601.5,515601.5
