Time_Soln#13 (sec),Volume_Soln#13 (cm3),Volumetric_heat_production_rate_Soln#13 (erg/cm3-sec),Surface_temperature_Soln#13 (K),Temperature_Soln#13 (K),Mass_Soln#13 (g),Pressure_Soln#13 (atm),Mole_fraction_H2_Soln#13 (),Mole_fraction_H_Soln#13 (),Mole_fraction_CH4_Soln#13 (),Mole_fraction_CH3_Soln#13 (),Mole_fraction_C2H6_Soln#13 (),Mole_fraction_C2H5_Soln#13 (),Mole_fraction_C2H4_Soln#13 (),Mole_fraction_C2H3_Soln#13 (),Mole_fraction_C2H2_Soln#13 (),Mole_fraction_C3H8_Soln#13 (),Mole_fraction_NC3H7_Soln#13 (),Mole_fraction_C3H6_Soln#13 (),Mole_fraction_C3H5-A_Soln#13 (),Mole_fraction_C3H4-P_Soln#13 (),Mole_fraction_C3H4-A_Soln#13 (),Mole_fraction_C3H3_Soln#13 (),Mole_fraction_NC4H10_Soln#13 (),Mole_fraction_IC4H10_Soln#13 (),Mole_fraction_IC4H9_Soln#13 (),Mole_fraction_TC4H9_Soln#13 (),Mole_fraction_IC4H8_Soln#13 (),Mole_fraction_IC4H7_Soln#13 (),Mole_fraction_C4H8-1_Soln#13 (),Mole_fraction_C4H8-2_Soln#13 (),Mole_fraction_C4H71-3_Soln#13 (),Mole_fraction_C4H6_Soln#13 (),Mole_fraction_C4H4_Soln#13 (),Mole_fraction_C4H2_Soln#13 (),Mole_fraction_C6H6_Soln#13 (),Mole_fraction_FULVENE_Soln#13 (),Mole_fraction_C5H6_Soln#13 (),Mole_fraction_C5H5_Soln#13 (),Mole_fraction_MCPTD_Soln#13 (),Mole_fraction_C10H8_Soln#13 (),Mole_fraction_NEOC5H12_Soln#13 (),Mole_fraction_NC5H10_Soln#13 (),Mole_fraction_B1M2_Soln#13 (),Mole_fraction_LC5H8_Soln#13 (),Mole_fraction_NC6H12_Soln#13 (),Mole_fraction_NC7H14_Soln#13 (),Mole_fraction_IC8H16_Soln#13 (),Mole_fraction_DIMEPTD_Soln#13 (),Mole_fraction_C7H8_Soln#13 (),Mole_fraction_C7H7_Soln#13 (),Mole_fraction_C6H5C2H3_Soln#13 (),Mole_fraction_C6H5C2H5_Soln#13 (),Mole_fraction_INDENE_Soln#13 (),Mole_fraction_C10H10_Soln#13 (),Mole_fraction_NC10H20_Soln#13 (),Mole_fraction_IC12H26_Soln#13 (),Molecular_weight_Soln#13 (g/mole),Mass_density_Soln#13 (g/cm3),Unburned_hydrocarbons_Soln#13 (ppm),Volatile_organic_compounds_Soln#13 (ppm)
0.0,15.0,-4.974539E12,1600.0,1600.0,0.001048806,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.992042E-5,519545.7,519545.7
4.132426E-12,14.99997,-5.009376E12,1599.996,1599.996,0.001048806,1.0,0.9452579,2.083609E-9,3.234351E-15,1.921873E-9,1.11262E-16,9.070695E-11,6.97993E-11,1.4496E-13,1.26848E-16,4.870847E-17,7.975017E-11,1.097554E-9,3.155631E-8,3.66326E-16,2.537232E-13,3.363431E-18,3.990529E-17,3.084638E-13,2.581917E-9,8.97626E-7,1.070543E-8,1.591994E-7,7.546586E-11,3.948095E-15,3.155252E-8,3.210575E-12,6.896673E-20,4.394093E-20,4.757851E-16,1.432696E-26,6.911993E-25,1.556976E-27,3.159343E-21,2.423237E-28,7.512242E-20,5.274403E-11,1.038613E-21,1.208281E-17,1.943908E-11,2.631565E-11,0.01921535,6.381433E-15,0.007923922,8.584386E-11,3.809579E-27,6.755049E-20,1.243896E-29,4.109774E-33,0.0104331,0.01716776,9.179979,6.992054E-5,519545.2,519545.2
1.213447E-10,14.99922,-5.721277E12,1599.861,1599.861,0.001048806,1.0,0.9452258,1.384064E-6,6.854215E-11,1.390466E-6,2.525796E-12,7.173748E-8,5.464171E-8,1.275014E-10,1.208225E-13,1.09227E-12,6.195804E-8,7.72742E-7,9.256445E-7,3.280918E-13,2.730383E-10,6.39434E-14,8.82257E-13,3.039833E-10,1.895508E-6,2.739389E-5,3.607282E-6,4.669786E-6,5.853652E-8,3.480587E-12,9.223865E-7,2.763878E-9,9.100389E-17,3.779647E-17,8.655659E-12,7.643916E-21,4.094035E-19,1.807694E-20,1.498954E-15,1.231052E-22,4.557101E-14,4.077294E-8,6.435792E-16,5.361957E-12,1.486523E-8,2.012761E-8,0.01921242,1.14809E-10,0.007923651,2.553915E-9,2.295704E-21,1.533642E-15,9.57921E-24,6.030606E-26,0.01043096,0.01714632,9.179667,6.992405E-5,519527.6,519527.6
6.561945E-10,14.99579,-6.464196E12,1599.151,1599.151,0.001048806,1.0,0.9450231,1.941966E-5,6.836096E-9,2.274378E-5,3.059118E-10,1.467631E-6,1.093277E-6,4.022519E-9,5.170155E-12,1.286481E-10,1.196772E-6,1.160738E-5,4.980129E-6,1.039587E-11,1.132147E-8,5.669781E-12,9.791441E-11,1.15468E-8,3.375062E-5,1.486222E-4,5.172029E-5,2.512947E-5,1.127309E-6,1.12049E-10,4.88715E-6,8.141853E-8,7.006258E-15,1.093977E-15,7.64035E-10,3.777585E-18,4.301798E-16,5.424874E-17,7.807024E-13,6.526244E-20,2.43708E-11,7.768196E-7,3.740616E-13,2.083551E-9,2.733971E-7,3.720851E-7,0.01921707,1.013688E-8,0.007921935,1.670424E-8,1.520244E-18,1.850235E-13,1.788071E-20,1.990106E-22,0.01042059,0.01704839,9.177697,6.994007E-5,519416.1,519416.1
1.862159E-9,14.98806,-6.45161E12,1597.491,1597.491,0.001048806,1.0,0.944529,6.708697E-5,8.460425E-8,8.979682E-5,4.414082E-9,6.541592E-6,4.942005E-6,3.599735E-8,7.559323E-11,1.842871E-9,5.000923E-6,4.399612E-5,1.397985E-5,8.811066E-11,1.047728E-7,6.258155E-11,1.284027E-9,1.094229E-7,1.553716E-4,3.730882E-4,1.850131E-4,7.052366E-5,4.740432E-6,1.042595E-9,1.327012E-5,6.55756E-7,1.356992E-13,8.713456E-15,8.345064E-9,1.454662E-16,5.694672E-14,5.373615E-15,2.57269E-11,2.283998E-18,7.634057E-10,3.235071E-6,1.336179E-11,4.091633E-8,1.101946E-6,1.531971E-6,0.0192362,1.108063E-7,0.007917715,7.243317E-8,6.386813E-17,2.64286E-12,3.017139E-18,2.895436E-20,0.01039695,0.01683257,9.172895,6.997612E-5,519144.3,519144.3
5.297331E-9,14.96688,-6.084636E12,1592.92,1592.92,0.001048806,1.0,0.9431626,2.016196E-4,8.565133E-7,3.043321E-4,4.926961E-8,2.231002E-5,1.875629E-5,3.182655E-7,1.504622E-9,2.138163E-8,1.546918E-5,1.60947E-4,3.863351E-5,7.772826E-10,8.789938E-7,5.900129E-10,1.293497E-8,9.782452E-7,5.612803E-4,8.519665E-4,5.562901E-4,1.944829E-4,1.520311E-5,1.070988E-8,3.360749E-5,4.945869E-6,2.786527E-12,7.566573E-14,7.547387E-8,8.406839E-15,5.716841E-12,4.046212E-13,6.599328E-10,7.336814E-17,1.784413E-8,1.030212E-5,3.785157E-10,4.742543E-7,3.427776E-6,5.112094E-6,0.01928108,1.002112E-6,0.007905726,4.150459E-7,2.113963E-15,2.909646E-11,5.327745E-16,4.845443E-18,0.01033104,0.01625858,9.159586,7.007513E-5,518391.1,518391.1
1.962273E-8,14.89324,-4.853118E12,1576.455,1576.455,0.001048806,1.0,0.9380823,7.09476E-4,1.442079E-5,0.001425555,9.917094E-7,9.054389E-5,1.061946E-4,3.707823E-6,6.919893E-8,4.55887E-7,4.778904E-5,9.59894E-4,1.28392E-4,1.92726E-8,1.101569E-5,1.076541E-8,1.99745E-7,1.257283E-5,0.001729391,0.002121777,0.001902796,6.416263E-4,5.500082E-5,2.246081E-7,8.356239E-5,4.852261E-5,1.488853E-10,2.421281E-12,1.031801E-6,2.861958E-12,1.116797E-9,6.365033E-11,2.842539E-8,6.934335E-15,7.963883E-7,3.684823E-5,2.202215E-8,6.986462E-6,1.163656E-5,2.275399E-5,0.01935088,1.360687E-5,0.00785646,4.516737E-6,2.182136E-13,6.860625E-10,3.032425E-13,3.483432E-15,0.01007353,0.01436064,9.109736,7.042165E-5,515569.8,515569.8
4.418055E-8,14.80418,-3.55866E12,1554.89,1554.89,0.001048806,1.0,0.9310045,0.001344252,8.277054E-5,0.003701134,8.126487E-6,1.944832E-4,3.258505E-4,1.392477E-5,6.861083E-7,3.217916E-6,7.758101E-5,0.002882973,2.459271E-4,2.292695E-7,4.646468E-5,8.839532E-8,1.080568E-6,5.165977E-5,0.002449952,0.002955716,0.003718049,0.001230907,1.149709E-4,1.384954E-6,1.162451E-4,1.574729E-4,2.879914E-9,3.119372E-11,4.736665E-6,9.87977E-11,2.215253E-8,1.108666E-9,2.291772E-7,1.620374E-13,7.173378E-6,7.606307E-5,2.539831E-7,3.139594E-5,2.197659E-5,6.124319E-5,0.01922846,6.101249E-5,0.007773482,1.909179E-5,7.495882E-12,9.250983E-9,1.255819E-11,2.40834E-13,0.009669582,0.01221352,9.039173,7.084527E-5,511576.2,511576.2
5.422278E-8,14.77676,-3.179159E12,1547.75,1547.75,0.001048806,1.0,0.9285476,0.001522466,1.275968E-4,0.004637485,1.436463E-5,2.284611E-4,4.306134E-4,1.910716E-5,1.211554E-6,5.243242E-6,8.438991E-5,0.003722533,2.838416E-4,4.351711E-7,6.505593E-5,1.557995E-7,1.650175E-6,7.143412E-5,0.002516708,0.003047459,0.004339697,0.001429089,1.379136E-4,2.128847E-6,1.228353E-4,2.044901E-4,6.324837E-9,5.807496E-11,6.814181E-6,2.279505E-10,4.468567E-8,2.171626E-9,3.709919E-7,3.874857E-13,1.191686E-5,9.073315E-5,4.599768E-7,4.453939E-5,2.531302E-5,7.888843E-5,0.01913417,8.671024E-5,0.007740487,2.679875E-5,1.941288E-11,1.924577E-8,3.059277E-11,7.139547E-13,0.009513805,0.01156896,9.014364,7.097676E-5,510172.1,510172.1
6.019701E-8,14.7623,-2.979903E12,1543.864,1543.864,0.001048806,1.0,0.9271848,0.001609029,1.587145E-4,0.005181117,1.928152E-5,2.461906E-4,4.955805E-4,2.239031E-5,1.615812E-6,6.706126E-6,8.745823E-5,0.004218868,3.040589E-4,6.01072E-7,7.682534E-5,2.082025E-7,2.044958E-6,8.370849E-5,0.002522417,0.00306318,0.004683729,0.00153826,1.513045E-4,2.634774E-6,1.259025E-4,2.323069E-4,9.433107E-9,7.901906E-11,8.167194E-6,3.448412E-10,6.324188E-8,3.03339E-9,4.704018E-7,6.116194E-13,1.528162E-5,9.91734E-5,6.194613E-7,5.291872E-5,2.711716E-5,8.967043E-5,0.01907126,1.031321E-4,0.007721254,3.166997E-5,3.157603E-11,2.808122E-8,4.768459E-11,1.241764E-12,0.009423492,0.01122885,9.000535,7.104626E-5,509389.5,509389.5
