Time_Soln#16 (sec),Volume_Soln#16 (cm3),Volumetric_heat_production_rate_Soln#16 (erg/cm3-sec),Surface_temperature_Soln#16 (K),Temperature_Soln#16 (K),Mass_Soln#16 (g),Pressure_Soln#16 (atm),Mole_fraction_H2_Soln#16 (),Mole_fraction_H_Soln#16 (),Mole_fraction_CH4_Soln#16 (),Mole_fraction_CH3_Soln#16 (),Mole_fraction_C2H6_Soln#16 (),Mole_fraction_C2H5_Soln#16 (),Mole_fraction_C2H4_Soln#16 (),Mole_fraction_C2H3_Soln#16 (),Mole_fraction_C2H2_Soln#16 (),Mole_fraction_C3H8_Soln#16 (),Mole_fraction_NC3H7_Soln#16 (),Mole_fraction_C3H6_Soln#16 (),Mole_fraction_C3H5-A_Soln#16 (),Mole_fraction_C3H4-P_Soln#16 (),Mole_fraction_C3H4-A_Soln#16 (),Mole_fraction_C3H3_Soln#16 (),Mole_fraction_PC4H9_Soln#16 (),Mole_fraction_IC4H10_Soln#16 (),Mole_fraction_IC4H9_Soln#16 (),Mole_fraction_TC4H9_Soln#16 (),Mole_fraction_IC4H8_Soln#16 (),Mole_fraction_IC4H7_Soln#16 (),Mole_fraction_C4H8-1_Soln#16 (),Mole_fraction_C4H8-2_Soln#16 (),Mole_fraction_C4H71-3_Soln#16 (),Mole_fraction_C4H6_Soln#16 (),Mole_fraction_C4H4_Soln#16 (),Mole_fraction_C4H2_Soln#16 (),Mole_fraction_C6H6_Soln#16 (),Mole_fraction_FULVENE_Soln#16 (),Mole_fraction_C5H6_Soln#16 (),Mole_fraction_C5H5_Soln#16 (),Mole_fraction_MCPTD_Soln#16 (),Mole_fraction_C10H8_Soln#16 (),Mole_fraction_NEOC5H12_Soln#16 (),Mole_fraction_NC5H10_Soln#16 (),Mole_fraction_B1M2_Soln#16 (),Mole_fraction_LC5H8_Soln#16 (),Mole_fraction_NC6H12_Soln#16 (),Mole_fraction_NC7H14_Soln#16 (),Mole_fraction_IC8H16_Soln#16 (),Mole_fraction_DIMEPTD_Soln#16 (),Mole_fraction_C7H8_Soln#16 (),Mole_fraction_C7H7_Soln#16 (),Mole_fraction_C6H5C2H_Soln#16 (),Mole_fraction_C6H5C2H3_Soln#16 (),Mole_fraction_C6H5C2H5_Soln#16 (),Mole_fraction_C10H10_Soln#16 (),Mole_fraction_NC10H20_Soln#16 (),Mole_fraction_IC12H26_Soln#16 (),Molecular_weight_Soln#16 (g/mole),Mass_density_Soln#16 (g/cm3),Unburned_hydrocarbons_Soln#16 (ppm),Volatile_organic_compounds_Soln#16 (ppm)
0.0,15.0,-3.541359E13,1750.0,1750.0,9.589086E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.392724E-5,519545.7,519545.7
9.852101E-13,14.99996,-3.555732E13,1749.992,1749.992,9.589086E-4,1.0,0.9452572,2.679984E-9,1.178943E-15,1.982952E-9,3.55174E-17,8.073855E-11,6.223234E-11,2.209158E-13,1.342573E-16,1.623342E-17,7.10113E-11,1.112917E-9,5.240325E-8,3.896004E-16,4.700746E-13,3.733504E-18,9.834237E-11,2.259633E-13,2.964283E-9,1.677641E-6,9.78361E-9,2.573389E-7,6.719818E-11,3.154356E-15,5.239668E-8,5.445845E-12,2.354485E-19,1.358437E-19,1.587907E-16,1.302049E-26,3.742776E-25,5.621428E-28,2.353684E-21,1.001155E-28,3.541108E-20,4.98193E-11,4.1274E-22,2.679492E-18,1.731406E-11,2.674075E-11,0.01921524,2.512674E-15,0.007923916,1.276615E-10,8.113335E-34,2.474544E-27,2.049523E-20,1.632037E-33,0.01043305,0.01716707,9.179971,6.392742E-5,519544.8,519544.8
4.846743E-11,14.998,-4.055488E13,1749.578,1749.578,9.589086E-4,1.0,0.945157,4.984045E-6,1.167828E-10,4.032457E-6,3.773833E-12,1.796874E-7,1.371667E-7,5.515833E-10,3.647509E-13,1.709944E-12,1.557039E-7,2.203826E-6,2.570927E-6,1.059232E-12,1.229722E-9,3.174361E-13,2.124186E-7,6.226765E-10,6.206986E-6,8.47396E-5,1.024953E-5,1.262532E-5,1.470918E-7,7.792525E-12,2.555206E-6,1.30874E-8,1.338783E-15,3.270348E-16,1.30249E-11,5.31163E-20,1.724947E-18,7.690737E-20,8.075799E-15,3.716424E-22,1.661543E-13,1.089783E-7,2.055709E-15,8.648539E-12,3.742496E-8,5.779715E-8,0.01920842,2.003633E-10,0.00792307,6.331646E-9,4.69281E-27,1.149855E-20,2.1779E-15,2.936222E-25,0.01042691,0.0170972,9.178998,6.393575E-5,519489.7,519489.7
2.611878E-10,14.98958,-4.504691E13,1747.454,1747.454,9.589086E-4,1.0,0.94454,7.039229E-5,1.156513E-8,6.579545E-5,4.57069E-10,3.699218E-6,2.756583E-6,1.77726E-8,1.621949E-11,2.072168E-10,3.057727E-6,3.291959E-5,1.366836E-5,3.801772E-11,4.098233E-8,2.859674E-11,3.972819E-6,2.335539E-8,1.142361E-4,4.420438E-4,1.501914E-4,6.721477E-5,2.876158E-6,2.505149E-10,1.3233E-5,3.696711E-7,1.345998E-13,9.259118E-15,1.153468E-9,2.590459E-17,1.592031E-15,2.268432E-16,4.150091E-12,1.983712E-19,8.55075E-11,2.125146E-6,1.239631E-12,3.413901E-9,7.024373E-7,1.086912E-6,0.01924046,1.774166E-8,0.00791786,3.912662E-8,5.591195E-24,7.498005E-18,2.622492E-13,9.252652E-22,0.01039787,0.01678937,9.173006,6.397169E-5,519150.5,519150.5
7.717166E-10,14.9703,-4.233147E13,1742.366,1742.366,9.589086E-4,1.0,0.9430032,2.475736E-4,1.537153E-7,2.647597E-4,7.309514E-9,1.735823E-5,1.295245E-5,1.737445E-7,2.765339E-10,3.504812E-9,1.361793E-5,1.247249E-4,3.909994E-5,3.653046E-10,3.707738E-7,3.510462E-10,1.682786E-5,2.379097E-7,5.5008E-4,0.00108476,5.518185E-4,1.930069E-4,1.282444E-5,2.583969E-9,3.569129E-5,3.003403E-6,2.894827E-12,7.64582E-14,1.358182E-8,1.120737E-15,2.270905E-13,2.589482E-14,1.5059E-10,8.03336E-18,2.846459E-9,9.425643E-6,5.006374E-11,7.524719E-8,3.005182E-6,4.699453E-6,0.01934426,2.092754E-7,0.007904806,1.631731E-7,7.565978E-22,3.532412E-16,4.125593E-12,1.452686E-19,0.01032975,0.01610249,9.158073,6.405405E-5,518305.4,518305.4
2.133127E-9,14.92499,-3.465584E13,1730.538,1730.538,9.589086E-4,1.0,0.9394512,6.608818E-4,1.335975E-6,7.732174E-4,7.329531E-8,5.386816E-5,4.320057E-5,1.327316E-6,4.962553E-9,4.069152E-8,3.975653E-5,3.78508E-4,1.000003E-4,2.921621E-9,2.628041E-6,3.078215E-9,4.734301E-5,1.886261E-6,0.001764816,0.002237035,0.00148604,4.974932E-4,3.817198E-5,2.446036E-8,7.95984E-5,1.8813E-5,4.527638E-11,5.385701E-13,1.085271E-7,5.517982E-14,1.743656E-11,1.559899E-12,3.160334E-9,2.24891E-16,5.212855E-8,2.774528E-5,1.147597E-9,7.684883E-7,8.707704E-6,1.40915E-5,0.01954325,1.674863E-6,0.007874074,7.796534E-7,9.625692E-20,9.619367E-15,4.026548E-11,1.73713E-17,0.01016678,0.0145737,9.123517,6.424852E-5,516349.7,516349.7
7.053652E-9,14.81091,-2.086195E13,1700.919,1700.919,9.589086E-4,1.0,0.9305389,0.00171366,1.367523E-5,0.002368145,9.294923E-7,1.65178E-4,1.661879E-4,9.811125E-6,1.338091E-7,6.486791E-7,1.047182E-4,0.001396893,2.671417E-4,4.269777E-8,2.151172E-5,3.646514E-8,1.16103E-4,1.68559E-5,0.004373763,0.004615308,0.003761436,0.001352659,1.089353E-4,3.264523E-7,1.477307E-4,1.165213E-4,8.253075E-10,7.053077E-12,1.012399E-6,8.118808E-12,1.531228E-9,1.240661E-10,7.589353E-8,1.107351E-14,1.180919E-6,7.701332E-5,3.316298E-8,7.582386E-6,2.390775E-5,4.358231E-5,0.01976589,1.550105E-5,0.007791627,5.497135E-6,2.905748E-17,4.44562E-13,5.347466E-10,4.898049E-15,0.009714275,0.0110948,9.036436,6.474339E-5,511421.4,511421.4
1.440527E-8,14.70817,-1.325528E13,1673.563,1673.563,9.589086E-4,1.0,0.9221047,0.002686312,5.161389E-5,0.00451622,4.385971E-6,2.951319E-4,3.755221E-4,2.621606E-5,8.278064E-7,3.15532E-6,1.578481E-4,0.003089768,4.361816E-4,2.744307E-7,6.553079E-5,1.670148E-7,1.585477E-4,5.334237E-5,0.005863635,0.00609414,0.005815861,0.002249504,1.847561E-4,1.340918E-6,1.707564E-4,2.728775E-4,4.670128E-9,4.613204E-11,3.452072E-6,1.371179E-10,1.633884E-8,1.291926E-9,3.979984E-7,1.282436E-13,6.508553E-6,1.27374E-4,2.164789E-7,2.504609E-5,3.876762E-5,8.233234E-5,0.01958601,5.150313E-5,0.007702015,1.696113E-5,1.043479E-15,5.623538E-12,3.225654E-9,1.39485E-13,0.009223152,0.00838433,8.953213,6.519565E-5,506711.3,506711.3
2.385835E-8,14.62599,-9.071824E12,1650.309,1650.309,9.589086E-4,1.0,0.9146229,0.00344768,1.301921E-4,0.007077079,1.400394E-5,4.178951E-4,6.695899E-4,4.995506E-5,2.858185E-6,9.094689E-6,1.909578E-4,0.005311012,5.8223E-4,1.070026E-6,1.334772E-4,5.174991E-7,1.699001E-4,1.110484E-4,0.006302873,0.006616794,0.007564561,0.003075108,2.586223E-4,3.329169E-6,1.740652E-4,4.466829E-4,1.899625E-8,1.811943E-10,7.815761E-6,8.680066E-10,7.599336E-8,5.879758E-9,1.135359E-6,8.634247E-13,1.974561E-5,1.746476E-4,7.713705E-7,5.393465E-5,5.153298E-5,1.283602E-4,0.0191241,1.118845E-4,0.007608509,3.576415E-5,1.654194E-14,3.864868E-11,1.419895E-8,1.487743E-12,0.00873254,0.006482223,8.878409,6.556194E-5,502477.7,502477.7
2.687529E-8,14.60633,-8.229204E12,1644.433,1644.433,9.589086E-4,1.0,0.9126704,0.00361798,1.616814E-4,0.007848055,1.858912E-5,4.48447E-4,7.668016E-4,5.799704E-5,3.813989E-6,1.156396E-5,1.968706E-4,0.006001298,6.180978E-4,1.469178E-6,1.563068E-4,6.788085E-7,1.687959E-4,1.305255E-4,0.006289511,0.006630056,0.00801143,0.0032916,2.789974E-4,4.079895E-6,1.738058E-4,4.95877E-4,2.703886E-8,2.480798E-10,9.418137E-6,1.312471E-9,1.073431E-7,8.256483E-9,1.431303E-6,1.387718E-12,2.528006E-5,1.874029E-4,1.033396E-6,6.397815E-5,5.472673E-5,1.424175E-4,0.01896151,1.329598E-4,0.007581524,4.228324E-5,3.238837E-14,6.146517E-11,2.05544E-8,2.595819E-12,0.008595472,0.00605708,8.858708,6.56502E-5,501362.7,501362.7
