Time_Soln#18 (sec),Volume_Soln#18 (cm3),Volumetric_heat_production_rate_Soln#18 (erg/cm3-sec),Surface_temperature_Soln#18 (K),Temperature_Soln#18 (K),Mass_Soln#18 (g),Pressure_Soln#18 (atm),Mole_fraction_H2_Soln#18 (),Mole_fraction_H_Soln#18 (),Mole_fraction_CH4_Soln#18 (),Mole_fraction_CH3_Soln#18 (),Mole_fraction_C2H6_Soln#18 (),Mole_fraction_C2H5_Soln#18 (),Mole_fraction_C2H4_Soln#18 (),Mole_fraction_C2H3_Soln#18 (),Mole_fraction_C2H2_Soln#18 (),Mole_fraction_C3H8_Soln#18 (),Mole_fraction_NC3H7_Soln#18 (),Mole_fraction_C3H6_Soln#18 (),Mole_fraction_C3H5-A_Soln#18 (),Mole_fraction_C3H4-P_Soln#18 (),Mole_fraction_C3H4-A_Soln#18 (),Mole_fraction_C3H3_Soln#18 (),Mole_fraction_PC4H9_Soln#18 (),Mole_fraction_IC4H10_Soln#18 (),Mole_fraction_IC4H9_Soln#18 (),Mole_fraction_TC4H9_Soln#18 (),Mole_fraction_IC4H8_Soln#18 (),Mole_fraction_IC4H7_Soln#18 (),Mole_fraction_C4H8-1_Soln#18 (),Mole_fraction_C4H8-2_Soln#18 (),Mole_fraction_C4H71-3_Soln#18 (),Mole_fraction_C4H6_Soln#18 (),Mole_fraction_C4H5_Soln#18 (),Mole_fraction_C4H4_Soln#18 (),Mole_fraction_C4H2_Soln#18 (),Mole_fraction_C6H6_Soln#18 (),Mole_fraction_FULVENE_Soln#18 (),Mole_fraction_C5H6_Soln#18 (),Mole_fraction_C5H5_Soln#18 (),Mole_fraction_MCPTD_Soln#18 (),Mole_fraction_C10H8_Soln#18 (),Mole_fraction_NEOC5H12_Soln#18 (),Mole_fraction_NC5H10_Soln#18 (),Mole_fraction_B1M2_Soln#18 (),Mole_fraction_LC5H8_Soln#18 (),Mole_fraction_NC7H14_Soln#18 (),Mole_fraction_IC8H17_Soln#18 (),Mole_fraction_IC8H16_Soln#18 (),Mole_fraction_DIMEPTD_Soln#18 (),Mole_fraction_C7H8_Soln#18 (),Mole_fraction_C7H7_Soln#18 (),Mole_fraction_C6H5C2H_Soln#18 (),Mole_fraction_C6H5C2H3_Soln#18 (),Mole_fraction_C12H8_Soln#18 (),Mole_fraction_NC10H20_Soln#18 (),Mole_fraction_IC12H26_Soln#18 (),Molecular_weight_Soln#18 (g/mole),Mass_density_Soln#18 (g/cm3),Unburned_hydrocarbons_Soln#18 (ppm),Volatile_organic_compounds_Soln#18 (ppm)
0.0,15.0,-1.09697E14,1850.0,1850.0,9.070757E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.047171E-5,519545.7,519545.7
2.309461E-13,14.99997,-1.098683E14,1849.994,1849.994,9.070757E-4,1.0,0.9452576,9.17034E-10,1.109805E-16,5.813491E-10,3.077021E-18,2.170202E-11,1.675162E-11,8.092042E-14,3.759856E-17,1.448179E-18,1.909147E-11,3.230006E-10,3.761632E-8,1.091345E-16,1.925121E-13,7.40346E-19,2.644508E-11,5.485208E-14,9.344039E-10,1.291562E-6,3.729215E-9,1.818752E-7,1.806674E-11,8.07061E-16,3.76137E-8,2.138798E-12,2.038179E-22,1.115894E-19,6.296182E-20,1.515177E-17,1.117553E-27,2.613055E-26,2.243854E-29,2.377322E-22,7.008295E-30,2.302703E-21,1.394487E-11,2.402754E-23,1.34586E-19,7.74307E-12,1.10626E-6,0.01921532,2.810447E-16,0.007923919,7.044407E-11,4.050091E-35,2.058853E-28,2.85407E-46,0.01043309,0.01716738,9.179975,6.047183E-5,519545.0,519545.0
1.400788E-11,14.99832,-1.184954E14,1849.62,1849.62,9.070757E-4,1.0,0.9451709,2.793984E-6,2.025439E-11,1.952178E-6,5.837504E-13,7.654652E-8,5.881009E-8,3.036754E-10,1.477888E-13,2.735998E-13,6.687984E-8,1.072729E-6,2.276441E-6,4.553427E-13,7.221866E-10,1.044559E-13,9.200435E-8,2.158227E-10,3.201245E-6,7.92141E-5,5.064624E-6,1.100632E-5,6.323586E-8,2.992267E-12,2.266898E-6,7.814465E-9,4.868623E-17,9.892437E-16,2.304505E-16,2.106915E-12,8.822462E-21,2.441422E-19,4.828092E-21,1.334196E-15,4.423664E-23,2.175341E-14,4.8824E-8,2.379656E-16,7.345883E-13,2.693931E-8,5.704191E-5,0.01920681,3.56423E-11,0.007923189,4.27834E-9,4.29882E-28,1.777332E-21,1.087073E-34,0.01042765,0.01709991,9.179134,6.047851E-5,519497.4,519497.4
1.260991E-10,14.98582,-1.358024E14,1846.122,1846.122,9.070757E-4,1.0,0.9441698,1.124292E-4,9.483844E-9,9.011038E-5,3.365147E-10,4.532568E-6,3.397292E-6,2.783184E-8,1.880018E-11,1.598554E-10,3.797031E-6,4.537437E-5,2.007892E-5,5.58887E-11,6.2811E-8,4.563568E-11,5.00166E-6,2.294825E-8,1.67859E-4,6.868276E-4,2.096856E-4,9.730708E-5,3.573246E-6,2.650787E-10,1.935371E-5,6.042159E-7,3.093595E-13,4.350256E-13,1.801172E-14,8.891003E-10,3.387514E-17,1.458776E-15,1.865296E-16,5.389302E-12,1.896976E-19,8.80478E-11,2.761618E-6,1.205163E-12,2.375527E-9,1.466755E-6,1.84351E-4,0.01926067,1.501119E-8,0.007914753,4.283508E-8,4.055486E-24,9.114966E-18,3.831017E-28,0.01038097,0.01656661,9.169411,6.052894E-5,518947.1,518947.1
3.822011E-10,14.95982,-1.229723E14,1838.227,1838.227,9.070757E-4,1.0,0.9417667,4.178605E-4,1.384863E-7,3.858083E-4,6.052259E-9,2.353567E-5,1.747759E-5,2.854568E-7,3.33415E-10,3.141942E-9,1.880877E-5,1.800448E-4,5.808006E-5,5.961644E-10,5.705139E-7,6.391668E-10,2.363851E-5,2.440184E-7,8.588823E-4,0.001688661,8.194174E-4,2.836572E-4,1.766646E-5,2.822427E-9,5.228517E-5,4.985377E-6,2.889236E-11,9.849374E-12,1.525587E-13,1.155503E-8,1.594456E-15,2.083273E-13,2.466679E-14,2.193084E-10,8.87835E-18,3.256656E-9,1.361114E-5,5.597462E-11,6.337961E-8,6.989128E-6,1.727918E-4,0.01946193,1.958115E-7,0.007894428,1.750702E-7,5.994402E-22,4.835911E-16,6.402295E-25,0.01027825,0.01547669,9.146065,6.063413E-5,517625.8,517625.8
9.842627E-10,14.90814,-9.46239E13,1822.864,1822.864,9.070757E-4,1.0,0.9371384,0.001005668,1.021316E-6,0.001009264,5.269614E-8,6.857558E-5,5.293217E-5,1.84208E-6,4.677291E-9,3.254971E-8,5.242958E-5,4.718003E-4,1.358939E-4,3.940479E-9,3.368098E-6,4.955558E-9,6.394327E-5,1.629566E-6,0.002537846,0.003145986,0.002010627,6.733534E-4,4.967849E-5,2.178473E-8,1.066195E-4,2.617627E-5,9.612495E-10,1.179589E-10,8.762917E-13,7.899429E-8,5.344161E-14,1.170786E-11,1.110432E-12,3.64198E-9,1.96372E-16,4.627604E-8,3.777895E-5,1.008415E-9,5.775144E-7,1.940317E-5,1.352155E-4,0.01978197,1.344998E-6,0.007854823,6.989095E-7,5.199989E-20,1.028057E-14,3.040827E-22,0.0100706,0.01346379,9.101072,6.084434E-5,515079.4,515079.4
2.847442E-9,14.79978,-5.409968E13,1791.723,1791.723,9.070757E-4,1.0,0.9279025,0.002182844,7.382796E-6,0.002400159,4.667443E-7,1.793645E-4,1.577148E-4,1.052521E-5,8.178449E-8,3.773057E-7,1.262811E-4,0.001256459,3.16591E-4,3.357889E-8,2.061032E-5,4.187705E-8,1.492284E-4,1.092954E-5,0.005712139,0.005689092,0.004306918,0.00161025,1.241947E-4,1.989379E-7,1.807396E-4,1.264594E-4,3.08191E-8,1.321745E-9,6.343551E-12,5.470467E-7,3.726033E-12,5.887645E-10,5.299715E-11,5.833168E-8,5.577588E-15,6.396946E-7,9.136285E-5,1.776493E-8,4.343188E-6,4.944701E-5,7.867324E-5,0.02009723,9.290232E-6,0.007772702,3.565484E-6,7.457521E-18,2.525297E-13,2.254051E-19,0.009599965,0.009740117,9.011088,6.128981E-5,509986.7,509986.7
7.595013E-9,14.65517,-2.589674E13,1750.84,1750.84,9.070757E-4,1.0,0.9158016,0.00371989,3.910195E-5,0.004891527,3.182729E-6,3.772172E-4,4.185421E-4,3.710789E-5,8.911375E-7,3.07015E-6,2.267774E-4,0.003099699,6.047033E-4,3.211773E-7,8.872098E-5,2.730977E-7,2.513683E-4,4.96298E-5,0.008582206,0.008237724,0.007100208,0.003170138,2.453923E-4,1.240511E-6,2.109721E-4,3.823816E-4,4.569883E-7,8.996011E-9,5.706718E-11,2.722557E-6,1.510597E-10,1.305697E-8,1.261202E-9,5.259407E-7,1.246372E-13,5.522066E-6,1.71655E-4,1.918016E-7,2.077257E-5,1.040667E-4,3.490785E-5,0.01969673,4.455609E-5,0.007652014,1.514042E-5,7.423015E-16,5.459033E-12,6.493248E-17,0.008844985,0.005752359,8.892362,6.189457E-5,503267.4,503267.4
1.253407E-8,14.57238,-1.702094E13,1726.662,1726.662,9.070757E-4,1.0,0.9084485,0.004599857,8.957291E-5,0.007068124,8.632424E-6,5.229715E-4,6.942128E-4,6.564607E-5,2.800078E-6,8.295725E-6,2.776194E-4,0.004955011,7.948212E-4,1.102631E-6,1.7199E-4,7.262791E-7,2.883384E-4,9.83825E-5,0.009307577,0.009001944,0.008669977,0.004250776,3.305992E-4,2.860395E-6,2.053658E-4,5.93394E-4,1.501895E-6,2.505418E-8,2.010122E-10,5.84525E-6,8.560766E-10,5.416104E-8,5.473844E-9,1.417745E-6,6.968502E-13,1.511302E-5,2.240637E-4,6.060068E-7,4.225573E-5,1.484374E-4,2.053649E-5,0.01897102,9.121326E-5,0.007565327,3.028753E-5,9.219075E-15,2.934705E-11,9.671784E-16,0.008305869,0.003974264,8.819387,6.224622E-5,499137.3,499137.3
1.388824E-8,14.55526,-1.558612E13,1721.48,1721.48,9.070757E-4,1.0,0.9068354,0.004779432,1.061271E-4,0.007629964,1.06398E-5,5.557907E-4,7.706643E-4,7.364131E-5,3.527741E-6,1.009427E-5,2.865724E-4,0.005450533,8.359781E-4,1.420131E-6,1.955614E-4,8.910124E-7,2.924312E-4,1.123254E-4,0.009352876,0.009071715,0.009002854,0.004493672,3.501342E-4,3.367532E-6,2.030977E-4,6.432952E-4,1.887951E-6,3.144987E-8,2.605915E-10,6.808911E-6,1.204025E-9,7.163079E-8,7.299299E-9,1.718131E-6,1.008922E-12,1.842432E-5,2.356961E-4,7.640057E-7,4.853134E-5,1.594177E-4,1.826681E-5,0.01876838,1.048457E-4,0.007544467,3.474628E-5,1.570574E-14,4.176793E-11,1.653462E-15,0.008180233,0.003651548,8.803263,6.231944E-5,498224.8,498224.8
