Time_Soln#1 (sec),Volume_Soln#1 (cm3),Volumetric_heat_production_rate_Soln#1 (erg/cm3-sec),Surface_temperature_Soln#1 (K),Temperature_Soln#1 (K),Mass_Soln#1 (g),Pressure_Soln#1 (atm),Mole_fraction_H2_Soln#1 (),Mole_fraction_CH4_Soln#1 (),Mole_fraction_CH3_Soln#1 (),Mole_fraction_C2H6_Soln#1 (),Mole_fraction_C2H5_Soln#1 (),Mole_fraction_C2H4_Soln#1 (),Mole_fraction_C2H2_Soln#1 (),Mole_fraction_C3H8_Soln#1 (),Mole_fraction_C3H6_Soln#1 (),Mole_fraction_C3H5-A_Soln#1 (),Mole_fraction_C3H4-P_Soln#1 (),Mole_fraction_C3H4-A_Soln#1 (),Mole_fraction_NC4H10_Soln#1 (),Mole_fraction_IC4H10_Soln#1 (),Mole_fraction_TC4H9_Soln#1 (),Mole_fraction_IC4H8_Soln#1 (),Mole_fraction_IC4H7_Soln#1 (),Mole_fraction_C4H8-1_Soln#1 (),Mole_fraction_C4H8-2_Soln#1 (),Mole_fraction_C4H71-3_Soln#1 (),Mole_fraction_C4H6_Soln#1 (),Mole_fraction_C4H4_Soln#1 (),Mole_fraction_C6H6_Soln#1 (),Mole_fraction_FULVENE_Soln#1 (),Mole_fraction_C5H6_Soln#1 (),Mole_fraction_MCPTD_Soln#1 (),Mole_fraction_NEOC5H12_Soln#1 (),Mole_fraction_NC5H10_Soln#1 (),Mole_fraction_B1M2_Soln#1 (),Mole_fraction_B1M3_Soln#1 (),Mole_fraction_B2M2_Soln#1 (),Mole_fraction_LC5H8_Soln#1 (),Mole_fraction_DIALLYL_Soln#1 (),Mole_fraction_CYC6H8_Soln#1 (),Mole_fraction_CYC6H10_Soln#1 (),Mole_fraction_NC6H12_Soln#1 (),Mole_fraction_NC7H14_Soln#1 (),Mole_fraction_IC8H16_Soln#1 (),Mole_fraction_DIMEPTD_Soln#1 (),Mole_fraction_C7H8_Soln#1 (),Mole_fraction_C7H7_Soln#1 (),Mole_fraction_STILB_Soln#1 (),Mole_fraction_C6H5C2H3_Soln#1 (),Mole_fraction_C6H5C2H5_Soln#1 (),Mole_fraction_XYLENE_Soln#1 (),Mole_fraction_INDENE_Soln#1 (),Mole_fraction_C6H5C2H4C6H5_Soln#1 (),Mole_fraction_NPBENZ_Soln#1 (),Mole_fraction_NC10H20_Soln#1 (),Mole_fraction_IC12H26_Soln#1 (),Molecular_weight_Soln#1 (g/mole),Mass_density_Soln#1 (g/cm3),Unburned_hydrocarbons_Soln#1 (ppm),Volatile_organic_compounds_Soln#1 (ppm)
0.0,15.0,-6535259.0,1000.0,1000.0,0.00167809,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,1.118727E-4,519545.7,519545.7
1.372775E-7,14.99996,-7658695.0,999.9999,999.9999,0.00167809,1.0,0.9452588,1.424242E-11,2.332413E-9,1.192772E-12,3.634442E-10,2.966887E-10,2.364131E-17,3.924468E-13,1.636271E-9,1.318959E-9,4.631398E-17,6.328971E-12,1.952784E-13,1.201704E-11,2.096251E-8,4.073238E-8,8.034E-9,2.536332E-10,7.516981E-14,1.318767E-9,2.008132E-12,9.920915E-24,1.926652E-12,8.761044E-27,3.817651E-22,1.200147E-19,7.810253E-17,1.441596E-10,1.946171E-18,6.876701E-18,2.434538E-20,1.779629E-12,4.923549E-17,3.157235E-20,3.340462E-22,6.18435E-11,3.428014E-11,0.01921551,1.264646E-11,0.00792393,3.398422E-12,9.717833E-32,1.458743E-24,7.34013E-16,9.077387E-16,9.896511E-26,5.255579E-20,1.199411E-16,0.01043317,0.0171685,9.179987,1.118727E-4,519545.7,519545.7
6.186789E-7,14.99995,-8308519.0,999.9993,999.9993,0.00167809,1.0,0.9452586,7.379051E-10,2.429959E-8,7.274521E-11,4.418215E-9,4.397927E-9,9.233633E-16,1.637812E-11,1.80072E-8,6.042666E-9,9.67261E-16,1.752034E-10,6.317472E-12,2.635823E-10,9.528463E-8,1.983886E-7,3.63475E-8,2.314442E-9,1.562648E-12,6.038792E-9,1.360336E-10,3.113082E-21,5.176824E-11,5.090924E-24,4.793415E-19,1.733082E-17,1.822699E-14,1.279176E-9,4.45943E-16,1.582571E-15,6.035801E-18,1.313464E-10,4.60622E-15,2.930986E-18,7.952981E-20,5.101754E-10,4.683095E-10,0.01921542,3.50172E-10,0.007923928,8.788384E-11,1.565021E-27,4.498897E-22,4.477881E-14,4.703437E-14,3.172439E-22,6.806551E-18,5.007916E-15,0.01043316,0.01716846,9.179985,1.118727E-4,519545.6,519545.6
3.306987E-6,14.99992,-9854386.0,999.9956,999.9956,0.00167809,1.0,0.9452573,4.281208E-8,2.526899E-7,4.094082E-9,4.126126E-8,6.317342E-8,9.006728E-14,4.08471E-10,2.321916E-7,3.584956E-8,3.601453E-14,5.067665E-9,9.280597E-11,6.41341E-9,4.128072E-7,1.165066E-6,1.982132E-7,1.902384E-8,4.714484E-11,3.574326E-8,5.296156E-9,5.804966E-18,1.398565E-9,4.846896E-21,5.531833E-16,2.721428E-15,4.760404E-12,1.114683E-8,1.386397E-13,5.221711E-13,2.013009E-15,5.15231E-9,8.230908E-13,4.918101E-16,3.008912E-17,3.370394E-9,9.515589E-9,0.0192149,1.012833E-8,0.007923913,2.4378E-9,3.458997E-23,1.664605E-19,2.547453E-12,2.730459E-12,6.618487E-19,1.033583E-15,1.327253E-13,0.01043306,0.01716821,9.179972,1.11873E-4,519544.8,519544.8
1.604382E-5,14.99973,-1.379096E7,999.9725,999.9725,0.00167809,1.0,0.9452468,1.699037E-6,1.902061E-6,1.520804E-7,3.10205E-7,9.556811E-7,7.830869E-12,7.702167E-9,2.950026E-6,2.62783E-7,4.198284E-12,1.301258E-7,1.484294E-9,8.955808E-8,9.739171E-7,7.275849E-6,1.061777E-6,2.093197E-7,1.52761E-9,2.618397E-7,1.448678E-7,1.362316E-14,3.318067E-8,2.017634E-17,3.882332E-13,3.378087E-13,4.991018E-10,1.350276E-7,2.854285E-11,1.380579E-10,4.746675E-13,1.402599E-7,1.841505E-10,8.503444E-14,1.048115E-14,2.244347E-8,2.156288E-7,0.01921167,2.600387E-7,0.007923738,5.992611E-8,6.194666E-19,7.742303E-17,1.232793E-10,1.087773E-10,6.849782E-16,2.182584E-13,1.057964E-11,0.01043186,0.01716653,9.179874,1.118744E-4,519539.2,519539.2
4.131223E-5,14.99936,-1.782833E7,999.9117,999.9117,0.00167809,1.0,0.9452098,1.18631E-5,4.441635E-6,1.224673E-6,8.542513E-7,5.408386E-6,1.350793E-10,6.410226E-8,1.327676E-5,1.012456E-6,1.290023E-10,8.128692E-7,1.412055E-8,3.505763E-7,1.341618E-6,2.48463E-5,3.176098E-6,1.088542E-6,1.571148E-8,1.048812E-6,9.299148E-7,9.42887E-13,2.010261E-7,7.274391E-15,1.548638E-11,5.703743E-12,4.89115E-9,7.081138E-7,5.622977E-10,3.556764E-9,1.060871E-11,8.844077E-7,6.826175E-9,2.521025E-12,4.048615E-13,8.311911E-8,1.311932E-6,0.01920218,1.623522E-6,0.00792298,3.629911E-7,3.763054E-16,1.175624E-14,2.01783E-9,7.694155E-10,3.675548E-14,1.215838E-11,4.284905E-10,0.01042648,0.01716127,9.179545,1.118772E-4,519520.7,519520.7
4.180813E-5,14.99935,-1.788378E7,999.9104,999.9104,0.00167809,1.0,0.9452089,1.213396E-5,4.478799E-6,1.255171E-6,8.628182E-7,5.52443E-6,1.401303E-10,6.585578E-8,1.352699E-5,1.029173E-6,1.345721E-10,8.30801E-7,1.453208E-8,3.56469E-7,1.346779E-6,2.524612E-5,3.221592E-6,1.111582E-6,1.620026E-8,1.067386E-6,9.508481E-7,9.909831E-13,2.054091E-7,7.823978E-15,1.618315E-11,5.905154E-12,5.021987E-9,7.229011E-7,5.828723E-10,3.699339E-9,1.101576E-11,9.039749E-7,7.144317E-9,2.634442E-12,4.241346E-13,8.454711E-8,1.340596E-6,0.01920197,1.659315E-6,0.007922961,3.708121E-7,4.084431E-16,1.254243E-14,2.093405E-9,7.872504E-10,3.859869E-14,1.281422E-11,4.482072E-10,0.01042634,0.01716115,9.179537,1.118772E-4,519520.2,519520.2
4.292916E-5,14.99933,-1.80042E7,999.9074,999.9074,0.00167809,1.0,0.9452069,1.275457E-5,4.561257E-6,1.325267E-6,8.818504E-7,5.790098E-6,1.520178E-10,6.991063E-8,1.40982E-5,1.067068E-6,1.47771E-10,8.718682E-7,1.548595E-8,3.698793E-7,1.358238E-6,2.615639E-5,3.324887E-6,1.164387E-6,1.732025E-8,1.109694E-6,9.988409E-7,1.106227E-12,2.154449E-7,9.193281E-15,1.783788E-11,6.376944E-12,5.323634E-9,7.567596E-7,6.311269E-10,4.035474E-9,1.197329E-11,9.487888E-7,7.902731E-9,2.904815E-12,4.702251E-13,8.780301E-8,1.406231E-6,0.01920147,1.741285E-6,0.007922918,3.887E-7,4.898426E-16,1.447606E-14,2.271331E-9,8.281619E-10,4.301867E-14,1.43978E-11,4.950809E-10,0.01042603,0.01716087,9.17952,1.118773E-4,519519.2,519519.2
4.354214E-5,14.99932,-1.806904E7,999.9057,999.9057,0.00167809,1.0,0.9452057,1.309863E-5,4.605464E-6,1.364253E-6,8.920657E-7,5.937303E-6,1.587941E-10,7.218004E-8,1.441371E-5,1.087842E-6,1.553475E-10,8.946262E-7,1.60211E-8,3.772626E-7,1.364387E-6,2.665779E-5,3.381622E-6,1.19369E-6,1.795943E-8,1.133009E-6,1.025467E-6,1.173132E-12,2.210052E-7,1.002059E-14,1.878985E-11,6.644571E-12,5.491943E-9,7.755191E-7,6.585337E-10,4.227402E-9,1.25188E-11,9.736241E-7,8.340741E-9,3.061006E-12,4.969356E-13,8.959914E-8,1.442596E-6,0.0192012,1.786709E-6,0.007922894,3.985992E-7,5.398561E-16,1.562909E-14,2.372791E-9,8.508715E-10,4.558729E-14,1.532455E-11,5.220735E-10,0.01042585,0.01716071,9.17951,1.118774E-4,519518.7,519518.7
4.381603E-5,14.99932,-1.809756E7,999.905,999.905,0.00167809,1.0,0.9452052,1.325343E-5,4.625015E-6,1.381821E-6,8.965859E-7,6.003513E-6,1.618864E-10,7.320604E-8,1.45554E-5,1.097136E-6,1.58817E-10,9.048635E-7,1.626334E-8,3.805732E-7,1.367108E-6,2.688266E-5,3.40703E-6,1.20688E-6,1.82492E-8,1.143467E-6,1.037452E-6,1.203947E-12,2.23506E-7,1.040942E-14,1.922628E-11,6.766399E-12,5.567917E-9,7.839571E-7,6.710173E-10,4.315057E-9,1.276766E-11,9.847959E-7,8.541944E-9,3.132771E-12,5.092276E-13,9.040528E-8,1.458953E-6,0.01920107,1.807141E-6,0.007922883,4.03049E-7,5.635649E-16,1.616738E-14,2.4191E-9,8.61096E-10,4.677096E-14,1.575316E-11,5.344539E-10,0.01042578,0.01716064,9.179505,1.118774E-4,519518.4,519518.4
