Time_Soln#4 (sec),Volume_Soln#4 (cm3),Volumetric_heat_production_rate_Soln#4 (erg/cm3-sec),Surface_temperature_Soln#4 (K),Temperature_Soln#4 (K),Mass_Soln#4 (g),Pressure_Soln#4 (atm),Mole_fraction_H2_Soln#4 (),Mole_fraction_CH4_Soln#4 (),Mole_fraction_CH3_Soln#4 (),Mole_fraction_C2H6_Soln#4 (),Mole_fraction_C2H5_Soln#4 (),Mole_fraction_C2H4_Soln#4 (),Mole_fraction_C2H2_Soln#4 (),Mole_fraction_C3H8_Soln#4 (),Mole_fraction_C3H6_Soln#4 (),Mole_fraction_C3H5-A_Soln#4 (),Mole_fraction_C3H4-P_Soln#4 (),Mole_fraction_C3H4-A_Soln#4 (),Mole_fraction_NC4H10_Soln#4 (),Mole_fraction_IC4H10_Soln#4 (),Mole_fraction_TC4H9_Soln#4 (),Mole_fraction_IC4H8_Soln#4 (),Mole_fraction_IC4H7_Soln#4 (),Mole_fraction_C4H8-1_Soln#4 (),Mole_fraction_C4H8-2_Soln#4 (),Mole_fraction_C4H71-3_Soln#4 (),Mole_fraction_C4H6_Soln#4 (),Mole_fraction_C4H4_Soln#4 (),Mole_fraction_C6H6_Soln#4 (),Mole_fraction_FULVENE_Soln#4 (),Mole_fraction_C5H6_Soln#4 (),Mole_fraction_MCPTD_Soln#4 (),Mole_fraction_NEOC5H12_Soln#4 (),Mole_fraction_NC5H10_Soln#4 (),Mole_fraction_B1M2_Soln#4 (),Mole_fraction_B1M3_Soln#4 (),Mole_fraction_B2M2_Soln#4 (),Mole_fraction_CYC5H8_Soln#4 (),Mole_fraction_LC5H8_Soln#4 (),Mole_fraction_DIALLYL_Soln#4 (),Mole_fraction_CYC6H8_Soln#4 (),Mole_fraction_CYC6H10_Soln#4 (),Mole_fraction_NC6H12_Soln#4 (),Mole_fraction_NC7H14_Soln#4 (),Mole_fraction_IC8H16_Soln#4 (),Mole_fraction_DIMEPTD_Soln#4 (),Mole_fraction_C7H8_Soln#4 (),Mole_fraction_C7H7_Soln#4 (),Mole_fraction_STILB_Soln#4 (),Mole_fraction_C6H5C2H3_Soln#4 (),Mole_fraction_C6H5C2H5_Soln#4 (),Mole_fraction_XYLENE_Soln#4 (),Mole_fraction_INDENE_Soln#4 (),Mole_fraction_NPBENZ_Soln#4 (),Mole_fraction_NC10H20_Soln#4 (),Mole_fraction_IC12H26_Soln#4 (),Molecular_weight_Soln#4 (g/mole),Mass_density_Soln#4 (g/cm3),Unburned_hydrocarbons_Soln#4 (ppm),Volatile_organic_compounds_Soln#4 (ppm)
0.0,15.0,-6.533858E8,1150.0,1150.0,0.001459209,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,9.728058E-5,519545.7,519545.7
4.765368E-9,14.99994,-7.210057E8,1149.999,1149.999,0.001459209,1.0,0.9452587,1.690811E-12,4.096229E-9,1.017066E-13,4.000858E-10,3.073868E-10,8.915416E-17,3.898102E-14,2.590516E-9,5.160722E-9,2.289488E-16,1.172418E-12,2.459908E-14,4.950348E-12,9.522656E-8,3.467872E-8,2.944617E-8,3.219638E-10,4.091184E-14,5.159691E-9,1.013322E-12,9.927472E-23,2.85522E-13,1.827485E-26,7.751964E-23,1.010617E-19,1.916102E-17,1.933491E-10,4.320553E-19,1.373261E-18,2.362989E-21,1.171882E-24,9.260258E-14,1.170774E-17,1.778576E-20,1.740545E-22,8.171253E-11,5.874205E-11,0.01921549,2.271806E-12,0.007923929,3.377867E-12,4.037153E-33,3.683295E-25,6.548092E-17,1.244996E-16,6.502441E-28,1.419984E-17,0.01043316,0.01716845,9.179986,9.728062E-5,519545.6,519545.6
3.505697E-8,14.9999,-8.296157E8,1149.995,1149.995,0.001459209,1.0,0.9452576,4.185876E-10,1.226985E-7,3.046095E-11,1.493368E-8,1.2006E-8,7.112508E-15,1.01052E-11,7.572891E-8,3.804497E-8,1.247625E-14,2.295871E-10,5.794184E-12,3.403003E-10,7.533599E-7,4.265079E-7,2.168214E-7,1.029419E-8,2.325837E-12,3.798936E-8,1.550673E-10,2.685305E-20,5.717344E-11,5.406549E-23,5.756371E-19,1.656222E-16,3.656478E-14,5.914161E-9,7.765546E-16,2.429751E-15,6.997334E-18,2.296424E-21,1.052028E-10,4.669577E-15,7.094025E-18,3.003759E-19,2.442353E-9,1.896639E-9,0.01921529,4.552187E-10,0.00792392,1.432601E-10,5.636051E-28,8.64837E-22,1.960904E-14,3.082768E-14,8.083267E-23,3.678641E-15,0.01043308,0.01716804,9.179976,9.728084E-5,519545.0,519545.0
1.27825E-7,14.99979,-8.958631E8,1149.982,1149.982,0.001459209,1.0,0.9452538,1.043734E-8,7.906143E-7,8.437243E-10,1.022642E-7,9.928296E-8,1.926214E-13,2.11457E-10,5.313801E-7,1.412099E-7,1.735518E-13,4.175851E-9,1.015996E-10,4.860635E-9,2.593207E-6,1.867418E-6,7.936359E-7,5.670519E-8,3.212332E-11,1.404747E-7,4.187732E-9,3.13865E-18,1.034404E-9,1.115227E-20,2.991968E-16,1.203181E-14,3.157557E-12,3.190704E-8,6.996984E-14,2.18483E-13,7.710985E-16,2.10147E-19,3.518621E-9,2.318414E-13,3.492525E-16,2.838302E-17,1.241863E-8,1.364761E-8,0.01921469,8.298869E-9,0.007923884,2.306801E-9,2.073371E-24,1.010132E-19,5.441723E-13,7.692141E-13,9.208959E-20,7.71534E-14,0.01043282,0.01716677,9.179938,9.728157E-5,519542.9,519542.9
5.14043E-7,14.99928,-1.075596E9,1149.918,1149.918,0.001459209,1.0,0.9452337,3.231136E-7,6.264367E-6,2.317839E-8,6.46968E-7,9.087369E-7,1.053816E-11,3.407729E-9,5.159982E-6,6.160687E-7,4.065811E-12,7.356897E-8,1.166164E-9,6.927028E-8,7.737436E-6,8.989451E-6,3.243161E-6,3.028046E-7,5.577247E-10,6.043303E-7,8.671577E-8,1.780957E-15,1.783612E-8,3.894114E-18,1.157093E-13,8.932095E-13,3.130527E-10,1.752432E-7,8.937504E-12,2.88216E-11,1.148573E-13,3.669483E-17,7.535684E-8,1.705095E-11,2.448672E-14,4.396572E-15,5.658941E-8,1.404089E-7,0.01921183,1.462629E-7,0.007923655,3.921945E-8,1.041396E-20,1.484931E-17,1.585299E-11,2.392692E-11,8.92023E-17,1.464247E-12,0.01043133,0.01716117,9.179739,9.728486E-5,519531.6,519531.6
1.998332E-6,14.99715,-1.313595E9,1149.616,1149.616,0.001459209,1.0,0.9451218,8.963909E-6,4.149551E-5,5.672155E-7,3.350065E-6,8.311186E-6,6.575564E-10,6.276118E-8,4.262413E-5,2.986979E-6,2.510569E-10,1.046411E-6,1.648935E-8,6.172385E-7,1.33666E-5,4.66611E-5,1.327015E-5,1.925609E-6,1.1221E-8,2.834951E-6,1.319051E-6,1.243296E-12,2.412917E-7,2.065295E-15,2.47453E-11,5.06687E-11,1.714943E-8,1.157303E-6,1.004907E-9,3.592041E-9,1.594617E-11,1.237413E-14,1.12117E-6,1.444405E-9,1.817367E-12,6.221769E-13,2.537806E-7,1.636164E-6,0.01919645,2.078275E-6,0.007921958,5.388115E-7,4.543518E-17,5.277755E-15,7.794325E-10,6.819028E-10,3.672692E-14,1.017153E-10,0.01042103,0.01713644,9.17863,9.729867E-5,519468.9,519468.9
2.923628E-6,14.99585,-1.366479E9,1149.41,1149.41,0.001459209,1.0,0.9450346,2.12747E-5,6.418372E-5,1.419914E-6,5.10802E-6,1.589947E-5,2.110831E-9,1.709629E-7,7.272031E-5,4.763591E-6,9.40468E-10,2.156213E-6,4.157527E-8,1.044085E-6,1.426122E-5,7.573668E-5,1.993359E-5,3.468844E-6,2.788369E-8,4.494054E-6,2.771824E-6,7.437855E-12,4.893538E-7,1.47747E-14,1.057317E-10,1.531753E-10,4.463001E-8,2.071938E-6,3.540021E-9,1.322261E-8,6.023393E-11,6.317425E-14,2.320234E-6,5.293288E-9,6.391728E-12,2.409927E-12,3.951478E-7,3.273503E-6,0.019184,4.279516E-6,0.007920408,1.095354E-6,5.552721E-16,3.966898E-14,2.949174E-9,1.646097E-9,1.785808E-13,4.392417E-10,0.0104115,0.01711891,9.177781,9.730714E-5,519420.8,519420.8
3.020845E-6,14.99572,-1.370689E9,1149.388,1149.388,0.001459209,1.0,0.9450248,2.287037E-5,6.647929E-5,1.536675E-6,5.28907E-6,1.682018E-5,2.333276E-9,1.868648E-7,7.607468E-5,4.958448E-6,1.055217E-9,2.293457E-6,4.512723E-8,1.090937E-6,1.433334E-5,7.900043E-5,2.064978E-5,3.655446E-6,3.019957E-8,4.677571E-6,2.95363E-6,8.66143E-12,5.19835E-7,1.757593E-14,1.196781E-10,1.683697E-10,4.829781E-8,2.180642E-6,3.937513E-9,1.476599E-8,6.741398E-11,7.258312E-14,2.468615E-6,5.922008E-9,7.131886E-12,2.706085E-12,4.1074E-7,3.474224E-6,0.01918258,4.551584E-6,0.007920226,1.163567E-6,6.912199E-16,4.738868E-14,3.31609E-9,1.772651E-9,2.043076E-13,4.985072E-10,0.01041038,0.01711698,9.177686,9.730801E-5,519415.4,519415.4
3.106185E-6,14.9956,-1.374229E9,1149.368,1149.368,0.001459209,1.0,0.9450161,2.431715E-5,6.847837E-5,1.643635E-6,5.447152E-6,1.764717E-5,2.541084E-9,2.016155E-7,7.904693E-5,5.130448E-6,1.164085E-9,2.417058E-6,4.840132E-8,1.132345E-6,1.439477E-5,8.189672E-5,2.128086E-5,3.823154E-6,3.232808E-8,4.839942E-6,3.117711E-6,9.859057E-12,5.472612E-7,2.038704E-14,1.329808E-10,1.82481E-10,5.163898E-8,2.277998E-6,4.310045E-9,1.621817E-8,7.418485E-11,8.167973E-14,2.602257E-6,6.516211E-9,7.831102E-12,2.986732E-12,4.245389E-7,3.654757E-6,0.01918131,4.796582E-6,0.007920064,1.2249E-6,8.333076E-16,5.515842E-14,3.665223E-9,1.887667E-9,2.290885E-13,5.552402E-10,0.01040937,0.01711528,9.177602,9.730876E-5,519410.7,519410.7
3.19697E-6,14.99547,-1.377839E9,1149.347,1149.347,0.001459209,1.0,0.9450068,2.590292E-5,7.058824E-5,1.762022E-6,5.614392E-6,1.854594E-5,2.775367E-9,2.181346E-7,8.223662E-5,5.314304E-6,1.288615E-9,2.551708E-6,5.204654E-8,1.176674E-6,1.44584E-5,8.500937E-5,2.195459E-5,4.005569E-6,3.469654E-8,5.013928E-6,3.296819E-6,1.126916E-11,5.771145E-7,2.37772E-14,1.48271E-10,1.983021E-10,5.531711E-8,2.383526E-6,4.731211E-9,1.7866E-8,8.188424E-11,9.226809E-14,2.747855E-6,7.193377E-9,8.6279E-12,3.307396E-12,4.393305E-7,3.851195E-6,0.01917995,5.063455E-6,0.007919888,1.291609E-6,1.011303E-15,6.455233E-14,4.065669E-9,2.014018E-9,2.578356E-13,6.206652E-10,0.01040827,0.01711345,9.177512,9.730957E-5,519405.6,519405.6
