Time_Soln#5 (sec),Volume_Soln#5 (cm3),Volumetric_heat_production_rate_Soln#5 (erg/cm3-sec),Surface_temperature_Soln#5 (K),Temperature_Soln#5 (K),Mass_Soln#5 (g),Pressure_Soln#5 (atm),Mole_fraction_H2_Soln#5 (),Mole_fraction_H_Soln#5 (),Mole_fraction_CH4_Soln#5 (),Mole_fraction_CH3_Soln#5 (),Mole_fraction_C2H6_Soln#5 (),Mole_fraction_C2H5_Soln#5 (),Mole_fraction_C2H4_Soln#5 (),Mole_fraction_C2H2_Soln#5 (),Mole_fraction_C3H8_Soln#5 (),Mole_fraction_C3H6_Soln#5 (),Mole_fraction_C3H5-A_Soln#5 (),Mole_fraction_C3H4-P_Soln#5 (),Mole_fraction_C3H4-A_Soln#5 (),Mole_fraction_NC4H10_Soln#5 (),Mole_fraction_IC4H10_Soln#5 (),Mole_fraction_TC4H9_Soln#5 (),Mole_fraction_IC4H8_Soln#5 (),Mole_fraction_IC4H7_Soln#5 (),Mole_fraction_C4H8-1_Soln#5 (),Mole_fraction_C4H8-2_Soln#5 (),Mole_fraction_C4H71-3_Soln#5 (),Mole_fraction_C4H6_Soln#5 (),Mole_fraction_C4H4_Soln#5 (),Mole_fraction_C6H6_Soln#5 (),Mole_fraction_FULVENE_Soln#5 (),Mole_fraction_C5H6_Soln#5 (),Mole_fraction_MCPTD_Soln#5 (),Mole_fraction_C10H8_Soln#5 (),Mole_fraction_NEOC5H12_Soln#5 (),Mole_fraction_NC5H10_Soln#5 (),Mole_fraction_B1M2_Soln#5 (),Mole_fraction_B1M3_Soln#5 (),Mole_fraction_B2M2_Soln#5 (),Mole_fraction_LC5H8_Soln#5 (),Mole_fraction_DIALLYL_Soln#5 (),Mole_fraction_CYC6H8_Soln#5 (),Mole_fraction_CYC6H10_Soln#5 (),Mole_fraction_NC6H12_Soln#5 (),Mole_fraction_NC7H14_Soln#5 (),Mole_fraction_IC8H16_Soln#5 (),Mole_fraction_DIMEPTD_Soln#5 (),Mole_fraction_C7H8_Soln#5 (),Mole_fraction_C7H7_Soln#5 (),Mole_fraction_C6H5C2H3_Soln#5 (),Mole_fraction_C6H5C2H5_Soln#5 (),Mole_fraction_XYLENE_Soln#5 (),Mole_fraction_INDENE_Soln#5 (),Mole_fraction_NPBENZ_Soln#5 (),Mole_fraction_NC10H20_Soln#5 (),Mole_fraction_IC12H26_Soln#5 (),Molecular_weight_Soln#5 (g/mole),Mass_density_Soln#5 (g/cm3),Unburned_hydrocarbons_Soln#5 (ppm),Volatile_organic_compounds_Soln#5 (ppm)
0.0,15.0,-2.432334E9,1200.0,1200.0,0.001398408,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,9.322723E-5,519545.7,519545.7
2.048731E-9,14.99993,-2.644434E9,1199.999,1199.999,0.001398408,1.0,0.9452587,2.479151E-9,1.198278E-12,5.516306E-9,6.652961E-14,4.815685E-10,3.692039E-10,1.527118E-16,2.596118E-14,3.419473E-9,8.24538E-9,4.036068E-16,9.217401E-13,1.717003E-14,4.762002E-12,1.605173E-7,3.795835E-8,4.619603E-8,3.918095E-10,4.208215E-14,8.243524E-9,1.686163E-12,4.009383E-22,2.002985E-13,4.476069E-26,8.406093E-23,1.289215E-19,8.314698E-26,1.830365E-17,2.387997E-10,3.939111E-19,1.211367E-18,1.786582E-21,5.278943E-14,9.914291E-18,1.974838E-20,2.022674E-22,9.982136E-11,7.890566E-11,0.01921547,1.69788E-12,0.007923929,6.535706E-12,3.787336E-25,4.304662E-17,9.089875E-17,4.538542E-28,9.805455E-18,0.01043316,0.0171684,9.179986,9.322728E-5,519545.6,519545.6
1.594348E-8,14.99988,-3.076176E9,1199.992,1199.992,0.001398408,1.0,0.9452568,7.14574E-8,3.70026E-10,1.957907E-7,2.453673E-11,2.111884E-8,1.648216E-8,1.275398E-14,8.631009E-12,1.167273E-7,6.422737E-8,2.457875E-14,2.269352E-10,5.306248E-12,3.689952E-10,1.350247E-6,6.023692E-7,3.596741E-7,1.52719E-8,2.683755E-12,6.411537E-8,1.863805E-10,6.98323E-20,5.256651E-11,1.299829E-22,5.526375E-19,2.885781E-16,1.876964E-22,4.620783E-14,8.960385E-9,9.393334E-16,2.828292E-15,8.46274E-18,8.746924E-11,4.676581E-15,9.319419E-18,4.561999E-19,3.67326E-9,3.015985E-9,0.01921521,4.450495E-10,0.007923913,1.698562E-10,1.134211E-21,1.587213E-14,2.807587E-14,4.836437E-23,3.256979E-15,0.01043302,0.01716764,9.179968,9.322764E-5,519544.6,519544.6
5.563088E-8,14.9997,-3.273364E9,1199.97,1199.97,0.001398408,1.0,0.9452506,3.258397E-7,8.411728E-9,1.179913E-6,6.341074E-10,1.40289E-7,1.245944E-7,2.839439E-13,1.833721E-10,7.362921E-7,2.263023E-7,3.07503E-13,4.063698E-9,9.928881E-11,5.029535E-9,4.527992E-6,2.661444E-6,1.257751E-6,8.522942E-8,3.431132E-11,2.249484E-7,4.339715E-9,4.776561E-18,9.431398E-10,1.885251E-20,2.592398E-16,1.980838E-14,1.332149E-20,3.52312E-12,4.860911E-8,7.376109E-14,2.197327E-13,8.652475E-16,3.130985E-9,2.01156E-13,3.992902E-16,3.608121E-17,1.914444E-8,1.916751E-8,0.01921451,8.019756E-9,0.007923857,2.370023E-9,1.14937E-19,4.104383E-13,6.387128E-13,4.964478E-20,6.913989E-14,0.01043261,0.01716541,9.179907,9.322871E-5,519541.1,519541.1
2.053946E-7,14.99901,-3.765971E9,1199.88,1199.88,0.001398408,1.0,0.9452231,1.320667E-6,2.024193E-7,7.913903E-6,1.448636E-8,8.082799E-7,9.765593E-7,1.1369E-11,2.821243E-9,6.001755E-6,8.767723E-7,5.212602E-12,6.518968E-8,1.191008E-9,6.677225E-8,1.344701E-5,1.155678E-5,4.686109E-6,3.990185E-7,5.016435E-10,8.585879E-7,8.141193E-8,1.169754E-15,1.499509E-8,4.557594E-18,8.709272E-14,1.228932E-12,1.184516E-18,2.646505E-10,2.295977E-7,6.668736E-12,2.004484E-11,9.120826E-14,6.454496E-8,1.085721E-11,2.097916E-14,3.848815E-15,8.059911E-8,1.460543E-7,0.01921156,1.28895E-7,0.007923572,3.586538E-8,1.221358E-17,9.673024E-12,1.543471E-11,4.143699E-17,1.141726E-12,0.01043074,0.01715679,9.179636,9.3233E-5,519525.8,519525.8
7.68207E-7,14.99617,-4.584645E9,1199.468,1199.468,0.001398408,1.0,0.9450822,4.427977E-6,5.468915E-6,5.613226E-5,3.366546E-7,4.166042E-6,8.165893E-6,6.364607E-10,4.527869E-8,5.136219E-5,3.807625E-6,2.195447E-10,9.160224E-7,1.39574E-8,6.610574E-7,2.695874E-5,5.511368E-5,1.806628E-5,2.133292E-6,9.000367E-9,3.569679E-6,1.224046E-6,6.91058E-13,2.043695E-7,1.686939E-15,1.86123E-11,6.68791E-11,2.377135E-16,1.616443E-8,1.269282E-6,7.006817E-10,2.215298E-9,1.154026E-11,9.693063E-7,7.215089E-10,1.274169E-12,4.932989E-13,3.329536E-7,1.483684E-6,0.01919663,1.810276E-6,0.007921682,4.891966E-7,2.641319E-15,3.642311E-10,4.29424E-10,2.107957E-14,4.709689E-11,0.0104197,0.0171215,9.178225,9.325067E-5,519446.0,519446.0
1.855066E-6,14.99076,-4.882374E9,1198.576,1198.576,0.001398408,1.0,0.9447276,8.90866E-6,4.287849E-5,1.64927E-4,3.105778E-6,1.089861E-5,3.530308E-5,9.778453E-9,4.637918E-7,1.784082E-4,1.066413E-5,4.390664E-9,4.815721E-6,1.135388E-7,2.33985E-6,3.162759E-5,1.645112E-4,4.547474E-5,7.790684E-6,7.437649E-8,9.623773E-6,6.772458E-6,4.416947E-11,1.040744E-6,1.194873E-13,5.228282E-10,8.582924E-10,9.980932E-15,1.61429E-7,4.555229E-6,1.357981E-8,4.536263E-8,2.604077E-10,5.153963E-6,1.338895E-8,2.215978E-11,1.123537E-11,8.904865E-7,7.112458E-6,0.01915565,9.494081E-6,0.007915743,2.493699E-6,2.579392E-13,8.315519E-9,3.58185E-9,8.768631E-13,1.298931E-9,0.01038485,0.01704452,9.174715,9.328435E-5,519247.3,519247.3
1.897292E-6,14.99056,-4.884723E9,1198.541,1198.541,0.001398408,1.0,0.9447124,9.062296E-6,4.506034E-5,1.689157E-4,3.289712E-6,1.114186E-5,3.666486E-5,1.048033E-8,4.939328E-7,1.838255E-4,1.09422E-5,4.748307E-9,5.019405E-6,1.201588E-7,2.410959E-6,3.170632E-5,1.692523E-4,4.657146E-5,8.074007E-6,7.865218E-8,9.870423E-6,7.069537E-6,4.899552E-11,1.083941E-6,1.337678E-13,5.681581E-10,9.148727E-10,1.098304E-14,1.702823E-7,4.712985E-6,1.460448E-8,4.885115E-8,2.812007E-10,5.372662E-6,1.442561E-8,2.387859E-11,1.214993E-11,9.136761E-7,7.400496E-6,0.01915379,9.894744E-6,0.007915465,2.596391E-6,2.915312E-13,9.03726E-9,3.772484E-9,9.610136E-13,1.414727E-9,0.0103832,0.01704134,9.174566,9.328558E-5,519238.8,519238.8
1.966191E-6,14.99024,-4.887756E9,1198.483,1198.483,0.001398408,1.0,0.9446874,9.310133E-6,4.873136E-5,1.753664E-4,3.603649E-6,1.153472E-5,3.893234E-5,1.169613E-8,5.457883E-7,1.927239E-4,1.139584E-5,5.37595E-9,5.359446E-6,1.314628E-7,2.527682E-6,3.183007E-5,1.77058E-4,4.836524E-5,8.546881E-6,8.594102E-8,1.027386E-5,7.566669E-6,5.772929E-11,1.156004E-6,1.600306E-13,6.480432E-10,1.012135E-9,1.278125E-14,1.85227E-7,4.974946E-6,1.638351E-8,5.4917E-8,3.175065E-10,5.737768E-6,1.623281E-8,2.688611E-11,1.375242E-11,9.517335E-7,7.880645E-6,0.01915072,1.056352E-5,0.007915006,2.767466E-6,3.539974E-13,1.031153E-8,4.094509E-9,1.110914E-12,1.61939E-9,0.01038045,0.01703613,9.17432,9.328758E-5,519225.0,519225.0
2.009697E-6,14.99004,-4.889191E9,1198.447,1198.447,0.001398408,1.0,0.9446715,9.464812E-6,5.111997E-5,1.794021E-4,3.810839E-6,1.178013E-5,4.039302E-5,1.25103E-8,5.802768E-7,1.983798E-4,1.168209E-5,5.801678E-9,5.579047E-6,1.389265E-7,2.601823E-6,3.190547E-5,1.820309E-4,4.950058E-5,8.852296E-6,9.075276E-8,1.052918E-5,7.888474E-6,6.383263E-11,1.202511E-6,1.786809E-13,7.024449E-10,1.076781E-9,1.402783E-14,1.949822E-7,5.143259E-6,1.757733E-8,5.89933E-8,3.420061E-10,5.973554E-6,1.745039E-8,2.892085E-11,1.483773E-11,9.759035E-7,8.190275E-6,0.01914875,1.099534E-5,0.007914711,2.877708E-6,3.988262E-13,1.118086E-8,4.304876E-9,1.214076E-12,1.759143E-9,0.01037869,0.01703282,9.174165,9.328884E-5,519216.1,519216.1
