Time_Soln#6 (sec),Volume_Soln#6 (cm3),Volumetric_heat_production_rate_Soln#6 (erg/cm3-sec),Surface_temperature_Soln#6 (K),Temperature_Soln#6 (K),Mass_Soln#6 (g),Pressure_Soln#6 (atm),Mole_fraction_H2_Soln#6 (),Mole_fraction_H_Soln#6 (),Mole_fraction_CH4_Soln#6 (),Mole_fraction_CH3_Soln#6 (),Mole_fraction_C2H6_Soln#6 (),Mole_fraction_C2H5_Soln#6 (),Mole_fraction_C2H4_Soln#6 (),Mole_fraction_C2H2_Soln#6 (),Mole_fraction_C3H8_Soln#6 (),Mole_fraction_C3H6_Soln#6 (),Mole_fraction_C3H5-A_Soln#6 (),Mole_fraction_C3H4-P_Soln#6 (),Mole_fraction_C3H4-A_Soln#6 (),Mole_fraction_NC4H10_Soln#6 (),Mole_fraction_IC4H10_Soln#6 (),Mole_fraction_TC4H9_Soln#6 (),Mole_fraction_IC4H8_Soln#6 (),Mole_fraction_IC4H7_Soln#6 (),Mole_fraction_C4H8-1_Soln#6 (),Mole_fraction_C4H8-2_Soln#6 (),Mole_fraction_C4H71-3_Soln#6 (),Mole_fraction_C4H6_Soln#6 (),Mole_fraction_C4H4_Soln#6 (),Mole_fraction_C4H2_Soln#6 (),Mole_fraction_C6H6_Soln#6 (),Mole_fraction_FULVENE_Soln#6 (),Mole_fraction_C5H6_Soln#6 (),Mole_fraction_MCPTD_Soln#6 (),Mole_fraction_C10H8_Soln#6 (),Mole_fraction_NEOC5H12_Soln#6 (),Mole_fraction_NC5H10_Soln#6 (),Mole_fraction_B1M2_Soln#6 (),Mole_fraction_B1M3_Soln#6 (),Mole_fraction_B2M2_Soln#6 (),Mole_fraction_LC5H8_Soln#6 (),Mole_fraction_DIALLYL_Soln#6 (),Mole_fraction_CYC6H10_Soln#6 (),Mole_fraction_NC6H12_Soln#6 (),Mole_fraction_NC7H14_Soln#6 (),Mole_fraction_IC8H16_Soln#6 (),Mole_fraction_DIMEPTD_Soln#6 (),Mole_fraction_C7H8_Soln#6 (),Mole_fraction_C7H7_Soln#6 (),Mole_fraction_C6H5C2H_Soln#6 (),Mole_fraction_C6H5C2H3_Soln#6 (),Mole_fraction_C6H5C2H5_Soln#6 (),Mole_fraction_XYLENE_Soln#6 (),Mole_fraction_INDENE_Soln#6 (),Mole_fraction_NC10H20_Soln#6 (),Mole_fraction_IC12H26_Soln#6 (),Molecular_weight_Soln#6 (g/mole),Mass_density_Soln#6 (g/cm3),Unburned_hydrocarbons_Soln#6 (ppm),Volatile_organic_compounds_Soln#6 (ppm)
0.0,15.0,-8.195282E9,1250.0,1250.0,0.001342472,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,8.949814E-5,519545.7,519545.7
5.325736E-10,14.99995,-8.558856E9,1249.999,1249.999,0.001342472,1.0,0.9452587,1.250535E-9,1.623382E-13,2.392873E-9,8.260493E-15,1.853865E-10,1.422078E-10,7.704201E-17,3.291182E-15,1.465323E-9,7.171551E-9,2.117556E-16,1.662943E-13,2.275402E-15,1.438869E-12,1.453854E-7,1.9605E-8,3.951083E-8,1.52926E-10,1.38394E-14,7.170534E-9,8.905971E-13,4.64139E-22,4.62615E-22,2.70722E-14,1.083159E-26,9.637778E-24,1.736802E-20,8.169169E-27,1.847354E-18,9.48563E-11,3.809974E-20,1.13877E-19,1.258227E-22,3.430185E-15,1.513431E-18,2.464266E-23,3.921449E-11,3.382658E-11,0.01921548,2.449041E-13,0.007923929,7.064923E-12,4.29982E-33,4.187996E-26,5.3506E-18,1.259772E-17,3.380322E-29,0.01043316,0.01716841,9.179986,8.949818E-5,519545.6,519545.6
7.271633E-9,14.99986,-1.027683E10,1249.988,1249.988,0.001342472,1.0,0.9452557,1.202321E-7,2.820963E-10,2.735234E-7,1.700302E-11,2.610823E-8,2.001218E-8,1.886891E-14,6.270653E-12,1.594452E-7,9.79478E-8,3.969066E-14,1.920747E-10,4.090097E-12,3.494566E-10,2.171653E-6,7.898892E-7,5.395627E-7,1.961985E-8,2.721431E-12,9.775901E-8,2.239903E-10,1.707283E-19,8.620003E-20,4.089246E-11,2.592746E-22,4.18636E-19,3.814517E-16,1.82521E-22,4.599379E-14,1.178182E-8,8.96115E-16,2.603554E-15,8.16877E-18,5.873942E-11,3.851218E-15,5.409303E-19,4.783631E-9,4.199938E-9,0.0192151,3.678053E-10,0.007923904,1.987793E-10,1.838658E-28,1.192404E-21,1.101006E-14,2.189733E-14,2.234767E-23,0.01043294,0.01716705,9.179957,8.949872E-5,519544.0,519544.0
2.353095E-8,14.99963,-1.084524E10,1249.957,1249.957,0.001342472,1.0,0.9452471,5.42011E-7,5.556715E-9,1.520446E-6,3.860584E-10,1.651498E-7,1.355061E-7,3.173827E-13,1.253527E-10,8.868167E-7,3.183386E-7,4.221289E-13,3.126752E-9,7.474853E-11,4.216431E-9,6.90195E-6,3.448034E-6,1.74771E-6,1.092256E-7,3.012835E-11,3.163762E-7,3.806121E-9,6.304289E-18,1.008936E-18,6.744957E-10,2.268591E-20,1.345752E-16,2.223856E-14,1.082988E-20,2.865227E-12,6.365039E-8,5.669312E-14,1.617568E-13,7.195146E-16,2.075225E-9,1.311729E-13,3.313938E-17,2.510996E-8,2.424355E-8,0.0192144,6.082221E-9,0.007923828,2.014615E-9,3.01509E-26,9.478878E-20,2.4988E-13,4.316329E-13,1.596069E-20,0.01043239,0.01716374,9.179873,8.950009E-5,519539.2,519539.2
7.316465E-8,14.9989,-1.177442E10,1249.858,1249.858,0.001342472,1.0,0.9452179,1.947418E-6,8.43126E-8,7.362732E-6,6.018379E-9,7.637006E-7,7.717755E-7,6.997956E-12,1.541904E-9,4.942349E-6,1.010543E-6,4.448782E-12,3.695448E-8,7.929362E-10,4.302827E-8,1.875879E-5,1.241507E-5,5.453209E-6,4.242912E-7,3.110888E-10,9.91866E-7,5.079507E-8,4.079838E-16,2.305212E-17,7.973911E-9,2.264416E-18,2.564663E-14,8.610987E-13,4.858936E-19,1.20986E-10,2.454682E-7,2.683788E-12,7.599799E-12,3.986502E-14,3.396231E-8,4.05759E-12,1.723168E-15,9.152448E-8,1.208315E-7,0.0192121,7.224696E-8,0.007923552,2.117561E-8,5.888047E-24,5.346843E-18,3.927755E-12,6.566356E-12,6.410413E-18,0.01043054,0.01715349,9.179587,8.950441E-5,519523.0,519523.0
2.819685E-7,14.99562,-1.417658E10,1249.373,1249.373,0.001342472,1.0,0.9450621,7.806493E-6,2.392879E-6,5.650765E-5,1.485677E-7,4.303674E-6,6.594988E-6,4.034037E-10,2.558352E-8,4.711796E-5,4.259655E-6,1.342599E-10,6.142347E-7,9.693555E-9,5.491879E-7,4.703245E-5,5.823855E-5,2.133711E-5,2.107955E-6,5.748305E-9,3.994752E-6,8.914612E-7,2.074629E-13,2.943985E-15,1.308235E-7,9.08286E-16,8.092348E-12,5.661355E-11,7.924902E-17,9.434229E-9,1.245838E-6,3.045934E-10,8.713409E-10,5.309436E-12,6.342333E-7,2.658611E-10,2.420578E-13,3.835624E-7,1.106235E-6,0.01919972,1.20332E-6,0.007921737,3.377162E-7,4.964069E-21,8.757319E-16,1.225688E-10,1.903707E-10,5.6287E-15,0.01041997,0.01710843,9.178034,8.952401E-5,519435.1,519435.1
9.747866E-7,14.98457,-1.556268E10,1247.505,1247.505,0.001342472,1.0,0.9443682,2.129772E-5,4.83319E-5,2.991002E-4,3.704691E-6,1.742699E-5,5.01847E-5,1.936984E-8,6.089226E-7,2.977564E-4,1.725281E-5,8.230498E-9,6.667359E-6,1.612719E-7,3.799504E-6,6.628143E-5,2.601363E-4,7.620602E-5,1.153047E-5,1.115797E-7,1.477213E-5,1.026643E-5,7.94332E-11,1.646046E-13,1.375491E-6,3.001017E-13,9.838177E-10,2.170711E-9,1.489665E-14,3.07244E-7,6.762821E-6,2.183825E-8,6.389626E-8,4.622122E-10,7.05618E-6,1.464481E-8,2.068906E-11,1.456099E-6,9.770648E-6,0.01913672,1.301797E-5,0.007911109,3.531433E-6,7.954957E-18,4.228455E-13,9.11844E-9,4.283681E-9,1.471206E-12,0.01036066,0.01694471,9.171075,8.959004E-5,519041.3,519041.3
9.881402E-7,14.98437,-1.555781E10,1247.469,1247.469,0.001342472,1.0,0.9443534,2.150619E-5,4.98484E-5,3.037525E-4,3.844056E-6,1.76593E-5,5.132012E-5,2.020565E-8,6.327574E-7,3.031943E-4,1.751286E-5,8.624651E-9,6.834953E-6,1.668475E-7,3.871425E-6,6.636283E-5,2.644843E-4,7.728231E-5,1.176911E-5,1.153988E-7,1.498002E-5,1.053354E-5,8.45914E-11,1.709349E-13,1.409511E-6,3.201054E-13,1.034066E-9,2.255603E-9,1.578049E-14,3.176844E-7,6.896351E-6,2.283526E-8,6.681566E-8,4.843997E-10,7.234078E-6,1.53037E-8,2.168581E-11,1.477871E-6,1.00025E-5,0.01913526,1.334417E-5,0.007910858,3.617874E-6,8.731478E-18,4.550744E-13,9.598678E-9,4.426778E-9,1.556504E-12,0.01035924,0.01694141,9.170928,8.959123E-5,519033.0,519033.0
1.022131E-6,14.98386,-1.554321E10,1247.375,1247.375,0.001342472,1.0,0.9443157,2.203106E-5,5.381336E-5,3.15532E-4,4.213707E-6,1.824515E-5,5.425452E-5,2.244077E-8,6.961678E-7,3.170896E-4,1.817381E-5,9.687946E-9,7.269174E-6,1.815698E-7,4.055361E-6,6.655652E-5,2.756117E-4,8.002392E-5,1.238662E-5,1.254725E-7,1.550822E-5,1.122683E-5,9.888479E-11,1.876166E-13,1.497602E-6,3.758296E-13,1.170092E-9,2.480869E-9,1.821072E-14,3.450414E-7,7.240408E-6,2.550817E-8,7.463914E-8,5.441285E-10,7.694961E-6,1.70705E-8,2.437236E-11,1.533439E-6,1.060221E-5,0.01913151,1.418915E-5,0.007910213,3.841427E-6,1.101611E-17,5.462829E-13,1.090462E-8,4.80264E-9,1.789885E-12,0.01035557,0.01693301,9.170552,8.959427E-5,519011.7,519011.7
1.0594E-6,14.98331,-1.552374E10,1247.273,1247.273,0.001342472,1.0,0.9442741,2.259727E-5,5.833241E-5,3.283397E-4,4.64401E-6,1.887831E-5,5.754395E-5,2.507378E-8,7.702986E-7,3.324091E-4,1.889644E-5,1.095664E-8,7.757677E-6,1.985958E-7,4.258409E-6,6.674887E-5,2.879092E-4,8.303297E-5,1.308035E-5,1.37118E-7,1.608566E-5,1.200883E-5,1.166112E-10,2.068396E-13,1.596622E-6,4.454986E-13,1.333191E-9,2.743257E-9,2.119195E-14,3.763169E-7,7.624446E-6,2.866779E-8,8.388091E-8,6.151594E-10,8.213403E-6,1.915974E-8,2.757355E-11,1.594606E-6,1.127529E-5,0.01912734,1.513946E-5,0.007909495,4.092237E-6,1.410816E-17,6.629238E-13,1.248079E-8,5.233951E-9,2.074042E-12,0.01035149,0.01692376,9.170137,8.959756E-5,518988.2,518988.2
