Time_Soln#7 (sec),Volume_Soln#7 (cm3),Volumetric_heat_production_rate_Soln#7 (erg/cm3-sec),Surface_temperature_Soln#7 (K),Temperature_Soln#7 (K),Mass_Soln#7 (g),Pressure_Soln#7 (atm),Mole_fraction_H2_Soln#7 (),Mole_fraction_H_Soln#7 (),Mole_fraction_CH4_Soln#7 (),Mole_fraction_CH3_Soln#7 (),Mole_fraction_C2H6_Soln#7 (),Mole_fraction_C2H5_Soln#7 (),Mole_fraction_C2H4_Soln#7 (),Mole_fraction_C2H2_Soln#7 (),Mole_fraction_C3H8_Soln#7 (),Mole_fraction_C3H6_Soln#7 (),Mole_fraction_C3H5-A_Soln#7 (),Mole_fraction_C3H4-P_Soln#7 (),Mole_fraction_C3H4-A_Soln#7 (),Mole_fraction_NC4H10_Soln#7 (),Mole_fraction_IC4H10_Soln#7 (),Mole_fraction_IC4H9_Soln#7 (),Mole_fraction_TC4H9_Soln#7 (),Mole_fraction_IC4H8_Soln#7 (),Mole_fraction_IC4H7_Soln#7 (),Mole_fraction_C4H8-1_Soln#7 (),Mole_fraction_C4H8-2_Soln#7 (),Mole_fraction_C4H71-3_Soln#7 (),Mole_fraction_C4H6_Soln#7 (),Mole_fraction_C4H4_Soln#7 (),Mole_fraction_C4H2_Soln#7 (),Mole_fraction_C6H6_Soln#7 (),Mole_fraction_FULVENE_Soln#7 (),Mole_fraction_C5H6_Soln#7 (),Mole_fraction_MCPTD_Soln#7 (),Mole_fraction_C10H8_Soln#7 (),Mole_fraction_NEOC5H12_Soln#7 (),Mole_fraction_NC5H10_Soln#7 (),Mole_fraction_B1M2_Soln#7 (),Mole_fraction_B1M3_Soln#7 (),Mole_fraction_B2M2_Soln#7 (),Mole_fraction_LC5H8_Soln#7 (),Mole_fraction_CYC6H10_Soln#7 (),Mole_fraction_NC6H12_Soln#7 (),Mole_fraction_NC7H14_Soln#7 (),Mole_fraction_IC8H16_Soln#7 (),Mole_fraction_DIMEPTD_Soln#7 (),Mole_fraction_C7H8_Soln#7 (),Mole_fraction_C7H7_Soln#7 (),Mole_fraction_C6H5C2H_Soln#7 (),Mole_fraction_C6H5C2H3_Soln#7 (),Mole_fraction_C6H5C2H5_Soln#7 (),Mole_fraction_INDENE_Soln#7 (),Mole_fraction_C12H8_Soln#7 (),Mole_fraction_NC10H20_Soln#7 (),Mole_fraction_IC12H26_Soln#7 (),Molecular_weight_Soln#7 (g/mole),Mass_density_Soln#7 (g/cm3),Unburned_hydrocarbons_Soln#7 (ppm),Volatile_organic_compounds_Soln#7 (ppm)
0.0,15.0,-2.522363E10,1300.0,1300.0,0.001290839,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,8.60559E-5,519545.7,519545.7
2.05792E-10,14.99999,-2.597303E10,1299.999,1299.999,0.001290839,1.0,0.9452587,1.137452E-9,6.034419E-14,1.916921E-9,2.867978E-15,1.354592E-10,1.039608E-10,7.336716E-17,1.158538E-15,1.158264E-9,8.449314E-9,2.048458E-16,9.699568E-14,8.293792E-16,8.845069E-13,2.124084E-9,1.803237E-7,1.547256E-8,4.583517E-8,1.121833E-10,8.99389E-15,8.448266E-9,9.104037E-13,9.796718E-22,9.769825E-22,9.922648E-15,8.803024E-27,4.085714E-24,8.497327E-21,2.963169E-27,6.996843E-19,7.065628E-11,1.368356E-20,3.975818E-20,3.608996E-23,8.427552E-16,1.092067E-23,2.882279E-11,2.695372E-11,0.01921548,9.547839E-14,0.007923929,1.058711E-11,3.063773E-33,1.770032E-26,1.853478E-18,1.756231E-29,7.211195E-42,0.01043316,0.01716838,9.179986,8.605595E-5,519545.6,519545.6
3.246629E-9,14.99987,-3.111409E10,1299.983,1299.983,0.001290839,1.0,0.9452546,1.678871E-7,1.751762E-10,3.230579E-7,9.572551E-12,2.721783E-8,2.068961E-8,2.246178E-14,3.671005E-12,1.862184E-7,1.332938E-7,5.128853E-14,1.346317E-10,2.520159E-12,2.790946E-10,3.360607E-7,3.093045E-6,9.107339E-7,7.230806E-7,2.110131E-8,2.344525E-12,1.330339E-7,2.558229E-10,3.739152E-19,2.424996E-19,2.564471E-11,3.792887E-22,2.478871E-19,3.598342E-16,1.286926E-22,3.355409E-14,1.298276E-8,6.272757E-16,1.765595E-15,5.636931E-18,2.970633E-11,4.670937E-19,5.215327E-9,4.913016E-9,0.01921499,2.447541E-10,0.007923894,2.364909E-10,2.215773E-28,9.312369E-22,6.184748E-15,7.827484E-24,1.414675E-33,0.01043286,0.01716635,9.179946,8.605664E-5,519543.3,519543.3
1.188261E-8,14.99951,-3.319181E10,1299.932,1299.932,0.001290839,1.0,0.9452402,9.6619E-7,4.997803E-9,2.262799E-6,3.220427E-10,2.247941E-7,1.771598E-7,4.691849E-13,1.116411E-10,1.266123E-6,4.889303E-7,6.964348E-13,3.132371E-9,7.084652E-11,4.480387E-9,2.237687E-6,1.127028E-5,5.090876E-6,2.647327E-6,1.559649E-7,3.360721E-11,4.854783E-7,4.858431E-9,1.441747E-17,3.37297E-18,6.20834E-10,4.592579E-20,1.222154E-16,3.506212E-14,1.271195E-20,3.45805E-12,9.302122E-8,6.537417E-14,1.788494E-13,9.275184E-16,1.834598E-9,4.568797E-17,3.633597E-8,3.61862E-8,0.01921417,5.936437E-9,0.00792377,2.303966E-9,5.784588E-26,1.216723E-19,2.078415E-13,1.023538E-20,1.876492E-29,0.01043198,0.01716053,9.179806,8.605871E-5,519535.4,519535.4
3.586272E-8,14.99848,-3.521038E10,1299.783,1299.783,0.001290839,1.0,0.9451967,3.432281E-6,6.950528E-8,1.007432E-5,4.765677E-9,9.999951E-7,9.233063E-7,9.0142E-12,1.397789E-9,6.248459E-6,1.493124E-6,6.70407E-12,3.552526E-8,7.927092E-10,4.469958E-8,9.192017E-6,3.028519E-5,1.799215E-5,8.000377E-6,6.013468E-7,3.311681E-10,1.462266E-6,5.821457E-8,5.906265E-16,4.67483E-17,7.095968E-9,3.414441E-18,2.200557E-14,1.278918E-12,5.117905E-19,1.31105E-10,3.539971E-7,2.739971E-12,7.369955E-12,4.639983E-14,3.07065E-8,2.012219E-15,1.328643E-7,1.608681E-7,0.01921179,6.8058E-8,0.007923375,2.123891E-8,9.326649E-24,6.117939E-18,3.084772E-12,3.624158E-18,6.113032E-26,0.01042936,0.01714426,9.179381,8.606461E-5,519511.4,519511.4
1.271419E-7,14.99436,-4.057667E10,1299.149,1299.149,0.001290839,1.0,0.9449997,1.358096E-5,1.502118E-6,6.483771E-5,9.438248E-8,5.054791E-6,6.606303E-6,3.871458E-10,2.030773E-8,5.023333E-5,5.571164E-6,1.317393E-10,5.165838E-7,9.087146E-9,5.402305E-7,3.181284E-5,7.822878E-5,7.431169E-5,2.852531E-5,2.568338E-6,5.142919E-9,5.202458E-6,8.616266E-7,1.277993E-13,3.272916E-15,1.029781E-7,8.874486E-16,5.473799E-12,6.719582E-11,4.983905E-17,7.807611E-9,1.52531E-6,2.159664E-10,5.723191E-10,4.181284E-12,5.163011E-7,1.935304E-13,5.082001E-7,1.087198E-6,0.01920055,9.953967E-7,0.007921289,2.891241E-7,4.755814E-21,6.138944E-16,6.904612E-11,2.400778E-15,5.672544E-22,0.01041715,0.01708105,9.177432,8.608829E-5,519401.0,519401.0
4.446077E-7,14.97965,-4.537461E10,1296.605,1296.605,0.001290839,1.0,0.944108,4.169553E-5,3.323296E-5,3.920522E-4,2.464175E-6,2.20583E-5,5.053859E-5,1.931797E-8,4.425272E-7,3.586477E-4,2.196829E-5,7.456438E-9,6.292986E-6,1.361872E-7,4.554491E-6,5.751486E-5,1.311076E-4,3.231707E-4,1.010214E-4,1.271571E-5,1.04143E-7,1.819486E-5,1.06806E-5,5.426374E-11,2.717913E-13,1.2334E-6,3.16876E-13,8.498078E-10,2.885044E-9,9.262237E-15,3.29931E-7,7.605682E-6,1.712681E-8,4.439926E-8,3.931872E-10,6.536782E-6,1.8127E-11,1.884254E-6,9.44307E-6,0.01913964,1.211879E-5,0.007908989,3.406772E-6,5.444931E-18,2.325847E-13,4.463666E-9,9.581355E-13,3.768337E-18,0.01035141,0.01685089,9.168453,8.617279E-5,518892.9,518892.9
6.105811E-7,14.97248,-4.469758E10,1295.244,1295.244,0.001290839,1.0,0.9435884,5.19722E-5,6.972715E-5,5.768125E-4,6.075747E-6,3.023583E-5,8.466877E-5,5.209759E-8,1.082909E-6,5.53243E-4,3.085069E-5,2.226634E-8,1.129224E-5,2.991997E-7,7.24511E-6,5.988804E-5,1.360159E-4,4.70081E-4,1.389397E-4,1.996557E-5,2.286864E-7,2.454385E-5,1.940588E-5,2.39095E-10,7.194792E-13,2.199464E-6,1.37873E-12,2.747239E-9,7.085614E-9,3.605604E-14,7.479047E-7,1.174994E-5,4.93211E-8,1.259741E-7,1.187539E-9,1.175403E-5,5.450567E-11,2.626943E-6,1.621894E-5,0.01909853,2.170256E-5,0.007900708,6.028028E-6,4.588844E-17,1.283655E-12,1.51189E-8,3.782947E-12,3.194784E-17,0.01030674,0.01672802,9.163213,8.621406E-5,518596.3,518596.3
6.353309E-7,14.97146,-4.452378E10,1295.043,1295.043,0.001290839,1.0,0.9435095,5.33368E-5,7.634097E-5,6.036415E-4,6.806954E-6,3.136751E-5,9.028689E-5,5.893817E-8,1.212218E-6,5.829046E-4,3.214735E-5,2.550969E-8,1.213051E-5,3.304287E-7,7.66158E-6,6.004099E-5,1.363346E-4,4.925582E-4,1.445718E-4,2.116079E-5,2.52257E-7,2.545124E-5,2.088234E-5,2.870141E-10,8.076725E-13,2.360958E-6,1.65526E-12,3.171567E-9,7.913024E-9,4.272817E-14,8.24856E-7,1.241387E-5,5.616595E-8,1.431035E-7,1.360423E-9,1.262792E-5,6.24441E-11,2.738317E-6,1.733883E-5,0.01909199,2.330628E-5,0.007899403,6.461741E-6,6.039167E-17,1.590341E-12,1.760972E-8,4.470977E-12,4.159812E-17,0.01029963,0.01670966,9.162419,8.621995E-5,518551.4,518551.4
6.655946E-7,14.97023,-4.429316E10,1294.799,1294.799,0.001290839,1.0,0.9434126,5.49552E-5,8.483057E-5,6.360957E-4,7.775521E-6,3.271812E-5,9.73279E-5,6.807507E-8,1.383269E-6,6.193184E-4,3.371775E-5,2.99009E-8,1.318555E-5,3.711539E-7,8.174823E-6,6.018333E-5,1.366324E-4,5.202101E-4,1.514486E-4,2.266287E-5,2.829138E-7,2.654606E-5,2.274498E-5,3.551435E-10,9.230652E-13,2.56409E-6,2.049523E-12,3.749022E-9,9.000038E-9,5.211808E-14,9.238935E-7,1.324075E-5,6.534771E-8,1.65983E-7,1.593881E-9,1.372741E-5,7.318144E-11,2.874651E-6,1.874323E-5,0.01908387,2.532354E-5,0.007897785,7.005378E-6,8.341801E-17,2.043328E-12,2.104465E-8,5.429961E-12,5.660091E-17,0.01029079,0.01668722,9.161445,8.622705E-5,518496.3,518496.3
