Time_Soln#12 (sec),Volume_Soln#12 (cm3),Volumetric_heat_production_rate_Soln#12 (erg/cm3-sec),Surface_temperature_Soln#12 (K),Temperature_Soln#12 (K),Mass_Soln#12 (g),Pressure_Soln#12 (atm),Mole_fraction_H2_Soln#12 (),Mole_fraction_H_Soln#12 (),Mole_fraction_CH4_Soln#12 (),Mole_fraction_CH3_Soln#12 (),Mole_fraction_C2H6_Soln#12 (),Mole_fraction_C2H5_Soln#12 (),Mole_fraction_C2H4_Soln#12 (),Mole_fraction_C2H2_Soln#12 (),Mole_fraction_C3H8_Soln#12 (),Mole_fraction_C3H6_Soln#12 (),Mole_fraction_C3H5-A_Soln#12 (),Mole_fraction_C3H4-P_Soln#12 (),Mole_fraction_C3H4-A_Soln#12 (),Mole_fraction_C3H3_Soln#12 (),Mole_fraction_NC4H10_Soln#12 (),Mole_fraction_IC4H10_Soln#12 (),Mole_fraction_IC4H9_Soln#12 (),Mole_fraction_TC4H9_Soln#12 (),Mole_fraction_IC4H8_Soln#12 (),Mole_fraction_IC4H7_Soln#12 (),Mole_fraction_C4H8-1_Soln#12 (),Mole_fraction_C4H8-2_Soln#12 (),Mole_fraction_C4H71-3_Soln#12 (),Mole_fraction_C4H6_Soln#12 (),Mole_fraction_C4H4_Soln#12 (),Mole_fraction_C4H2_Soln#12 (),Mole_fraction_C6H6_Soln#12 (),Mole_fraction_FULVENE_Soln#12 (),Mole_fraction_C5H6_Soln#12 (),Mole_fraction_C5H5_Soln#12 (),Mole_fraction_MCPTD_Soln#12 (),Mole_fraction_C10H8_Soln#12 (),Mole_fraction_NEOC5H12_Soln#12 (),Mole_fraction_NC5H10_Soln#12 (),Mole_fraction_B1M2_Soln#12 (),Mole_fraction_LC5H8_Soln#12 (),Mole_fraction_NC7H14_Soln#12 (),Mole_fraction_IC8H16_Soln#12 (),Mole_fraction_DIMEPTD_Soln#12 (),Mole_fraction_C7H8_Soln#12 (),Mole_fraction_C7H7_Soln#12 (),Mole_fraction_C6H5C2H_Soln#12 (),Mole_fraction_C6H5C2H3_Soln#12 (),Mole_fraction_C6H5C2H5_Soln#12 (),Mole_fraction_INDENE_Soln#12 (),Mole_fraction_C12H8_Soln#12 (),Mole_fraction_C14H10_Soln#12 (),Mole_fraction_BIN1B_Soln#12 (),Mole_fraction_NC10H20_Soln#12 (),Mole_fraction_IC12H26_Soln#12 (),Molecular_weight_Soln#12 (g/mole),Mass_density_Soln#12 (g/cm3),Unburned_hydrocarbons_Soln#12 (ppm),Volatile_organic_compounds_Soln#12 (ppm)
0.0,15.0,-2.375742E12,1550.0,1550.0,0.001082639,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,7.217592E-5,519545.7,519545.7
6.334469E-12,14.99998,-2.393932E12,1549.997,1549.997,0.001082639,1.0,0.9452582,1.517789E-9,3.327977E-15,1.518211E-9,1.19995E-16,7.571272E-11,5.823706E-11,9.627749E-17,5.180498E-17,8.732175E-10,2.329987E-8,2.773792E-16,1.609186E-13,2.292994E-18,4.176356E-17,2.784957E-13,1.970945E-9,6.34611E-7,9.477141E-9,1.187449E-7,6.298442E-11,3.454833E-15,2.329738E-8,2.110034E-12,3.195931E-20,2.18774E-20,5.075093E-16,8.709874E-27,5.328519E-25,1.1258E-27,2.171671E-21,2.060188E-28,6.127277E-20,4.319682E-11,8.97716E-22,1.310876E-17,2.087922E-11,0.0192154,6.460449E-15,0.007923925,6.082745E-11,1.271242E-33,2.734295E-27,7.393417E-20,8.125138E-30,1.70339E-43,1.150488E-21,3.633113E-39,0.01043312,0.01716799,9.179981,7.217601E-5,519545.3,519545.3
2.38974E-10,14.99924,-2.819873E12,1549.87,1549.87,0.001082639,1.0,0.945227,1.52557E-6,1.452715E-10,1.693569E-6,5.751835E-12,9.524829E-8,7.226636E-8,1.567297E-13,2.437925E-12,9.380014E-7,8.780897E-7,4.083184E-13,3.423188E-10,8.896282E-14,1.925413E-12,4.727342E-10,2.227882E-6,2.521665E-5,4.337622E-6,4.4751E-6,7.702064E-8,5.076568E-12,8.745762E-7,3.007002E-9,7.193151E-17,3.105072E-17,1.878851E-11,1.244848E-20,8.738476E-19,4.978128E-20,2.848862E-15,2.908041E-22,1.014949E-13,5.249562E-8,1.510109E-15,1.560028E-11,2.502893E-8,0.01921293,2.366391E-10,0.007923661,2.365092E-9,2.730412E-27,4.676647E-21,3.543744E-15,2.034929E-23,9.168622E-33,8.06852E-18,1.323284E-32,0.01043107,0.01714856,9.179679,7.217956E-5,519528.2,519528.2
1.063183E-9,14.9966,-3.105487E12,1549.353,1549.353,0.001082639,1.0,0.9450785,1.419244E-5,7.92387E-9,1.844162E-5,3.790028E-10,1.280998E-6,9.549858E-7,4.586197E-12,1.550616E-10,9.422565E-6,3.892207E-6,8.520254E-12,1.009348E-8,4.286979E-12,1.152966E-10,1.192667E-8,2.623378E-5,1.116703E-4,4.136434E-5,1.983577E-5,9.708594E-7,1.106978E-10,3.824122E-6,6.104229E-8,3.415694E-15,6.102241E-16,9.027199E-10,2.811331E-18,5.0091E-16,5.524732E-17,6.658276E-13,6.906329E-20,2.42751E-11,6.524618E-7,3.862227E-13,2.634429E-9,3.031324E-7,0.01921553,1.13764E-8,0.007922403,1.365416E-8,1.477057E-24,1.393243E-18,2.325982E-13,2.117733E-20,2.617477E-28,1.545304E-15,4.921085E-29,0.01042337,0.01707955,9.178236,7.219229E-5,519446.6,519446.6
2.924299E-9,14.9906,-3.120347E12,1548.148,1548.148,0.001082639,1.0,0.9447219,4.637824E-5,8.876591E-8,6.862611E-5,4.861795E-9,5.251382E-6,4.030149E-6,6.358133E-11,1.94575E-9,3.434456E-5,1.062873E-5,6.713083E-11,8.913402E-8,4.273901E-11,1.33302E-9,1.050215E-7,1.123732E-4,2.726523E-4,1.389674E-4,5.409997E-5,3.741877E-6,9.609856E-10,1.013678E-5,4.720748E-7,6.175122E-14,4.640104E-15,8.928183E-9,9.98689E-17,5.882736E-14,4.62847E-15,1.921229E-11,2.11746E-18,6.685423E-10,2.487167E-6,1.200223E-11,4.372703E-8,1.156302E-6,0.0192251,1.126078E-7,0.007919342,6.225107E-8,1.431876E-22,5.091506E-17,2.958054E-12,3.38342E-18,2.741738E-25,4.429428E-14,2.200693E-26,0.01040577,0.01692626,9.174768,7.222116E-5,519250.3,519250.3
8.87987E-9,14.97193,-3.019773E12,1544.356,1544.356,0.001082639,1.0,0.9435876,1.511967E-4,1.05387E-6,2.607756E-4,6.246228E-8,1.938065E-5,1.72548E-5,1.570897E-9,2.511824E-8,1.468921E-4,3.160152E-5,6.979063E-10,8.725525E-7,4.642614E-10,1.49197E-8,1.070146E-6,4.265418E-4,6.619279E-4,4.494298E-4,1.5995E-4,1.27458E-5,1.149274E-8,2.760407E-5,4.149934E-6,1.676607E-12,5.204223E-14,9.260642E-8,8.395059E-15,7.7247E-12,4.535512E-13,6.033748E-10,8.679848E-17,1.95142E-8,8.416639E-6,4.273526E-10,5.680514E-7,4.2419E-6,0.01924889,1.167909E-6,0.007909237,4.393733E-7,3.034194E-20,2.133606E-15,3.782193E-11,8.781198E-16,5.746028E-22,1.421441E-12,1.834479E-23,0.01034945,0.01646175,9.163707,7.231124E-5,518624.3,518624.3
3.236184E-8,14.90828,-2.600398E12,1530.713,1530.713,0.001082639,1.0,0.9393066,5.448765E-4,1.884775E-5,0.001337662,1.346178E-6,8.091443E-5,1.05843E-4,7.271517E-8,5.22061E-7,9.658385E-4,1.064197E-4,2.027808E-8,1.113481E-5,9.284443E-9,2.22728E-7,1.327675E-5,0.001235449,0.001605875,0.001587052,5.2894E-4,4.702676E-5,2.453841E-7,7.052609E-5,4.191031E-5,1.374421E-10,2.335633E-12,1.264461E-6,3.071989E-12,1.492234E-9,6.957268E-11,2.592789E-8,9.061256E-15,9.115038E-7,3.08392E-5,2.653258E-8,8.241756E-6,2.089629E-5,0.01926073,1.583762E-5,0.00786581,5.079075E-6,2.140327E-17,2.752685E-13,1.070719E-9,5.031337E-13,3.8004E-18,6.716034E-11,4.082144E-20,0.01012602,0.01494352,9.121534,7.261996E-5,516237.5,516237.5
7.217909E-8,14.82894,-1.99849E12,1511.885,1511.885,0.001082639,1.0,0.9329319,0.001024442,1.130991E-4,0.003592135,1.238588E-5,1.733728E-4,3.386151E-4,7.510043E-7,3.850292E-6,0.002942589,2.076395E-4,2.70518E-7,4.786683E-5,8.861008E-8,1.247106E-6,5.310437E-5,0.001643471,0.002115124,0.003236704,0.001026548,1.036491E-4,1.561302E-6,1.025453E-4,1.42419E-4,3.587979E-9,3.203643E-11,5.805303E-6,1.082333E-10,2.988832E-8,1.222713E-9,2.123283E-7,2.440157E-13,8.195632E-6,6.716854E-5,3.219965E-7,3.706519E-5,6.189335E-5,0.01909927,7.097277E-5,0.007785656,2.170881E-5,2.668333E-15,1.210088E-11,1.781408E-8,2.089342E-11,6.752882E-16,6.373323E-10,4.05367E-18,0.009743249,0.01311987,9.05754,7.300849E-5,512615.7,512615.7
1.548549E-7,14.73587,-1.15649E12,1485.646,1485.646,0.001082639,1.0,0.9230782,0.001337471,5.514955E-4,0.007617318,1.128823E-4,2.697124E-4,9.513942E-4,6.187171E-6,2.359623E-5,0.006891985,3.320409E-4,2.746794E-6,1.55264E-4,7.635389E-7,6.207906E-6,1.517489E-4,0.001397592,0.001854084,0.005795829,0.001767555,2.236204E-4,7.239238E-6,1.26102E-4,3.677281E-4,6.926965E-8,2.711453E-10,2.060714E-5,2.00408E-9,3.375876E-7,1.360293E-8,1.156212E-6,7.58862E-12,4.407369E-5,1.364071E-4,2.79548E-6,1.223023E-4,1.632926E-4,0.0185141,2.351395E-4,0.007630324,6.790411E-5,3.598287E-13,4.461278E-10,2.881984E-7,4.746805E-10,5.705234E-14,4.311872E-9,2.286041E-16,0.009000546,0.01080392,8.956563,7.346964E-5,506900.9,506900.9
1.621153E-7,14.73076,-1.103697E12,1483.952,1483.952,0.001082639,1.0,0.9223885,0.001339071,6.021678E-4,0.007891573,1.280617E-4,2.733897E-4,0.001007388,6.954283E-6,2.605821E-5,0.0071889,3.386233E-4,3.108337E-6,1.65079E-4,8.586224E-7,6.790108E-6,1.596406E-4,0.001362298,0.001812141,0.005977526,0.001820654,2.343991E-4,7.855349E-6,1.270564E-4,3.862956E-4,8.148258E-8,3.030042E-10,2.204767E-5,2.338064E-9,3.830619E-7,1.552411E-8,1.265241E-6,9.279883E-12,4.789979E-5,1.419723E-4,3.149427E-6,1.300195E-4,1.719426E-4,0.01845917,2.500163E-4,0.007618371,7.185714E-5,4.728326E-13,5.450224E-10,3.36663E-7,5.610033E-10,7.28593E-14,4.781487E-9,2.8616E-16,0.00894133,0.01065358,8.949453,7.349512E-5,506498.5,506498.5
