Time_Soln#14 (sec),Volume_Soln#14 (cm3),Volumetric_heat_production_rate_Soln#14 (erg/cm3-sec),Surface_temperature_Soln#14 (K),Temperature_Soln#14 (K),Mass_Soln#14 (g),Pressure_Soln#14 (atm),Mole_fraction_H2_Soln#14 (),Mole_fraction_H_Soln#14 (),Mole_fraction_CH4_Soln#14 (),Mole_fraction_CH3_Soln#14 (),Mole_fraction_C2H6_Soln#14 (),Mole_fraction_C2H5_Soln#14 (),Mole_fraction_C2H4_Soln#14 (),Mole_fraction_C2H3_Soln#14 (),Mole_fraction_C2H2_Soln#14 (),Mole_fraction_C3H8_Soln#14 (),Mole_fraction_C3H6_Soln#14 (),Mole_fraction_C3H5-A_Soln#14 (),Mole_fraction_C3H4-P_Soln#14 (),Mole_fraction_C3H4-A_Soln#14 (),Mole_fraction_C3H3_Soln#14 (),Mole_fraction_IC4H10_Soln#14 (),Mole_fraction_IC4H9_Soln#14 (),Mole_fraction_TC4H9_Soln#14 (),Mole_fraction_IC4H8_Soln#14 (),Mole_fraction_IC4H7_Soln#14 (),Mole_fraction_C4H8-1_Soln#14 (),Mole_fraction_C4H8-2_Soln#14 (),Mole_fraction_C4H71-3_Soln#14 (),Mole_fraction_C4H6_Soln#14 (),Mole_fraction_C4H4_Soln#14 (),Mole_fraction_C4H2_Soln#14 (),Mole_fraction_C6H6_Soln#14 (),Mole_fraction_FULVENE_Soln#14 (),Mole_fraction_C5H6_Soln#14 (),Mole_fraction_C5H5_Soln#14 (),Mole_fraction_MCPTD_Soln#14 (),Mole_fraction_C10H8_Soln#14 (),Mole_fraction_NEOC5H12_Soln#14 (),Mole_fraction_NC5H10_Soln#14 (),Mole_fraction_B1M2_Soln#14 (),Mole_fraction_LC5H8_Soln#14 (),Mole_fraction_NC7H14_Soln#14 (),Mole_fraction_IC8H16_Soln#14 (),Mole_fraction_DIMEPTD_Soln#14 (),Mole_fraction_C7H8_Soln#14 (),Mole_fraction_C7H7_Soln#14 (),Mole_fraction_C6H5C2H_Soln#14 (),Mole_fraction_C6H5C2H3_Soln#14 (),Mole_fraction_C6H5C2H5_Soln#14 (),Mole_fraction_C12H8_Soln#14 (),Mole_fraction_C14H10_Soln#14 (),Mole_fraction_BIN1B_Soln#14 (),Mole_fraction_BIN1A_Soln#14 (),Mole_fraction_NC10H20_Soln#14 (),Mole_fraction_IC12H26_Soln#14 (),Molecular_weight_Soln#14 (g/mole),Mass_density_Soln#14 (g/cm3),Unburned_hydrocarbons_Soln#14 (ppm),Volatile_organic_compounds_Soln#14 (ppm)
0.0,15.0,-9.958581E12,1650.0,1650.0,0.001017024,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.780162E-5,519545.7,519545.7
1.213028E-12,14.99998,-9.986826E12,1649.997,1649.997,0.001017024,1.0,0.9452583,5.70252E-10,2.677907E-16,4.641383E-10,8.774351E-18,2.073419E-11,1.596601E-11,4.000122E-14,3.114532E-17,3.897106E-18,2.631879E-10,1.839812E-8,9.019235E-17,7.476551E-14,4.506534E-19,6.537003E-14,6.447621E-10,5.449334E-7,3.813657E-9,9.193691E-8,1.725846E-11,8.64406E-16,1.839702E-8,9.18909E-13,2.606857E-20,1.603362E-20,4.351649E-17,9.090229E-28,3.322093E-26,4.116519E-29,1.999119E-22,1.179762E-29,3.43306E-21,1.229834E-11,4.481559E-23,4.987399E-19,6.310193E-12,0.01921543,6.226089E-16,0.007923926,5.017793E-11,8.217675E-35,1.952484E-28,5.242826E-21,1.26083E-45,4.002854E-22,1.724686E-40,4.932663E-40,0.01043313,0.01716805,9.179982,6.780169E-5,519545.4,519545.4
5.643678E-11,14.9993,-1.102521E13,1649.871,1649.871,0.001017024,1.0,0.9452291,9.745682E-7,2.303489E-11,8.919193E-7,7.921897E-13,4.238446E-8,3.241506E-8,8.777672E-11,7.20601E-14,3.491591E-13,4.975319E-7,8.551749E-7,2.026335E-13,1.804256E-10,3.180749E-14,1.549946E-10,1.256742E-6,2.602308E-5,2.354807E-6,4.273308E-6,3.485067E-8,1.893936E-12,8.528221E-7,1.981098E-9,8.241563E-17,3.458028E-17,2.834646E-12,2.838966E-21,1.215859E-19,3.576227E-21,4.903187E-16,3.27242E-23,1.283422E-14,2.479527E-8,1.711711E-16,1.172663E-12,1.262775E-8,0.01921217,3.955788E-11,0.007923678,2.345054E-9,3.490691E-28,7.07322E-22,4.734389E-16,1.653013E-34,1.194111E-18,7.756405E-34,2.218658E-33,0.01043114,0.01714695,9.179698,6.780479E-5,519529.3,519529.3
3.466158E-10,14.99572,-1.276113E13,1649.102,1649.102,0.001017024,1.0,0.9450138,2.00625E-5,3.670332E-9,2.085146E-5,1.497187E-10,1.216188E-6,9.096151E-7,3.546377E-9,3.71415E-12,6.468935E-11,1.078937E-5,5.223845E-6,8.518429E-12,8.855516E-9,4.609289E-12,7.498495E-9,3.161219E-5,1.627072E-4,4.879111E-5,2.611169E-5,9.527137E-7,7.714248E-11,5.137104E-6,7.437583E-8,8.307392E-15,1.290267E-15,4.083239E-10,2.54465E-18,1.698894E-16,2.19742E-17,4.662234E-13,3.165099E-20,1.261198E-11,6.734541E-7,1.837197E-13,8.974614E-10,3.333276E-7,0.01921631,5.696298E-9,0.007921859,1.605054E-8,6.391638E-25,8.254259E-19,8.922898E-14,4.249785E-29,3.492839E-16,4.672651E-30,1.619791E-29,0.01042001,0.01703604,9.177608,6.782095E-5,519411.0,519411.0
1.150189E-9,14.98595,-1.276233E13,1646.856,1646.856,0.001017024,1.0,0.9443431,8.879851E-5,7.077399E-8,1.076513E-4,3.489049E-9,7.435747E-6,5.552821E-6,4.387079E-8,7.557674E-11,1.51263E-9,5.204311E-5,1.70766E-5,1.01503E-10,1.124495E-7,7.869468E-11,1.003799E-7,1.932989E-4,4.767313E-4,2.260582E-4,8.542418E-5,5.477004E-6,9.919923E-10,1.617951E-5,8.049647E-7,2.450481E-13,1.386405E-14,6.868966E-9,1.67656E-16,4.237666E-14,4.676141E-15,2.796066E-11,2.017527E-18,7.193638E-10,3.837935E-6,1.219201E-11,3.27455E-8,1.852953E-6,0.01924951,9.591302E-8,0.007916155,7.677952E-8,1.305663E-22,6.492445E-17,2.055865E-12,1.446847E-25,1.969841E-14,4.765625E-27,2.42527E-26,0.01038873,0.0167374,9.17109,6.78652E-5,519042.1,519042.1
3.054953E-9,14.96381,-1.184244E13,1641.765,1641.765,0.001017024,1.0,0.9428195,2.475383E-4,6.191285E-7,3.317444E-4,3.419237E-8,2.383642E-5,1.906609E-5,3.363612E-7,1.191534E-9,1.571196E-8,1.660382E-4,4.386307E-5,7.61214E-10,8.086875E-7,6.484699E-10,7.819734E-7,6.662368E-4,0.001022742,6.36552E-4,2.195587E-4,1.672506E-5,8.630235E-9,3.831811E-5,5.235996E-6,3.943106E-12,9.721447E-14,5.437447E-8,6.531091E-15,3.274101E-12,2.712466E-13,5.885721E-10,5.106602E-17,1.36679E-8,1.16362E-5,2.788706E-10,3.445769E-7,5.73473E-6,0.01931675,7.595358E-7,0.007902954,3.575788E-7,1.344486E-20,1.723717E-15,1.978689E-11,1.041339E-22,4.257805E-13,1.577007E-24,9.619777E-24,0.01031726,0.0160839,9.156265,6.79656E-5,518203.1,518203.1
1.04502E-8,14.8925,-9.141196E12,1625.131,1625.131,0.001017024,1.0,0.937769,7.85619E-4,8.173045E-6,0.001280842,5.269599E-7,8.632996E-5,8.80686E-5,3.391267E-6,4.18851E-8,2.770307E-7,7.784708E-4,1.338784E-4,1.255229E-8,8.440988E-6,8.991806E-9,8.725029E-6,0.00206181,0.002439854,0.001972454,6.709155E-4,5.547441E-5,1.430043E-7,9.041426E-5,4.408005E-5,1.199475E-10,1.67969E-12,6.243728E-7,1.31269E-12,4.636173E-10,3.160531E-11,2.003932E-8,3.200711E-15,4.489869E-7,3.80669E-5,1.166252E-8,4.374512E-6,2.141095E-5,0.0194503,8.684337E-6,0.007856237,3.054772E-6,5.450871E-18,1.048324E-13,3.191268E-10,3.628411E-19,1.645592E-11,2.103633E-21,1.397627E-20,0.01006851,0.01408934,9.106895,6.829105E-5,515409.0,515409.0
3.384021E-8,14.75226,-5.359767E12,1590.085,1590.085,0.001017024,1.0,0.9265194,0.001899774,9.166748E-5,0.004610609,9.156154E-6,2.506581E-4,4.053791E-4,2.125371E-5,1.053241E-6,4.314938E-6,0.00351608,3.293394E-4,3.575552E-7,6.311056E-5,1.511103E-7,6.603253E-5,0.003539412,0.004047397,0.004824866,0.001673751,1.505811E-4,1.813947E-6,1.370415E-4,2.223661E-4,5.002222E-9,5.331018E-11,5.402931E-6,1.922531E-10,3.142506E-8,1.838755E-9,3.808859E-7,2.48193E-13,9.830515E-6,1.008948E-4,3.491726E-7,3.663826E-5,7.741866E-5,0.01928791,7.255275E-5,0.007729529,2.291805E-5,3.017762E-15,1.163164E-11,9.743126E-9,5.535364E-16,4.258795E-10,1.505185E-18,1.016526E-17,0.009434319,0.01055652,8.995209,6.894022E-5,509088.1,509088.1
4.581334E-8,14.70676,-4.374254E12,1577.564,1577.564,0.001017024,1.0,0.9222411,0.002226051,1.685002E-4,0.006268889,2.050863E-5,3.10164E-4,5.975344E-4,3.281897E-5,2.351413E-6,8.530803E-6,0.005003366,3.96981E-4,8.766693E-7,1.001397E-4,3.319599E-7,1.040864E-4,0.003604701,0.004155385,0.005880401,0.002048241,1.914951E-4,3.274843E-6,1.436709E-4,3.119353E-4,1.464936E-8,1.273948E-10,9.037599E-6,6.165291E-10,8.362703E-8,4.712479E-9,7.392752E-7,8.849629E-13,1.990491E-5,1.27034E-4,8.002578E-7,5.958788E-5,1.082251E-4,0.01907916,1.185008E-4,0.007671311,3.675065E-5,1.896803E-14,4.395418E-11,2.756293E-8,3.186441E-15,9.350302E-10,7.602824E-18,5.118576E-17,0.009156611,0.009486173,8.951987,6.915353E-5,506641.9,506641.9
4.95602E-8,14.69479,-4.124219E12,1574.126,1574.126,0.001017024,1.0,0.9210377,0.002302945,1.969125E-4,0.006765829,2.53573E-5,3.255207E-4,6.598218E-4,3.66483E-5,2.889864E-6,1.014067E-5,0.005458197,4.149588E-4,1.101431E-6,1.123242E-4,4.070664E-7,1.164011E-4,0.003584839,0.004144427,0.00617571,0.002153213,2.037089E-4,3.796056E-6,1.450835E-4,3.388315E-4,1.935692E-8,1.58404E-10,1.028858E-5,8.244735E-10,1.067768E-7,5.96611E-9,8.714042E-7,1.24243E-12,2.368665E-5,1.346933E-4,9.876735E-7,6.723308E-5,1.179293E-4,0.01900722,1.338507E-4,0.007653874,4.131611E-5,3.068935E-14,6.205449E-11,3.621522E-8,4.956177E-15,1.141425E-9,1.149811E-17,7.730397E-17,0.009074231,0.009206269,8.939752,6.920984E-5,505949.5,505949.5
