Time_Soln#19 (sec),Volume_Soln#19 (cm3),Volumetric_heat_production_rate_Soln#19 (erg/cm3-sec),Surface_temperature_Soln#19 (K),Temperature_Soln#19 (K),Mass_Soln#19 (g),Pressure_Soln#19 (atm),Mole_fraction_H2_Soln#19 (),Mole_fraction_H_Soln#19 (),Mole_fraction_CH4_Soln#19 (),Mole_fraction_CH3_Soln#19 (),Mole_fraction_C2H6_Soln#19 (),Mole_fraction_C2H5_Soln#19 (),Mole_fraction_C2H4_Soln#19 (),Mole_fraction_C2H3_Soln#19 (),Mole_fraction_C2H2_Soln#19 (),Mole_fraction_C3H8_Soln#19 (),Mole_fraction_NC3H7_Soln#19 (),Mole_fraction_C3H6_Soln#19 (),Mole_fraction_C3H5-A_Soln#19 (),Mole_fraction_C3H4-P_Soln#19 (),Mole_fraction_C3H4-A_Soln#19 (),Mole_fraction_C3H3_Soln#19 (),Mole_fraction_PC4H9_Soln#19 (),Mole_fraction_IC4H10_Soln#19 (),Mole_fraction_IC4H9_Soln#19 (),Mole_fraction_TC4H9_Soln#19 (),Mole_fraction_IC4H8_Soln#19 (),Mole_fraction_IC4H7_Soln#19 (),Mole_fraction_C4H8-1_Soln#19 (),Mole_fraction_C4H8-2_Soln#19 (),Mole_fraction_C4H71-3_Soln#19 (),Mole_fraction_C4H6_Soln#19 (),Mole_fraction_C4H4_Soln#19 (),Mole_fraction_C4H2_Soln#19 (),Mole_fraction_C6H6_Soln#19 (),Mole_fraction_FULVENE_Soln#19 (),Mole_fraction_C5H6_Soln#19 (),Mole_fraction_MCPTD_Soln#19 (),Mole_fraction_C10H8_Soln#19 (),Mole_fraction_NEOC5H12_Soln#19 (),Mole_fraction_NC5H10_Soln#19 (),Mole_fraction_B1M2_Soln#19 (),Mole_fraction_LC5H8_Soln#19 (),Mole_fraction_NC7H14_Soln#19 (),Mole_fraction_IC8H17_Soln#19 (),Mole_fraction_IC8H16_Soln#19 (),Mole_fraction_DIMEPTD_Soln#19 (),Mole_fraction_C7H8_Soln#19 (),Mole_fraction_C7H7_Soln#19 (),Mole_fraction_C6H5C2H_Soln#19 (),Mole_fraction_C12H8_Soln#19 (),Mole_fraction_C14H10_Soln#19 (),Mole_fraction_BIN1B_Soln#19 (),Mole_fraction_BIN1A_Soln#19 (),Mole_fraction_NC10H20_Soln#19 (),Mole_fraction_IC12H26_Soln#19 (),Molecular_weight_Soln#19 (g/mole),Mass_density_Soln#19 (g/cm3),Unburned_hydrocarbons_Soln#19 (ppm),Volatile_organic_compounds_Soln#19 (ppm)
0.0,15.0,-1.845722E14,1900.0,1900.0,8.832053E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,5.888035E-5,519545.7,519545.7
2.26253E-13,14.99995,-1.849228E14,1899.99,1899.99,8.832053E-4,1.0,0.9452567,1.949862E-9,2.391574E-16,1.201311E-9,6.387662E-18,4.318369E-11,3.335746E-11,1.858596E-13,7.515385E-17,3.050662E-18,3.79884E-11,6.653663E-10,6.169919E-8,2.182926E-16,4.649857E-13,2.034174E-18,5.261973E-11,1.046421E-13,2.006732E-9,2.189442E-6,6.116528E-9,2.961881E-7,3.594928E-11,1.576739E-15,6.169292E-8,5.081458E-12,2.779154E-19,1.524531E-19,2.901444E-17,3.507337E-27,8.321015E-26,7.379181E-22,1.90668E-29,7.103274E-21,2.831358E-11,7.020559E-23,3.027031E-19,1.593197E-11,1.886135E-6,0.01921519,5.682176E-16,0.007923912,9.640062E-11,1.023529E-34,8.224211E-46,1.198584E-21,1.366677E-40,4.649642E-40,0.01043303,0.01716658,9.179966,5.888053E-5,519544.5,519544.5
1.286396E-11,14.99749,-2.00902E14,1899.398,1899.398,8.832053E-4,1.0,0.9451174,5.28162E-6,3.74058E-11,3.498213E-6,1.043862E-12,1.330203E-7,1.022179E-7,6.177038E-10,2.646958E-13,4.964996E-13,1.161302E-7,1.910613E-6,3.496086E-6,8.61252E-13,1.526492E-9,2.59229E-13,1.59632E-7,3.652198E-10,5.984955E-6,1.255861E-4,8.991413E-6,1.678287E-5,1.097895E-7,5.147777E-12,3.476045E-6,1.628461E-8,3.078345E-15,4.898403E-16,3.705491E-12,2.457127E-20,6.66022E-19,3.885515E-15,1.126059E-22,5.745841E-14,8.652334E-8,6.062519E-16,1.544854E-12,4.832709E-8,8.882009E-5,0.01920348,6.557513E-11,0.007922739,5.492219E-9,9.563217E-28,3.826987E-34,4.080241E-18,1.229803E-33,4.174737E-33,0.01042462,0.01705903,9.178614,5.88902E-5,519468.0,519468.0
1.073592E-10,14.98086,-2.236181E14,1894.367,1894.367,8.832053E-4,1.0,0.9436608,1.754864E-4,1.353079E-8,1.339225E-4,4.708118E-10,6.620364E-6,4.963304E-6,4.944903E-8,3.067192E-11,2.306245E-10,5.54079E-6,6.680849E-5,2.837075E-5,1.004485E-10,1.103279E-7,8.909027E-11,7.293084E-6,3.318508E-8,2.640372E-4,9.801984E-4,3.10032E-4,1.36711E-4,5.212861E-6,3.931955E-10,2.708753E-5,1.063507E-6,1.235276E-12,3.250565E-14,1.207603E-9,6.791861E-17,2.981381E-15,1.117931E-11,3.521938E-19,1.628508E-10,4.116484E-6,2.239992E-12,3.535565E-9,2.20877E-6,2.523555E-4,0.01929873,2.133863E-8,0.007910475,5.198442E-8,6.999243E-24,7.899458E-28,9.164179E-16,1.794118E-29,7.265636E-29,0.01035877,0.01629073,9.164467,5.895558E-5,518667.3,518667.3
3.157039E-10,14.94854,-1.932497E14,1883.834,1883.834,8.832053E-4,1.0,0.9404436,6.031917E-4,1.766543E-7,5.284837E-4,7.612491E-9,3.186609E-5,2.36925E-5,4.705525E-7,5.20843E-10,4.189456E-9,2.549837E-5,2.448864E-4,7.853721E-5,1.002409E-9,9.111051E-7,1.154386E-9,3.21166E-5,3.234305E-7,0.00124255,0.00225505,0.00112039,3.827239E-4,2.394076E-5,3.897132E-9,6.919281E-5,8.003215E-6,2.477792E-11,2.536114E-13,1.411217E-8,2.882219E-15,3.607563E-13,3.906486E-10,1.468379E-17,5.079905E-9,1.883538E-5,8.957065E-11,8.161939E-8,9.776408E-6,2.249992E-4,0.01958737,2.507711E-7,0.007883286,2.093336E-7,9.353255E-22,1.057157E-24,2.649415E-14,6.826207E-27,3.596431E-26,0.01022278,0.01483606,9.133214,5.908306E-5,516898.5,516898.5
8.157311E-10,14.88623,-1.376626E14,1864.174,1864.174,8.832053E-4,1.0,0.9345296,0.001384169,1.24852E-6,0.001314672,6.453816E-8,9.022386E-5,6.965409E-5,2.896348E-6,7.225613E-9,4.355187E-8,6.917593E-5,6.110721E-4,1.797909E-4,6.399369E-9,5.179725E-6,8.926017E-9,8.478497E-5,2.079203E-6,0.003466137,0.004023355,0.002620722,8.93958E-4,6.546881E-5,2.930938E-8,1.349154E-4,3.993543E-5,2.760892E-10,1.411152E-12,9.315163E-8,9.931543E-14,1.879348E-11,6.132318E-9,3.21844E-16,6.677817E-8,5.06288E-5,1.51907E-9,7.086641E-7,2.630128E-5,1.634733E-4,0.02000162,1.666384E-6,0.007832726,8.380461E-7,8.145855E-20,4.86234E-22,4.447438E-13,1.403441E-24,8.603563E-24,0.009954442,0.01228191,9.075725,5.933034E-5,513644.9,513644.9
2.593606E-9,14.75278,-6.590494E13,1824.13,1824.13,8.832053E-4,1.0,0.9227662,0.002933275,9.756097E-6,0.003057705,6.455134E-7,2.428311E-4,2.149966E-4,1.706899E-5,1.472049E-7,5.952442E-7,1.705238E-4,0.001615118,4.30431E-4,6.187957E-8,3.43157E-5,8.561793E-8,2.030775E-4,1.50043E-5,0.007540971,0.007135324,0.005450153,0.002217409,1.678687E-4,2.955376E-7,2.167102E-4,1.978906E-4,3.254445E-9,1.160099E-11,7.059754E-7,9.058117E-12,1.112544E-9,1.105959E-7,1.146602E-14,9.957225E-7,1.237983E-4,2.983752E-8,5.744161E-6,6.816287E-5,7.797277E-5,0.02024638,1.25359E-5,0.007727726,4.700638E-6,1.68452E-17,5.5309E-19,1.041895E-11,6.793112E-22,4.503428E-21,0.009316757,0.00767769,8.961108,5.986705E-5,507158.1,507158.1
6.282695E-9,14.61735,-3.15381E13,1784.656,1784.656,8.832053E-4,1.0,0.9112805,0.00443697,4.046493E-5,0.005387706,3.377393E-6,4.555475E-4,4.915832E-4,4.886342E-5,1.159252E-6,3.690691E-6,2.7926E-4,0.003383364,7.462889E-4,4.467164E-7,1.204248E-4,4.30558E-7,3.174095E-4,5.441239E-5,0.01019563,0.009439989,0.00793975,0.003954616,2.982744E-4,1.403392E-6,2.307752E-4,4.931378E-4,1.58991E-8,8.049898E-11,2.812915E-6,2.216E-10,1.57234E-8,7.312848E-7,1.780812E-13,6.10358E-6,2.076004E-4,2.264818E-7,2.173184E-5,1.25904E-4,3.246315E-5,0.01949837,4.762009E-5,0.007611999,1.634886E-5,1.007845E-15,7.906572E-17,9.544546E-11,5.706174E-20,3.860382E-19,0.008520901,0.0041715,8.848415,6.042169E-5,500780.2,500780.2
1.03926E-8,14.53473,-2.031035E13,1759.949,1759.949,8.832053E-4,1.0,0.9039299,0.005351841,8.928795E-5,0.007525544,8.696986E-6,6.222218E-4,7.93893E-4,8.380028E-5,3.508328E-6,9.678494E-6,3.394293E-4,0.005227585,9.712079E-4,1.47375E-6,2.284771E-4,1.092571E-6,3.664772E-4,1.045635E-4,0.01086596,0.0101496,0.009381435,0.005236924,3.955941E-4,3.117404E-6,2.18114E-4,7.420691E-4,3.978196E-8,2.754149E-10,5.88861E-6,1.186556E-9,6.145321E-8,1.907945E-6,9.590221E-13,1.578548E-5,2.644753E-4,6.795737E-7,4.27648E-5,1.73747E-4,1.74162E-5,0.01846995,9.392075E-5,0.007524597,3.189882E-5,1.193996E-14,1.120386E-15,3.165777E-10,6.491621E-19,4.397176E-18,0.007918862,0.002615915,8.775522,6.076518E-5,496654.8,496654.8
1.171527E-8,14.515,-1.828738E13,1753.841,1753.841,8.832053E-4,1.0,0.9020705,0.005568648,1.07844E-4,0.008169774,1.093812E-5,6.657674E-4,8.911508E-4,9.513813E-5,4.549479E-6,1.207184E-5,3.516778E-4,0.005800007,0.001027725,1.959742E-6,2.639758E-4,1.369837E-6,3.734828E-4,1.211136E-4,0.01089378,0.01021093,0.009730448,0.005569068,4.212521E-4,3.738234E-6,2.139205E-4,8.094358E-4,5.031241E-8,3.704023E-10,6.99335E-6,1.741988E-9,8.390489E-8,2.368114E-6,1.459857E-12,1.963117E-5,2.787809E-4,8.795301E-7,4.985317E-5,1.871741E-4,1.483489E-5,0.01815312,1.094399E-4,0.007500236,3.721909E-5,2.18808E-14,2.066762E-15,4.189186E-10,1.15073E-18,7.787115E-18,0.007757263,0.002308318,8.756954,6.084778E-5,495603.9,495603.9
