Time_Soln#20 (sec),Volume_Soln#20 (cm3),Volumetric_heat_production_rate_Soln#20 (erg/cm3-sec),Surface_temperature_Soln#20 (K),Temperature_Soln#20 (K),Mass_Soln#20 (g),Pressure_Soln#20 (atm),Mole_fraction_H2_Soln#20 (),Mole_fraction_H_Soln#20 (),Mole_fraction_CH4_Soln#20 (),Mole_fraction_CH3_Soln#20 (),Mole_fraction_C2H6_Soln#20 (),Mole_fraction_C2H5_Soln#20 (),Mole_fraction_C2H4_Soln#20 (),Mole_fraction_C2H3_Soln#20 (),Mole_fraction_C2H2_Soln#20 (),Mole_fraction_C3H8_Soln#20 (),Mole_fraction_NC3H7_Soln#20 (),Mole_fraction_C3H6_Soln#20 (),Mole_fraction_C3H5-A_Soln#20 (),Mole_fraction_C3H4-P_Soln#20 (),Mole_fraction_C3H4-A_Soln#20 (),Mole_fraction_C3H3_Soln#20 (),Mole_fraction_PC4H9_Soln#20 (),Mole_fraction_IC4H10_Soln#20 (),Mole_fraction_IC4H9_Soln#20 (),Mole_fraction_TC4H9_Soln#20 (),Mole_fraction_IC4H8_Soln#20 (),Mole_fraction_IC4H7_Soln#20 (),Mole_fraction_C4H8-1_Soln#20 (),Mole_fraction_C4H71-3_Soln#20 (),Mole_fraction_C4H6_Soln#20 (),Mole_fraction_C4H5_Soln#20 (),Mole_fraction_C4H4_Soln#20 (),Mole_fraction_C4H2_Soln#20 (),Mole_fraction_C6H6_Soln#20 (),Mole_fraction_FULVENE_Soln#20 (),Mole_fraction_C5H6_Soln#20 (),Mole_fraction_MCPTD_Soln#20 (),Mole_fraction_C10H8_Soln#20 (),Mole_fraction_NEOC5H12_Soln#20 (),Mole_fraction_NC5H10_Soln#20 (),Mole_fraction_B1M2_Soln#20 (),Mole_fraction_LC5H8_Soln#20 (),Mole_fraction_NC7H14_Soln#20 (),Mole_fraction_IC8H17_Soln#20 (),Mole_fraction_IC8H16_Soln#20 (),Mole_fraction_DIMEPTD_Soln#20 (),Mole_fraction_C7H8_Soln#20 (),Mole_fraction_C7H7_Soln#20 (),Mole_fraction_C6H5C2H_Soln#20 (),Mole_fraction_C12H8_Soln#20 (),Mole_fraction_C14H10_Soln#20 (),Mole_fraction_BIN1B_Soln#20 (),Mole_fraction_BIN1A_Soln#20 (),Mole_fraction_NC10H20_Soln#20 (),Mole_fraction_IC12H26_Soln#20 (),Molecular_weight_Soln#20 (g/mole),Mass_density_Soln#20 (g/cm3),Unburned_hydrocarbons_Soln#20 (ppm),Volatile_organic_compounds_Soln#20 (ppm)
0.0,15.0,-3.023012E14,1950.0,1950.0,8.60559E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,5.73706E-5,519545.7,519545.7
2.356665E-13,14.99993,-3.030291E14,1949.982,1949.982,8.60559E-4,1.0,0.945255,4.530669E-9,6.361118E-16,2.699065E-9,1.63866E-17,9.361273E-11,7.236798E-11,4.618081E-13,1.620823E-16,7.94147E-18,8.23469E-11,1.490341E-9,1.047892E-7,4.718337E-16,1.210559E-12,6.80066E-18,1.140582E-10,2.18446E-13,4.686105E-9,3.837553E-6,1.122598E-8,4.996372E-7,7.792626E-11,1.04773E-7,1.30521E-11,4.257299E-21,7.389572E-19,3.855768E-19,6.868713E-17,1.508466E-26,3.647826E-25,3.237086E-21,7.538434E-29,3.025404E-20,6.262322E-11,2.835254E-22,9.780033E-19,3.563639E-11,3.321848E-6,0.01921496,1.397803E-15,0.007923898,1.327644E-10,3.442709E-34,6.968698E-45,2.692909E-21,4.648079E-40,1.676929E-39,0.01043292,0.01716511,9.17995,5.737089E-5,519543.6,519543.6
9.000298E-12,14.99722,-3.254846E14,1949.301,1949.301,8.60559E-4,1.0,0.9450951,5.742001E-6,2.986468E-11,3.591864E-6,7.992449E-13,1.308933E-7,1.007452E-7,6.92686E-10,2.570231E-13,3.860663E-13,1.144067E-7,1.958672E-6,3.987024E-6,8.754919E-13,1.780251E-9,2.782108E-13,1.57454E-7,3.404407E-10,6.373844E-6,1.472533E-4,9.241891E-6,1.901002E-5,1.081745E-7,3.9636E-6,1.886403E-8,2.459048E-16,4.404026E-15,5.58848E-16,2.832349E-12,2.16688E-20,5.833331E-19,3.632267E-15,9.347712E-23,4.878918E-14,8.69922E-8,4.893282E-16,1.06931E-12,4.918356E-8,1.075497E-4,0.01920134,5.242787E-11,0.007922552,5.078444E-9,6.356001E-28,1.777664E-34,4.047731E-18,8.117247E-34,2.903059E-33,0.01042339,0.01703904,9.178397,5.738124E-5,519455.7,519455.7
7.182272E-11,14.97996,-3.602178E14,1943.812,1943.812,8.60559E-4,1.0,0.9435199,1.906203E-4,9.989028E-9,1.348035E-4,3.263442E-10,6.253773E-6,4.710533E-6,5.051481E-8,2.63789E-11,1.625763E-10,5.274014E-6,6.791752E-5,3.089802E-5,1.020238E-10,1.148266E-7,9.058225E-11,6.999194E-6,2.75285E-8,2.71828E-4,0.001100024,3.16557E-4,1.479182E-4,4.965147E-6,2.952827E-5,1.123456E-6,6.920649E-13,1.639077E-12,3.387717E-14,8.674664E-10,5.349941E-17,2.044069E-15,9.266848E-12,2.610807E-19,1.225506E-10,4.003223E-6,1.615356E-12,2.267133E-9,2.184277E-6,3.313065E-4,0.01930259,1.601803E-8,0.007909302,4.513824E-8,3.789604E-24,2.750871E-28,5.987955E-16,7.52335E-30,3.091459E-29,0.01035217,0.01618038,9.163099,5.744736E-5,518589.9,518589.9
2.244336E-10,14.94408,-3.045891E14,1931.242,1931.242,8.60559E-4,1.0,0.9396701,7.238545E-4,1.554038E-7,5.927245E-4,6.406067E-9,3.45624E-5,2.571047E-5,5.446055E-7,5.122294E-10,3.64007E-9,2.786611E-5,2.7512E-4,9.008306E-5,1.200918E-9,1.05172E-6,1.432047E-9,3.538325E-5,3.030332E-7,0.001428776,0.002644563,0.001269066,4.374163E-4,2.61531E-5,7.903452E-5,9.369482E-6,6.707737E-11,3.851301E-11,2.944763E-13,1.207782E-8,2.821372E-15,2.979786E-13,4.087164E-10,1.404935E-17,4.789647E-9,2.101771E-5,8.324552E-11,6.820883E-8,1.105541E-5,2.965782E-4,0.01967422,2.247046E-7,0.007876821,1.936943E-7,6.529368E-22,5.642307E-25,1.908359E-14,3.480556E-27,1.843246E-26,0.01019128,0.01442789,9.125702,5.758528E-5,516473.4,516473.4
5.952896E-10,14.87639,-2.056568E14,1908.428,1908.428,8.60559E-4,1.0,0.9327996,0.001664984,1.150379E-6,0.00148865,5.819759E-8,1.020464E-4,7.813606E-5,3.468323E-6,7.448008E-9,4.127268E-8,7.888106E-5,6.854459E-4,2.083653E-4,7.851815E-9,6.139882E-6,1.189895E-8,9.739061E-5,2.010969E-6,0.004069849,0.00464572,0.002991672,0.001037565,7.44335E-5,1.542889E-4,4.769063E-5,2.169424E-9,4.417955E-10,1.678719E-12,8.330819E-8,1.026669E-13,1.707001E-11,6.835233E-9,3.366587E-16,6.557724E-8,5.86525E-5,1.506754E-9,6.432358E-7,3.073272E-5,2.037954E-4,0.02018048,1.564353E-6,0.00781828,7.953097E-7,6.304247E-20,3.044225E-22,3.362891E-13,7.810447E-25,4.815007E-24,0.00987912,0.01146806,9.05893,5.78473E-5,512694.4,512694.4
1.669493E-9,14.75751,-1.018014E14,1870.802,1870.802,8.60559E-4,1.0,0.9218015,0.003155152,6.991273E-6,0.003019091,4.465591E-7,2.459554E-4,2.075435E-4,1.674585E-5,1.06928E-7,4.235097E-7,1.780749E-4,0.001528077,4.501811E-4,5.351701E-8,3.26634E-5,8.853629E-8,2.156554E-4,1.148174E-5,0.008107191,0.007509785,0.005591031,0.002323582,1.724128E-4,2.347603E-4,1.965381E-4,5.095544E-8,3.872001E-9,1.01664E-11,4.967484E-7,5.381516E-12,6.417474E-10,8.877572E-8,7.89879E-15,6.860095E-7,1.295993E-4,2.055842E-8,4.145508E-6,7.085548E-5,9.950077E-5,0.02041554,9.282589E-6,0.007721438,3.597923E-6,7.108968E-18,1.579081E-19,5.47145E-12,1.827548E-22,1.211434E-21,0.009273743,0.007152817,8.951862,5.831328E-5,506634.8,506634.8
3.920206E-9,14.63129,-4.860362E13,1832.807,1832.807,8.60559E-4,1.0,0.9109497,0.004618604,2.648043E-5,0.004903723,2.109619E-6,4.515266E-4,4.414021E-4,4.622371E-5,7.74853E-7,2.452695E-6,2.952757E-4,0.002887545,7.723191E-4,3.148563E-7,1.106328E-4,4.029261E-7,3.483772E-4,3.960111E-5,0.0110776,0.00990433,0.00787041,0.004096187,3.020535E-4,2.543333E-4,4.839903E-4,4.621965E-7,1.718155E-8,5.652928E-11,1.85804E-6,1.15191E-10,8.265517E-9,5.552514E-7,1.018191E-13,3.75251E-6,2.133435E-4,1.387329E-7,1.491412E-5,1.257257E-4,4.071409E-5,0.01966477,3.326877E-5,0.007616822,1.173386E-5,3.340784E-16,1.912414E-17,4.594837E-11,1.267388E-20,8.610948E-20,0.008497053,0.003753192,8.845713,5.881633E-5,500627.3,500627.3
7.768924E-9,14.52162,-2.631849E13,1799.782,1799.782,8.60559E-4,1.0,0.9014502,0.005866626,7.390338E-5,0.0073133,7.117895E-6,6.907282E-4,8.131113E-4,9.362046E-5,3.380359E-6,8.988184E-6,3.9542E-4,0.004944644,0.001114623,1.487791E-6,2.652436E-4,1.33352E-6,4.466916E-4,9.502594E-5,0.0123081,0.01108686,0.009595283,0.006013897,4.426759E-4,2.338673E-4,8.458605E-4,2.131661E-6,5.234271E-8,2.796305E-10,4.968534E-6,1.09997E-9,5.119822E-8,2.041761E-6,8.947722E-13,1.297944E-5,2.92822E-4,5.845623E-7,3.676135E-5,1.892012E-4,1.593884E-5,0.0180702,8.182807E-5,0.007509075,2.8595E-5,8.455405E-15,6.976398E-16,2.30627E-10,3.293508E-19,2.250954E-18,0.007652704,0.001800679,8.751925,5.926056E-5,495319.3,495319.3
1.128841E-8,14.46093,-1.901623E13,1780.649,1780.649,8.60559E-4,1.0,0.8957664,0.006556129,1.29867E-4,0.00927206,1.397915E-5,8.45402E-4,0.001145279,1.36353E-4,7.400836E-6,1.752411E-5,4.397965E-4,0.006693868,0.001322499,3.524619E-6,4.110464E-4,2.611476E-6,4.770804E-4,1.469781E-4,0.01230873,0.01121116,0.01053569,0.007209022,5.328363E-4,2.161896E-4,0.001088276,4.541568E-6,1.006608E-7,6.934328E-10,8.349492E-6,3.504433E-9,1.296802E-7,3.91199E-6,3.206758E-12,2.466578E-5,3.383314E-4,1.262129E-6,5.786859E-5,2.328793E-4,8.806746E-6,0.01679796,1.278275E-4,0.007433467,4.552072E-5,5.350062E-14,4.542147E-15,5.429335E-10,1.895687E-18,1.292136E-17,0.007095788,0.001094784,8.695228,5.950926E-5,492110.5,492110.5
