Time_Soln#23 (sec),Volume_Soln#23 (cm3),Volumetric_heat_production_rate_Soln#23 (erg/cm3-sec),Surface_temperature_Soln#23 (K),Temperature_Soln#23 (K),Mass_Soln#23 (g),Pressure_Soln#23 (atm),Mole_fraction_H2_Soln#23 (),Mole_fraction_H_Soln#23 (),Mole_fraction_CH4_Soln#23 (),Mole_fraction_CH3_Soln#23 (),Mole_fraction_C2H6_Soln#23 (),Mole_fraction_C2H5_Soln#23 (),Mole_fraction_C2H4_Soln#23 (),Mole_fraction_C2H3_Soln#23 (),Mole_fraction_C2H2_Soln#23 (),Mole_fraction_C3H8_Soln#23 (),Mole_fraction_IC3H7_Soln#23 (),Mole_fraction_NC3H7_Soln#23 (),Mole_fraction_C3H6_Soln#23 (),Mole_fraction_C3H5-A_Soln#23 (),Mole_fraction_C3H4-P_Soln#23 (),Mole_fraction_C3H4-A_Soln#23 (),Mole_fraction_C3H3_Soln#23 (),Mole_fraction_C3H2_Soln#23 (),Mole_fraction_PC4H9_Soln#23 (),Mole_fraction_IC4H10_Soln#23 (),Mole_fraction_IC4H9_Soln#23 (),Mole_fraction_TC4H9_Soln#23 (),Mole_fraction_IC4H8_Soln#23 (),Mole_fraction_IC4H7_Soln#23 (),Mole_fraction_C4H8-1_Soln#23 (),Mole_fraction_C4H71-3_Soln#23 (),Mole_fraction_C4H6_Soln#23 (),Mole_fraction_C4H5_Soln#23 (),Mole_fraction_C4H4_Soln#23 (),Mole_fraction_C4H2_Soln#23 (),Mole_fraction_C6H6_Soln#23 (),Mole_fraction_FULVENE_Soln#23 (),Mole_fraction_C5H6_Soln#23 (),Mole_fraction_C10H8_Soln#23 (),Mole_fraction_NEOC5H12_Soln#23 (),Mole_fraction_NC5H10_Soln#23 (),Mole_fraction_B1M2_Soln#23 (),Mole_fraction_LC5H8_Soln#23 (),Mole_fraction_NC7H14_Soln#23 (),Mole_fraction_IC8H17_Soln#23 (),Mole_fraction_IC8H16_Soln#23 (),Mole_fraction_DIMEPTD_Soln#23 (),Mole_fraction_C7H8_Soln#23 (),Mole_fraction_C7H7_Soln#23 (),Mole_fraction_C6H5C2H_Soln#23 (),Mole_fraction_C12H8_Soln#23 (),Mole_fraction_C14H10_Soln#23 (),Mole_fraction_BIN1B_Soln#23 (),Mole_fraction_NC10H20_Soln#23 (),Mole_fraction_IC12H26_Soln#23 (),Molecular_weight_Soln#23 (g/mole),Mass_density_Soln#23 (g/cm3),Unburned_hydrocarbons_Soln#23 (ppm),Volatile_organic_compounds_Soln#23 (ppm)
0.0,15.0,-1.151866E15,2100.0,2100.0,7.990905E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,5.32727E-5,519545.7,519545.7
2.724737E-14,14.99997,-1.152377E15,2099.992,2099.992,7.990905E-4,1.0,0.945257,5.255435E-10,9.51392E-18,2.628676E-10,2.194847E-19,8.224812E-12,6.377009E-12,5.856937E-14,1.322821E-17,1.111776E-19,5.681783E-18,7.236149E-12,1.436056E-10,4.56824E-8,3.826902E-17,1.736289E-13,3.016667E-19,2.096635E-30,1.002435E-11,1.739971E-14,5.100982E-10,1.823681E-6,1.828239E-9,2.13837E-7,6.847833E-12,4.568005E-8,1.827641E-12,3.367345E-22,8.16931E-20,4.423695E-20,1.027884E-18,9.654181E-29,2.107902E-27,5.053128E-31,1.633132E-22,5.840298E-12,1.3093E-24,4.927719E-21,3.404104E-12,1.608265E-6,0.01921528,3.366019E-17,0.007923915,2.756408E-11,7.650664E-37,2.481333E-49,2.456832E-22,1.431515E-42,0.01043306,0.01716687,9.17997,5.327281E-5,519544.7,519544.7
3.065016E-12,14.99672,-1.201632E15,2099.055,2099.055,7.990905E-4,1.0,0.94504,5.804617E-6,1.187019E-11,3.109889E-6,2.820519E-13,1.009414E-7,7.806736E-8,7.605226E-10,1.81596E-13,1.425859E-13,7.268487E-12,8.846921E-8,1.689202E-6,5.115503E-6,7.18916E-13,2.187533E-9,2.710822E-13,2.079205E-22,1.221087E-7,2.288911E-10,6.147073E-6,2.042547E-4,8.03785E-6,2.394465E-5,8.367833E-8,5.086254E-6,2.284587E-8,4.540489E-16,9.048335E-15,5.548169E-16,9.846771E-13,9.680127E-21,2.652212E-19,4.061318E-23,2.053885E-14,7.140105E-8,1.759397E-16,2.573102E-13,4.144756E-8,1.620057E-4,0.01919505,2.077181E-11,0.007922092,3.102698E-9,1.088174E-28,7.964098E-36,3.113322E-18,1.857891E-34,0.01042053,0.01698518,9.177862,5.328435E-5,519425.4,519425.4
3.246761E-11,14.97083,-1.269941E15,2089.244,2089.244,7.990905E-4,1.0,0.9422497,3.48764E-4,9.348672E-9,2.083707E-4,2.714129E-10,8.66957E-6,6.586243E-6,1.005858E-7,3.642206E-11,1.441883E-10,6.68163E-9,7.372236E-6,1.055814E-4,5.172506E-5,2.228739E-10,2.354476E-7,2.219331E-10,2.492371E-17,9.882552E-6,3.14296E-8,4.675162E-4,0.00193245,4.964207E-4,2.439177E-4,6.94578E-6,4.883165E-5,2.313528E-6,1.704918E-12,8.344334E-12,5.787724E-14,7.225821E-10,7.560847E-17,2.630339E-15,3.718017E-19,1.557098E-10,5.937924E-6,1.933425E-12,1.760017E-9,3.341032E-6,6.924636E-4,0.01938591,1.51594E-8,0.00789866,3.741672E-8,2.21249E-24,8.905458E-29,5.255284E-16,3.756629E-30,0.01029653,0.0153829,9.150764,5.33765E-5,517891.8,517891.8
1.020738E-10,14.9245,-9.640124E14,2068.926,2068.926,7.990905E-4,1.0,0.9359835,0.001318261,1.461748E-7,9.126362E-4,5.507561E-9,5.028616E-5,3.765032E-5,1.072004E-6,7.211599E-10,3.494015E-9,1.241619E-7,4.102507E-5,4.258923E-4,1.468818E-4,2.743999E-9,2.050969E-6,3.834224E-9,5.580014E-15,5.292343E-5,3.317624E-7,0.002420741,0.004345817,0.001985035,7.109791E-4,3.849439E-5,1.248763E-4,1.827273E-5,1.433505E-10,1.827313E-10,4.871139E-13,1.027472E-8,4.065738E-15,3.241747E-13,2.156324E-17,5.842491E-9,3.270071E-5,1.022674E-10,5.742618E-8,1.777119E-5,5.818385E-4,0.02008669,2.190115E-7,0.007845933,1.701568E-7,4.018644E-22,2.000596E-25,1.236256E-14,1.247214E-27,0.01003761,0.01253399,9.089901,5.354218E-5,514447.2,514447.2
2.700886E-10,14.84687,-5.515045E14,2037.095,2037.095,7.990905E-4,1.0,0.9264066,0.002760862,1.011582E-6,0.002113527,4.947137E-8,1.497567E-4,1.135547E-4,6.296316E-6,9.628547E-9,4.03514E-8,9.805182E-7,1.171387E-4,9.660758E-4,3.243602E-4,1.61308E-8,1.111958E-5,3.198599E-8,2.828054E-13,1.469987E-4,2.009468E-6,0.006378327,0.006790208,0.004293778,0.001635675,1.100014E-4,2.267114E-4,8.450706E-5,3.871313E-9,1.81827E-9,2.600156E-12,6.65554E-8,1.341869E-13,1.639436E-11,5.061575E-16,6.821775E-8,9.071635E-5,1.671936E-9,5.372768E-7,4.896281E-5,3.295427E-4,0.02079799,1.441935E-6,0.007764781,6.998346E-7,3.667521E-20,1.040348E-22,1.866576E-13,2.183093E-25,0.009580972,0.00853334,8.996853,5.382217E-5,509181.1,509181.1
7.251688E-10,14.73208,-2.367313E14,1995.073,1995.073,7.990905E-4,1.0,0.9143832,0.004500044,5.085231E-6,0.003607355,3.30445E-7,3.402838E-4,2.724488E-4,2.606074E-5,1.101852E-7,3.56215E-7,5.486209E-6,2.524155E-4,0.001779368,6.527766E-4,8.164547E-8,5.191027E-5,2.094828E-7,8.718811E-12,3.131818E-4,9.561728E-6,0.01123847,0.009531598,0.006877476,0.003438644,2.400677E-4,3.154291E-4,3.009299E-4,6.51364E-8,1.286965E-8,1.333864E-11,3.331696E-7,4.894778E-12,4.656826E-10,9.621909E-15,5.108642E-7,1.848969E-4,1.716219E-8,2.960361E-6,1.038274E-4,1.250207E-4,0.02064551,7.124991E-6,0.007660436,2.792033E-6,3.127717E-18,3.707875E-20,2.384192E-12,3.19421E-23,0.008808394,0.004150814,8.879917,5.424153E-5,502563.0,502563.0
1.613296E-9,14.62256,-1.090314E14,1958.864,1958.864,7.990905E-4,1.0,0.9045532,0.005883198,1.576616E-5,0.004923483,1.314514E-6,5.922707E-4,5.113607E-4,6.375888E-5,6.478926E-7,1.731573E-6,1.816454E-5,4.09963E-4,0.002747226,0.001073538,3.369199E-7,1.602881E-4,8.131739E-7,1.016005E-10,5.06193E-4,2.821111E-5,0.01434543,0.01165963,0.008514987,0.00576572,4.007785E-4,3.258219E-4,6.761298E-4,4.543729E-7,4.891895E-8,5.68893E-11,1.055592E-6,7.396388E-11,4.640239E-9,9.406517E-14,2.047524E-6,2.819514E-4,8.724427E-8,9.035293E-6,1.69272E-4,3.877835E-5,0.01906875,2.116883E-5,0.007569326,7.893791E-6,1.034168E-16,3.023918E-18,1.608843E-11,1.416569E-21,0.00789257,0.001593954,8.784055,5.464779E-5,497137.7,497137.7
2.875628E-9,14.53654,-6.435919E13,1931.877,1931.877,7.990905E-4,1.0,0.8974321,0.006878046,3.404996E-5,0.006158275,3.387588E-6,8.485655E-4,7.951382E-4,1.100853E-4,2.116043E-6,5.02009E-6,3.946198E-5,5.444623E-4,0.003820902,0.001482782,1.068177E-6,3.401793E-4,2.045068E-6,5.311199E-10,6.689707E-4,5.690771E-5,0.0157833,0.01283443,0.009373485,0.007943452,5.531329E-4,2.95311E-4,0.001081971,1.576982E-6,1.147959E-7,1.901204E-10,2.300437E-6,4.609733E-10,2.048386E-8,4.99717E-13,5.10195E-6,3.552606E-4,2.607094E-7,1.830549E-5,2.290466E-4,1.238378E-5,0.01692583,4.193406E-5,0.007495755,1.606766E-5,1.331854E-15,6.112545E-17,5.998051E-11,1.981514E-20,0.007033839,5.898094E-4,8.7143,5.497116E-5,493189.9,493189.9
3.690357E-9,14.49735,-5.220534E13,1919.658,1919.658,7.990905E-4,1.0,0.8942066,0.007328503,4.735499E-5,0.006868002,5.054469E-6,9.800224E-4,9.625397E-4,1.371738E-4,3.461748E-6,7.809571E-6,5.380684E-5,6.030903E-4,0.004451259,0.001685495,1.807219E-6,4.624856E-4,3.022873E-6,1.063026E-9,7.383589E-4,7.566408E-5,0.01616185,0.0132001,0.009700698,0.008975932,6.277364E-4,2.76106E-4,0.001289104,2.603659E-6,1.620874E-7,3.327571E-10,3.191695E-6,9.82936E-10,3.737583E-8,1.049927E-12,7.461836E-6,3.846251E-4,4.141048E-7,2.431446E-5,2.574971E-4,6.932916E-6,0.01576802,5.491434E-5,0.007459286,2.16575E-5,4.107316E-15,2.145774E-16,1.045739E-10,6.084375E-20,0.006609868,3.481622E-4,8.682588,5.511975E-5,491395.1,491395.1
