Time_Soln#28 (sec),Volume_Soln#28 (cm3),Volumetric_heat_production_rate_Soln#28 (erg/cm3-sec),Surface_temperature_Soln#28 (K),Temperature_Soln#28 (K),Mass_Soln#28 (g),Pressure_Soln#28 (atm),Mole_fraction_H2_Soln#28 (),Mole_fraction_H_Soln#28 (),Mole_fraction_CH4_Soln#28 (),Mole_fraction_CH3_Soln#28 (),Mole_fraction_CH2_Soln#28 (),Mole_fraction_C2H6_Soln#28 (),Mole_fraction_C2H5_Soln#28 (),Mole_fraction_C2H4_Soln#28 (),Mole_fraction_C2H3_Soln#28 (),Mole_fraction_C2H2_Soln#28 (),Mole_fraction_C3H8_Soln#28 (),Mole_fraction_IC3H7_Soln#28 (),Mole_fraction_NC3H7_Soln#28 (),Mole_fraction_C3H6_Soln#28 (),Mole_fraction_C3H5-A_Soln#28 (),Mole_fraction_C3H5-T_Soln#28 (),Mole_fraction_C3H4-P_Soln#28 (),Mole_fraction_C3H4-A_Soln#28 (),Mole_fraction_C3H3_Soln#28 (),Mole_fraction_C3H2_Soln#28 (),Mole_fraction_PC4H9_Soln#28 (),Mole_fraction_IC4H10_Soln#28 (),Mole_fraction_IC4H9_Soln#28 (),Mole_fraction_TC4H9_Soln#28 (),Mole_fraction_IC4H8_Soln#28 (),Mole_fraction_IC4H7_Soln#28 (),Mole_fraction_C4H8-1_Soln#28 (),Mole_fraction_C4H71-3_Soln#28 (),Mole_fraction_C4H6_Soln#28 (),Mole_fraction_C4H5_Soln#28 (),Mole_fraction_C4H4_Soln#28 (),Mole_fraction_C4H2_Soln#28 (),Mole_fraction_C6H6_Soln#28 (),Mole_fraction_C10H8_Soln#28 (),Mole_fraction_NEOC5H11_Soln#28 (),Mole_fraction_NC5H10_Soln#28 (),Mole_fraction_NC6H12_Soln#28 (),Mole_fraction_NC7H14_Soln#28 (),Mole_fraction_IC8H17_Soln#28 (),Mole_fraction_IC8H16_Soln#28 (),Mole_fraction_C7H8_Soln#28 (),Mole_fraction_C7H7_Soln#28 (),Mole_fraction_CH3C6H4_Soln#28 (),Mole_fraction_C6H5C2H_Soln#28 (),Mole_fraction_INDENYL_Soln#28 (),Mole_fraction_C12H8_Soln#28 (),Mole_fraction_C14H10_Soln#28 (),Mole_fraction_BIN1B_Soln#28 (),Mole_fraction_NC10H20_Soln#28 (),Mole_fraction_IC12H26_Soln#28 (),Molecular_weight_Soln#28 (g/mole),Mass_density_Soln#28 (g/cm3),Unburned_hydrocarbons_Soln#28 (ppm),Volatile_organic_compounds_Soln#28 (ppm)
0.0,15.0,-7.29231E15,2350.0,2350.0,7.140809E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,4.760539E-5,519545.7,519545.7
4.981817E-15,14.99997,-7.292868E15,2349.99,2349.99,7.140809E-4,1.0,0.9452565,3.297589E-10,1.409521E-18,1.362361E-10,1.180067E-22,2.763936E-20,3.712588E-12,2.896132E-12,4.401138E-14,4.659944E-18,1.505849E-20,1.22485E-18,3.266389E-12,7.36232E-11,5.235199E-8,3.319932E-19,1.347076E-17,1.526017E-13,2.002422E-19,2.901892E-30,4.525087E-12,7.051042E-15,3.185068E-10,2.361285E-6,1.023241E-9,2.388889E-7,3.091113E-12,5.234979E-8,1.604257E-12,4.641918E-22,5.115808E-20,2.05795E-20,1.125078E-19,8.557194E-32,6.71634E-11,2.895376E-12,7.966681E-13,1.714372E-12,2.121572E-6,0.01921524,0.007923911,9.409838E-12,5.125756E-12,1.603025E-38,3.936768E-41,6.408485E-52,9.502361E-23,1.415562E-43,0.01043304,0.01716635,9.179965,4.760549E-5,519544.4,519544.4
8.003954E-13,14.99543,-7.363313E15,2348.318,2348.318,7.140809E-4,1.0,0.9448703,7.668681E-6,5.225747E-12,3.333762E-6,4.35908E-16,1.047862E-13,9.34128E-8,7.278716E-8,1.169617E-9,1.376201E-13,5.701127E-14,4.626317E-12,8.199838E-8,1.796229E-6,8.355111E-6,3.092866E-13,8.238754E-13,3.88577E-9,5.92643E-13,1.169143E-21,1.133844E-7,1.84557E-10,7.893449E-6,3.734443E-4,8.622175E-6,3.81237E-5,7.757305E-8,8.2997E-6,4.064474E-8,1.771483E-15,4.299927E-14,5.239702E-16,3.434408E-13,3.351874E-23,1.610335E-6,7.263091E-8,1.995392E-8,4.292466E-8,3.154287E-4,0.01917945,0.007920671,1.511897E-9,8.201673E-10,1.03043E-29,2.830473E-30,1.810563E-37,2.43232E-18,7.566933E-35,0.01041218,0.01682591,9.176214,4.76199E-5,519332.1,519332.1
1.051658E-11,14.95652,-6.686832E15,2328.352,2328.352,7.140809E-4,1.0,0.9392743,7.254633E-4,7.777444E-9,3.444435E-4,8.859438E-13,1.919763E-10,1.257623E-5,9.690362E-6,2.502097E-7,5.774368E-11,1.115001E-10,8.094665E-9,1.077599E-5,1.763805E-4,1.013049E-4,4.409776E-10,6.979845E-10,6.025267E-7,9.746496E-10,1.201667E-16,1.46118E-5,3.526195E-8,9.110077E-4,0.003946612,8.355071E-4,4.69289E-4,1.016014E-5,9.35234E-5,5.926571E-6,6.122878E-12,7.368845E-11,8.080725E-14,4.907055E-10,7.496785E-19,1.261974E-4,9.45105E-6,2.559329E-6,5.484101E-6,0.001760288,0.01956511,0.007873724,2.37599E-8,1.319768E-8,6.860476E-25,1.0856E-24,9.446142E-30,4.631599E-16,2.350022E-30,0.01016467,0.01339818,9.121867,4.77438E-5,516256.3,516256.3
3.237172E-11,14.90683,-4.185456E15,2294.948,2294.948,7.140809E-4,1.0,0.9288851,0.002593794,1.113211E-7,0.001411985,2.59023E-11,3.726249E-9,7.422367E-5,5.644602E-5,2.460652E-6,1.08367E-9,2.669015E-9,1.446098E-7,6.127975E-5,6.757077E-4,2.688925E-4,6.203677E-9,8.146615E-9,4.692269E-6,1.644724E-8,2.187536E-14,8.076634E-5,3.193486E-7,0.004314732,0.007650096,0.003148482,0.001308856,5.750615E-5,2.178192E-4,4.095133E-5,3.221731E-10,1.325883E-9,6.226672E-13,6.596595E-9,4.078019E-17,2.816837E-4,5.24819E-5,1.401345E-5,2.984728E-5,0.001323418,0.0208904,0.007786473,1.149456E-7,6.886249E-8,1.250673E-22,3.628564E-22,2.023799E-26,6.427515E-15,3.223789E-28,0.009717326,0.008803748,9.020967,4.790293E-5,510545.8,510545.8
8.48132E-11,14.83616,-1.872665E15,2253.277,2253.277,7.140809E-4,1.0,0.9163655,0.004733157,6.941187E-7,0.002916102,3.006229E-10,3.354321E-8,2.32868E-4,1.762048E-4,1.313474E-5,1.2471E-8,3.075416E-8,1.160648E-6,1.832812E-4,0.001364255,5.628922E-4,3.831026E-8,4.184713E-8,2.364818E-5,1.335331E-7,9.343906E-13,2.35E-4,1.673838E-6,0.0101323,0.009880772,0.005963072,0.002921355,1.712939E-4,3.624917E-4,1.690696E-4,6.523207E-9,1.127456E-8,3.194249E-12,3.869854E-8,9.026828E-16,1.747032E-4,1.485224E-4,3.999752E-5,8.468145E-5,5.07069E-4,0.02154491,0.007680878,4.694883E-7,2.91447E-7,1.065882E-20,5.30834E-20,1.005818E-23,7.003242E-14,2.940157E-26,0.009007388,0.004163718,8.899356,4.813112E-5,503663.2,503663.2
1.921979E-10,14.75801,-8.028847E14,2216.458,2216.458,7.140809E-4,1.0,0.9061712,0.006274611,2.42819E-6,0.004010803,1.49494E-9,1.668407E-7,4.815432E-4,3.675134E-4,4.141374E-5,8.561005E-8,1.832835E-7,5.150711E-6,3.606365E-4,0.002013687,9.935633E-4,1.358984E-7,1.353938E-7,8.451647E-5,6.495868E-7,1.452751E-11,4.573296E-4,5.555361E-6,0.0149166,0.01131144,0.007699533,0.005353409,3.370443E-4,4.5638E-4,4.667831E-4,5.748735E-8,5.564044E-8,1.26314E-11,1.33896E-7,1.026581E-14,4.542132E-5,2.654648E-4,7.542525E-5,1.592122E-4,1.348748E-4,0.02027997,0.007593727,1.401407E-6,8.707217E-7,4.1667E-19,3.037805E-18,1.264987E-21,4.909942E-13,1.28307E-24,0.008086335,0.001351077,8.800293,4.838599E-5,498056.7,498056.7
3.558731E-10,14.68924,-4.480833E14,2189.013,2189.013,7.140809E-4,1.0,0.8991506,0.007241437,5.45808E-6,0.004630693,3.995714E-9,4.980402E-7,7.650208E-4,5.89469E-4,8.391382E-5,3.263385E-7,6.109361E-7,1.397363E-5,5.461837E-4,0.002555822,0.001479014,3.145872E-7,3.222085E-7,2.08637E-4,1.937224E-6,9.521886E-11,6.925571E-4,1.230971E-5,0.01752583,0.01255383,0.008321529,0.007980676,5.124635E-4,4.662463E-4,8.897032E-4,2.4466E-7,1.64823E-7,3.733165E-11,3.077629E-7,5.908336E-14,9.928301E-6,3.583044E-4,1.099858E-4,2.320853E-4,3.080182E-5,0.01783933,0.007531997,2.995899E-6,1.842785E-6,6.133835E-18,5.605119E-17,3.762675E-20,1.979679E-12,1.992936E-23,0.007133954,3.552932E-4,8.732018,4.861253E-5,494192.7,494192.7
6.271062E-10,14.61482,-2.849063E14,2161.739,2161.739,7.140809E-4,1.0,0.8924839,0.008143591,1.085833E-5,0.005268669,9.044293E-9,1.282065E-6,0.001118205,8.700022E-4,1.435377E-4,1.020427E-6,1.719211E-6,3.240821E-5,7.5486E-4,0.003166211,0.002070799,6.499731E-7,7.62871E-7,4.549079E-4,4.873416E-6,4.821056E-10,9.621696E-4,2.408491E-5,0.01942871,0.01377728,0.008562846,0.01088872,7.146409E-4,4.181143E-4,0.001456394,8.214901E-7,4.05594E-7,1.075749E-10,6.325532E-7,2.8251E-13,1.735896E-6,4.26862E-4,1.454432E-4,3.073352E-4,4.642925E-6,0.01463161,0.007471048,5.827259E-6,3.529074E-6,7.012945E-17,7.458654E-16,7.266208E-19,6.817875E-12,2.319942E-22,0.006039236,6.033187E-5,8.667131,4.886005E-5,490520.3,490520.3
9.217214E-10,14.5571,-2.105808E14,2141.202,2141.202,7.140809E-4,1.0,0.8875244,0.008834525,1.714117E-5,0.005891648,1.564456E-8,2.368646E-6,0.00140765,0.001107296,1.954856E-4,2.1095E-6,3.369365E-6,5.496139E-5,9.07658E-4,0.003683459,0.002545161,1.055125E-6,1.454398E-6,7.448465E-4,8.669664E-6,1.377266E-9,0.001164767,3.706223E-5,0.02055915,0.01461243,0.008680686,0.01294731,8.689004E-4,3.629192E-4,0.001922043,1.763725E-6,7.026214E-7,2.291102E-10,1.019328E-6,8.025464E-13,6.183479E-7,4.514397E-4,1.686581E-4,3.571149E-4,9.550362E-7,0.01215407,0.007423749,9.058753E-6,5.408536E-6,3.637204E-16,4.127201E-15,5.026885E-18,1.551626E-11,1.199538E-21,0.005197398,1.23958E-5,8.618828,4.905379E-5,487786.6,487786.6
