Time_Soln#8 (sec),Volume_Soln#8 (cm3),Volumetric_heat_production_rate_Soln#8 (erg/cm3-sec),Surface_temperature_Soln#8 (K),Temperature_Soln#8 (K),Mass_Soln#8 (g),Pressure_Soln#8 (atm),Mole_fraction_H2_Soln#8 (),Mole_fraction_H_Soln#8 (),Mole_fraction_CH4_Soln#8 (),Mole_fraction_CH3_Soln#8 (),Mole_fraction_C2H6_Soln#8 (),Mole_fraction_C2H5_Soln#8 (),Mole_fraction_C2H4_Soln#8 (),Mole_fraction_C2H2_Soln#8 (),Mole_fraction_C3H8_Soln#8 (),Mole_fraction_C3H6_Soln#8 (),Mole_fraction_C3H5-A_Soln#8 (),Mole_fraction_C3H4-P_Soln#8 (),Mole_fraction_C3H4-A_Soln#8 (),Mole_fraction_NC4H10_Soln#8 (),Mole_fraction_IC4H10_Soln#8 (),Mole_fraction_IC4H9_Soln#8 (),Mole_fraction_TC4H9_Soln#8 (),Mole_fraction_IC4H8_Soln#8 (),Mole_fraction_IC4H7_Soln#8 (),Mole_fraction_C4H8-1_Soln#8 (),Mole_fraction_C4H8-2_Soln#8 (),Mole_fraction_C4H71-3_Soln#8 (),Mole_fraction_C4H6_Soln#8 (),Mole_fraction_C4H4_Soln#8 (),Mole_fraction_C4H2_Soln#8 (),Mole_fraction_C6H6_Soln#8 (),Mole_fraction_FULVENE_Soln#8 (),Mole_fraction_C5H6_Soln#8 (),Mole_fraction_C5H5_Soln#8 (),Mole_fraction_MCPTD_Soln#8 (),Mole_fraction_C10H8_Soln#8 (),Mole_fraction_NEOC5H12_Soln#8 (),Mole_fraction_NC5H10_Soln#8 (),Mole_fraction_B1M2_Soln#8 (),Mole_fraction_B1M3_Soln#8 (),Mole_fraction_B2M2_Soln#8 (),Mole_fraction_LC5H8_Soln#8 (),Mole_fraction_CYC6H10_Soln#8 (),Mole_fraction_NC6H12_Soln#8 (),Mole_fraction_NC7H14_Soln#8 (),Mole_fraction_IC8H16_Soln#8 (),Mole_fraction_DIMEPTD_Soln#8 (),Mole_fraction_C7H8_Soln#8 (),Mole_fraction_C7H7_Soln#8 (),Mole_fraction_C6H5C2H3_Soln#8 (),Mole_fraction_C6H5C2H5_Soln#8 (),Mole_fraction_XYLENE_Soln#8 (),Mole_fraction_INDENE_Soln#8 (),Mole_fraction_NC10H20_Soln#8 (),Mole_fraction_IC12H26_Soln#8 (),Molecular_weight_Soln#8 (g/mole),Mass_density_Soln#8 (g/cm3),Unburned_hydrocarbons_Soln#8 (ppm),Volatile_organic_compounds_Soln#8 (ppm)
0.0,15.0,-7.154767E10,1350.0,1350.0,0.00124303,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,8.286864E-5,519545.7,519545.7
1.000183E-10,14.99999,-7.32364E10,1349.999,1349.999,0.00124303,1.0,0.9452586,1.415109E-9,3.885658E-14,2.125249E-9,1.737346E-15,1.38561E-10,1.063782E-10,9.479799E-17,7.107891E-16,1.268247E-9,1.152835E-8,2.671117E-16,1.072709E-13,5.242849E-16,7.844039E-13,2.427684E-9,2.593572E-7,1.530346E-8,6.164782E-8,1.149328E-10,8.347653E-15,1.152686E-8,1.282816E-12,2.665659E-21,2.564532E-21,6.267445E-15,1.296641E-26,3.448508E-24,9.649762E-27,8.226339E-21,2.163605E-27,5.351107E-19,7.352031E-11,9.890257E-21,2.797027E-20,2.19935E-23,4.294459E-16,9.58716E-24,2.955249E-11,2.976935E-11,0.01921546,6.390851E-14,0.007923928,1.787368E-11,1.524206E-26,1.117006E-18,3.101403E-18,2.031802E-29,0.01043315,0.01716832,9.179985,8.28687E-5,519545.5,519545.5
2.020996E-9,14.99978,-8.850597E10,1349.969,1349.969,0.00124303,1.0,0.9452511,3.422122E-7,2.357644E-10,5.857665E-7,1.214237E-11,4.564607E-8,3.457092E-8,4.763336E-14,4.745088E-12,3.319071E-7,2.328968E-7,1.10076E-13,2.008647E-10,3.364434E-12,4.087465E-10,6.422585E-7,5.688668E-6,1.559205E-6,1.245419E-6,3.564615E-8,3.580069E-12,2.322934E-7,5.630029E-10,1.658894E-18,1.044464E-18,3.363708E-11,1.468076E-21,5.383253E-19,2.20054E-20,9.242258E-16,2.509553E-22,6.916566E-14,2.233391E-8,1.234413E-15,3.350084E-15,1.258033E-17,4.025583E-11,1.102344E-18,8.826166E-9,8.937884E-9,0.01921472,3.402573E-10,0.007923864,4.594781E-10,2.148342E-21,7.804076E-15,1.88257E-14,1.515721E-23,0.01043262,0.01716443,9.179912,8.286987E-5,519541.4,519541.4
6.873991E-9,14.99923,-9.407673E10,1349.885,1349.885,0.00124303,1.0,0.9452273,1.81501E-6,5.611223E-9,3.692059E-6,3.391862E-10,3.388015E-7,2.613647E-7,8.268293E-13,1.226485E-10,2.006311E-6,7.929479E-7,1.291736E-12,3.865763E-9,8.13103E-11,5.67321E-9,4.020733E-6,1.922847E-5,8.211258E-6,4.235093E-6,2.415117E-7,4.449004E-11,7.860354E-7,8.080476E-9,4.573032E-17,1.227462E-17,6.930553E-10,1.258021E-19,1.703726E-16,6.115898E-18,7.080119E-14,1.946887E-20,5.518741E-12,1.473574E-7,1.003544E-13,2.629662E-13,1.63186E-15,2.052795E-9,8.296478E-17,5.668376E-8,5.948845E-8,0.01921385,7.02092E-9,0.007923661,3.263395E-9,2.13302E-19,2.176437E-13,4.484991E-13,1.119026E-20,0.01043122,0.01715452,9.179681,8.287292E-5,519528.3,519528.3
2.062414E-8,14.99762,-9.847829E10,1349.637,1349.637,0.00124303,1.0,0.9451551,6.441169E-6,7.608348E-8,1.58575E-5,4.989418E-9,1.488418E-6,1.30276E-6,1.532282E-11,1.591768E-9,9.303491E-6,2.396002E-6,1.21684E-11,4.337899E-8,9.582508E-10,5.72247E-8,1.726005E-5,5.139607E-5,2.911495E-5,1.270201E-5,9.412435E-7,4.407261E-10,2.335226E-6,8.933555E-8,1.489973E-15,1.389124E-16,7.916207E-9,8.01904E-18,3.041318E-14,7.003242E-16,2.57109E-12,7.699423E-19,2.021395E-10,5.659429E-7,4.072569E-12,1.040316E-11,8.004418E-14,3.545835E-8,3.432721E-15,2.104361E-7,2.52958E-7,0.0192114,8.037246E-8,0.007923018,2.697329E-8,1.037167E-17,3.201951E-12,6.099104E-12,3.734276E-18,0.01042707,0.01712639,9.178976,8.288179E-5,519488.5,519488.5
7.303649E-8,14.99129,-1.098926E11,1348.611,1348.611,0.00124303,1.0,0.94484,2.59467E-5,1.546765E-6,9.58191E-5,9.672004E-8,7.322981E-6,8.835749E-6,6.473687E-10,2.426547E-8,7.05636E-5,8.764688E-6,2.196744E-10,6.306522E-7,1.190643E-8,7.272344E-7,6.4644E-5,1.367776E-4,1.176005E-4,4.49376E-5,3.907452E-6,7.064566E-9,8.052047E-6,1.267644E-6,2.133501E-13,6.847394E-15,1.158387E-7,1.957706E-15,7.730251E-12,1.322191E-13,1.34755E-10,6.82144E-17,1.151023E-8,2.355909E-6,2.996048E-10,7.393687E-10,6.658906E-12,6.084454E-7,3.046387E-13,8.01635E-7,1.507322E-6,0.01919935,1.181708E-6,0.007919844,3.54645E-7,9.552998E-16,6.798365E-11,1.25867E-10,2.511928E-15,0.0104087,0.01701857,9.175871,8.29168E-5,519312.7,519312.7
2.555091E-7,14.96921,-1.200407E11,1344.601,1344.601,0.00124303,1.0,0.943468,8.594782E-5,3.391589E-5,5.917183E-4,2.597236E-6,3.220087E-5,6.6438E-5,3.198044E-8,5.219976E-7,5.196871E-4,3.322863E-5,1.173293E-8,8.026405E-6,1.744228E-7,6.794759E-6,1.300078E-4,2.511272E-4,4.912568E-4,1.560573E-4,1.797941E-5,1.497199E-7,2.612448E-5,1.550258E-5,8.227065E-11,6.148476E-13,1.469011E-6,7.438122E-13,1.322646E-9,2.035632E-11,5.884893E-9,1.180411E-14,5.237471E-7,1.090992E-5,2.33588E-8,5.378271E-8,6.007255E-10,8.11634E-6,2.81326E-11,2.885524E-6,1.218366E-5,0.01912904,1.51023E-5,0.007902059,4.356439E-6,3.217868E-13,4.119359E-9,3.084826E-9,1.191145E-12,0.01031647,0.01664159,9.16208,8.30391E-5,518532.2,518532.2
7.679854E-7,14.92278,-9.185083E10,1334.292,1334.292,0.00124303,1.0,0.9393128,1.592793E-4,3.973182E-4,0.001967937,6.37386E-5,7.870142E-5,3.721376E-4,9.037669E-7,1.076879E-5,0.002102058,9.033311E-5,4.66496E-7,5.517276E-5,2.515094E-6,3.183289E-5,1.294373E-4,2.521386E-4,0.001663602,4.440971E-4,8.590467E-5,2.08678E-6,5.982824E-5,1.060677E-4,1.135605E-8,1.512589E-11,1.009209E-5,9.781747E-11,6.341465E-8,1.19164E-9,1.124743E-7,1.365726E-12,7.331816E-6,4.627812E-5,7.790659E-7,1.528489E-6,2.30844E-8,5.573341E-5,1.109252E-9,8.481883E-6,7.122171E-5,0.01881475,1.026373E-4,0.007832362,2.76733E-5,1.064526E-10,2.676797E-7,4.952421E-8,1.208282E-10,0.009942597,0.01565663,9.120124,8.329745E-5,516157.7,516157.7
1.347967E-6,14.89858,-6.173147E10,1326.095,1326.095,0.00124303,1.0,0.9351323,1.797586E-4,0.001126618,0.002754488,2.586607E-4,9.195592E-5,8.101391E-4,3.876345E-6,3.861038E-5,0.003701916,1.12291E-4,2.359657E-6,1.249401E-4,7.983231E-6,5.902428E-5,1.107206E-4,2.200147E-4,0.002918951,7.22023E-4,1.988092E-4,6.644951E-6,7.660318E-5,2.384173E-4,9.926413E-8,5.472588E-11,2.336286E-5,8.739746E-10,3.304315E-7,7.325067E-9,4.084932E-7,1.347132E-11,1.985494E-5,9.27939E-5,3.555281E-6,5.942734E-6,1.125045E-7,1.250083E-4,5.879294E-9,1.399131E-5,1.520698E-4,0.01839857,2.294525E-4,0.007753158,5.655882E-5,1.476787E-9,1.637287E-6,1.661626E-7,8.488398E-10,0.009476245,0.0147072,9.078819,8.343274E-5,513820.0,513820.0
1.36333E-6,14.89824,-6.112266E10,1325.919,1325.919,0.00124303,1.0,0.93503,1.798995E-4,0.001148333,0.002766481,2.652382E-4,9.204417E-5,8.220764E-4,3.980381E-6,3.949035E-5,0.003741032,1.124577E-4,2.432073E-6,1.268425E-4,8.150138E-6,5.969802E-5,1.102979E-4,2.192782E-4,0.002950496,7.287747E-4,2.020424E-4,6.789143E-6,7.686638E-5,2.419892E-4,1.033781E-7,5.621747E-11,2.373612E-5,9.107881E-10,3.407331E-7,7.579818E-9,4.185633E-7,1.408087E-11,2.020752E-5,9.402756E-5,3.656515E-6,6.088371E-6,1.158589E-7,1.268824E-4,6.068275E-9,1.412562E-5,1.542046E-4,0.01838742,2.328732E-4,0.00775118,5.726264E-5,1.55168E-9,1.692236E-6,1.698513E-7,8.80234E-10,0.009464076,0.01468414,9.077822,8.343467E-5,513763.6,513763.6
