Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H6_Soln#15 (),Mole_fraction_C2H5_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H3_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C3H8_Soln#15 (),Mole_fraction_NC3H7_Soln#15 (),Mole_fraction_C3H6_Soln#15 (),Mole_fraction_C3H5-A_Soln#15 (),Mole_fraction_C3H4-P_Soln#15 (),Mole_fraction_C3H4-A_Soln#15 (),Mole_fraction_C3H3_Soln#15 (),Mole_fraction_PC4H9_Soln#15 (),Mole_fraction_IC4H10_Soln#15 (),Mole_fraction_IC4H9_Soln#15 (),Mole_fraction_TC4H9_Soln#15 (),Mole_fraction_IC4H8_Soln#15 (),Mole_fraction_IC4H7_Soln#15 (),Mole_fraction_C4H8-1_Soln#15 (),Mole_fraction_C4H8-2_Soln#15 (),Mole_fraction_C4H71-3_Soln#15 (),Mole_fraction_C4H6_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_FULVENE_Soln#15 (),Mole_fraction_C5H6_Soln#15 (),Mole_fraction_C5H5_Soln#15 (),Mole_fraction_MCPTD_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_NEOC5H12_Soln#15 (),Mole_fraction_NC5H10_Soln#15 (),Mole_fraction_B1M2_Soln#15 (),Mole_fraction_LC5H8_Soln#15 (),Mole_fraction_NC7H14_Soln#15 (),Mole_fraction_IC8H16_Soln#15 (),Mole_fraction_DIMEPTD_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_C6H5C2H5_Soln#15 (),Mole_fraction_C12H8_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_NC10H20_Soln#15 (),Mole_fraction_IC12H26_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
0.0,15.0,-1.913519E13,1700.0,1700.0,9.871118E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.580745E-5,519545.7,519545.7
1.573144E-12,14.99996,-1.922931E13,1699.993,1699.993,9.871118E-4,1.0,0.9452574,2.570278E-9,1.729908E-15,2.03632E-9,5.439433E-17,8.684804E-11,6.690058E-11,2.007443E-13,1.385646E-16,2.450311E-17,7.637707E-11,1.148861E-9,4.551384E-8,4.016401E-16,4.016688E-13,3.849452E-18,1.057631E-10,2.577153E-13,2.935776E-9,1.40334E-6,1.032644E-8,2.254051E-7,7.227516E-11,3.499443E-15,4.550812E-8,4.77685E-12,1.730096E-19,1.020362E-19,2.401122E-16,1.537582E-26,5.05082E-25,9.429631E-28,2.880899E-21,1.477406E-28,4.981871E-20,5.252527E-11,6.143145E-22,4.796385E-18,2.760597E-11,0.01921528,3.586123E-15,0.007923918,1.196439E-10,1.201436E-33,3.17533E-27,3.195441E-20,8.30119E-44,1.85442E-21,0.01043307,0.01716731,9.179974,6.580761E-5,519544.9,519544.9
5.130047E-11,14.99882,-2.152088E13,1699.767,1699.767,9.871118E-4,1.0,0.9452039,2.195816E-6,5.060918E-11,1.883977E-6,1.682968E-12,8.638599E-8,6.601502E-8,2.180842E-10,1.606645E-13,7.519744E-13,7.502227E-8,1.040646E-6,1.481857E-6,4.564904E-13,4.675835E-10,9.907057E-14,1.025896E-7,3.051953E-10,2.770163E-6,4.698969E-5,4.868287E-6,7.338733E-6,7.089623E-8,3.782521E-12,1.475816E-6,5.058502E-9,3.238249E-16,1.081502E-16,5.935295E-12,1.222728E-20,4.461191E-19,1.617761E-20,1.944209E-15,1.070541E-22,4.49564E-14,5.146297E-8,5.752648E-16,3.080188E-12,2.679729E-8,0.01921047,8.701177E-11,0.007923466,3.924157E-9,1.270391E-27,2.77464E-21,9.888488E-16,1.151682E-33,2.721921E-18,0.0104296,0.01712926,9.179454,6.581265E-5,519515.5,519515.5
2.677717E-10,14.99392,-2.444696E13,1698.635,1698.635,9.871118E-4,1.0,0.9448831,3.29574E-5,4.964205E-9,3.197702E-5,1.955282E-10,1.793534E-6,1.341108E-6,6.416963E-9,6.060602E-12,8.632794E-11,1.494054E-6,1.639364E-5,7.676376E-6,1.438234E-11,1.52909E-8,8.902908E-12,1.957712E-6,1.053663E-8,5.119851E-5,2.457493E-4,7.455128E-5,3.803826E-5,1.406637E-6,1.114801E-10,7.516492E-6,1.360527E-7,2.519016E-14,2.903497E-15,5.288341E-10,5.752199E-18,3.281103E-16,4.425691E-17,9.676014E-13,5.444575E-20,2.283412E-11,1.016881E-6,3.26263E-13,1.240377E-9,5.140613E-7,0.01922104,7.749968E-9,0.007920755,2.267744E-8,1.226231E-24,1.68726E-18,1.144917E-13,9.593949E-29,4.329572E-16,0.01041366,0.01696444,9.176338,6.583413E-5,519339.1,519339.1
6.535884E-10,14.98537,-2.433649E13,1696.533,1696.533,9.871118E-4,1.0,0.9442523,1.01464E-4,4.583918E-8,1.105576E-4,2.095067E-9,7.135294E-6,5.293126E-6,4.176542E-8,5.603423E-11,9.359454E-10,5.694474E-6,5.339812E-5,1.848054E-5,9.275559E-11,9.893992E-8,7.560073E-11,7.147108E-6,7.275142E-8,2.00944E-4,5.465487E-4,2.382486E-4,9.169336E-5,5.357008E-6,7.43226E-10,1.75758E-5,7.912999E-7,3.144943E-13,1.687178E-14,4.422826E-9,1.285442E-16,1.912636E-14,2.445141E-15,2.081619E-11,1.227187E-18,4.730939E-10,3.85448E-6,7.634019E-12,1.917966E-8,1.902881E-6,0.01925877,6.486796E-8,0.007915407,6.935775E-8,6.29745E-23,4.438223E-17,1.216143E-12,3.99416E-26,8.615222E-15,0.01038498,0.01667951,9.17021,6.587168E-5,518992.3,518992.3
1.59091E-9,14.96548,-2.261871E13,1691.641,1691.641,9.871118E-4,1.0,0.9427827,2.626786E-4,3.434931E-7,3.143654E-4,1.782769E-8,2.184259E-5,1.672771E-5,2.692591E-7,6.515666E-10,8.449809E-9,1.657866E-5,1.5065E-4,4.356719E-5,5.777809E-10,5.948667E-7,5.352886E-10,1.99994E-5,4.776993E-7,6.579349E-4,0.00109795,6.30229E-4,2.166847E-4,1.57398E-5,5.223329E-9,3.878779E-5,4.350617E-6,3.888972E-12,9.590407E-14,3.015372E-8,3.1385E-15,1.079311E-12,1.044658E-13,3.500106E-10,2.362421E-17,7.231291E-9,1.125394E-5,1.384678E-10,1.849739E-7,5.546397E-6,0.01934047,4.426965E-7,0.007902814,2.553711E-7,4.016966E-21,9.245296E-16,1.017015E-11,1.539885E-23,1.465682E-13,0.010318,0.01603714,9.155921,6.595925E-5,518183.7,518183.7
4.402875E-9,14.91375,-1.830983E13,1678.961,1678.961,9.871118E-4,1.0,0.9389736,6.87529E-4,2.877522E-6,9.154178E-4,1.692984E-7,6.426986E-5,5.591867E-5,1.946427E-6,1.220874E-8,9.279085E-8,4.453158E-5,4.850492E-4,1.106568E-4,4.957893E-9,4.176047E-6,4.576406E-9,5.122964E-5,3.662399E-6,0.001884793,0.002274872,0.001637155,5.532442E-4,4.398149E-5,5.13665E-8,8.306887E-5,2.64004E-5,6.048805E-11,7.533717E-13,2.320429E-7,2.009484E-13,7.219233E-11,5.776794E-12,6.858385E-9,6.732337E-16,1.28106E-7,3.107875E-5,3.026717E-9,1.64984E-6,1.615429E-5,0.01950269,3.404719E-6,0.007869119,1.361939E-6,5.448144E-19,2.468396E-14,9.498746E-11,1.276787E-20,3.135835E-12,0.01013735,0.01444644,9.118809,6.618803E-5,516083.3,516083.3
1.356059E-8,14.79766,-1.14249E13,1649.948,1649.948,9.871118E-4,1.0,0.9300819,0.001685884,2.692063E-5,0.002847606,2.021022E-6,1.845943E-4,2.165548E-4,1.207635E-5,2.697022E-7,1.258238E-6,1.028291E-4,0.001874136,2.747753E-4,8.111844E-8,2.992142E-5,5.157502E-8,1.047623E-4,2.77759E-5,0.003976138,0.004333031,0.003911671,0.001390839,1.158647E-4,5.995585E-7,1.391994E-4,1.391884E-4,1.126934E-9,1.2707E-11,1.88485E-6,2.428283E-11,4.574946E-9,3.291454E-10,1.297023E-7,3.017406E-14,2.51077E-6,7.992138E-5,7.479451E-8,1.358519E-5,4.925144E-5,0.01959266,2.725257E-5,0.007781807,9.138148E-6,1.350151E-16,1.206426E-12,1.36158E-9,1.582794E-17,7.511599E-11,0.009671967,0.01120289,9.031536,6.670729E-5,511144.0,511144.0
2.643915E-8,14.69894,-7.541022E12,1623.71,1623.71,9.871118E-4,1.0,0.9216531,0.002545989,9.861475E-5,0.0055049,9.923305E-6,3.142795E-4,4.902574E-4,3.076211E-5,1.525409E-6,5.593238E-6,1.423481E-4,0.004116253,4.28417E-4,5.324155E-7,8.461634E-5,2.467792E-7,1.236275E-4,8.017863E-5,0.004826893,0.005266308,0.005978043,0.002211786,1.916514E-4,2.251709E-6,1.564381E-4,3.021895E-4,8.26518E-9,8.528804E-11,5.964439E-6,3.401007E-10,4.170809E-8,2.823113E-9,5.947676E-7,3.671036E-13,1.256847E-5,1.295623E-4,4.545692E-7,4.119211E-5,9.532487E-5,0.01931677,8.334418E-5,0.007682654,2.655429E-5,5.20525E-15,1.699544E-11,9.864449E-9,8.127068E-16,4.394505E-10,0.009166754,0.008765349,8.94761,6.715531E-5,506394.2,506394.2
2.852132E-8,14.68688,-7.14282E12,1620.336,1620.336,9.871118E-4,1.0,0.9205326,0.002646182,1.140963E-4,0.005919325,1.198542E-5,3.312455E-4,5.375594E-4,3.408211E-5,1.8505E-6,6.589667E-6,1.461661E-4,0.004482061,4.478761E-4,6.598631E-7,9.450775E-5,2.965398E-7,1.238717E-4,8.967713E-5,0.004862209,0.005314892,0.006247446,0.002321074,2.02375E-4,2.59389E-6,1.574519E-4,3.267431E-4,1.054399E-8,1.054541E-10,6.76303E-6,4.515337E-10,5.288352E-8,3.553694E-9,6.984092E-7,4.974465E-13,1.492243E-5,1.364508E-4,5.546592E-7,4.635868E-5,1.027449E-4,0.01925585,9.39179E-5,0.007667994,2.979013E-5,8.075514E-15,2.321752E-11,1.259158E-8,1.24769E-15,5.336228E-10,0.009094277,0.008484356,8.936345,6.721044E-5,505756.6,505756.6
