Time_Soln#17 (sec),Volume_Soln#17 (cm3),Volumetric_heat_production_rate_Soln#17 (erg/cm3-sec),Surface_temperature_Soln#17 (K),Temperature_Soln#17 (K),Mass_Soln#17 (g),Pressure_Soln#17 (atm),Mole_fraction_H2_Soln#17 (),Mole_fraction_H_Soln#17 (),Mole_fraction_CH4_Soln#17 (),Mole_fraction_CH3_Soln#17 (),Mole_fraction_C2H6_Soln#17 (),Mole_fraction_C2H5_Soln#17 (),Mole_fraction_C2H4_Soln#17 (),Mole_fraction_C2H3_Soln#17 (),Mole_fraction_C2H2_Soln#17 (),Mole_fraction_C3H8_Soln#17 (),Mole_fraction_NC3H7_Soln#17 (),Mole_fraction_C3H6_Soln#17 (),Mole_fraction_C3H5-A_Soln#17 (),Mole_fraction_C3H4-P_Soln#17 (),Mole_fraction_C3H4-A_Soln#17 (),Mole_fraction_C3H3_Soln#17 (),Mole_fraction_PC4H9_Soln#17 (),Mole_fraction_IC4H10_Soln#17 (),Mole_fraction_IC4H9_Soln#17 (),Mole_fraction_TC4H9_Soln#17 (),Mole_fraction_IC4H8_Soln#17 (),Mole_fraction_IC4H7_Soln#17 (),Mole_fraction_C4H8-1_Soln#17 (),Mole_fraction_C4H8-2_Soln#17 (),Mole_fraction_C4H71-3_Soln#17 (),Mole_fraction_C4H6_Soln#17 (),Mole_fraction_C4H4_Soln#17 (),Mole_fraction_C4H2_Soln#17 (),Mole_fraction_C6H6_Soln#17 (),Mole_fraction_FULVENE_Soln#17 (),Mole_fraction_C5H6_Soln#17 (),Mole_fraction_C5H5_Soln#17 (),Mole_fraction_MCPTD_Soln#17 (),Mole_fraction_C10H8_Soln#17 (),Mole_fraction_NEOC5H12_Soln#17 (),Mole_fraction_NC5H10_Soln#17 (),Mole_fraction_B1M2_Soln#17 (),Mole_fraction_LC5H8_Soln#17 (),Mole_fraction_NC7H14_Soln#17 (),Mole_fraction_IC8H16_Soln#17 (),Mole_fraction_DIMEPTD_Soln#17 (),Mole_fraction_C7H8_Soln#17 (),Mole_fraction_C7H7_Soln#17 (),Mole_fraction_C6H5C2H_Soln#17 (),Mole_fraction_C6H5C2H3_Soln#17 (),Mole_fraction_C12H8_Soln#17 (),Mole_fraction_C14H10_Soln#17 (),Mole_fraction_BIN1B_Soln#17 (),Mole_fraction_NC10H20_Soln#17 (),Mole_fraction_IC12H26_Soln#17 (),Molecular_weight_Soln#17 (g/mole),Mass_density_Soln#17 (g/cm3),Unburned_hydrocarbons_Soln#17 (ppm),Volatile_organic_compounds_Soln#17 (ppm)
0.0,15.0,-6.332219E13,1800.0,1800.0,9.322723E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.0,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,6.215148E-5,519545.7,519545.7
7.227244E-13,14.99995,-6.356557E13,1799.989,1799.989,9.322723E-4,1.0,0.9452566,3.600419E-9,1.264349E-15,2.516524E-9,3.657283E-17,9.813027E-11,7.568498E-11,3.150304E-13,1.678344E-16,1.696065E-17,8.630976E-11,1.405831E-9,6.832199E-8,4.875249E-16,7.102152E-13,5.481616E-18,1.195317E-10,2.607167E-13,3.903897E-9,2.267446E-6,1.140937E-8,3.328423E-7,8.167526E-11,3.735277E-15,6.831223E-8,8.040445E-12,3.967718E-19,2.229878E-19,1.602754E-16,1.960173E-26,5.196451E-25,7.670893E-28,3.520923E-21,1.272605E-28,4.733739E-20,6.178191E-11,5.219737E-22,2.798141E-18,3.376895E-11,0.01921515,2.683508E-15,0.007923911,1.485249E-10,9.771629E-34,3.700957E-27,4.720327E-44,2.450689E-21,1.442059E-39,0.01043301,0.01716654,9.179965,6.21517E-5,519544.4,519544.4
2.385152E-11,14.99829,-6.983195E13,1799.63,1799.63,9.322723E-4,1.0,0.9451721,3.273917E-6,3.874984E-11,2.446541E-6,1.174328E-12,1.013249E-7,7.766601E-8,3.512383E-10,1.980403E-13,5.415838E-13,8.830131E-8,1.34411E-6,2.249652E-6,5.945251E-13,8.030271E-10,1.464555E-13,1.211571E-7,3.098721E-10,3.87773E-6,7.60805E-5,6.309104E-6,1.09594E-5,8.34667E-8,4.118306E-12,2.239107E-6,8.70545E-9,9.617977E-16,2.418492E-16,4.19022E-12,1.637851E-20,4.795929E-19,1.327758E-20,2.437219E-15,9.445647E-23,4.439827E-14,6.313857E-8,5.146596E-16,1.865535E-12,3.423515E-8,0.01920768,6.762252E-11,0.007923198,4.915825E-9,1.054848E-27,3.326244E-21,5.76639E-34,3.005069E-18,1.553738E-33,0.01042772,0.01710341,9.179145,6.215856E-5,519498.0,519498.0
1.59004E-10,14.98913,-7.952544E13,1797.219,1797.219,9.322723E-4,1.0,0.9444829,7.606484E-5,7.631279E-9,6.469818E-5,2.796046E-10,3.360441E-6,2.516263E-6,1.731682E-8,1.305174E-11,1.29428E-10,2.811209E-6,3.276169E-5,1.477816E-5,3.536148E-11,3.943329E-8,2.669858E-11,3.697658E-6,1.775558E-8,1.146384E-4,4.961428E-4,1.506628E-4,7.210261E-5,2.645785E-6,1.993089E-10,1.433187E-5,3.743004E-7,1.734288E-13,1.04633E-14,7.473252E-10,1.966764E-17,8.921943E-16,1.186629E-16,3.089298E-12,1.248307E-19,5.671352E-11,2.000392E-6,7.841182E-13,1.906408E-9,1.047671E-6,0.01924107,1.204741E-8,0.007917386,3.620278E-8,2.859879E-24,5.252134E-18,2.549399E-28,5.597913E-16,9.692714E-30,0.01039503,0.01674136,9.172451,6.219656E-5,519119.2,519119.2
4.744265E-10,14.96906,-7.472164E13,1791.538,1791.538,9.322723E-4,1.0,0.9427605,2.846708E-4,1.098127E-7,2.783839E-4,4.896315E-9,1.731844E-5,1.285379E-5,1.726691E-7,2.161447E-10,2.411841E-9,1.38064E-5,1.309358E-4,4.258597E-5,3.598949E-10,3.588541E-7,3.592625E-10,1.730304E-5,1.853835E-7,5.863113E-4,0.001242428,5.916405E-4,2.088208E-4,1.297458E-5,2.060133E-9,3.902715E-5,3.080124E-6,3.829587E-12,8.759169E-14,9.560631E-9,8.760743E-16,1.231615E-13,1.507388E-14,1.231895E-10,5.542391E-18,2.090137E-9,9.776333E-6,3.530799E-11,4.990001E-8,4.958705E-6,0.01937303,1.544834E-7,0.007902803,1.438292E-7,3.836046E-22,2.708848E-16,3.904668E-25,1.936695E-14,4.324294E-27,0.01032021,0.01596083,9.155718,6.227996E-5,518172.2,518172.2
1.322124E-9,14.92195,-5.984123E13,1778.396,1778.396,9.322723E-4,1.0,0.9388039,7.660113E-4,9.894985E-7,8.215048E-4,5.199219E-8,5.621187E-5,4.375751E-5,1.350401E-6,3.833505E-9,3.00138E-8,4.255481E-5,3.893397E-4,1.091384E-4,2.86837E-9,2.552714E-6,3.299311E-9,5.147914E-5,1.497735E-6,0.001972572,0.002535223,0.001622344,5.410136E-4,4.046152E-5,1.934508E-8,8.761927E-5,1.944054E-5,6.015713E-11,6.040223E-13,7.89338E-8,3.956748E-14,1.027483E-11,9.703366E-13,2.709425E-9,1.60444E-16,3.95477E-8,3.013918E-5,8.488947E-10,5.619592E-7,1.533714E-5,0.01962948,1.279587E-6,0.007868856,6.537537E-7,4.876546E-20,7.736293E-15,3.252022E-22,4.489776E-13,1.560906E-24,0.01014216,0.01423913,9.117249,6.247657E-5,515995.0,515995.0
4.287095E-9,14.80872,-3.471423E13,1747.494,1747.494,9.322723E-4,1.0,0.9295829,0.001899525,9.339126E-6,0.002303667,6.061157E-7,1.670892E-4,1.546386E-4,9.688559E-6,9.547996E-8,4.574254E-7,1.132146E-4,0.001264547,2.846064E-4,3.432147E-8,1.97645E-5,3.613894E-8,1.306734E-4,1.280881E-5,0.004960078,0.005084596,0.003952321,0.001443332,1.135825E-4,2.370737E-7,1.621075E-4,1.161855E-4,9.57127E-10,6.112037E-12,6.982763E-7,4.779154E-12,8.365804E-10,7.258247E-11,6.133741E-8,6.900678E-15,7.954491E-7,8.202573E-5,2.198546E-8,5.393554E-6,4.492109E-5,0.01992783,1.127013E-5,0.007785779,4.183141E-6,1.257742E-17,2.939866E-13,5.306027E-19,1.263874E-11,1.078063E-21,0.009677366,0.01054377,9.027323,6.295426E-5,510905.6,510905.6
1.024858E-8,14.68179,-1.900964E13,1712.737,1712.737,9.322723E-4,1.0,0.9191018,0.003177043,4.391628E-5,0.004675597,3.618102E-6,3.314905E-4,3.907196E-4,3.093002E-5,8.390963E-7,3.049479E-6,1.897843E-4,0.003065162,5.124777E-4,2.877381E-7,7.462535E-5,2.074044E-7,2.018727E-4,5.091673E-5,0.007183398,0.00716499,0.006449306,0.002664257,2.12062E-4,1.269501E-6,1.904589E-4,3.203895E-4,6.160586E-9,5.001372E-11,3.017297E-6,1.394686E-10,1.411602E-8,1.245843E-9,4.499677E-7,1.201711E-13,5.896504E-6,1.475545E-4,1.98579E-7,2.249099E-5,9.155221E-5,0.019676,4.722549E-5,0.007678654,1.581237E-5,8.380831E-16,5.257052E-12,8.731347E-17,1.242693E-10,1.050115E-19,0.009052128,0.007090275,8.924261,6.349852E-5,505072.8,505072.8
1.814968E-8,14.58727,-1.203725E13,1685.461,1685.461,9.322723E-4,1.0,0.9105508,0.004122407,1.188342E-4,0.007442705,1.230251E-5,4.84776E-4,7.230399E-4,6.15255E-5,3.239783E-6,9.73429E-6,2.361464E-4,0.005447569,7.024054E-4,1.251786E-6,1.617931E-4,6.848791E-7,2.262158E-4,1.136193E-4,0.007811158,0.007873985,0.008367258,0.003748165,3.026717E-4,3.402547E-6,1.888015E-4,5.401775E-4,2.428835E-8,2.222094E-10,7.396205E-6,1.057332E-9,7.537773E-8,6.729629E-9,1.424234E-6,9.475203E-13,1.957864E-5,2.045633E-4,7.83333E-7,5.189681E-5,1.434536E-4,0.01900221,1.099695E-4,0.007574218,3.572447E-5,1.681939E-14,4.061199E-11,1.980454E-15,5.130242E-10,1.881425E-18,0.008462786,0.004977318,8.839048,6.390999E-5,500250.1,500250.1
2.016943E-8,14.56966,-1.100849E13,1680.11,1680.11,9.322723E-4,1.0,0.9088194,0.004291038,1.427082E-4,0.008105707,1.554072E-5,5.153133E-4,8.101415E-4,6.970685E-5,4.142445E-6,1.195171E-5,2.427673E-4,0.00603838,7.390995E-4,1.638739E-6,1.849845E-4,8.57916E-7,2.265853E-4,1.304807E-4,0.007806823,0.007897298,0.008744361,0.003970648,3.219679E-4,4.041745E-6,1.874117E-4,5.884058E-4,3.205147E-8,2.9157E-10,8.682879E-6,1.508389E-9,1.011857E-7,9.04089E-9,1.737668E-6,1.418235E-12,2.415178E-5,2.163737E-4,1.003518E-6,6.002668E-5,1.556882E-4,0.01882056,1.273554E-4,0.007550673,4.124557E-5,2.982196E-14,5.980023E-11,3.448228E-15,6.621302E-10,3.178146E-18,0.008334982,0.004624142,8.821636,6.398722E-5,499264.6,499264.6
