Time_Soln#25 (sec),Volume_Soln#25 (cm3),Volumetric_heat_production_rate_Soln#25 (erg/cm3-sec),Surface_temperature_Soln#25 (K),Temperature_Soln#25 (K),Mass_Soln#25 (g),Pressure_Soln#25 (atm),Mole_fraction_H2_Soln#25 (),Mole_fraction_H_Soln#25 (),Mole_fraction_CH4_Soln#25 (),Mole_fraction_CH3_Soln#25 (),Mole_fraction_C2H6_Soln#25 (),Mole_fraction_C2H5_Soln#25 (),Mole_fraction_C2H4_Soln#25 (),Mole_fraction_C2H3_Soln#25 (),Mole_fraction_C2H2_Soln#25 (),Mole_fraction_C3H8_Soln#25 (),Mole_fraction_IC3H7_Soln#25 (),Mole_fraction_NC3H7_Soln#25 (),Mole_fraction_C3H6_Soln#25 (),Mole_fraction_C3H5-A_Soln#25 (),Mole_fraction_C3H5-T_Soln#25 (),Mole_fraction_C3H4-P_Soln#25 (),Mole_fraction_C3H4-A_Soln#25 (),Mole_fraction_C3H3_Soln#25 (),Mole_fraction_C3H2_Soln#25 (),Mole_fraction_PC4H9_Soln#25 (),Mole_fraction_IC4H10_Soln#25 (),Mole_fraction_IC4H9_Soln#25 (),Mole_fraction_TC4H9_Soln#25 (),Mole_fraction_IC4H8_Soln#25 (),Mole_fraction_IC4H7_Soln#25 (),Mole_fraction_C4H8-1_Soln#25 (),Mole_fraction_C4H71-3_Soln#25 (),Mole_fraction_C4H6_Soln#25 (),Mole_fraction_C4H5_Soln#25 (),Mole_fraction_C4H4_Soln#25 (),Mole_fraction_C4H2_Soln#25 (),Mole_fraction_C6H6_Soln#25 (),Mole_fraction_FULVENE_Soln#25 (),Mole_fraction_C10H8_Soln#25 (),Mole_fraction_NEOC5H12_Soln#25 (),Mole_fraction_NEOC5H11_Soln#25 (),Mole_fraction_NC5H10_Soln#25 (),Mole_fraction_NC6H12_Soln#25 (),Mole_fraction_NC7H14_Soln#25 (),Mole_fraction_IC8H17_Soln#25 (),Mole_fraction_IC8H16_Soln#25 (),Mole_fraction_C7H8_Soln#25 (),Mole_fraction_C7H7_Soln#25 (),Mole_fraction_C6H5C2H_Soln#25 (),Mole_fraction_INDENYL_Soln#25 (),Mole_fraction_C12H8_Soln#25 (),Mole_fraction_C14H10_Soln#25 (),Mole_fraction_BIN1B_Soln#25 (),Mole_fraction_NC10H20_Soln#25 (),Mole_fraction_IC12H26_Soln#25 (),Molecular_weight_Soln#25 (g/mole),Mass_density_Soln#25 (g/cm3),Unburned_hydrocarbons_Soln#25 (ppm),Volatile_organic_compounds_Soln#25 (ppm)
0.0,15.0,-2.536127E15,2200.0,2200.0,7.627682E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,5.085121E-5,519545.7,519545.7
3.434042E-14,14.99992,-2.537796E15,2199.976,2199.976,7.627682E-4,1.0,0.9452536,2.815454E-9,7.939946E-17,1.340187E-9,1.717396E-18,3.960447E-11,3.077488E-11,3.509285E-13,5.87406E-17,8.957353E-19,5.610062E-17,3.484266E-11,7.296167E-10,1.261217E-7,7.121779E-18,1.714467E-16,1.113875E-12,3.786284E-18,1.055767E-28,4.826668E-11,7.978565E-14,2.808711E-9,5.30248E-6,5.825729E-9,5.839723E-7,3.297273E-11,1.261063E-7,1.165989E-11,7.398144E-21,5.454473E-19,2.263156E-19,6.588413E-18,2.103223E-27,1.038646E-29,3.619241E-21,6.604719E-10,2.922417E-11,8.497604E-12,1.719068E-11,4.710417E-6,0.01921484,0.007923886,4.589226E-11,8.595424E-36,2.982656E-38,1.893892E-47,1.148987E-21,2.762919E-41,0.01043286,0.0171637,9.179936,5.085148E-5,519542.8,519542.8
2.429316E-12,14.99471,-2.632053E15,2198.292,2198.292,7.627682E-4,1.0,0.9448583,1.262546E-5,2.277803E-11,6.211569E-6,5.088718E-13,1.914359E-7,1.483782E-7,1.828241E-9,3.357934E-13,2.649781E-13,1.652861E-11,1.677173E-7,3.353507E-6,8.855385E-6,1.028943E-12,1.719392E-12,5.52761E-9,9.756032E-13,1.659138E-21,2.314474E-7,4.16051E-10,1.327853E-5,3.701571E-4,1.595639E-5,4.100365E-5,1.586251E-7,8.780283E-6,5.738261E-8,2.290705E-15,4.704108E-14,1.119846E-15,1.717207E-12,3.00307E-20,1.35917E-22,6.066256E-14,2.9366E-6,1.406252E-7,4.073311E-8,8.236675E-8,2.925998E-4,0.01918325,0.007920568,3.251904E-9,1.723144E-28,2.290645E-29,1.783989E-35,5.751318E-18,4.551859E-34,0.01041104,0.01683298,9.176097,5.086915E-5,519325.5,519325.5
2.27457E-11,14.96106,-2.572477E15,2183.512,2183.512,7.627682E-4,1.0,0.9406168,5.736368E-4,1.198644E-8,3.142821E-4,3.32044E-10,1.266444E-5,9.661052E-6,1.928233E-7,5.97065E-11,1.856931E-10,1.025977E-8,1.077647E-5,1.587723E-4,7.766044E-5,5.119263E-10,4.843318E-10,4.482078E-7,5.568238E-10,8.610952E-17,1.448018E-5,4.295363E-8,7.649062E-4,0.002919075,7.491298E-4,3.640616E-4,1.0153E-5,7.211342E-5,4.369166E-6,4.642533E-12,3.000011E-11,8.897166E-14,8.492657E-10,1.38971E-16,7.615634E-19,2.598549E-10,1.030836E-4,8.992338E-6,2.540895E-6,5.120256E-6,0.00106182,0.01952143,0.007884968,3.63278E-8,2.426356E-24,1.847282E-24,8.549709E-29,6.71655E-16,4.881361E-30,0.01022671,0.01440719,9.134905,5.098358E-5,516994.2,516994.2
7.033462E-11,14.90759,-1.735728E15,2156.025,2156.025,7.627682E-4,1.0,0.9321079,0.001979993,1.69026E-7,0.001257699,6.242586E-9,6.992614E-5,5.262122E-5,1.914311E-6,1.15064E-9,4.311949E-9,1.758621E-7,5.711065E-5,5.879138E-4,2.104464E-4,6.919746E-9,5.471548E-9,3.601846E-6,9.10346E-9,1.616642E-14,7.408823E-5,4.120425E-7,0.003596547,0.005938727,0.002737321,0.001025066,5.357107E-5,1.723567E-4,3.135673E-5,3.070518E-10,5.702742E-10,6.970857E-13,1.100596E-8,6.814218E-15,4.076028E-17,8.105487E-9,1.89633E-4,4.685731E-5,1.291848E-5,2.58986E-5,7.918632E-4,0.02052008,0.007813421,1.725418E-7,4.290057E-22,7.751577E-22,1.745912E-25,1.264796E-14,1.173936E-27,0.009868733,0.01061987,9.052262,5.116645E-5,512317.0,512317.0
1.819224E-10,14.82765,-8.77704E14,2118.975,2118.975,7.627682E-4,1.0,0.9210325,0.00372939,1.035389E-6,0.002621348,5.154331E-8,1.993606E-4,1.511303E-4,1.002833E-5,1.356919E-8,4.59102E-8,1.281238E-6,1.558764E-4,0.001207779,4.417233E-4,4.149599E-8,2.820612E-8,1.791485E-5,7.002193E-8,6.663126E-13,1.970781E-4,2.210084E-6,0.008458912,0.008359966,0.005314842,0.002263709,1.460969E-4,2.902951E-4,1.301296E-4,6.553097E-9,4.854582E-9,3.463571E-12,6.362086E-8,1.950934E-13,8.530569E-16,7.624722E-8,1.120566E-4,1.226857E-4,3.395401E-5,6.776108E-5,3.769619E-4,0.02119115,0.007719695,6.883861E-7,3.430031E-20,1.217566E-19,7.508233E-23,1.579642E-13,1.472083E-25,0.009293125,0.006210573,8.944663,5.144228E-5,506227.4,506227.4
4.182261E-10,14.73527,-3.961913E14,2081.898,2081.898,7.627682E-4,1.0,0.9106018,0.005275692,3.81649E-6,0.003830248,2.523359E-7,3.982691E-4,3.111699E-4,3.201564E-5,1.002189E-7,2.797588E-7,5.488931E-6,2.975478E-4,0.001888739,7.864459E-4,1.551874E-7,1.00636E-7,6.462308E-5,3.380253E-7,1.114935E-11,3.730364E-4,7.787438E-6,0.01291379,0.01042748,0.007358839,0.004187857,2.806321E-4,3.705339E-4,3.667103E-4,6.416368E-8,2.4316E-8,1.35959E-11,2.343031E-7,3.668237E-12,9.957889E-15,3.656732E-7,3.850662E-5,2.187524E-4,6.315938E-5,1.258051E-4,1.356011E-4,0.0206134,0.007629718,2.148101E-6,1.416533E-18,8.150854E-18,1.01521E-20,1.255424E-12,8.509733E-24,0.008517522,0.00275226,8.843256,5.176481E-5,500488.2,500488.2
8.855821E-10,14.64013,-1.889788E14,2048.234,2048.234,7.627682E-4,1.0,0.9017232,0.0065274,1.056567E-5,0.004823937,9.203595E-7,6.768458E-4,5.514044E-4,7.385645E-5,5.162378E-7,1.211377E-6,1.739792E-5,4.768855E-4,0.002658256,0.001260523,4.47426E-7,3.334361E-7,1.88459E-4,1.217483E-6,1.088829E-10,5.977385E-4,2.091765E-5,0.01593629,0.01224627,0.008547348,0.006792598,4.568921E-4,3.788505E-4,7.862449E-4,3.825999E-7,8.655918E-8,5.073536E-11,6.67554E-7,4.40102E-11,8.264888E-14,1.218595E-6,9.934443E-6,3.196615E-4,9.907339E-5,1.975387E-4,3.502024E-5,0.01852107,0.007549373,5.553804E-6,3.695011E-17,2.96075E-16,6.221839E-19,7.232635E-12,2.734439E-22,0.007536567,8.562727E-4,8.756796,5.210118E-5,495594.9,495594.9
1.679562E-9,14.5485,-1.086489E14,2018.207,2018.207,7.627682E-4,1.0,0.8941411,0.007582056,2.368211E-5,0.00585702,2.601073E-6,0.001013636,8.699766E-4,1.328861E-4,1.867103E-6,3.876181E-6,4.233937E-5,6.641595E-4,0.003586603,0.001815137,1.055356E-6,1.066411E-6,4.397295E-4,3.333327E-6,6.619518E-10,8.352933E-4,4.46781E-5,0.01770747,0.01357828,0.009133052,0.009618594,6.541095E-4,3.333118E-4,0.001326757,1.484231E-6,2.251416E-7,1.794833E-10,1.53712E-6,3.18497E-10,4.961729E-13,3.08226E-6,2.337409E-6,4.001181E-4,1.356564E-4,2.714883E-4,6.890284E-6,0.01551343,0.007474787,1.194883E-5,5.92598E-16,5.582383E-15,1.711241E-17,3.013398E-11,4.740271E-21,0.006449327,1.94838E-4,8.682765,5.242933E-5,491405.2,491405.2
2.819491E-9,14.46505,-7.219488E13,1991.277,1991.277,7.627682E-4,1.0,0.8873562,0.008546664,4.526253E-5,0.007169535,5.832886E-6,0.00135348,0.001243474,2.016551E-4,4.973226E-6,9.486846E-6,8.09756E-5,8.186351E-4,0.004697345,0.002354026,2.112354E-6,3.007774E-6,8.254676E-4,7.180127E-6,2.666912E-9,0.001033454,7.893569E-5,0.01863176,0.01442805,0.009542795,0.01206224,8.385703E-4,2.770689E-4,0.001864125,4.040644E-6,4.472428E-7,5.505622E-10,2.959821E-6,1.443073E-9,2.174723E-12,6.368521E-6,8.649513E-7,4.440393E-4,1.656889E-4,3.335056E-4,1.348288E-6,0.01253613,0.00740111,2.179317E-5,5.802106E-15,5.562677E-14,2.217904E-16,9.280009E-11,4.578227E-20,0.005417746,3.840927E-5,8.616333,5.273182E-5,487645.4,487645.4
