Time_Soln#29 (sec),Volume_Soln#29 (cm3),Volumetric_heat_production_rate_Soln#29 (erg/cm3-sec),Surface_temperature_Soln#29 (K),Temperature_Soln#29 (K),Mass_Soln#29 (g),Pressure_Soln#29 (atm),Mole_fraction_H2_Soln#29 (),Mole_fraction_H_Soln#29 (),Mole_fraction_CH4_Soln#29 (),Mole_fraction_CH3_Soln#29 (),Mole_fraction_CH2_Soln#29 (),Mole_fraction_C2H6_Soln#29 (),Mole_fraction_C2H5_Soln#29 (),Mole_fraction_C2H4_Soln#29 (),Mole_fraction_C2H3_Soln#29 (),Mole_fraction_C2H2_Soln#29 (),Mole_fraction_C3H8_Soln#29 (),Mole_fraction_IC3H7_Soln#29 (),Mole_fraction_NC3H7_Soln#29 (),Mole_fraction_C3H6_Soln#29 (),Mole_fraction_C3H5-A_Soln#29 (),Mole_fraction_C3H5-T_Soln#29 (),Mole_fraction_C3H4-P_Soln#29 (),Mole_fraction_C3H4-A_Soln#29 (),Mole_fraction_C3H3_Soln#29 (),Mole_fraction_C3H2_Soln#29 (),Mole_fraction_PC4H9_Soln#29 (),Mole_fraction_IC4H10_Soln#29 (),Mole_fraction_IC4H9_Soln#29 (),Mole_fraction_TC4H9_Soln#29 (),Mole_fraction_IC4H8_Soln#29 (),Mole_fraction_IC4H7_Soln#29 (),Mole_fraction_C4H8-1_Soln#29 (),Mole_fraction_C4H71-3_Soln#29 (),Mole_fraction_C4H6_Soln#29 (),Mole_fraction_C4H5_Soln#29 (),Mole_fraction_C4H4_Soln#29 (),Mole_fraction_C4H2_Soln#29 (),Mole_fraction_C6H6_Soln#29 (),Mole_fraction_C10H8_Soln#29 (),Mole_fraction_NEOC5H11_Soln#29 (),Mole_fraction_NC5H10_Soln#29 (),Mole_fraction_NC6H12_Soln#29 (),Mole_fraction_NC7H15_Soln#29 (),Mole_fraction_NC7H14_Soln#29 (),Mole_fraction_IC8H17_Soln#29 (),Mole_fraction_IC8H16_Soln#29 (),Mole_fraction_C7H8_Soln#29 (),Mole_fraction_C7H7_Soln#29 (),Mole_fraction_CH3C6H4_Soln#29 (),Mole_fraction_BENZYNE_Soln#29 (),Mole_fraction_C6H5C2H_Soln#29 (),Mole_fraction_INDENYL_Soln#29 (),Mole_fraction_BIN1B_Soln#29 (),Mole_fraction_NC10H20_Soln#29 (),Mole_fraction_IC12H26_Soln#29 (),Molecular_weight_Soln#29 (g/mole),Mass_density_Soln#29 (g/cm3),Unburned_hydrocarbons_Soln#29 (ppm),Volatile_organic_compounds_Soln#29 (ppm)
0.0,15.0,-1.006515E16,2400.0,2400.0,6.992042E-4,1.0,0.9452588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921553,0.00792393,0.0,0.0,0.0,0.0,0.0,0.0,0.01043317,0.01716852,9.179988,4.661361E-5,519545.7,519545.7
3.528409E-15,14.99997,-1.006548E16,2399.99,2399.99,6.992042E-4,1.0,0.9452565,2.773202E-10,8.803627E-19,1.103686E-10,1.01795E-22,1.673936E-20,2.935535E-12,2.293216E-12,3.804608E-14,3.456413E-18,9.252265E-21,8.128518E-19,2.582734E-12,5.953473E-11,5.11236E-8,2.315733E-19,1.000105E-17,1.353654E-13,1.704108E-19,2.687884E-30,3.577995E-12,5.488363E-15,2.675487E-10,2.356315E-6,8.678104E-10,2.322452E-7,2.444143E-12,5.112161E-8,1.428874E-12,4.23631E-22,4.26969E-20,1.571324E-20,6.669991E-20,5.480186E-32,5.442784E-11,2.330247E-12,6.299269E-13,7.667494E-8,1.380634E-12,2.123402E-6,0.01921525,0.007923911,7.300413E-12,5.298808E-12,2.757156E-19,6.322077E-39,1.989875E-41,8.242102E-44,0.01043305,0.01716635,9.179965,4.66137E-5,519544.4,519544.4
4.289069E-13,14.9967,-1.009669E16,2398.739,2398.739,6.992042E-4,1.0,0.9449701,3.758089E-6,1.4322E-12,1.571468E-6,1.649137E-16,2.765678E-14,4.259384E-8,3.325251E-8,5.73421E-10,5.683456E-14,1.526974E-14,1.339641E-12,3.742063E-8,8.466242E-7,6.184604E-6,9.061042E-14,3.17384E-13,1.97777E-9,2.246707E-13,3.586491E-22,5.178258E-8,8.157254E-11,3.841968E-6,2.830087E-4,4.092153E-6,2.809356E-5,3.540521E-8,6.155788E-6,2.08069E-8,7.004507E-16,1.807416E-14,2.296388E-16,8.994802E-14,7.268207E-24,7.657492E-7,3.374088E-8,9.113787E-9,9.125637E-6,1.997036E-8,2.454884E-4,0.01918639,0.007921508,8.871015E-10,6.41646E-10,4.030015E-15,1.30614E-30,3.593004E-31,1.445967E-35,0.01041762,0.01690814,9.177183,4.662388E-5,519387.0,519387.0
6.426926E-12,14.96295,-9.335206E15,2381.522,2381.522,6.992042E-4,1.0,0.9403036,5.285057E-4,3.460257E-9,2.35999E-4,4.584378E-13,7.888504E-11,7.919244E-6,6.133853E-6,1.576312E-7,2.995261E-11,4.528933E-11,3.688414E-9,6.830727E-6,1.225246E-4,8.667965E-5,2.097179E-10,4.122122E-10,4.052688E-7,5.87569E-10,4.016475E-17,9.319276E-6,1.975272E-8,6.278281E-4,0.003538316,5.817373E-4,3.978541E-4,6.445884E-6,8.123437E-5,4.062556E-6,2.869274E-12,4.793604E-11,4.704812E-14,2.113125E-10,2.914116E-19,9.457432E-5,6.102149E-6,1.633303E-6,1.027518E-4,3.567723E-6,0.001900928,0.01939736,0.007882365,1.502699E-8,1.052764E-8,8.939291E-13,1.425027E-25,2.532923E-25,7.019576E-31,0.01020521,0.01382143,9.131864,4.672903E-5,516822.1,516822.1
2.407432E-11,14.91107,-5.649469E15,2343.673,2343.673,6.992042E-4,1.0,0.9285796,0.00265711,8.598538E-8,0.001367674,2.169204E-11,2.738979E-9,6.90912E-5,5.277602E-5,2.381982E-6,9.293459E-10,1.948764E-9,1.176206E-7,5.733457E-5,6.620394E-4,2.76262E-4,5.161755E-9,8.207171E-9,4.594006E-6,1.740422E-8,1.892863E-14,7.602861E-5,2.645577E-7,0.004239105,0.008038109,0.003088949,0.001339284,5.382525E-5,2.251015E-4,4.051393E-5,2.710491E-10,1.494867E-9,5.30397E-13,4.947314E-9,3.392561E-17,3.078282E-4,4.983825E-5,1.317992E-5,1.909037E-4,2.860257E-5,0.001601386,0.0209129,0.007783944,9.214392E-8,6.328085E-8,1.517494E-11,6.545044E-23,2.123555E-22,1.799973E-28,0.009699202,0.008493467,9.018001,4.689162E-5,510378.0,510378.0
6.06316E-11,14.8497,-2.591415E15,2303.174,2303.174,6.992042E-4,1.0,0.9163067,0.004832345,5.136526E-7,0.002826502,2.266927E-10,2.360104E-8,2.18605E-4,1.655747E-4,1.220312E-5,9.634497E-9,2.118567E-8,9.132201E-7,1.732846E-4,0.001328911,5.633766E-4,3.072971E-8,4.057697E-8,2.189912E-5,1.336573E-7,7.255184E-13,2.237065E-4,1.304567E-6,0.009942836,0.01018387,0.00584692,0.002916101,1.618995E-4,3.717106E-4,1.599334E-4,4.882529E-9,1.187053E-8,2.582682E-12,2.784632E-8,6.80066E-16,2.218953E-4,1.427841E-4,3.803888E-5,1.813023E-4,8.207897E-5,6.273288E-4,0.02165266,0.007680564,3.593705E-7,2.435073E-7,1.211732E-10,4.748757E-21,2.461136E-20,1.181916E-26,0.009005095,0.004004198,8.898794,4.708541E-5,503631.4,503631.4
1.327395E-10,14.78104,-1.140473E15,2267.788,2267.788,6.992042E-4,1.0,0.9064243,0.006357712,1.751812E-6,0.003904792,1.082049E-9,1.150653E-7,4.578976E-4,3.473331E-4,3.809028E-5,6.164183E-8,1.220747E-7,4.011387E-6,3.457834E-4,0.001945308,9.783102E-4,1.059785E-7,1.254984E-7,7.547414E-5,6.293345E-7,1.046553E-11,4.403535E-4,4.176738E-6,0.01482234,0.01131346,0.007561365,0.005269062,3.223631E-4,4.754902E-4,4.334438E-4,4.022507E-8,5.652527E-8,9.786455E-12,9.296616E-8,7.186546E-15,6.385573E-5,2.5954E-4,7.252455E-5,1.397664E-4,1.560737E-4,1.698706E-4,0.02048831,0.007596471,1.034086E-6,6.884213E-7,6.579975E-10,1.634075E-19,1.195141E-18,4.12807E-25,0.008116962,0.001314442,8.802777,4.730414E-5,498197.3,498197.3
2.625338E-10,14.70941,-6.003171E14,2237.412,2237.412,6.992042E-4,1.0,0.8986459,0.007425316,4.330846E-6,0.004563711,3.224778E-9,3.971893E-7,7.806009E-4,5.943549E-4,8.554096E-5,2.743378E-7,4.71746E-7,1.251917E-5,5.590589E-4,0.002524681,0.001530608,2.700174E-7,3.189638E-7,2.084367E-4,2.170147E-6,8.605086E-11,7.106744E-4,1.015351E-5,0.0178761,0.01256382,0.008217981,0.008261228,5.21889E-4,4.967963E-4,9.042761E-4,2.030023E-7,1.937005E-7,3.281477E-11,2.341328E-7,5.083952E-14,1.06306E-5,3.662622E-4,1.117258E-4,1.051593E-4,2.405153E-4,3.044266E-5,0.01769791,0.007528755,2.401428E-6,1.56778E-6,2.648582E-9,3.272287E-18,3.034236E-17,8.306945E-24,0.007040325,2.749962E-4,8.727159,4.753449E-5,493917.6,493917.6
4.177941E-10,14.6514,-4.169961E14,2215.009,2215.009,6.992042E-4,1.0,0.8931792,0.008157353,7.615368E-6,0.005032893,6.263345E-9,8.755627E-7,0.001077515,8.216341E-4,1.350974E-4,7.055367E-7,1.111688E-6,2.547547E-5,7.381277E-4,0.002990403,0.002029198,4.890912E-7,6.204671E-7,3.99781E-4,4.716115E-6,3.314289E-10,9.414767E-4,1.769362E-5,0.01954095,0.01355759,0.008379841,0.01072153,6.917695E-4,4.603315E-4,0.001377285,5.552137E-7,4.149719E-7,7.793818E-11,4.225224E-7,1.847655E-13,2.232857E-6,4.242177E-4,1.414025E-4,8.274051E-5,3.049707E-4,5.955603E-6,0.01499415,0.007479761,4.143435E-6,2.662424E-6,6.551287E-9,2.429254E-17,2.551859E-16,6.107848E-23,0.006125027,5.945825E-5,8.673983,4.772269E-5,490908.1,490908.1
6.691678E-10,14.58374,-2.885879E14,2189.76,2189.76,6.992042E-4,1.0,0.8871066,0.00899636,1.327008E-5,0.005709114,1.210106E-8,1.877634E-6,0.001441264,0.001103066,1.994033E-4,1.727923E-6,2.549036E-6,4.959848E-5,9.363514E-4,0.003560381,0.00262737,8.808511E-7,1.292755E-6,7.396382E-4,9.694582E-6,1.21749E-9,0.001203391,3.013801E-5,0.02106532,0.0146108,0.008481949,0.01332373,8.850689E-4,3.901133E-4,0.001963706,1.432736E-6,8.317598E-7,1.936551E-10,7.565921E-7,6.60798E-13,5.3681E-7,4.535801E-4,1.700756E-4,6.122008E-5,3.680728E-4,7.634014E-7,0.01189296,0.007423526,7.104958E-6,4.479146E-6,1.584077E-8,1.811019E-16,2.082592E-15,4.481791E-22,0.005075721,7.660023E-6,8.614888,4.794409E-5,487563.6,487563.6
