Distance (cm),Plug_flow_residence_time (sec),Internal_surface_area_per_unit_distance (cm),Cross-section_area (cm2),External_surface_area_per_unit_distance (cm),Velocity (cm/sec),Exit_mass_flow_rate (g/sec),Volumetric_heat_production_rate (erg/cm3-sec),Surface_temperature (K),Heat_loss_rate (erg/cm-sec),Temperature (K),Pressure (atm),Mole_fraction_H2 (),Mole_fraction_CH4 (),Mole_fraction_C2H6 (),Mole_fraction_C2H4 (),Mole_fraction_C3H6 (),Mole_fraction_C4H8-1 (),Mole_fraction_C4H6 (),Mole_fraction_NC12H26 (),Mole_fraction_NC16H34 (),Mole_fraction_NC10H20 (),Molecular_weight (g/mole),Mass_density (g/cm3),Unburned_hydrocarbons (ppm),UHC_Sens_GasRxn#32 (),UHC_Sens_GasRxn#167 (),UHC_Sens_GasRxn#11427 (),UHC_Sens_GasRxn#11449 (),UHC_Sens_GasRxn#11450 (),UHC_Sens_GasRxn#11452 (),UHC_Sens_GasRxn#11453 (),UHC_Sens_GasRxn#11692 (),UHC_Sens_GasRxn#11743 (),UHC_Sens_GasRxn#11794 (),Volatile_organic_compounds (ppm),VOC_Sens_GasRxn#32 (),VOC_Sens_GasRxn#167 (),VOC_Sens_GasRxn#11427 (),VOC_Sens_GasRxn#11449 (),VOC_Sens_GasRxn#11450 (),VOC_Sens_GasRxn#11452 (),VOC_Sens_GasRxn#11453 (),VOC_Sens_GasRxn#11692 (),VOC_Sens_GasRxn#11743 (),VOC_Sens_GasRxn#11794 ()
0.0,0.0,6.283185,3.141593,6.283185,753.9968,0.2365664,-2.861834E8,1151.892,0.0,1151.892,1.0,0.9514247,0.0,0.0,0.0,0.0,0.0,0.0,0.01104136,0.006644772,0.02680524,9.439816,9.986968E-5,535452.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535452.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.158407E-4,4.188925E-7,6.283185,3.141593,6.283185,753.9825,0.2365664,-5.073257E8,1151.857,1.499329E8,1151.857,1.0,0.9514141,5.322353E-8,7.296701E-8,3.044809E-6,2.185599E-6,9.498088E-7,5.922322E-8,0.01104054,0.006644051,0.02680246,9.43971,9.987157E-5,535446.9,4.778315E-7,1.691022E-6,7.773084E-6,4.945378E-5,4.010137E-7,-1.933379E-8,2.374479E-8,1.009297E-6,4.318928E-7,3.751375E-7,535446.9,4.778315E-7,1.691022E-6,7.773084E-6,4.945378E-5,4.010137E-7,-1.933379E-8,2.374479E-8,1.009297E-6,4.318928E-7,3.751375E-7
0.006797985,9.017965E-6,6.283185,3.141593,6.283185,753.6546,0.2365664,-9.952359E8,1150.647,1.4972E8,1150.647,1.0,0.9508651,4.531461E-5,2.874012E-5,2.663493E-4,1.326741E-4,4.776527E-5,2.756608E-5,0.01099461,0.006606436,0.0266627,9.433898,9.991503E-5,535117.2,6.230397E-4,6.994622E-4,4.45749E-4,-2.846855E-4,1.019161E-4,-2.127828E-4,2.156075E-4,4.282461E-4,-3.690433E-4,-4.427806E-4,535117.2,6.230397E-4,6.994622E-4,4.45749E-4,-2.846855E-4,1.019161E-4,-2.127828E-4,2.156075E-4,4.282461E-4,-3.690433E-4,-4.427806E-4
0.03376143,4.482069E-5,6.283185,3.141593,6.283185,752.6313,0.2365664,-9.418798E8,1144.481,1.486347E8,1144.481,1.0,0.9473224,5.041608E-4,2.521199E-4,0.002120943,0.001063707,3.912766E-4,3.204503E-4,0.01067818,0.006352688,0.02572841,9.396102,1.000509E-4,532973.3,-6.707125E-4,-7.722253E-4,-3.320758E-4,-0.001736416,-8.007749E-5,5.950855E-4,-5.9641E-4,3.399214E-4,-3.245406E-4,-3.2502E-4,532973.3,-6.707125E-4,-7.722253E-4,-3.320758E-4,-0.001736416,-8.007749E-5,5.950855E-4,-5.9641E-4,3.399214E-4,-3.245406E-4,-3.2502E-4
0.1408621,1.874087E-4,6.283185,3.141593,6.283185,749.7992,0.2365664,-5.039718E8,1127.592,1.45662E8,1127.592,1.0,0.9374745,0.00189109,9.049441E-4,0.007321126,0.003671268,0.001323064,0.001224912,0.009807051,0.005667066,0.0231589,9.292406,1.004288E-4,527091.4,-0.001684858,-0.001823807,-8.822144E-4,-0.004262793,-3.733686E-4,0.001737059,-0.001737462,9.130612E-4,-9.836928E-4,-9.444828E-4,527091.4,-0.001684858,-0.001823807,-8.822144E-4,-0.004262793,-3.733686E-4,0.001737059,-0.001737462,9.130612E-4,-9.836928E-4,-9.444828E-4
0.2,2.663456E-4,6.283185,3.141593,6.283185,748.5888,0.2365664,-3.975832E8,1121.255,1.445467E8,1121.255,1.0,0.9338703,0.002431307,0.001155991,0.009222516,0.004618745,0.001643702,0.001556706,0.009494454,0.005425511,0.02223625,9.255122,1.005912E-4,524976.6,-0.001904014,-0.002008009,-0.001001155,-0.004863874,-4.825875E-4,0.00201254,-0.002012749,0.00104145,-0.00116288,-0.00110081,524976.6,-0.001904014,-0.002008009,-0.001001155,-0.004863873,-4.825875E-4,0.00201254,-0.002012749,0.00104145,-0.001162879,-0.00110081
0.2679467,3.571877E-4,6.283185,3.141593,6.283185,747.3669,0.2365664,-3.184057E8,1115.319,1.435019E8,1115.319,1.0,0.9305557,0.002945488,0.001393432,0.01096895,0.005486209,0.001927729,0.001861598,0.009210014,0.005207878,0.02139694,9.221174,1.007556E-4,523051.6,-0.002056137,-0.002109877,-0.001085531,-0.005300269,-5.806683E-4,0.002212813,-0.002212895,0.001133229,-0.001304702,-0.001219634,523051.7,-0.002056134,-0.002109872,-0.001085529,-0.005300262,-5.806681E-4,0.00221281,-0.002212892,0.001133227,-0.001304699,-0.001219632
0.338498,4.516609E-4,6.283185,3.141593,6.283185,746.2316,0.2365664,-2.62508E8,1110.173,1.425961E8,1110.173,1.000001,0.9277388,0.003396296,0.001600548,0.01245084,0.006220171,0.002160475,0.002120411,0.008970606,0.005026349,0.02069097,9.19259,1.009089E-4,521430.8,-0.002155425,-0.002154684,-0.001140797,-0.005595849,-6.61087E-4,0.002348006,-0.002348011,0.001194378,-0.001410158,-0.001303966,521431.1,-0.002155417,-0.002154679,-0.001140796,-0.005595836,-6.610916E-4,0.002348012,-0.002348017,0.001194381,-0.00141016,-0.001303968
0.4,5.341284E-4,6.283185,3.141593,6.283185,745.3224,0.2365664,-2.26757E8,1106.285,1.419118E8,1106.285,1.000001,0.9256513,0.003738983,0.001757394,0.01354737,0.006762141,0.00232772,0.002311952,0.008794616,0.004893889,0.02017236,9.171571,1.01032E-4,520240.9,-0.002214383,-0.002167001,-0.001173452,-0.005776126,-7.18447E-4,0.002429776,-0.002429736,0.001231219,-0.001480402,-0.001357942,520242.1,-0.002214375,-0.002167009,-0.001173457,-0.005776122,-7.184606E-4,0.002429805,-0.002429766,0.001231231,-0.001480418,-0.001357954
0.4080413,5.449182E-4,6.283185,3.141593,6.283185,745.2074,0.2365664,-2.188431E8,1105.809,1.418281E8,1105.809,1.000001,0.9253992,0.003780843,0.001776517,0.01367996,0.006827605,0.002347867,0.002335008,0.008773552,0.004878093,0.02011023,9.169042,1.010476E-4,520103.2,-0.002220958,-0.002167691,-0.001177116,-0.005796846,-7.252367E-4,0.002438874,-0.00243882,0.001235503,-0.001488566,-0.001364112,520106.5,-0.002220972,-0.002167751,-0.001177141,-0.005796918,-7.252639E-4,0.002438955,-0.002438901,0.00123553,-0.001488616,-0.001364153
