Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_IC4H10_PFRC2 (),Mass_fraction_IC4H9_PFRC2 (),Mass_fraction_TC4H9_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_IC4H7_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_IC8H18_PFRC2 (),Mass_fraction_IC8H16_PFRC2 (),Mass_fraction_DIMEPTD_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Mass_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.0,0.0,6.283185,3.141593,6.283185,941.7303,0.2328964,-3.83534E11,1429.217,0.0,1429.217,1.0,0.2063853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382037,0.0,0.0,0.07923247,0.1588144,0.3173641,9.232148,7.872023E-5,520513.9,520513.9
5.533545E-7,5.875989E-10,6.283185,3.141593,6.283185,941.7112,0.2328964,-4.451093E11,1429.17,1.987419E8,1429.17,0.9999986,0.2063853,4.260193E-8,1.660299E-10,1.070469E-6,1.146519E-11,8.080033E-8,1.166844E-13,1.141391E-10,1.45478E-6,4.575969E-13,1.01816E-11,2.282341E-9,1.677342E-5,5.182465E-5,8.545003E-6,1.30857E-10,1.712533E-7,3.475566E-9,2.259658E-17,9.486059E-11,1.259041E-18,1.391765E-7,6.331508E-11,8.463927E-8,0.2381706,8.924352E-6,3.023102E-14,0.07923247,0.1588053,0.317259,9.232041,7.872182E-5,520507.9,520507.9
3.875295E-6,4.115391E-9,6.283185,3.141593,6.283185,941.5856,0.2328964,-4.945003E11,1428.842,1.986842E8,1428.842,0.9999986,0.2063853,6.939969E-7,2.895193E-8,2.300858E-5,2.435701E-9,2.125391E-6,1.028338E-11,6.680131E-9,2.894628E-5,2.306373E-11,5.150048E-10,1.325181E-7,1.611381E-4,3.687854E-4,1.518366E-4,1.746456E-8,4.008167E-6,1.975624E-7,3.501813E-15,1.306992E-8,7.833813E-15,3.158655E-6,3.959126E-8,1.90244E-6,0.2379724,1.382722E-4,6.979043E-11,0.07923235,0.15875,0.3166301,9.231156,7.873232E-5,520458.0,520458.0
2.19389E-5,2.330668E-8,6.283185,3.141593,6.283185,940.8934,0.2328964,-5.233028E11,1426.955,1.98352E8,1426.955,0.9999986,0.2063859,5.136739E-6,1.65958E-6,2.214969E-4,1.536054E-7,2.473038E-5,1.326782E-9,2.625514E-7,3.645713E-4,7.77241E-10,2.072429E-8,4.548766E-6,0.001025882,0.001699911,0.001066883,6.981761E-7,3.03524E-5,7.259271E-6,8.903697E-13,5.804745E-7,2.249998E-11,2.362133E-5,2.781475E-6,1.73593E-5,0.2369075,8.699265E-4,2.006297E-8,0.07922876,0.1584295,0.3132779,9.225742,7.879025E-5,520152.7,520152.7
1.343347E-4,1.430249E-7,6.283185,3.141593,6.283185,936.9227,0.2328964,-5.195382E11,1414.559,1.961703E8,1414.559,0.9999989,0.2064116,3.785684E-5,1.213394E-4,0.002673313,2.1262E-5,4.467024E-4,3.70186E-7,1.843272E-5,0.006434647,5.237597E-8,1.985415E-6,1.411392E-4,0.003253424,0.004956216,0.007503106,3.146375E-5,2.478207E-4,2.55432E-4,2.860689E-9,2.765287E-5,5.406744E-8,1.931586E-4,1.426557E-4,3.03478E-4,0.230626,0.005212279,5.749617E-6,0.07907346,0.1554464,0.2945818,9.184358,7.912416E-5,517819.5,517819.5
4.389501E-4,4.69345E-7,6.283185,3.141593,6.283185,931.1951,0.2328964,-2.684431E11,1390.18,1.918794E8,1390.18,0.9999993,0.2065442,6.732268E-5,0.001535754,0.008546541,7.344252E-4,0.002906522,1.420489E-5,2.892192E-4,0.0263618,2.198097E-6,3.714409E-5,8.375839E-4,0.002680092,0.004255,0.02356511,3.790557E-4,0.001271914,0.00171908,5.154224E-7,2.219729E-4,3.356021E-6,8.602293E-4,0.001095225,0.001932949,0.2161687,0.01503351,1.258584E-4,0.07814375,0.1429963,0.2571153,9.081583,7.961083E-5,512025.0,512025.0
7.791652E-4,8.35012E-7,6.283185,3.141593,6.283185,930.129,0.2328964,-1.321113E11,1376.869,1.895365E8,1376.869,0.9999994,0.2066254,6.311788E-5,0.004023985,0.01064026,0.00270552,0.005994729,5.381498E-5,7.625883E-4,0.04232265,1.055294E-5,1.110496E-4,0.001513573,0.001944233,0.003183107,0.03661049,0.0010284,0.002668277,0.003347147,3.642697E-6,4.631964E-4,1.400146E-5,0.001565206,0.002148261,0.003638915,0.2037699,0.02259478,3.804909E-4,0.07726219,0.1300641,0.2284478,9.004935,7.970209E-5,507703.5,507703.5
0.001879084,2.01557E-6,6.283185,3.141593,6.283185,933.5991,0.2328964,-4.558277E10,1360.237,1.866093E8,1360.237,0.9999992,0.2066341,4.339884E-5,0.01183039,0.009484772,0.009685953,0.01415005,2.142985E-4,0.002008513,0.07322528,6.55365E-5,4.00169E-4,0.002774918,0.0011333,0.001939158,0.06259531,0.003374228,0.006080434,0.006888742,3.401812E-5,0.001083257,6.832001E-5,0.003017551,0.004290573,0.006847702,0.1766758,0.03534555,0.00132226,0.07568947,0.1025356,0.1720758,8.863099,7.940584E-5,499706.7,499706.7
0.002369475,2.5404E-6,6.283185,3.141593,6.283185,935.1173,0.2328964,-3.708742E10,1356.039,1.858704E8,1356.039,0.999999,0.2066,3.759217E-5,0.01468896,0.008633571,0.01204203,0.01704423,2.837563E-4,0.002402153,0.08238765,9.597488E-5,5.279779E-4,0.003109872,9.651727E-4,0.001671604,0.07028213,0.004324508,0.0071232,0.007940666,5.316878E-5,0.001296788,9.412493E-5,0.003411166,0.00486925,0.007632011,0.1679963,0.03830359,0.001696774,0.07527005,0.09451515,0.1555263,8.821401,7.927692E-5,497356.0,497356.0
0.002416784,2.590988E-6,6.283185,3.141593,6.283185,935.2501,0.2328964,-3.646956E10,1355.675,1.858063E8,1355.675,0.999999,0.2065963,3.710932E-5,0.01494663,0.008557497,0.0122462,0.01730532,2.903009E-4,0.002436305,0.08318144,9.898724E-5,5.400924E-4,0.003137959,9.515301E-4,0.001649725,0.07094576,0.004411727,0.007213555,0.008031272,5.509142E-5,0.001315892,9.657948E-5,0.00344398,0.004917577,0.007695347,0.167231,0.03853849,0.001730864,0.07523435,0.09382911,0.1541015,8.817781,7.926567E-5,497152.0,497152.1
