Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_IC4H10_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_IC4H7_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H8-2_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_B1M2_PFRC2 (),Mole_fraction_B1M3_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_IC8H16_PFRC2 (),Mole_fraction_DIMEPTD_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Mole_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),UHC_Sens_GasRxn#32_PFRC2 (),UHC_Sens_GasRxn#154_PFRC2 (),UHC_Sens_GasRxn#381_PFRC2 (),UHC_Sens_GasRxn#620_PFRC2 (),UHC_Sens_GasRxn#1148_PFRC2 (),UHC_Sens_GasRxn#2803_PFRC2 (),UHC_Sens_GasRxn#8284_PFRC2 (),UHC_Sens_GasRxn#8287_PFRC2 (),UHC_Sens_GasRxn#11455_PFRC2 (),UHC_Sens_GasRxn#11845_PFRC2 (),Volatile_organic_compounds_PFRC2 (ppm),VOC_Sens_GasRxn#32_PFRC2 (),VOC_Sens_GasRxn#154_PFRC2 (),VOC_Sens_GasRxn#381_PFRC2 (),VOC_Sens_GasRxn#620_PFRC2 (),VOC_Sens_GasRxn#1148_PFRC2 (),VOC_Sens_GasRxn#2803_PFRC2 (),VOC_Sens_GasRxn#8284_PFRC2 (),VOC_Sens_GasRxn#8287_PFRC2 (),VOC_Sens_GasRxn#11455_PFRC2 (),VOC_Sens_GasRxn#11845_PFRC2 ()
0.0,0.0,6.283185,3.141593,6.283185,763.4088,0.2353964,-8.133167E8,1157.327,0.0,1157.327,1.0,0.9441287,3.149737E-16,4.373385E-23,5.567527E-20,6.517637E-20,4.828031E-22,3.802548E-23,1.554981E-22,6.115582E-24,1.782009E-24,1.130233E-26,2.542027E-25,9.956704E-28,2.346325E-25,1.642578E-25,2.199778E-24,1.538875E-26,2.498908E-22,1.39156E-25,3.17843E-28,3.171146E-28,1.116803E-28,1.328275E-28,9.97553E-35,0.01981253,2.385964E-33,0.008057096,7.08322E-28,0.01056668,0.01743503,9.321098,9.815055E-5,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.367226E-5,4.410786E-8,6.283185,3.141593,6.283185,763.4054,0.2353964,-1.048518E9,1157.32,1.508943E8,1157.32,1.0,0.9441267,1.024162E-9,2.2439E-7,7.638757E-11,2.290592E-8,1.842105E-14,2.421935E-11,1.384431E-7,2.840584E-14,5.472125E-10,7.310062E-10,6.928987E-7,3.425821E-7,1.835721E-8,4.924011E-12,4.15241E-10,1.06771E-19,1.330059E-10,3.639756E-18,1.047708E-8,2.931383E-15,8.938252E-15,3.022936E-10,3.525669E-9,0.01981217,1.085166E-9,0.008057079,5.00408E-14,0.01056654,0.01743428,9.321079,9.815099E-5,529786.0,7.926697E-10,0.0,0.0,0.0,0.0,0.0,5.167622E-6,2.377834E-8,1.385586E-5,3.38584E-8,529786.0,7.926697E-10,-2.430454E-84,-4.063551E-26,1.2969E-27,-9.935144E-26,0.0,5.167622E-6,2.377834E-8,1.385586E-5,3.38584E-8
7.65664E-4,1.003011E-6,6.283185,3.141593,6.283185,763.3194,0.2353964,-1.507748E9,1157.101,1.508558E8,1157.101,1.0,0.944056,2.303236E-6,2.173174E-5,1.456762E-7,3.41213E-6,1.253162E-10,1.710223E-8,1.986217E-5,4.262853E-11,3.709061E-7,2.786348E-7,2.486376E-5,8.108294E-6,9.120097E-7,3.180569E-9,4.508486E-7,8.582937E-14,8.579985E-8,2.91516E-12,5.413636E-7,1.547719E-10,5.082841E-10,3.853782E-7,6.077921E-7,0.01980249,7.367219E-7,0.008056172,1.293803E-10,0.01056097,0.01741609,9.320364,9.816205E-5,529745.4,2.288799E-5,4.014803E-8,-1.708472E-8,-1.94701E-25,2.148702E-9,0.0,1.332127E-4,2.511684E-7,-2.914376E-5,4.865604E-6,529745.4,2.288799E-5,4.014803E-8,-1.708472E-8,-2.996455E-23,2.148702E-9,2.990507E-24,1.332127E-4,2.511684E-7,-2.914376E-5,4.865604E-6
0.004414551,5.78464E-6,6.283185,3.141593,6.283185,762.9128,0.2353964,-1.745796E9,1155.725,1.506136E8,1155.725,1.0,0.9434302,1.164198E-4,1.522358E-4,9.822675E-6,6.604113E-5,2.65186E-8,1.588683E-6,2.335943E-4,1.714647E-8,9.998379E-6,3.181671E-6,2.331147E-4,5.28573E-5,1.421477E-5,2.145807E-7,1.346005E-5,2.979624E-10,2.16703E-6,2.191107E-9,7.839301E-6,4.82506E-8,1.889476E-7,1.060254E-5,1.424404E-5,0.01970988,1.97794E-5,0.008044063,5.369232E-8,0.01048609,0.01729338,9.314245,9.821437E-5,529397.6,-7.071649E-5,-3.911451E-5,-4.330007E-7,-1.073735E-5,3.838715E-6,6.818012E-7,8.286415E-5,-1.525552E-4,-4.945051E-4,-2.010378E-4,529397.6,-7.071649E-5,-3.911451E-5,-4.330007E-7,-1.073735E-5,3.838715E-6,6.818012E-7,8.286415E-5,-1.525552E-4,-4.945051E-4,-2.010378E-4
0.01859631,2.438304E-5,6.283185,3.141593,6.283185,762.2913,0.2353964,-1.35351E9,1150.825,1.497512E8,1150.825,1.0,0.9400041,0.001193286,2.418798E-4,1.452334E-4,5.563445E-4,1.147495E-6,3.000448E-5,0.001374954,1.283382E-6,8.785815E-5,1.784547E-5,0.001424044,2.333802E-4,1.444996E-4,5.34453E-6,1.398972E-4,6.811431E-8,1.942437E-5,1.816316E-7,6.426983E-5,2.023555E-6,6.848786E-6,9.325106E-5,1.194079E-4,0.01913602,1.719585E-4,0.007968507,3.719067E-6,0.009963899,0.01668093,9.282316,9.829444E-5,527582.8,-0.001107367,1.847247E-4,9.988786E-7,-4.261286E-4,1.240557E-4,-1.171093E-4,-5.246286E-4,1.097369E-4,-0.002228797,-4.057183E-4,527582.8,-0.001107367,1.847247E-4,9.988786E-7,-4.261286E-4,1.240557E-4,-1.171093E-4,-5.246286E-4,1.097369E-4,-0.002228797,-4.057183E-4
0.05286888,6.93603E-5,6.283185,3.141593,6.283185,761.7541,0.2353964,-8.841658E8,1142.384,1.482654E8,1142.384,1.0,0.9332086,0.00355035,1.89017E-4,4.357829E-4,0.001598371,7.458433E-6,9.108828E-5,0.003601571,1.033179E-5,2.431857E-4,4.738394E-5,0.003854096,5.052543E-4,4.128765E-4,2.17861E-5,4.282149E-4,1.100172E-6,5.852449E-5,1.531231E-6,1.764481E-4,1.285768E-5,2.625474E-5,2.581013E-4,3.158615E-4,0.01797221,4.675326E-4,0.007838121,2.251732E-5,0.008941443,0.01548987,9.220725,9.836376E-5,524082.2,-0.002389734,8.793463E-4,-3.724659E-4,2.079551E-4,4.942753E-4,-2.455877E-4,-9.783889E-4,7.673244E-5,-0.004549139,-0.001035763,524082.2,-0.002389734,8.793463E-4,-3.724659E-4,2.079551E-4,4.942753E-4,-2.455877E-4,-9.783889E-4,7.673244E-5,-0.004549139,-0.001035763
0.08587145,1.126953E-4,6.283185,3.141593,6.283185,761.3978,0.2353964,-6.664274E8,1136.549,1.472385E8,1136.549,1.0,0.9283668,0.005293971,1.578267E-4,6.284719E-4,0.002357498,1.503307E-5,1.303876E-4,0.005151906,2.187391E-5,3.476751E-4,6.880591E-5,0.005614033,6.435109E-4,5.909784E-4,3.480157E-5,6.291745E-4,3.052844E-6,8.894937E-5,3.328767E-6,2.490854E-4,2.495473E-5,3.908126E-5,3.688843E-4,4.374917E-4,0.0171427,6.593632E-4,0.00775387,3.97805E-5,0.008256274,0.01465304,9.177922,9.84098E-5,521650.4,-0.002940159,0.001142682,-2.163893E-4,5.01032E-4,-9.75629E-5,1.046926E-4,-0.001186231,-1.755665E-5,-0.005770579,-0.001279829,521650.8,-0.002940163,0.001142683,-2.16389E-4,5.010292E-4,-9.756378E-5,1.046936E-4,-0.001186226,-1.75563E-5,-0.005770591,-0.001279833
0.08592499,1.127656E-4,6.283185,3.141593,6.283185,761.3972,0.2353964,-6.638962E8,1136.54,1.47237E8,1136.54,1.0,0.9283598,0.005296514,1.577855E-4,6.28741E-4,0.002358602,1.504582E-5,1.304419E-4,0.005154112,2.189345E-5,3.478216E-4,6.883689E-5,0.005616575,6.436781E-4,5.912281E-4,3.482233E-5,6.294591E-4,3.056481E-6,8.899467E-5,3.331869E-6,2.491854E-4,2.497422E-5,3.909886E-5,3.690394E-4,4.376559E-4,0.01714151,6.596273E-4,0.007753752,3.980625E-5,0.008255316,0.01465185,9.177862,9.840987E-5,521647.0,-0.002940566,0.001142985,-2.16585E-4,5.013218E-4,-9.764571E-5,1.047778E-4,-0.001186488,-1.771605E-5,-0.005772132,-0.001280229,521647.4,-0.00294057,0.001142987,-2.165847E-4,5.01319E-4,-9.764662E-5,1.047787E-4,-0.001186483,-1.771568E-5,-0.005772144,-0.001280233
0.08602811,1.12901E-4,6.283185,3.141593,6.283185,761.3962,0.2353964,-6.626217E8,1136.524,1.472342E8,1136.524,1.0,0.9283465,0.005301409,1.577016E-4,6.29259E-4,0.002360715,1.507037E-5,1.305463E-4,0.005158351,2.193103E-5,3.481032E-4,6.88965E-5,0.005621463,6.439997E-4,5.917036E-4,3.485763E-5,6.300063E-4,3.063488E-6,8.908177E-5,3.337839E-6,2.493777E-4,2.501176E-5,3.913274E-5,3.693373E-4,4.379712E-4,0.01713922,6.601348E-4,0.007753524,3.985583E-5,0.008253474,0.01464955,9.177745,9.841E-5,521640.3,-0.002941346,0.001143568,-2.169619E-4,5.018782E-4,-9.780506E-5,1.049415E-4,-0.001186981,-1.802389E-5,-0.005775112,-0.001280994,521640.7,-0.002941349,0.00114357,-2.169616E-4,5.01875E-4,-9.780602E-5,1.049426E-4,-0.001186975,-1.802361E-5,-0.005775123,-0.001280998
0.08815543,1.156951E-4,6.283185,3.141593,6.283185,761.3758,0.2353964,-6.532659E8,1136.197,1.471766E8,1136.197,1.0,0.9280722,0.005401724,1.561147E-4,6.398451E-4,0.002404193,1.557749E-5,1.326798E-4,0.005245223,2.27088E-5,3.538647E-4,7.011748E-5,0.005721668,6.505131E-4,6.01491E-4,3.564694E-5,6.412162E-4,3.208924E-6,9.0871E-5,3.4614E-6,2.533068E-4,2.578474E-5,3.982435E-5,3.754453E-4,4.444161E-4,0.01709224,6.705304E-4,0.00774885,4.087238E-5,0.008215734,0.01460251,9.175347,9.841263E-5,521504.7,-0.002969665,0.001155328,-2.247225E-4,5.132553E-4,-1.010862E-4,1.083074E-4,-0.001196984,-2.438183E-5,-0.005835585,-0.001296521,521505.3,-0.00296967,0.00115533,-2.24722E-4,5.132483E-4,-1.010881E-4,1.083095E-4,-0.001196971,-2.43815E-5,-0.005835602,-0.001296527
