Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_IC4H10_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_IC4H7_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_B1M2_PFRC2 (),Mass_fraction_B1M3_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_IC8H16_PFRC2 (),Mass_fraction_DIMEPTD_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Mass_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),UHC_Sens_GasRxn#32_PFRC2 (),UHC_Sens_GasRxn#154_PFRC2 (),UHC_Sens_GasRxn#381_PFRC2 (),UHC_Sens_GasRxn#620_PFRC2 (),UHC_Sens_GasRxn#1148_PFRC2 (),UHC_Sens_GasRxn#2803_PFRC2 (),UHC_Sens_GasRxn#8284_PFRC2 (),UHC_Sens_GasRxn#8287_PFRC2 (),UHC_Sens_GasRxn#11455_PFRC2 (),UHC_Sens_GasRxn#11845_PFRC2 (),Volatile_organic_compounds_PFRC2 (ppm),VOC_Sens_GasRxn#32_PFRC2 (),VOC_Sens_GasRxn#154_PFRC2 (),VOC_Sens_GasRxn#381_PFRC2 (),VOC_Sens_GasRxn#620_PFRC2 (),VOC_Sens_GasRxn#1148_PFRC2 (),VOC_Sens_GasRxn#2803_PFRC2 (),VOC_Sens_GasRxn#8284_PFRC2 (),VOC_Sens_GasRxn#8287_PFRC2 (),VOC_Sens_GasRxn#11455_PFRC2 (),VOC_Sens_GasRxn#11845_PFRC2 ()
0,0,6.283185,3.141593,6.283185,763.4088,0.2353964,-8.13E+08,1157.327,0,1157.327,1,0.2041934,5.42E-16,7.05E-23,1.80E-19,1.96E-19,1.35E-21,1.80E-22,7.02E-22,2.63E-23,7.66E-24,7.05E-26,1.53E-24,5.89E-27,1.41E-24,9.89E-25,1.28E-23,8.60E-26,2.09E-21,9.87E-25,2.39E-27,2.39E-27,8.40E-28,9.71E-28,1.05E-33,0.2385231,2.46E-32,0.07964678,8.07E-27,0.1590154,0.3186213,9.321098,9.82E-05,529787.1,0,0,0,0,0,0,0,0,0,0,529787.1,0,0,0,0,0,0,0,0,0,0
3.37E-05,4.41E-08,6.283185,3.141593,6.283185,763.4054,0.2353964,-1.05E+09,1157.32,1.51E+08,1157.32,1,0.2041934,1.76E-09,3.62E-07,2.46E-10,6.89E-08,5.15E-14,1.15E-10,6.25E-07,1.22E-13,2.35E-09,4.56E-09,4.17E-06,2.03E-06,1.11E-07,2.96E-11,2.41E-09,5.97E-19,1.11E-09,2.58E-17,7.88E-08,2.21E-14,6.73E-14,2.21E-09,3.71E-08,0.2385193,1.12E-08,0.07964677,5.70E-13,0.1590136,0.3186082,9.321079,9.82E-05,529786,7.93E-10,0,0,0,0,0,5.17E-06,2.38E-08,1.39E-05,3.39E-08,529786,7.93E-10,-2.43E-84,-4.06E-26,1.30E-27,-9.94E-26,0,5.17E-06,2.38E-08,1.39E-05,3.39E-08
7.66E-04,1.00E-06,6.283185,3.141593,6.283185,763.3194,0.2353964,-1.51E+09,1157.101,1.51E+08,1157.101,1,0.2041938,3.96E-06,3.51E-05,4.70E-07,1.03E-05,3.50E-10,8.09E-08,8.97E-05,1.83E-10,1.59E-06,1.74E-06,1.50E-04,4.79E-05,5.49E-06,1.91E-08,2.62E-06,4.80E-13,7.19E-07,2.07E-11,4.07E-06,1.16E-09,3.82E-09,2.82E-06,6.40E-06,0.238421,7.60E-06,0.07964392,1.47E-09,0.158942,0.3183003,9.320364,9.82E-05,529745.4,2.29E-05,4.01E-08,-1.71E-08,-1.95E-25,2.15E-09,0,1.33E-04,2.51E-07,-2.91E-05,4.87E-06,529745.4,2.29E-05,4.01E-08,-1.71E-08,-3.00E-23,2.15E-09,2.99E-24,1.33E-04,2.51E-07,-2.91E-05,4.87E-06
0.004414551,5.78E-06,6.283185,3.141593,6.283185,762.9128,0.2353964,-1.75E+09,1155.725,1.51E+08,1155.725,1,0.2041925,2.01E-04,2.46E-04,3.17E-05,1.99E-04,7.41E-08,7.52E-06,0.001055367,7.38E-08,4.30E-05,1.99E-05,0.001404266,3.13E-04,8.56E-05,1.29E-06,7.82E-05,1.67E-09,1.82E-05,1.56E-08,5.90E-05,3.63E-07,1.42E-06,7.75E-05,1.50E-04,0.2374619,2.04E-04,0.07957644,6.12E-07,0.1579186,0.3162652,9.314245,9.82E-05,529397.6,-7.07E-05,-3.91E-05,-4.33E-07,-1.07E-05,3.84E-06,6.82E-07,8.29E-05,-1.53E-04,-4.95E-04,-2.01E-04,529397.6,-7.07E-05,-3.91E-05,-4.33E-07,-1.07E-05,3.84E-06,6.82E-07,8.29E-05,-1.53E-04,-4.95E-04,-2.01E-04
0.01859631,2.44E-05,6.283185,3.141593,6.283185,762.2913,0.2353964,-1.35E+09,1150.825,1.50E+08,1150.825,1,0.2041508,0.002062409,3.92E-04,4.70E-04,0.001681454,3.22E-06,1.43E-04,0.006233337,5.54E-06,3.79E-04,1.12E-04,0.008607849,0.001385359,8.73E-04,3.23E-05,8.15E-04,3.82E-07,1.63E-04,1.29E-06,4.86E-04,1.53E-05,5.17E-05,6.84E-04,0.001263113,0.2313412,0.001781655,0.07910015,4.25E-05,0.1505707,0.3061139,9.282316,9.83E-05,527582.8,-0.001107367,1.85E-04,9.99E-07,-4.26E-04,1.24E-04,-1.17E-04,-5.25E-04,1.10E-04,-0.002228797,-4.06E-04,527582.8,-0.001107367,1.85E-04,9.99E-07,-4.26E-04,1.24E-04,-1.17E-04,-5.25E-04,1.10E-04,-0.002228797,-4.06E-04
0.05286888,6.94E-05,6.283185,3.141593,6.283185,761.7541,0.2353964,-8.84E+08,1142.384,1.48E+08,1142.384,1,0.2040287,0.006177212,3.08E-04,0.001421151,0.004863067,2.11E-05,4.36E-04,0.01643674,4.49E-05,0.001056676,2.99E-04,0.02345228,0.003019254,0.002512365,1.33E-04,0.002512078,6.21E-06,4.96E-04,1.10E-05,0.001342114,9.78E-05,2.00E-04,0.001906762,0.003363545,0.2187227,0.004876442,0.07832558,2.59E-04,0.1360223,0.2861554,9.220725,9.84E-05,524082.2,-0.002389734,8.79E-04,-3.72E-04,2.08E-04,4.94E-04,-2.46E-04,-9.78E-04,7.67E-05,-0.004549139,-0.001035763,524082.2,-0.002389734,8.79E-04,-3.72E-04,2.08E-04,4.94E-04,-2.46E-04,-9.78E-04,7.67E-05,-0.004549139,-0.001035763
0.08587145,1.13E-04,6.283185,3.141593,6.283185,761.3978,0.2353964,-6.66E+08,1136.549,1.47E+08,1136.549,1,0.2039167,0.009253874,2.59E-04,0.002059096,0.007206171,4.26E-05,6.26E-04,0.02362177,9.55E-05,0.001517742,4.36E-04,0.03432086,0.003863369,0.00361289,2.13E-04,0.0037082,1.73E-05,7.57E-04,2.40E-05,0.00190345,1.91E-04,2.99E-04,0.002737898,0.004680487,0.2096006,0.006909341,0.07784503,4.60E-04,0.1261849,0.2719585,9.177922,9.84E-05,521650.4,-0.002940159,0.001142682,-2.16E-04,5.01E-04,-9.76E-05,1.05E-04,-0.001186231,-1.76E-05,-0.005770579,-0.001279829,521650.8,-0.002940163,0.001142683,-2.16E-04,5.01E-04,-9.76E-05,1.05E-04,-0.001186226,-1.76E-05,-0.005770591,-0.001279833
0.08592499,1.13E-04,6.283185,3.141593,6.283185,761.3972,0.2353964,-6.64E+08,1136.54,1.47E+08,1136.54,1,0.2039165,0.00925838,2.58E-04,0.002059992,0.007209593,4.27E-05,6.27E-04,0.02363204,9.56E-05,0.001518391,4.36E-04,0.03433663,0.003864398,0.003614441,2.13E-04,0.003709902,1.73E-05,7.57E-04,2.40E-05,0.001904227,1.91E-04,2.99E-04,0.002739067,0.004682275,0.2095874,0.006912154,0.07784436,4.60E-04,0.1261711,0.2719382,9.177862,9.84E-05,521647,-0.002940566,0.001142985,-2.17E-04,5.01E-04,-9.76E-05,1.05E-04,-0.001186488,-1.77E-05,-0.005772132,-0.001280229,521647.4,-0.00294057,0.001142987,-2.17E-04,5.01E-04,-9.76E-05,1.05E-04,-0.001186483,-1.77E-05,-0.005772144,-0.001280233
0.08602811,1.13E-04,6.283185,3.141593,6.283185,761.3962,0.2353964,-6.63E+08,1136.524,1.47E+08,1136.524,1,0.2039162,0.009267055,2.58E-04,0.002061715,0.007216143,4.28E-05,6.27E-04,0.02365177,9.57E-05,0.00151964,4.36E-04,0.03436695,0.003866378,0.003617394,2.13E-04,0.003713174,1.74E-05,7.58E-04,2.40E-05,0.00190572,1.91E-04,2.99E-04,0.002741314,0.004685708,0.2095621,0.00691756,0.07784306,4.61E-04,0.1261445,0.271899,9.177745,9.84E-05,521640.3,-0.002941346,0.001143568,-2.17E-04,5.02E-04,-9.78E-05,1.05E-04,-0.001186981,-1.80E-05,-0.005775112,-0.001280994,521640.7,-0.002941349,0.00114357,-2.17E-04,5.02E-04,-9.78E-05,1.05E-04,-0.001186975,-1.80E-05,-0.005775123,-0.001280998
0.08815543,1.16E-04,6.283185,3.141593,6.283185,761.3758,0.2353964,-6.53E+08,1136.197,1.47E+08,1136.197,1,0.2039092,0.009444877,2.56E-04,0.002096947,0.007350965,4.42E-05,6.38E-04,0.02405638,9.92E-05,0.001545196,4.44E-04,0.03498869,0.003906504,0.003678191,2.18E-04,0.003780232,1.82E-05,7.74E-04,2.49E-05,0.001936253,1.97E-04,3.04E-04,0.002787377,0.004755902,0.2090422,0.007028333,0.07781647,4.73E-04,0.1256005,0.2710968,9.175347,9.84E-05,521504.7,-0.002969665,0.001155328,-2.25E-04,5.13E-04,-1.01E-04,1.08E-04,-0.001196984,-2.44E-05,-0.005835585,-0.001296521,521505.3,-0.00296967,0.00115533,-2.25E-04,5.13E-04,-1.01E-04,1.08E-04,-0.001196971,-2.44E-05,-0.005835602,-0.001296527
