Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H6_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H8_PFRC2 (),Mole_fraction_C3H6_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_IC4H10_PFRC2 (),Mole_fraction_IC4H9_PFRC2 (),Mole_fraction_TC4H9_PFRC2 (),Mole_fraction_IC4H8_PFRC2 (),Mole_fraction_IC4H7_PFRC2 (),Mole_fraction_C4H8-1_PFRC2 (),Mole_fraction_C4H6_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C5H6_PFRC2 (),Mole_fraction_NC5H10_PFRC2 (),Mole_fraction_B1M2_PFRC2 (),Mole_fraction_LC5H8_PFRC2 (),Mole_fraction_NC7H14_PFRC2 (),Mole_fraction_IC8H16_PFRC2 (),Mole_fraction_DIMEPTD_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_NC10H20_PFRC2 (),Mole_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),UHC_Sens_GasRxn#32_PFRC2 (),UHC_Sens_GasRxn#409_PFRC2 (),UHC_Sens_GasRxn#620_PFRC2 (),UHC_Sens_GasRxn#630_PFRC2 (),UHC_Sens_GasRxn#2803_PFRC2 (),UHC_Sens_GasRxn#8284_PFRC2 (),UHC_Sens_GasRxn#8662_PFRC2 (),UHC_Sens_GasRxn#11449_PFRC2 (),UHC_Sens_GasRxn#11455_PFRC2 (),UHC_Sens_GasRxn#11692_PFRC2 (),Volatile_organic_compounds_PFRC2 (ppm),VOC_Sens_GasRxn#32_PFRC2 (),VOC_Sens_GasRxn#409_PFRC2 (),VOC_Sens_GasRxn#620_PFRC2 (),VOC_Sens_GasRxn#630_PFRC2 (),VOC_Sens_GasRxn#2803_PFRC2 (),VOC_Sens_GasRxn#8284_PFRC2 (),VOC_Sens_GasRxn#8662_PFRC2 (),VOC_Sens_GasRxn#11449_PFRC2 (),VOC_Sens_GasRxn#11455_PFRC2 (),VOC_Sens_GasRxn#11692_PFRC2 ()
0.0,0.0,6.283185,3.141593,6.283185,944.3487,0.2353964,-3.423875E11,1431.632,0.0,1431.632,1.0,0.9441287,1.259285E-33,1.62693E-28,3.083104E-33,2.534899E-32,4.938837E-31,1.634863E-31,1.256653E-35,7.171589E-34,8.253004E-34,2.756604E-34,2.266632E-39,1.782943E-42,2.799452E-42,5.447953E-37,5.412785E-38,7.06347E-37,5.705166E-35,1.778248E-35,2.492097E-33,5.504952E-36,5.068732E-40,4.60202E-40,2.006615E-39,8.395513E-47,0.01981253,1.091866E-44,0.008057096,0.01056668,0.01743503,9.321098,7.934463E-5,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.230142E-7,4.47946E-10,6.283185,3.141593,6.283185,944.335,0.2353964,-3.957755E11,1431.6,1.991696E8,1431.6,1.0,0.944121,2.622922E-7,3.978453E-11,3.552471E-7,1.736093E-12,1.710794E-8,2.532168E-14,7.127581E-13,2.026691E-7,6.619435E-14,5.715184E-11,1.32302E-10,4.240095E-7,6.232814E-6,9.892726E-7,1.287085E-6,1.821749E-8,3.73527E-10,2.453574E-18,5.759911E-12,7.167521E-20,1.188051E-8,1.664007E-16,3.523482E-12,5.183196E-9,0.01981152,6.477663E-11,0.008057031,0.01056612,0.01743028,9.321023,7.934578E-5,529782.8,6.807891E-11,0.0,0.0,1.318664E-10,0.0,1.942294E-5,8.443266E-10,9.116017E-6,9.694182E-5,2.178667E-9,529782.8,6.807891E-11,0.0,-4.382357E-40,1.318664E-10,0.0,1.942294E-5,8.443266E-10,9.116017E-6,9.694182E-5,2.178667E-9
3.349216E-6,3.546797E-9,6.283185,3.141593,6.283185,944.237,0.2353964,-4.512115E11,1431.337,1.991233E8,1431.337,1.0,0.9440459,5.600544E-6,9.864539E-9,9.539612E-6,5.494018E-10,5.972361E-7,2.741073E-12,2.083179E-10,4.988255E-6,4.281692E-12,8.203797E-9,1.133056E-8,1.194701E-5,4.96891E-5,2.078608E-5,1.017239E-5,5.725395E-7,2.679046E-8,4.61901E-16,1.182516E-9,6.121504E-16,3.621683E-7,3.341266E-13,3.820257E-9,1.557295E-7,0.01981032,1.331493E-8,0.008056379,0.01056191,0.01739708,9.32028,7.935402E-5,529740.6,1.778972E-8,0.0,0.0,8.231376E-9,0.0,1.531915E-4,1.969187E-7,7.202829E-5,-1.804326E-4,4.776771E-7,529740.6,1.778972E-8,-1.344939E-27,-5.029385E-26,8.231376E-9,-2.264863E-27,1.531915E-4,1.969187E-7,7.202829E-5,-1.804326E-4,4.776771E-7
1.356008E-5,1.436267E-8,6.283185,3.141593,6.283185,943.8875,0.2353964,-4.690864E11,1430.371,1.989533E8,1430.371,1.0,0.9437592,2.726234E-5,2.576078E-7,5.784478E-5,1.59118E-8,4.276904E-6,1.241019E-10,5.431744E-9,3.34338E-5,7.610663E-11,1.677497E-7,2.180198E-7,7.622105E-5,1.663493E-4,1.015168E-4,4.093944E-5,3.102994E-6,4.961314E-7,3.353829E-14,2.530018E-8,3.971823E-13,1.935295E-6,3.528796E-11,1.307037E-7,9.208758E-7,0.01980757,2.853841E-7,0.008053788,0.01054649,0.01728212,9.317438,7.93834E-5,529579.1,7.983815E-8,0.0,0.0,1.33157E-7,0.0,-1.863601E-5,4.146915E-6,-6.155474E-6,-2.035732E-4,9.99726E-6,529579.1,7.983815E-8,7.19939E-25,-1.795105E-24,1.33157E-7,9.32728E-25,-1.863601E-5,4.146915E-6,-6.155474E-6,-2.035732E-4,9.99726E-6
7.78668E-5,8.257107E-8,6.283185,3.141593,6.283185,941.7361,0.2353964,-4.985127E11,1423.889,1.978124E8,1423.889,1.0,0.9416719,1.738842E-4,1.606629E-5,6.672457E-4,1.114739E-6,5.975622E-5,2.483991E-8,2.991308E-7,5.281488E-4,7.536936E-9,6.229573E-6,6.811767E-6,3.547517E-4,5.653864E-4,6.658007E-4,2.262958E-4,2.130051E-5,1.572627E-5,3.565363E-11,9.677298E-7,6.602189E-10,1.331868E-5,1.275071E-8,5.683941E-6,1.07996E-5,0.01975851,1.092514E-5,0.008030861,0.01042813,0.01659706,9.296402,7.956475E-5,528383.4,4.642872E-5,7.877669E-7,-5.765216E-12,-5.657436E-8,-5.400072E-12,-2.292209E-4,1.232124E-4,-7.052626E-5,-0.001945558,-6.004932E-5,528383.4,4.642872E-5,7.877669E-7,-5.765216E-12,-5.657436E-8,-5.400072E-12,-2.292209E-4,1.232124E-4,-7.052626E-5,-0.001945558,-6.004932E-5
3.142374E-4,3.344035E-7,6.283185,3.141593,6.283185,936.1202,0.2353964,-3.397964E11,1403.048,1.941443E8,1403.048,1.000001,0.9338265,4.242067E-4,3.976853E-4,0.003607069,6.993977E-5,5.125182E-4,1.71399E-6,1.246048E-5,0.003466317,8.292938E-7,7.834161E-5,6.082975E-5,4.17545E-4,6.668336E-4,0.002792052,7.91166E-4,1.196221E-4,1.665496E-4,1.823042E-8,1.264412E-5,1.092401E-7,6.905331E-5,1.143356E-6,7.268661E-5,9.450492E-5,0.01931816,1.376984E-4,0.007910025,0.009830887,0.01461501,9.215284,8.004207E-5,523772.9,-2.484818E-4,-1.235659E-4,-5.957985E-5,-2.986913E-7,-6.373532E-5,-9.864452E-4,-7.027871E-5,-9.579055E-4,-0.006463129,-3.91477E-4,523772.9,-2.484818E-4,-1.235659E-4,-5.957985E-5,-2.986913E-7,-6.373532E-5,-9.864452E-4,-7.027871E-5,-9.579055E-4,-0.006463129,-3.91477E-4
9.148969E-4,9.776683E-7,6.283185,3.141593,6.283185,933.0179,0.2353964,-1.084036E11,1378.789,1.898744E8,1378.789,1.000001,0.9210343,4.027875E-4,0.002568158,0.005988221,8.91769E-4,0.001890209,2.019416E-5,1.079874E-4,0.008592024,1.24088E-5,3.031496E-4,1.650401E-4,2.340876E-4,3.970474E-4,0.006548032,0.001726176,4.637152E-4,5.803211E-4,7.331297E-7,5.343502E-5,1.694446E-6,2.028223E-4,1.607143E-5,2.71842E-4,3.125509E-4,0.01803962,5.120962E-4,0.007675519,0.008479915,0.0116636,9.086055,8.030821E-5,516427.8,-0.001818078,6.361394E-5,3.463608E-5,1.153533E-5,-2.326674E-4,-0.001544746,-7.334022E-6,-0.001097743,-0.009430834,-9.691221E-4,516427.8,-0.001818078,6.361394E-5,3.463608E-5,1.153533E-5,-2.326674E-4,-0.001544746,-7.334022E-6,-0.001097743,-0.009430834,-9.691221E-4
0.002220549,2.374752E-6,6.283185,3.141593,6.283185,936.349,0.2353964,-3.85256E10,1362.289,1.869704E8,1362.289,1.000001,0.906189,2.682548E-4,0.007097988,0.00492012,0.002869812,0.004195176,7.472679E-5,2.950742E-4,0.01431345,5.887046E-5,6.564889E-4,2.697148E-4,1.289524E-4,2.30352E-4,0.01110619,0.002882967,0.001011998,0.001150402,6.613458E-6,1.310667E-4,8.210668E-6,3.722111E-4,7.028628E-5,5.522599E-4,5.712041E-4,0.015969,0.001020326,0.007416564,0.006715958,0.008366941,8.945389,8.002251E-5,508433.0,-0.004079187,3.640323E-4,5.491044E-4,7.483044E-5,2.238814E-4,-0.001839011,-1.439765E-4,-0.00135237,-0.01016246,-0.001635401,508433.0,-0.004079187,3.640323E-4,5.491043E-4,7.483044E-5,2.238815E-4,-0.001839011,-1.439765E-4,-0.001352369,-0.01016246,-0.001635401
0.0022702,2.427775E-6,6.283185,3.141593,6.283185,936.4776,0.2353964,-3.775454E10,1361.893,1.869006E8,1361.893,1.000001,0.9057724,2.645351E-4,0.007241869,0.004870589,0.002927645,0.004267397,7.679883E-5,3.004999E-4,0.01446745,6.078278E-5,6.671733E-4,2.722507E-4,1.268153E-4,2.268453E-4,0.0112314,0.002915208,0.001027386,0.001166378,6.921725E-6,1.336105E-4,8.482727E-6,3.765481E-4,7.239178E-5,5.599391E-4,5.774344E-4,0.01590512,0.001033717,0.007409806,0.006667842,0.008278799,8.94156,8.001152E-5,508216.0,-0.004130442,3.690039E-4,3.731117E-4,7.802187E-5,2.289335E-4,-0.001847131,-1.500577E-4,-0.001358732,-0.0101635,-0.001649444,508216.2,-0.004130445,3.690045E-4,3.731128E-4,7.802181E-5,2.289334E-4,-0.001847135,-1.500577E-4,-0.001358734,-0.01016352,-0.001649446
0.002288651,2.447477E-6,6.283185,3.141593,6.283185,936.5247,0.2353964,-3.745491E10,1361.748,1.868751E8,1361.748,1.000001,0.9056196,2.631613E-4,0.007294857,0.00485235,0.002948833,0.004293965,7.75677E-5,3.024897E-4,0.01452387,6.149362E-5,6.711063E-4,2.73176E-4,1.260379E-4,2.255689E-4,0.01127731,0.002927034,0.001033014,0.001172239,7.037391E-6,1.345489E-4,8.583928E-6,3.781325E-4,7.31725E-5,5.627521E-4,5.797041E-4,0.0158816,0.001038613,0.007407333,0.006650213,0.008246511,8.940157,8.000749E-5,508136.2,-0.004149042,3.71824E-4,3.754765E-4,7.921344E-5,2.307955E-4,-0.001866859,-1.52317E-4,-0.001361062,-0.01016365,-0.001654525,508136.5,-0.004149045,3.718247E-4,3.754774E-4,7.921337E-5,2.307954E-4,-0.001866863,-1.523174E-4,-0.001361064,-0.01016366,-0.001654527
