Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_H_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C3H4-P_PFRC2 (),Mass_fraction_C3H4-A_PFRC2 (),Mass_fraction_IC4H10_PFRC2 (),Mass_fraction_IC4H9_PFRC2 (),Mass_fraction_TC4H9_PFRC2 (),Mass_fraction_IC4H8_PFRC2 (),Mass_fraction_IC4H7_PFRC2 (),Mass_fraction_C4H8-1_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_NC5H10_PFRC2 (),Mass_fraction_B1M2_PFRC2 (),Mass_fraction_LC5H8_PFRC2 (),Mass_fraction_NC7H14_PFRC2 (),Mass_fraction_IC8H16_PFRC2 (),Mass_fraction_DIMEPTD_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_NC10H20_PFRC2 (),Mass_fraction_IC12H26_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),UHC_Sens_GasRxn#32_PFRC2 (),UHC_Sens_GasRxn#409_PFRC2 (),UHC_Sens_GasRxn#620_PFRC2 (),UHC_Sens_GasRxn#630_PFRC2 (),UHC_Sens_GasRxn#2803_PFRC2 (),UHC_Sens_GasRxn#8284_PFRC2 (),UHC_Sens_GasRxn#8662_PFRC2 (),UHC_Sens_GasRxn#11449_PFRC2 (),UHC_Sens_GasRxn#11455_PFRC2 (),UHC_Sens_GasRxn#11692_PFRC2 (),Volatile_organic_compounds_PFRC2 (ppm),VOC_Sens_GasRxn#32_PFRC2 (),VOC_Sens_GasRxn#409_PFRC2 (),VOC_Sens_GasRxn#620_PFRC2 (),VOC_Sens_GasRxn#630_PFRC2 (),VOC_Sens_GasRxn#2803_PFRC2 (),VOC_Sens_GasRxn#8284_PFRC2 (),VOC_Sens_GasRxn#8662_PFRC2 (),VOC_Sens_GasRxn#11449_PFRC2 (),VOC_Sens_GasRxn#11455_PFRC2 (),VOC_Sens_GasRxn#11692_PFRC2 ()
0.0,0.0,6.283185,3.141593,6.283185,944.3487,0.2353964,-3.423875E11,1431.632,0.0,1431.632,1.0,0.2041934,1.361773E-34,2.800194E-28,4.973089E-33,8.177654E-32,1.486467E-30,4.566946E-31,5.945102E-35,3.237704E-33,3.547429E-33,1.184885E-33,1.413422E-38,1.092523E-41,1.715403E-41,3.279396E-36,3.199694E-37,4.251856E-36,3.310836E-34,9.934979E-35,2.088482E-32,3.904014E-35,3.813905E-39,3.462733E-39,1.466454E-38,8.84394E-46,0.2385231,1.126571E-43,0.07964678,0.1590154,0.3186213,9.321098,7.934463E-5,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529787.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.230142E-7,4.47946E-10,6.283185,3.141593,6.283185,944.335,0.2353964,-3.957755E11,1431.6,1.991696E8,1431.6,1.0,0.2041934,2.836413E-8,6.847579E-11,5.730231E-7,5.600731E-12,5.149103E-8,7.073602E-14,3.372017E-12,9.149826E-7,2.845287E-13,2.456605E-10,8.250126E-10,2.598198E-6,3.819275E-5,5.954975E-6,7.608485E-6,1.096611E-7,2.167679E-9,1.37081E-17,4.827086E-11,5.08312E-19,8.939415E-8,1.252072E-15,2.575016E-11,5.460088E-8,0.2385128,6.683609E-10,0.07964677,0.1590081,0.318537,9.321023,7.934578E-5,529782.8,6.807891E-11,0.0,0.0,1.318664E-10,0.0,1.942294E-5,8.443266E-10,9.116017E-6,9.694182E-5,2.178667E-9,529782.8,6.807891E-11,0.0,-4.382357E-40,1.318664E-10,0.0,1.942294E-5,8.443266E-10,9.116017E-6,9.694182E-5,2.178667E-9
3.349216E-6,3.546797E-9,6.283185,3.141593,6.283185,944.237,0.2353964,-4.512115E11,1431.337,1.991233E8,1431.337,1.0,0.2041934,6.056878E-7,1.697986E-8,1.538888E-5,1.772541E-9,1.797689E-6,7.657787E-12,9.85618E-10,2.252208E-5,1.840582E-11,3.526587E-8,7.066106E-8,7.321339E-5,3.045036E-4,1.251328E-4,6.013798E-5,3.446705E-6,1.554847E-7,2.580843E-15,9.91085E-9,4.341643E-15,2.725329E-6,2.514315E-12,2.792127E-8,1.640618E-6,0.2385174,1.373935E-7,0.07964668,0.1589575,0.3179558,9.32028,7.935402E-5,529740.6,1.778972E-8,0.0,0.0,8.231376E-9,0.0,1.531915E-4,1.969187E-7,7.202829E-5,-1.804326E-4,4.776771E-7,529740.6,1.778972E-8,-1.344939E-27,-5.029385E-26,8.231376E-9,-2.264863E-27,1.531915E-4,1.969187E-7,7.202829E-5,-1.804326E-4,4.776771E-7
1.356008E-5,1.436267E-8,6.283185,3.141593,6.283185,943.8875,0.2353964,-4.690864E11,1430.371,1.989533E8,1430.371,1.0,0.2041937,2.949268E-6,4.435565E-7,9.334107E-5,5.135205E-8,1.287747E-5,3.468115E-10,2.570715E-8,1.510004E-4,3.272613E-10,7.213297E-7,1.360057E-6,4.672386E-4,0.001019729,6.113204E-4,2.421029E-4,1.868581E-5,2.880292E-6,1.874503E-13,2.121094E-7,2.817853E-12,1.456761E-5,2.656242E-10,9.555705E-7,9.704433E-6,0.238557,2.945707E-6,0.07964534,0.1587739,0.3159509,9.317438,7.93834E-5,529579.1,7.983815E-8,0.0,0.0,1.33157E-7,0.0,-1.863601E-5,4.146915E-6,-6.155474E-6,-2.035732E-4,9.99726E-6,529579.1,7.983815E-8,7.19939E-25,-1.795105E-24,1.33157E-7,9.32728E-25,-1.863601E-5,4.146915E-6,-6.155474E-6,-2.035732E-4,9.99726E-6
7.78668E-5,8.257107E-8,6.283185,3.141593,6.283185,941.7361,0.2353964,-4.985127E11,1423.889,1.978124E8,1423.889,1.0,0.2042031,1.885354E-5,2.7726E-5,0.001079136,3.605734E-6,1.803291E-4,6.957395E-8,1.418918E-6,0.002390728,3.248244E-8,2.684801E-5,4.258951E-5,0.002179565,0.003473687,0.004018435,0.00134127,1.285591E-4,9.150549E-5,1.997241E-10,8.131527E-6,4.694593E-9,1.00481E-4,9.619598E-8,4.164916E-5,1.140665E-4,0.2385047,1.130234E-4,0.07959833,0.1573472,0.3041134,9.296402,7.956475E-5,528383.4,4.642872E-5,7.877669E-7,-5.765216E-12,-5.657436E-8,-5.400072E-12,-2.292209E-4,1.232124E-4,-7.052626E-5,-0.001945558,-6.004932E-5,528383.4,4.642872E-5,7.877669E-7,-5.765216E-12,-5.657436E-8,-5.400072E-12,-2.292209E-4,1.232124E-4,-7.052626E-5,-0.001945558,-6.004932E-5
3.142374E-4,3.344035E-7,6.283185,3.141593,6.283185,936.1202,0.2353964,-3.397964E11,1403.048,1.941443E8,1403.048,1.000001,0.2042843,4.639983E-5,6.923365E-4,0.00588506,2.282184E-4,0.001560264,4.842964E-6,5.962622E-5,0.01582881,3.605524E-6,3.406062E-4,3.836763E-4,0.002587944,0.004133034,0.01699974,0.004730571,7.283335E-4,9.776227E-4,1.030219E-7,1.071798E-4,7.836067E-7,5.255491E-4,8.701823E-6,5.373004E-4,0.001006958,0.2352418,0.001437065,0.07909078,0.1496413,0.270153,9.215284,8.004207E-5,523772.9,-2.484818E-4,-1.235659E-4,-5.957985E-5,-2.986913E-7,-6.373532E-5,-9.864452E-4,-7.027871E-5,-9.579055E-4,-0.006463129,-3.91477E-4,523772.9,-2.484818E-4,-1.235659E-4,-5.957985E-5,-2.986913E-7,-6.373532E-5,-9.864452E-4,-7.027871E-5,-9.579055E-4,-0.006463129,-3.91477E-4
9.148969E-4,9.776683E-7,6.283185,3.141593,6.283185,933.0179,0.2353964,-1.084036E11,1378.789,1.898744E8,1378.789,1.000001,0.2043516,4.468361E-5,0.004534535,0.00990895,0.002951292,0.005836224,5.787114E-5,5.240937E-4,0.03979321,5.471709E-5,0.001336751,0.001055776,0.001471511,0.002495901,0.04043552,0.01046802,0.002863542,0.003454852,4.201913E-6,4.593921E-4,1.232757E-5,0.00156559,1.240557E-4,0.00203804,0.003377622,0.2227971,0.005420414,0.07783755,0.1309133,0.2186636,9.086055,8.030821E-5,516427.8,-0.001818078,6.361394E-5,3.463608E-5,1.153533E-5,-2.326674E-4,-0.001544746,-7.334022E-6,-0.001097743,-0.009430834,-9.691221E-4,516427.8,-0.001818078,6.361394E-5,3.463608E-5,1.153533E-5,-2.326674E-4,-0.001544746,-7.334022E-6,-0.001097743,-0.009430834,-9.691221E-4
0.002220549,2.374752E-6,6.283185,3.141593,6.283185,936.349,0.2353964,-3.85256E10,1362.289,1.869704E8,1362.289,1.000001,0.2042195,3.022706E-5,0.01272982,0.008269544,0.009646936,0.01315675,2.175148E-4,0.001454599,0.06733395,2.636737E-4,0.002940335,0.001752521,8.233616E-4,0.001470798,0.06966161,0.01775804,0.006347575,0.006956434,3.850091E-5,0.001144527,6.067421E-5,0.002918285,5.510728E-4,0.004205482,0.006269858,0.2003254,0.01096973,0.07639418,0.1053116,0.159326,8.945389,8.002251E-5,508433.0,-0.004079187,3.640323E-4,5.491044E-4,7.483044E-5,2.238814E-4,-0.001839011,-1.439765E-4,-0.00135237,-0.01016246,-0.001635401,508433.0,-0.004079187,3.640323E-4,5.491043E-4,7.483044E-5,2.238815E-4,-0.001839011,-1.439765E-4,-0.001352369,-0.01016246,-0.001635401
0.0022702,2.427775E-6,6.283185,3.141593,6.283185,936.4776,0.2353964,-3.775454E10,1361.893,1.869006E8,1361.893,1.000001,0.204213,2.982068E-5,0.01299343,0.0081898,0.009845557,0.01338897,2.236418E-4,0.001481979,0.06808753,2.723554E-4,0.002989469,0.001769756,8.100627E-4,0.001449028,0.07047711,0.01796433,0.006446855,0.007056061,4.031277E-5,0.00116724,6.271149E-5,0.002953553,5.678237E-4,0.004265786,0.006340959,0.1996095,0.01111846,0.07635725,0.1046019,0.1577151,8.94156,8.001152E-5,508216.0,-0.004130442,3.690039E-4,3.731117E-4,7.802187E-5,2.289335E-4,-0.001847131,-1.500577E-4,-0.001358732,-0.0101635,-0.001649444,508216.2,-0.004130445,3.690045E-4,3.731128E-4,7.802181E-5,2.289334E-4,-0.001847135,-1.500577E-4,-0.001358734,-0.01016352,-0.001649446
0.002288651,2.447477E-6,6.283185,3.141593,6.283185,936.5247,0.2353964,-3.745491E10,1361.748,1.868751E8,1361.748,1.000001,0.2042106,2.967048E-5,0.01309055,0.008160413,0.009918368,0.01347445,2.259162E-4,0.001492027,0.06836379,2.755838E-4,0.003007564,0.00177605,8.052235E-4,0.001441101,0.07077632,0.01804003,0.006483189,0.007092631,4.099285E-5,0.001175622,6.346961E-5,0.002966446,5.740376E-4,0.004287889,0.006366883,0.1993456,0.01117288,0.07634374,0.1043417,0.1571247,8.940157,8.000749E-5,508136.2,-0.004149042,3.71824E-4,3.754765E-4,7.921344E-5,2.307955E-4,-0.001866859,-1.52317E-4,-0.001361062,-0.01016365,-0.001654525,508136.5,-0.004149045,3.718247E-4,3.754774E-4,7.921337E-5,2.307954E-4,-0.001866863,-1.523174E-4,-0.001361064,-0.01016366,-0.001654527
